site,plot,event,year,doy,date,genus
clarkharvard,G02,lud,2012,Acer,rubrum,86
clarkharvard,G02,lud,2012,Acer,rubrum,86
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,125
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,125
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,125
clarkharvard,G02,lud,2012,Acer,rubrum,130
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,103
clarkharvard,G02,lud,2012,Acer,rubrum,125
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,125
clarkharvard,G02,lod,2010,Acer,rubrum,214
clarkharvard,G02,lod,2010,Acer,rubrum,188
clarkharvard,G02,lod,2010,Acer,rubrum,144
clarkharvard,G02,lod,2010,Acer,rubrum,188
clarkharvard,G02,lod,2010,Acer,rubrum,188
clarkharvard,G02,lod,2010,Acer,rubrum,214
clarkharvard,G02,lod,2010,Acer,rubrum,137
clarkharvard,G02,lod,2010,Acer,rubrum,214
clarkharvard,G02,lod,2010,Acer,rubrum,188
clarkharvard,G02,lod,2010,Acer,rubrum,214
clarkharvard,G02,lod,2010,Acer,rubrum,214
clarkharvard,G02,lod,2010,Acer,rubrum,214
clarkharvard,G02,lod,2010,Acer,rubrum,188
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,146
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2011,Acer,rubrum,207
clarkharvard,G02,lod,2011,Acer,rubrum,164
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,198
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,226
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
