2003,,Météo Camp Redon,,maxi,,,,,,,,,,mini,,,,,,,,,,,,,moy,,,,,,,,,,,,,,,,,,,,,,,,,
date,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,
15,13,7.5,11,18,21,32.5,30,40.5,25.5,24,12,17.5,,-3,-2,6,8,6.5,19.5,20.5,22,13.5,14,4,4.5,,5,2.75,8.5,13,13.75,26,25.25,31.25,19.5,19,8,11,,5,2.75,8.5,13,13.75,26,25.25,31.25,19.5,19,8,11,
16,9.5,9,13,19.5,23.5,35,29,34.5,24.5,22.5,14,12.5,,0.5,-5.5,0.5,7,10.5,19,22,23.5,11.5,13,12,-1.5,,5,1.75,6.75,13.25,17,27,25.5,29,18,17.75,13,5.5,,5,1.75,6.75,13.25,17,27,25.5,29,18,17.75,13,5.5,
17,13,6.5,17,21,20.5,34.5,31.5,32,27.5,19.5,13.5,10.5,,0.5,-4.5,0,7.5,11,22,18,22.5,12,10,10,3,,6.75,1,8.5,14.25,15.75,28.25,24.75,27.25,19.75,14.75,11.75,6.75,,6.75,1,8.5,14.25,15.75,28.25,24.75,27.25,19.75,14.75,11.75,6.75,
18,11,5.5,16.5,23,21,33,32.5,28.5,28.5,14.5,16,9,,1,-4,1,8.5,11,21.5,19.5,19,12.5,9.5,2,5.5,,6,0.75,8.75,15.75,16,27.25,26,23.75,20.5,12,9,7.25,,6,0.75,8.75,15.75,16,27.25,26,23.75,20.5,12,9,7.25,
19,13,10,15.5,21,25,31.5,33.5,31,26.5,15.5,18,12.5,,1,-4,1,9,11.5,17.5,15,19.5,11,8.5,3,8.5,,7,3,8.25,15,18.25,24.5,24.25,25.25,18.75,12,10.5,10.5,,7,3,8.25,15,18.25,24.5,24.25,25.25,18.75,12,10.5,10.5,
20,8,9.5,19.5,19.5,19.5,34,32.5,33.5,26,17.5,17,10,,-0.1,-2,2,11,10.5,16.5,22,20,12.5,10.5,7,3,,3.95,3.75,10.75,15.25,15,25.25,27.25,26.75,19.25,14,12,6.5,,3.95,3.75,10.75,15.25,15,25.25,27.25,26.75,19.25,14,12,6.5,
21,12,9.5,21.5,16.5,20.5,38,29,34,25,20,17,10.5,,0,3,4,11,13,21.5,22.5,19,13,10,7.5,6,,6,6.25,12.75,13.75,16.75,29.75,25.75,26.5,19,15,12.25,8.25,,6,6.25,12.75,13.75,16.75,29.75,25.75,26.5,19,15,12.25,8.25,
22,15,14,20,17.5,21.5,37,30,30.5,24.5,16.5,14.5,14.5,,3.5,4.5,8,7,10.5,18.5,21.5,19.5,19.5,3.5,11.5,5,,9.25,9.25,14,12.25,16,27.75,25.75,25,22,10,13,9.75,,9.25,9.25,14,12.25,16,27.75,25.75,25,22,10,13,9.75,
23,12,11.5,15,20.5,27.5,27.5,33,32.5,19.5,16,15.5,9,,4,5,5.5,7,10.5,19,21,19.5,15,4.5,14.5,2,,8,8.25,10.25,13.75,19,23.25,27,26,17.25,10.25,15,5.5,,8,8.25,10.25,13.75,19,23.25,27,26,17.25,10.25,15,5.5,
24,11.5,9,16,21.5,27,28.5,34.5,32,24.5,13.5,16.5,7.5,,6.5,4,6.5,6.5,14.5,19,20,19.5,10,4.5,13,-2,,9,6.5,11.25,14,20.75,23.75,27.25,25.75,17.25,9,14.75,2.75,,9,6.5,11.25,14,20.75,23.75,27.25,25.75,17.25,9,14.75,2.75,
25,13,12,16.5,21.5,16.5,29,31.5,33.5,23,11,17,11.5,,-3,6.5,3,9.5,12,19.5,16.5,20.5,11,-3,5.5,-3,,5,9.25,9.75,15.5,14.25,24.25,24,27,17,4,11.25,4.25,,5,9.25,9.75,15.5,14.25,24.25,24,27,17,4,11.25,4.25,
26,11.5,13,15.5,18,15,31,31,32.5,24,12,17.5,11,,-3,7,4.5,14,10,22.5,20,18.5,12,0,4,-2,,4.25,10,10,16,12.5,26.75,25.5,25.5,18,6,10.75,4.5,,4.25,10,10,16,12.5,26.75,25.5,25.5,18,6,10.75,4.5,
27,13,11,15.5,15.5,20,34.5,32.5,34.5,22,8,16,8.5,,5.5,7.5,5.5,6.5,9.5,22,23,18.5,14,5,4,-1.5,,9.25,9.25,10.5,11,14.75,28.25,27.75,26.5,18,6.5,10,3.5,,9.25,9.25,10.5,11,14.75,28.25,27.75,26.5,18,6.5,10,3.5,
28,21,8,13.5,20.5,24,34.5,28.5,32.5,21.5,14,12.5,12.5,,9,3,8.5,7,12.5,21.5,20.5,19,15.5,4.5,8,5.5,,15,5.5,11,13.75,18.25,28,24.5,25.75,18.5,9.25,10.25,9,,15,5.5,11,13.75,18.25,28,24.5,25.75,18.5,9.25,10.25,9,
29,15.5,,16.5,19,28,31,31,29,19,14.5,13,10,,4,,8,13,14.5,17,20,22.5,11.5,8,-1.5,2,,9.75,,12.25,16,21.25,24,25.5,25.75,15.25,11.25,5.75,6,,9.75,,12.25,16,21.25,24,25.5,25.75,15.25,11.25,5.75,6,
30,9,,17,18,28.5,28,34,31.5,22.5,15,8,9.5,,4.5,,7.5,14,16,20,17.5,18,10.5,7,2,1.5,,6.75,,12.25,16,22.25,24,25.75,24.75,16.5,11,5,5.5,,6.75,,12.25,16,22.25,24,25.75,24.75,16.5,11,5,5.5,
31,8,,16,,28.5,,33,30,,15.5,,11,,0.5,,5.5,,15.5,,21.5,18.5,,8.5,,-1.5,,4.25,,10.75,,22,,27.25,24.25,,12,,4.75,,4.25,,10.75,,22,,27.25,24.25,,12,,4.75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
somme,324.0,278.0,504.5,537.0,710.0,899.5,966.0,1051.0,744.0,565.5,472.0,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2,138,320,373.5,535.5,721.25,779.25,835.25,574.5,428.5,336.25,241,GDD0
moyenne,10.5,9.9,16.3,17.9,22.9,30.0,31.2,33.9,24.8,18.2,15.7,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T° max,21.0,14.0,21.5,23.0,28.5,38.0,35.0,40.5,29.0,26.5,20.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDD0,,,,,,,,,,,,,,jan-avr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,172.2,138,320,373.5,535.5,721.25,779.25,835.25,574.5,428.5,336.25,241,,1003.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,205.75,190.75,274.5,370.25,483.75,649.25,728,720.25,592,513.5,285,234.5,,1041.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,201.25,142.75,262.25,388.25,537.5,684.25,751.25,715.75,,,,,,994.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
