plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050126,18.2,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050126,14.9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050126,11.2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050126,16.5,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050126,7.2,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050126,12,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050126,7.9,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050126,7.7,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050126,9,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050126,16,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050126,9.4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050126,16.3,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050126,15.2,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050126,13.2,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050126,13.4,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050126,12.8,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050126,8.9,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050126,6.2,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050126,12.1,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050126,13.8,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050126,11.9,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050202,21.4,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050202,24.2,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050202,26.6,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050202,19.5,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050202,24.6,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050202,16.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050202,17.3,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050202,18,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050202,21.1,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050202,28.6,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050202,25.9,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050202,21.6,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050202,26.4,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050202,16.1,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050202,22.3,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050202,16.9,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050202,21.3,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050202,18.8,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050202,26.5,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050202,18.6,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050202,26.5,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050202,25.3,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050202,23.8,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050202,24.4,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050202,23.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050202,18.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050202,12.7,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050202,23.4,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050202,24.8,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050202,23.3,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050221,22.3,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050221,27.8,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050221,28.6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050221,20.9,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050221,29.4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050221,19.4,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050221,22,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050221,20.2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050221,23.7,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050221,30.1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050221,28.7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050221,22,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050221,29,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050221,17.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050221,25.2,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050221,22,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050221,25.8,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050221,20,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050221,29,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050221,20.6,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050221,28.9,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050221,29.3,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050221,27.3,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050221,28,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050221,25.1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050221,23.1,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050221,18.9,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050221,23.8,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050221,27,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050221,23,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050311,18.9,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050311,23.2,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050311,21.5,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050311,19.7,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050311,23.3,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050311,16.5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050311,18,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050311,14.2,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050311,20.3,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050311,19.4,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050311,25.7,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050311,17.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050311,25.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050311,15.9,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050311,19.9,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050311,18.6,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050311,20.8,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050311,16.7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050311,26.2,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050311,17.4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050311,28.7,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050311,24.5,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050311,23.6,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050311,26.9,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050311,23,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050311,22,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050311,17.5,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050311,20.7,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050311,27.6,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050311,20.3,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050321,16.1,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050321,26,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050321,25.4,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050321,15.7,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050321,26.2,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050321,15,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050321,22.4,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050321,18.6,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050321,19.9,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050321,30,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050321,26.7,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050321,19.1,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050321,27.3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050321,16.8,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050321,21.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050321,17.5,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050321,20.8,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050321,17.2,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050321,24.5,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050321,22.7,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050321,25.2,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050321,22.6,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050321,26.5,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050321,25.4,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050321,20.1,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050321,22.3,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050321,16.9,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050321,21,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050321,27.8,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050321,25,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050331,17.5,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050331,28,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050331,29.6,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050331,18.4,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050331,27,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050331,17.6,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050331,21.1,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050331,17.6,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050331,21,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050331,32.3,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050331,27.7,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050331,22,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050331,30,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050331,16.3,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050331,24.2,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050331,18.7,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050331,23.7,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
