Block,Plot,humidity treatment,temperature treatment,line,column,Species,Population,sowing,,55,65,85,91,95,death 
,,,,11,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,3-Feb,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,11,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,11,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,11,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,11,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,11,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,11,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,11,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,18-Nov,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,11,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,13,,aa,,20/03/03,,,,,,,
,,,T+,13,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,13,,aa,,20/03/03,,,,,,,
,,,T++,13,,aa,,20/03/03,,,,,,,
,,,,,,aa,,29/10/02,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,13,,aa,,20/03/03,,,,,,,
,,,,13,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,13,,aa,,20/03/03,,,,,,,
,,,T++,13,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,13,,aa,,20/03/03,,,,,,,
,,,,13,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,13,,aa,,20/03/03,,,,,,,
,,,T+,13,,aa,,20/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,13,,aa,,21/03/03,,,,,,,
,,,,13,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,13,,aa,,21/03/03,,,,,,,
,,,T+,13,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,13,,aa,,21/03/03,,,,,,,
,,,T++,13,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,13,,aa,,21/03/03,,,,,,,
,,,T+,13,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,13,,aa,,21/03/03,,,,,,,
,,,,13,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,13,,aa,,21/03/03,,,,,,,
,,,T++,13,,aa,,21/03/03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,13,,aa,,25-Mar-03,,,,,,,
,,,,13,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,13,,aa,,25-Mar-03,,,,,,,
,,,T++,13,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,13,,aa,,25-Mar-03,,,,,,,
,,,,13,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,13,,aa,,25-Mar-03,,,,,,,
,,,T++,13,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,13,,aa,,25-Mar-03,,,,,,,
,,,T+,13,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,13,,aa,,25-Mar-03,,,,,,,
,,,T+,13,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,13,,aa,,26-Mar,18-Nov,,,,,,
,,,T++,13,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,13,,aa,,26-Mar,,,,,,,
,,,T+,13,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,13,,aa,,26-Mar,,,,,,,
,,,T++,13,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,13,,aa,,26-Mar,,,,,,,
,,,,13,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,13,,aa,,26-Mar,,,,,,,
,,,T+,13,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,13,,aa,,26-Mar,,,,,,,
,,,,13,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,13,,aa,,27/03/03,,,,,,,
,,,T+,13,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,13,,aa,,27/03/03,,,,,,,
,,,,13,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,13,,aa,,27/03/03,,,,,,,
,,,T++,13,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,13,,aa,,27/03/03,,,,,,,
,,,T++,13,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,13,,aa,,27/03/03,,,,,,,
,,,T+,13,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,13,,aa,,27/03/03,,,,,,,
,,,,13,,aa,,27/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,15,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,20/3?,13-May,,,,,
,,,T++,15,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,15,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,18/03?,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,15,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,15,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,15,,ad,,20/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,15,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,1/04?,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,15,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,15,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,15,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,15,,ad,,21/03/03,,14-Jul,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,15,,ad,,21/03/03,,,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,15,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,15,,ad,,25-Mar-03,21/03?,,,,,,
,,,,,,ad,,25-Mar-03,,25-Jun,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,15,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,16-May,,,,,
,,,T++,,,ad,,25-Mar-03,21/03?,,,,,,
,,,T++,15,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,15,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,26-May,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,15,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,26-Mar,,,,,,,
,,,T++,,,ad,,26-Mar,24/03?,,,,,,
,,,T++,,,ad,,26-Mar,,,,,,,
,,,T++,15,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,26-Mar,,,,,,,
,,,T+,15,,ad,,26-Mar,24/03?,,,,,,
,,,T++,,,ad,,26-Mar,24/03?,29-May,,,,,
,,,T++,,,ad,,26-Mar,,,,,,,
,,,T++,,,ad,,26-Mar,,,,,,,
,,,T++,15,,ad,,26-Mar,,,,,,,
,,,,,,ad,,26-Mar,,,,,,,
,,,,,,ad,,26-Mar,,,,,,,
,,,,,,ad,,26-Mar,,,,,,,
,,,,15,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,26-Mar,,,,,,,
,,,T+,15,,ad,,26-Mar,,,,,,,
,,,,,,ad,,26-Mar,,,,,,,
,,,,,,ad,,26-Mar,,,,,,,
,,,,,,ad,,26-Mar,,,,,,,
,,,,15,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,27/03/03,,,,,,,
,,,T+,,,ad,,27/03/03,,,,,,,
,,,T+,,,ad,,27/03/03,,10-May,,,,,
,,,T+,15,,ad,,27/03/03,,,,,,,
,,,,,,ad,,27/03/03,,,,,,,
,,,,,,ad,,27/03/03,,,,,,,
,,,,,,ad,,27/03/03,,,,,,,
,,,,15,,ad,,27/03/03,,,,,,,
,,,T++,,,ad,,27/03/03,,,,,,,
,,,T++,,,ad,,27/03/03,22/03?,,,,,,
,,,T++,,,ad,,27/03/03,25-Mar,,,,,,
,,,T++,15,,ad,,27/03/03,,,,,,,
,,,T++,,,ad,,27/03/03,,,,,,,
,,,T++,,,ad,,27/03/03,,,,,,,
,,,T++,,,ad,,27/03/03,,,,,,,
,,,T++,15,,ad,,27/03/03,,,16-May,,,,
,,,T+,,,ad,,27/03/03,,,,,,,
,,,T+,,,ad,,27/03/03,,,,,,,
,,,T+,,,ad,,27/03/03,,,,,,,
,,,T+,15,,ad,,27/03/03,,,,,,,
,,,,,,ad,,27/03/03,,,,,,,
,,,,,,ad,,27/03/03,,,,,,,
,,,,,,ad,,27/03/03,,,,,,,
,,,,15,,ad,,27/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,12,,ad,,20/03/03,,,,,,,
,,,T+,13,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,12,,ad,,20/03/03,,,,,,,
,,,T++,13,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,12,,ad,,20/03/03,,,,,,,
,,,,13,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,,,ad,,20/03/03,,,,,,,
,,,T++,12,,ad,,20/03/03,,,,,,,
,,,T++,13,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,,,ad,,20/03/03,,,,,,,
,,,,12,,ad,,20/03/03,,,,,,,
,,,,13,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,,,ad,,20/03/03,,,,,,,
,,,T+,12,,ad,,20/03/03,,,,,,,
,,,T+,13,,ad,,20/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,12,,ad,,21/03/03,,,,,,,
,,,,13,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,12,,ad,,21/03/03,,,,,,,
,,,T+,13,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,12,,ad,,21/03/03,,,,,,,
,,,T++,13,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,,,ad,,21/03/03,,,,,,,
,,,T+,12,,ad,,21/03/03,,,,,,,
,,,T+,13,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,,,ad,,21/03/03,,,,,,,
,,,,12,,ad,,21/03/03,,,,,,,
,,,,13,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,,,ad,,21/03/03,,,,,,,
,,,T++,12,,ad,,21/03/03,,,,,,,
,,,T++,13,,ad,,21/03/03,,,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,12,,ad,,25-Mar-03,,,,,,,
,,,,13,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,12,,ad,,25-Mar-03,,,,,,,
,,,T++,13,,ad,,25-Mar-03,,22-Apr,22-Apr,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,,,ad,,25-Mar-03,,,,,,,
,,,,12,,ad,,25-Mar-03,,,,,,,
,,,,13,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,25-Mar-03,,,,,,,
,,,T++,12,,ad,,25-Mar-03,,,,,,,
,,,T++,13,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,12,,ad,,25-Mar-03,,,,,,,
,,,T+,13,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,,,ad,,25-Mar-03,,,,,,,
,,,T+,12,,ad,,25-Mar-03,,,,,,,
,,,T+,13,,ad,,25-Mar-03,,,,,,,
,,,T++,,,ad,,26-Mar,,,,,,,
,,,T++,,,ad,,26-Mar,,,,,,,
,,,T++,12,,ad,,26-Mar,,,,,,,
,,,T++,13,,ad,,26-Mar,,,,,,,
,,,T+,,,ad,,26-Mar,,,,,,,
