plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,040202,30.6,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040218,27.3,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,040218,29.9,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,040218,29,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040218,24.5,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040218,27.2,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040218,22.2,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040218,25.4,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,040218,22.5,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,040218,27.3,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,040218,29.2,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,040218,28.1,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040218,19.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040218,26.6,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040218,25.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040218,26.1,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040218,22.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040218,25.8,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040218,24.6,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,040218,28.9,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,040218,20.7,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,040218,29.1,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,040218,29.4,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,040218,26.4,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,040218,28.1,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,040218,25.6,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,040218,26.8,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,040218,23.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,040218,27.5,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,040218,30.4,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,040218,26.1,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040226,31.9,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,040226,32.2,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,040226,31.2,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040226,30.1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
