"Accepted Symbol","Synonym Symbol","Scientific Name"
"ANOC","","Anacardium occidentale"
"ANGL5","","Anacolosa glochidiiformis"
"ANPE13","","Anadenanthera peregrina"
"ANIN","","Andira inermis"
"ANBR7","","Aniba bracteata"
"ANCH9","","Annona cherimola"
"ANGL4","","Annona glabra"
"ANMO","","Annona montana"
"ANMU2","","Annona muricata"
"ANRE","","Annona reticulata"
"ANSQ","","Annona squamosa"
"ANKA","","Antidesma ×kapuae"
"ANPL2","","Antidesma platyphyllum"
"ANPLH2","","Antidesma platyphyllum var. hillebrandii"
"ANPLP","","Antidesma platyphyllum var. platyphyllum"
"ANPU2","","Antidesma pulvinatum"
"ANAC4","","Antirhea acutata"
"ANCO3","","Antirhea coriacea"
"ANLU3","","Antirhea lucida"
"ANOB2","","Antirhea obtusifolia"
"ANPO3","","Antirhea portoricensis"
"ANSI","","Antirhea sintenisii"
"ARCH12","","Aralia chinensis"
"AREL8","","Aralia elata"
"ARSP2","","Aralia spinosa"
"ARHE12","","Araucaria heterophylla"
"ARAR2","","Arbutus arizonica"
"ARME","","Arbutus menziesii"
"ARUN4","","Arbutus unedo"
"ARXA80","","Arbutus xalapensis"
"ARPA8","","Archidendron palauense"
"ARAL","","Archontophoenix alexandrae"
"ARCO3","","Arctostaphylos columbiana"
"ARGL4","","Arctostaphylos glauca"
"ARNO6","","Arctostaphylos nortensis"
"ARPR","","Arctostaphylos pringlei"
"ARPRD2","","Arctostaphylos pringlei ssp. drupacea"
"ARPRP","","Arctostaphylos pringlei ssp. pringlei"
"ARVI4","","Arctostaphylos viscida"
"ARVIM","","Arctostaphylos viscida ssp. mariposa"
"ARVIP2","","Arctostaphylos viscida ssp. pulchella"
"ARVIV","","Arctostaphylos viscida ssp. viscida"
"AREL4","","Ardisia elliptica"
"ARES","","Ardisia escallonoides"
"ARGL11","","Ardisia glauciflora"
"ARLU3","","Ardisia luquillensis"
"AROB2","","Ardisia obovata"
"ARSO","","Ardisia solanacea"
"ARCH17","","Aristotelia chilensis"
"ARTR2","","Artemisia tridentata"
"ARTRS2","","Artemisia tridentata ssp. spiciformis"
"ARTRT","","Artemisia tridentata ssp. tridentata"
"ARTRV","","Artemisia tridentata ssp. vaseyana"
"ARTRW8","","Artemisia tridentata ssp. wyomingensis"
"ARTRX","","Artemisia tridentata ssp. xericensis"
"ARAL7","","Artocarpus altilis"
"ARAL4","","Artocarpus altilis × mariannensis"
"ARHE2","","Artocarpus heterophyllus"
"ASOB6","","Asimina obovata"
"ASPA18","","Asimina parviflora"
"ASTR","","Asimina triloba"
"ASPA37","","Astronidium palauense"
"ATRA2","","Atuna racemosa"
"AUPA2","","Auerodendron pauciflorum"
"AVCA","","Averrhoa carambola"
"AVGE","","Avicennia germinans"
"AVMA3","","Avicennia marina"
"AVMAM2","","Avicennia marina var. marina"
"AVMAR","","Avicennia marina var. resinifera"
"AZIN2","","Azadirachta indica"
"BAHA","","Baccharis halimifolia"
"BAPA8","","Badusa palauensis"
"BAVU2","","Bambusa vulgaris"
"BAPO","","Banara portoricensis"
"BAVA2","","Banara vanderbiltii"
"BAAS3","","Barringtonia asiatica"
"BAEG6","","Bastardiopsis eggersii"
"BABL","","Bauhinia ×blakeana"
"BALU","","Bauhinia lunarioides"
"BAMO2","","Bauhinia monandra"
"BAMU3","","Bauhinia multinervia"
"BAPA3","","Bauhinia pauletia"
"BAPU","","Bauhinia purpurea"
"BATO","","Bauhinia tomentosa"
"BAVA","","Bauhinia variegata"
"BEPE","","Beilschmiedia pendula"
"BEDI2","","Bernardia dichotoma"
"BECA4","","Betula ×caerulea"
"BECAC","","Betula ×caerulea var. caerulea"
"BECAG","","Betula ×caerulea var. grandis"
"BEDU","","Betula ×dugleana"
"BEEA","","Betula ×eastwoodiae"
"BEHO","","Betula ×hornei"
"BEJA","","Betula ×jackii"
"BENE5","","Betula ×neoborealis"
"BEPU3","","Betula ×purpusii"
"BERA","","Betula ×raymundii"
"BESA","","Betula ×sandbergii"
"BEUT","","Betula ×utahensis"
"BEWI2","","Betula ×winteri"
"BEAL2","","Betula alleghaniensis"
"BEALA","","Betula alleghaniensis var. alleghaniensis"
"BEALM","","Betula alleghaniensis var. macrolepis"
"BEBO","","Betula borealis"
"BELE","","Betula lenta"
"BENE4","","Betula neoalaskana"
"BENI","","Betula nigra"
"BEOC2","","Betula occidentalis"
"BEPA","","Betula papyrifera"
"BEPAC2","","Betula papyrifera var. cordifolia"
"BEPAK","","Betula papyrifera var. kenaica"
"BEPAP","","Betula papyrifera var. papyrifera"
"BEPE3","","Betula pendula"
"BEPL2","","Betula platyphylla"
"BEPLP","","Betula platyphylla var. platyphylla"
"BEPO","","Betula populifolia"
"BEPU5","","Betula pubescens"
"BEPUP5","","Betula pubescens ssp. pubescens"
"BEPUT","","Betula pubescens ssp. tortuosa"
"BESZ","","Betula szechuanica"
"BEUB","","Betula uber"
"BIJA","","Bischofia javanica"
"BIOR","","Bixa orellana"
"BLSA2","","Blighia sapida"
"BOBR3","","Bobea brevipes"
"BOEL3","","Bobea elatior"
"BOSA2","","Bobea sandwicensis"
"BOTI","","Bobea timonioides"
"BOFR2","","Bocconia frutescens"
"BODA","","Bontia daphnoides"
"BOCA4","","Bourreria cassinifolia"
"BORA2","","Bourreria radula"
"BOSU2","","Bourreria succulenta"
"BOVI2","","Bourreria virgata"
"BRPO6","","Brachychiton populneum"
"BRBR6","","Brasiliopuntia brasiliensis"
"BRIN19","","Bridelia insulana"
"BRAL3","","Brosimum alicastrum"
"BRAR6","","Broussaisia arguta"
"BRPA4","","Broussonetia papyrifera"
"BRJA3","","Brucea javanica"
"BRCA31","","Brugmansia ×candida"
"BRSU3","","Brugmansia suaveolens"
"BRGY3","","Bruguiera gymnorhiza"
"BRPA15","","Bruguiera parviflora"
"BRSE11","","Bruguiera sexangula"
"BRCO6","","Brunellia comocladiifolia"
"BRCOD","","Brunellia comocladiifolia ssp. domingensis"
"BRAM4","","Brunfelsia americana"
"BRDE4","","Brunfelsia densifolia"
"BRLA5","","Brunfelsia lactea"
"BRNI6","","Brunfelsia nitida"
"BRPO3","","Brunfelsia portoricensis"
"BREB","","Brya ebenus"
"BUEN","","Buchanania engleriana"
"BUPA16","","Buchanania palawensis"
"BUTE4","","Buchenavia tetraphylla"
"BUBU","","Bucida buceras"
"BUMO","","Bucida molinetii"
"BUAL","","Buddleja alternifolia"
"BUAS","","Buddleja asiatica"
"BUSA","","Buddleja saligna"
"BUGL2","","Bunchosia glandulifera"
"BUGL","","Bunchosia glandulosa"
"BUPO5","","Bunchosia polystachia"
"BUFA","","Bursera fagaroides"
"BUFAE","","Bursera fagaroides var. elongata"
"BUMI","","Bursera microphylla"
"BUSI","","Bursera simaruba"
"BUCA15","","Butia capitata"
"BUSE2","","Buxus sempervirens"
"BUVA","","Buxus vahlii"
"BYCR","","Byrsonima crassifolia"
"BYLU","","Byrsonima lucida"
"BYSP","","Byrsonima spicata"
"BYWA","","Byrsonima wadsworthii"
"CACO28","","Caesalpinia coriaria"
"CAGI","","Caesalpinia gilliesii"
"CAKA5","","Caesalpinia kavaiensis"
"CAME","","Caesalpinia mexicana"
"CAMO14","","Caesalpinia monensis"
"CAPU13","","Caesalpinia pulcherrima"
"CASP11","","Caesalpinia spinosa"
"CAMA45","","Callaeum macropterum"
"CAHA10","","Calliandra haematomma"
"CAPU33","","Calliandra purpurea"
"CASU33","","Calliandra surinamensis"
"CAAM14","","Callicarpa ampla"
"CACI15","","Callistemon citrinus"
"CAGL23","","Callitris glaucophylla"
"CANO9","","Callitropsis nootkatensis"
"CADE27","","Calocedrus decurrens"
"CAAN22","","Calophyllum antillanum"
"CAIN4","","Calophyllum inophyllum"
"CAINI7","","Calophyllum inophyllum var. inophyllum"
"CAINW","","Calophyllum inophyllum var. wakamatsui"
"CAPE15","","Calophyllum pelewense"
"CASO12","","Calophyllum soulattri"
"CAPR","","Calotropis procera"
"CACA73","","Calycophyllum candidissimum"
"CAES","","Calyptranthes estremenae"
"CAKI","","Calyptranthes kiaerskovii"
"CAKR","","Calyptranthes krugii"
"CALU12","","Calyptranthes luquillensis"
"CAPA8","","Calyptranthes pallens"
"CAPE17","","Calyptranthes peduncularis"
"CAPO9","","Calyptranthes portoricensis"
"CASI8","","Calyptranthes sintenisii"
"CATH3","","Calyptranthes thomasiana"
"CAWO5","","Calyptranthes woodburyi"
"CAZU","","Calyptranthes zuzygium"
"CARI3","","Calyptronoma rivalis"
"CAJA9","","Camellia japonica"
"CASA26","","Camellia sasanqua"
"CASI16","","Camellia sinensis"
"CABR18","","Campnosperma brevipetiolatum"
"CAOD","","Cananga odorata"
"CAHI14","","Canarium hirsutum"
"CAHIS2","","Canarium hirsutum"
"CALU10","","Canarium luzonicum"
"CAVU9","","Canarium vulgare"
"CAWI","","Canella winterana"
"CAHO3","","Canotia holacantha"
"CAAM13","","Capparis amplissima"
"CABA2","","Capparis baducca"
"CACY","","Capparis cynophallophora"
"CAFL2","","Capparis flexuosa"
"CAHA9","","Capparis hastata"
"CAIN5","","Capparis indica"
"CAAR18","","Caragana arborescens"
"CAPA23","","Carica papaya"
"CAMA37","","Carissa macrocarpa"
"CARE22","","Carmona retusa"
"CAGI10","","Carnegiea gigantea"
"CABE8","","Carpinus betulus"
"CACA18","","Carpinus caroliniana"
"CACAC2","","Carpinus caroliniana ssp. caroliniana"
"CACAV","","Carpinus caroliniana ssp. virginiana"
"CACO60","","Carpinus coreana"
"CABR16","","Carya ×brownii"
"CACO24","","Carya ×collina"
"CADE10","","Carya ×demareei"
"CADU3","","Carya ×dunbarii"
"CALA34","","Carya ×laneyi"
"CALE13","","Carya ×lecontei"
"CALU8","","Carya ×ludoviciana"
"CANU8","","Carya ×nussbaumeri"
"CASC16","","Carya ×schneckii"
"CAAQ2","","Carya aquatica"
"CACA38","","Carya carolinae-septentrionalis"
"CACO15","","Carya cordiformis"
"CAFL6","","Carya floridana"
"CAGL8","","Carya glabra"
"CAIL2","","Carya illinoinensis"
"CALA21","","Carya laciniosa"
"CAMY","","Carya myristiciformis"
"CAOV3","","Carya ovalis"
"CAOV2","","Carya ovata"
"CAPA24","","Carya pallida"
"CATE9","","Carya texana"
"CATO6","","Carya tomentosa"
"CAMI36","","Caryota mitis"
"CAUR3","","Caryota urens"
"CACL3","","Casasia clusiifolia"
"CAAC3","","Casearia aculeata"
"CAAR8","","Casearia arborea"
"CADE11","","Casearia decandra"
"CAGU2","","Casearia guianensis"
"CAHI15","","Casearia hirtella"
"CANI17","","Casearia nitida"
"CASY2","","Casearia sylvestris"
"CAAF2","","Cassia afrofistula"
"CAFI3","","Cassia fistula"
"CAGR11","","Cassia grandis"
"CAJA3","","Cassia javanica"
"CAJAI","","Cassia javanica var. indochinensis"
"CAXY","","Cassine xylocarpa"
"CAGU3","","Cassipourea guianensis"
"CANE7","","Castanea ×neglecta"
"CACR27","","Castanea crenata"
"CADE12","","Castanea dentata"
"CAMO83","","Castanea mollissima"
"CAPU9","","Castanea pumila"
"CAPUO","","Castanea pumila var. ozarkensis"
"CAPUP3","","Castanea pumila var. pumila"
"CASA27","","Castanea sativa"
"CAEM4","","Castela emoryi"
"CAER3","","Castela erecta"
"CAERE2","","Castela erecta ssp. erecta"
"CAERT","","Castela erecta ssp. texana"
"CAEL5","","Castilla elastica"
"CACU8","","Casuarina cunninghamiana"
"CAEQ","","Casuarina equisetifolia"
"CAGL11","","Casuarina glauca"
"CALE28","","Casuarina lepidophloia"
"CABI8","","Catalpa bignonioides"
"CALO8","","Catalpa longissima"
"CAOV5","","Catalpa ovata"
"CASP8","","Catalpa speciosa"
"CEAR","","Ceanothus arboreus"
"CEIM","","Ceanothus impressus"
"CEIMI","","Ceanothus impressus var. impressus"
"CEIMN","","Ceanothus impressus var. nipomensis"
"CESP","","Ceanothus spinosus"
"CETH","","Ceanothus thyrsiflorus"
"CEVE","","Ceanothus velutinus"
"CEVEH2","","Ceanothus velutinus var. hookeri"
"CEVEV4","","Ceanothus velutinus var. velutinus"
"CEAD2","","Cecropia adenopus"
"CEOB","","Cecropia obtusifolia"
"CESC9","","Cecropia schreberiana"
"CEOD","","Cedrela odorata"
"CEDE2","","Cedrus deodara"
"CEAC4","","Ceiba acuminata"
"CEAE2","","Ceiba aesculifolia"
"CEPE2","","Ceiba pentandra"
"CEAU8","","Celtis australis"
"CEEH","","Celtis ehrenbergiana"
"CEIG","","Celtis iguanaea"
"CELA","","Celtis laevigata"
"CELAB","","Celtis laevigata var. brevipes"
"CELAL","","Celtis laevigata var. laevigata"
"CELAR","","Celtis laevigata var. reticulata"
"CELAS3","","Celtis laevigata var. smallii"
"CELAT8","","Celtis laevigata var. texana"
"CELI","","Celtis lindheimeri"
"CEOC","","Celtis occidentalis"
"CEPA23","","Celtis palauensis"
"CEPA6","","Celtis paniculata"
"CEPU10","","Celtis pumila"
"CESI8","","Celtis sinensis"
"CETE","","Celtis tenuifolia"
"CETR3","","Celtis trinervia"
"CEOC2","","Cephalanthus occidentalis"
"CESA3","","Cephalanthus salicifolius"
"CESI3","","Ceratonia siliqua"
"CEFL2","","Cerbera floribunda"
"CEMA20","","Cerbera manghas"
"CEJA2","","Cercidiphyllum japonicum"
"CECA4","","Cercis canadensis"
"CECAC","","Cercis canadensis var. canadensis"
"CECAM","","Cercis canadensis var. mexicana"
"CECAT","","Cercis canadensis var. texensis"
"CEOR9","","Cercis orbiculata"
"CELE3","","Cercocarpus ledifolius"
"CELEI","","Cercocarpus ledifolius var. intercedens"
"CELEL","","Cercocarpus ledifolius var. ledifolius"
"CEMO2","","Cercocarpus montanus"
"CEMOA","","Cercocarpus montanus var. argenteus"
"CEMOB","","Cercocarpus montanus var. blancheae"
"CEMOG","","Cercocarpus montanus var. glaber"
"CEMOM2","","Cercocarpus montanus var. macrourus"
"CEMOM","","Cercocarpus montanus var. minutiflorus"
"CEMOM4","","Cercocarpus montanus var. montanus"
"CEMOP","","Cercocarpus montanus var. paucidentatus"
"CETR4","","Cercocarpus traskiae"
"CEHE3","","Cereus hexagonus"
"CEHI3","","Cereus hildmannianus"
"CEAU2","","Cestrum aurantiacum"
"CEDI6","","Cestrum diurnum"
"CELA2","","Cestrum laurifolium"
"CENO","","Cestrum nocturnum"
"CEPA9","","Cestrum parqui"
"CHLA","","Chamaecyparis lawsoniana"
"CHPI12","","Chamaecyparis pisifera"
"CHTH2","","Chamaecyparis thyoides"
"CHSE17","","Chamaedorea seifrizii"
"CHAR8","","Chamaesyce articulata"
"CHAT2","","Chamaesyce atrococca"
"CHCE","","Chamaesyce celastroides"
"CHCEA","","Chamaesyce celastroides var. amplectens"
"CHCEC","","Chamaesyce celastroides var. celastroides"
"CHCEH","","Chamaesyce celastroides var. hanapepensis"
"CHCEK","","Chamaesyce celastroides var. kaenana"
"CHCEL","","Chamaesyce celastroides var. laehiensis"
"CHCEL2","","Chamaesyce celastroides var. lorifolia"
"CHCES","","Chamaesyce celastroides var. stokesii"
"CHCET","","Chamaesyce celastroides var. tomentella"
"CHHE3","","Chamaesyce herbstii"
"CHKU","","Chamaesyce kuwaleana"
"CHOL3","","Chamaesyce olowaluana"
"CHRO2","","Chamaesyce rockii"
"CHDE3","","Charpentiera densiflora"
"CHEL","","Charpentiera elliptica"
"CHOB2","","Charpentiera obovata"
"CHOV2","","Charpentiera ovata"
"CHOVN","","Charpentiera ovata var. niuensis"
"CHOVO","","Charpentiera ovata var. ovata"
"CHTO3","","Charpentiera tomentosa"
"CHTOM","","Charpentiera tomentosa var. maakuaensis"
"CHTOT","","Charpentiera tomentosa var. tomentosa"
"CHDO3","","Cheirodendron dominii"
"CHFA","","Cheirodendron fauriei"
"CHFO4","","Cheirodendron forbesii"
"CHPL","","Cheirodendron platyphyllum"
"CHPLK","","Cheirodendron platyphyllum ssp. kauaiense"
"CHPLP","","Cheirodendron platyphyllum ssp. platyphyllum"
"CHTR2","","Cheirodendron trigynum"
"CHTRH3","","Cheirodendron trigynum ssp. helleri"
"CHTRT","","Cheirodendron trigynum ssp. trigynum"
"CHOA","","Chenopodium oahuense"
"CHLI2","","Chilopsis linearis"
"CHLIA","","Chilopsis linearis ssp. arcuata"
"CHLIL2","","Chilopsis linearis ssp. linearis"
"CHAL8","","Chiococca alba"
"CHAX2","","Chionanthus axilliflorus"
"CHCO12","","Chionanthus compactus"
"CHDO4","","Chionanthus domingensis"
"CHHO4","","Chionanthus holdridgei"
"CHLI6","","Chionanthus ligustrinus"
"CHVI3","","Chionanthus virginicus"
"CHSE5","","Chione seminervis"
"CHVE4","","Chione venosa"
"CHIN22","","Chorisia insignis"
"CHSP13","","Chorisia speciosa"
"CHIC","","Chrysobalanus icaco"
"CHCH7","","Chrysolepis chrysophylla"
"CHCHC4","","Chrysolepis chrysophylla var. chrysophylla"
"CHAR6","","Chrysophyllum argenteum"
"CHCA10","","Chrysophyllum cainito"
"CHOL","","Chrysophyllum oliviforme"
"CHPA31","","Chrysophyllum pauciflorum"
"CIHE7","","Cibotium ×heleniae"
"CICH","","Cibotium chamissoi"
"CIGL","","Cibotium glaucum"
"CIME8","","Cibotium menziesii"
"CIPU","","Cinchona pubescens"
"CIBU2","","Cinnamomum burmannii"
"CICA","","Cinnamomum camphora"
"CICA2","","Cinnamomum carolinense"
"CIEL2","","Cinnamomum elongatum"
"CIMO3","","Cinnamomum montanum"
"CIPE6","","Cinnamomum pedatinervium"
"CIVE2","","Cinnamomum verum"
"CIPE3","","Citharexylum ×perkinsii"
"CIBE","","Citharexylum berlandieri"
"CICA8","","Citharexylum caudatum"
"CISP3","","Citharexylum spinosum"
"CIMI4","","×Citrofortunella microcarpa"
"CIWE","","×Citroncirus webberi"
"CIAU7","","Citrus ×aurantiifolia"
"CIAU8","","Citrus ×aurantium"
"CILI5","","Citrus ×limon"
"CILI3","","Citrus ×limonia"
"CIPA3","","Citrus ×paradisi"
"CISI3","","Citrus ×sinensis"
"CIHY2","","Citrus hystrix"
"CILI2","","Citrus limetta"
"CIMA10","","Citrus macroptera"
"CIMA5","","Citrus maxima"
"CIME3","","Citrus medica"
"CIRE3","","Citrus reticulata"
"CLKE","","Cladrastis kentukea"
"CLFA6","","Claoxylon fallax"
"CLLO5","","Claoxylon longiracemosum"
"CLSA","","Claoxylon sandwicense"
"CLSE5","","Cleidion sessile"
"CLCA18","","Cleistanthus carolinianus"
"CLIN8","","Cleistanthus insularis"
"CLLE3","","Clermontia ×leptoclada"
"CLAR4","","Clermontia arborescens"
"CLARA","","Clermontia arborescens ssp. arborescens"
"CLARW","","Clermontia arborescens ssp. waihiae"
"CLARW2","","Clermontia arborescens ssp. waikoluensis"
"CLCL","","Clermontia clermontioides"
"CLCLC","","Clermontia clermontioides ssp. clermontioides"
"CLCLR","","Clermontia clermontioides ssp. rockiana"
"CLDR2","","Clermontia drepanomorpha"
"CLFA","","Clermontia fauriei"
"CLGR3","","Clermontia grandiflora"
"CLGRG","","Clermontia grandiflora ssp. grandiflora"
"CLGRM2","","Clermontia grandiflora ssp. maxima"
"CLGRM","","Clermontia grandiflora ssp. munroi"
"CLHA4","","Clermontia hawaiiensis"
"CLKA","","Clermontia kakeana"
"CLKO","","Clermontia kohalae"
"CLLI3","","Clermontia lindseyana"
"CLMI3","","Clermontia micrantha"
"CLMO5","","Clermontia montis-loa"
"CLOB2","","Clermontia oblongifolia"
