"Accepted Symbol","Synonym Symbol","Scientific Name"
"AGUT","","Agave utahensis"
"AGUTE","","Agave utahensis var. eborispina"
"AGUTK","","Agave utahensis var. kaibabensis"
"AGUTN","","Agave utahensis var. nevadensis"
"AGUTU","","Agave utahensis var. utahensis"
"AGWE","","Agave weberi"
"AGCL3","","Agdestis clematidea"
"AGAD2","","Ageratina adenophora"
"AGAL5","","Ageratina altissima"
"AGALA","","Ageratina altissima var. altissima"
"AGALA2","","Ageratina altissima var. angustata"
"AGALR","","Ageratina altissima var. roanensis"
"AGAR4","","Ageratina aromatica"
"AGARA","","Ageratina aromatica var. aromatica"
"AGARI2","","Ageratina aromatica var. incisa"
"AGHE5","","Ageratina herbacea"
"AGJU2","","Ageratina jucunda"
"AGLE3","","Ageratina lemmonii"
"AGLU","","Ageratina luciae-brauniae"
"AGOC2","","Ageratina occidentalis"
"AGPA13","","Ageratina paupercula"
"AGRO5","","Ageratina rothrockii"
"AGCO","","Ageratum conyzoides"
"AGCO2","","Ageratum corymbosum"
"AGHO3","","Ageratum houstonianum"
"AGLI3","","Ageratum littorale"
"AGCO4","","Aglaonema commutatum"
"AGCOM","","Aglaonema commutatum var. maculatum"
"AGPI2","","Aglaonema pictum"
"AGMI7","","Aglossorrhyncha micronesiaca"
"AGBO4","","Agnorhiza bolanderi"
"AGEL8","","Agnorhiza elata"
"AGIN8","","Agnorhiza invenusta"
"AGOV","","Agnorhiza ovata"
"AGRE8","","Agnorhiza reticulata"
"AGDA3","","Agoseris ×dasycarpa"
"AGMO2","","Agoseris ×montana"
"AGAP2","","Agoseris apargioides"
"AGAPA","","Agoseris apargioides var. apargioides"
"AGAPE","","Agoseris apargioides var. eastwoodiae"
"AGAPM","","Agoseris apargioides var. maritima"
"AGAU2","","Agoseris aurantiaca"
"AGAUA","","Agoseris aurantiaca var. aurantiaca"
"AGAUP","","Agoseris aurantiaca var. purpurea"
"AGEL","","Agoseris elata"
"AGGL","","Agoseris glauca"
"AGGLA","","Agoseris glauca var. agrestis"
"AGGLC","","Agoseris glauca var. cronquistii"
"AGGLD","","Agoseris glauca var. dasycephala"
"AGGLG","","Agoseris glauca var. glauca"
"AGGLL","","Agoseris glauca var. laciniata"
"AGGLM","","Agoseris glauca var. monticola"
"AGGR","","Agoseris grandiflora"
"AGHE2","","Agoseris heterophylla"
"AGHEC","","Agoseris heterophylla var. crenulata"
"AGHEH","","Agoseris heterophylla var. heterophylla"
"AGHET","","Agoseris heterophylla var. turgida"
"AGLA9","","Agoseris lackschewitzii"
"AGRE","","Agoseris retrorsa"
"AGEU","","Agrimonia eupatoria"
"AGGR2","","Agrimonia gryposepala"
"AGIN3","","Agrimonia incisa"
"AGMI2","","Agrimonia microcarpa"
"AGOD2","","Agrimonia odorata"
"AGPA6","","Agrimonia parviflora"
"AGPU","","Agrimonia pubescens"
"AGRO3","","Agrimonia rostellata"
"AGST","","Agrimonia striata"
"AGBR4","","Agrostemma brachyloba"
"AGGI","","Agrostemma githago"
"AGEL9","","Agrostophyllum elongatum"
"AJCH","","Ajuga chamaepitys"
"AJGE","","Ajuga genevensis"
"AJPY","","Ajuga pyramidalis"
"AJRE","","Ajuga reptans"
"ALPA24","","Alcea pallida"
"ALRO3","","Alcea rosea"
"ALAL","","Alchemilla alpina"
"ALFI5","","Alchemilla filicaulis"
"ALFIF2","","Alchemilla filicaulis ssp. filicaulis"
"ALFIV","","Alchemilla filicaulis ssp. vestita"
"ALGL4","","Alchemilla glabra"
"ALGL6","","Alchemilla glomerulans"
"ALMO4","","Alchemilla monticola"
"ALSU2","","Alchemilla subcrenata"
"ALVE8","","Alchemilla venosa"
"ALWI","","Alchemilla wichurae"
"ALVE3","","Aldrovanda vesiculosa"
"ALFL2","","Alectra fluminensis"
"ALAC2","","Aletes acaulis"
"ALAN3","","Aletes anisatus"
"ALFI3","","Aletes filifolius"
"ALHU","","Aletes humilis"
"ALMA3","","Aletes macdougalii"
"ALMAB","","Aletes macdougalii ssp. breviradiatus"
"ALMAM","","Aletes macdougalii ssp. macdougalii"
"ALSE5","","Aletes sessiliflorus"
"ALTO2","","Aletris ×tottenii"
"ALAU","","Aletris aurea"
"ALBR6","","Aletris bracteata"
"ALFA2","","Aletris farinosa"
"ALLU","","Aletris lutea"
"ALOB3","","Aletris obovata"
"ALCA23","","Aliciella caespitosa"
"ALFO3","","Aliciella formosa"
"ALHA6","","Aliciella haydenii"
"ALHE3","","Aliciella heterostyla"
"ALHU6","","Aliciella hutchinsifolia"
"ALLA13","","Aliciella latifolia"
"ALLAI","","Aliciella latifolia ssp. imperialis"
"ALLAL3","","Aliciella latifolia ssp. latifolia"
"ALLE7","","Aliciella leptomeria"
"ALLO6","","Aliciella lottiae"
"ALMC","","Aliciella mcvickerae"
"ALMI10","","Aliciella micromeria"
"ALNY2","","Aliciella nyensis"
"ALPE11","","Aliciella penstemonoides"
"ALPI2","","Aliciella pinnatifida"
"ALRI3","","Aliciella ripleyi"
"ALSE11","","Aliciella sedifolia"
"ALST12","","Aliciella stenothyrsa"
"ALSU10","","Aliciella subacaulis"
"ALSU9","","Aliciella subnuda"
"ALTE12","","Aliciella tenuis"
"ALTR14","","Aliciella triodon"
"ALGR","","Alisma gramineum"
"ALLA2","","Alisma lanceolatum"
"ALPL","","Alisma plantago-aquatica"
"ALSU","","Alisma subcordatum"
"ALTR7","","Alisma triviale"
"ALPE4","","Alliaria petiolata"
"ALCH","","Allionia choisyi"
"ALIN","","Allionia incarnata"
"ALINI","","Allionia incarnata var. incarnata"
"ALINN","","Allionia incarnata var. nudata"
"ALINV2","","Allionia incarnata var. villosa"
"ALPR6","","Allium ×proliferum"
"ALAA","","Allium aaseae"
"ALAB2","","Allium abramsii"
"ALAC4","","Allium acuminatum"
"ALAL4","","Allium allegheniense"
"ALAM","","Allium ampeloprasum"
"ALAM2","","Allium amplectens"
"ALAN","","Allium anceps"
"ALAT","","Allium atrorubens"
"ALATA","","Allium atrorubens var. atrorubens"
"ALATC","","Allium atrorubens var. cristatum"
"ALAT3","","Allium atroviolaceum"
"ALBI","","Allium bigelovii"
"ALBI2","","Allium bisceptrum"
"ALBIB","","Allium bisceptrum var. bisceptrum"
"ALBIP","","Allium bisceptrum var. palmeri"
"ALBO","","Allium bolanderi"
"ALBOB","","Allium bolanderi var. bolanderi"
"ALBOM","","Allium bolanderi var. mirabile"
"ALBOS","","Allium bolanderi var. stenanthum"
"ALBR","","Allium brandegeei"
