,No flowering during the years 1997 and 1999,,,,,,,,,,,,,,,,No male flowers in 1998,,,,
25,1998,24,1,130,#VALUE!,40.6,132,#VALUE!,49.3,133,#VALUE!,51.4,138,#VALUE!,89.3,132,12/5/98,49.3,,,
26,1998,25,1,131,#VALUE!,48.3,132,#VALUE!,49.3,133,#VALUE!,51.4,137,#VALUE!,77.3,131,11/5/98,48.3,,,
27,1998,26,1,129,#VALUE!,35.8,131,#VALUE!,48.3,134,#VALUE!,52.7,137,#VALUE!,77.3,131,11/5/98,48.3,,,
28,1998,27a,1,130,#VALUE!,40.6,131,#VALUE!,48.3,133,#VALUE!,51.4,139,#VALUE!,99.1,132,12/5/98,49.3,,,
29,1998,28,1,124,#VALUE!,24.5,128,#VALUE!,31.0,132,#VALUE!,49.3,138,#VALUE!,89.3,131,11/5/98,48.3,,,
30,1998,29,1,129,#VALUE!,35.8,131,#VALUE!,48.3,132,#VALUE!,49.3,139,#VALUE!,99.1,131,11/5/98,48.3,,,
31,1998,30,1,131,#VALUE!,48.3,133,#VALUE!,51.4,136,#VALUE!,65.8,138,#VALUE!,89.3,,,,,,
32,2000,1a,1,117,#VALUE!,41.1,118,#VALUE!,41.6,126,#VALUE!,48.5,132,#VALUE!,71.1,117,26/4/00,41.1,125,4/5/00,44.6
33,2000,2,1,118,#VALUE!,41.6,123,#VALUE!,42.2,126,#VALUE!,48.5,136,#VALUE!,74.1,119,28/4/00,41.6,127,6/5/00,49.9
34,2000,3,1,117,#VALUE!,41.1,118,#VALUE!,41.6,125,#VALUE!,44.6,136,#VALUE!,74.1,123,2/5/00,42.2,124,3/5/00,42.8
35,2000,4,1,119,#VALUE!,41.6,123,#VALUE!,42.2,126,#VALUE!,48.5,138,#VALUE!,78.4,123,2/5/00,42.2,127,6/5/00,49.9
36,2000,5,1,,,,,,,,,,,,,125,4/5/00,44.6,127,6/5/00,49.9
37,2000,6,1,118,#VALUE!,41.6,123,#VALUE!,42.2,126,#VALUE!,48.5,136,#VALUE!,74.1,122,1/5/00,42.2,127,6/5/00,49.9
38,2000,7a,1,,,,,,,,,,,,,123,2/5/00,42.2,125,4/5/00,44.6
39,2000,8,1,117,#VALUE!,41.1,119,#VALUE!,41.6,126,#VALUE!,48.5,132,#VALUE!,71.1,117,26/4/00,41.1,125,4/5/00,44.6
40,2000,9,1,117,#VALUE!,41.1,118,#VALUE!,41.6,126,#VALUE!,48.5,132,#VALUE!,71.1,124,3/5/00,42.8,125,4/5/00,44.6
41,2000,10,1,118,#VALUE!,41.6,119,#VALUE!,41.6,125,#VALUE!,44.6,132,#VALUE!,71.1,124,3/5/00,42.8,125,4/5/00,44.6
42,2000,11,1,117,#VALUE!,41.1,119,#VALUE!,41.6,126,#VALUE!,48.5,136,#VALUE!,74.1,117,26/4/00,41.1,124,3/5/00,42.8
43,2000,12,1,118,#VALUE!,41.6,123,#VALUE!,42.2,126,#VALUE!,48.5,136,#VALUE!,74.1,123,2/5/00,42.2,124,3/5/00,42.8
44,2000,13,1,117,#VALUE!,41.1,124,#VALUE!,42.8,126,#VALUE!,48.5,142,#VALUE!,101.3,126,5/5/00,48.5,131,10/5/00,69.0
45,2000,14,1,,,,,,,,,,,,,,,,,,
46,2000,15,1,,,,,,,,,,,,,,,,,,
47,2000,16,1,117,#VALUE!,41.1,118,#VALUE!,41.6,125,#VALUE!,44.6,136,#VALUE!,74.1,118,27/4/00,41.6,130,9/5/00,61.1
48,2000,17,1,117,#VALUE!,41.1,118,#VALUE!,41.6,125,#VALUE!,44.6,136,#VALUE!,74.1,123,2/5/00,42.2,127,6/5/00,49.9
49,2000,18,1,117,#VALUE!,41.1,119,#VALUE!,41.6,125,#VALUE!,44.6,136,#VALUE!,74.1,123,2/5/00,42.2,124,3/5/00,42.8
50,2000,19,1,,,,,,,,,,,,,,,,,,
51,2000,20,1,117,#VALUE!,41.1,117,#VALUE!,41.1,125,#VALUE!,44.6,136,#VALUE!,74.1,123,2/5/00,42.2,125,4/5/00,44.6
52,2000,21,1,,,,,,,,,,,,,125,4/5/00,44.6,130,9/5/00,61.1
53,2000,22,1,117,#VALUE!,41.1,119,#VALUE!,41.6,126,#VALUE!,48.5,136,#VALUE!,74.1,126,5/5/00,48.5,132,11/5/00,71.1
54,2000,23,1,123,#VALUE!,42.2,125,#VALUE!,44.6,126,#VALUE!,48.5,136,#VALUE!,74.1,124,3/5/00,42.8,127,6/5/00,49.9
55,2000,24,1,118,#VALUE!,41.6,119,#VALUE!,41.6,126,#VALUE!,48.5,136,#VALUE!,74.1,123,2/5/00,42.2,125,4/5/00,44.6
56,2000,25,1,117,#VALUE!,41.1,119,#VALUE!,41.6,125,#VALUE!,44.6,136,#VALUE!,74.1,123,2/5/00,42.2,125,4/5/00,44.6
57,2000,26,1,117,#VALUE!,41.1,119,#VALUE!,41.6,126,#VALUE!,48.5,132,#VALUE!,71.1,117,26/4/00,41.1,124,3/5/00,42.8
58,2000,27,2,130,9/5/00,61.1,132,11/5/00,71.1,141,20/5/00,95.0,143,23/5/00,120.5,131,10/5/00,69.0,133,12/5/00,71.1
59,2000,27a,1,117,#VALUE!,41.1,117,#VALUE!,41.1,125,#VALUE!,44.6,136,#VALUE!,74.1,123,2/5/00,42.2,127,6/5/00,49.9
60,2000,28,1,117,#VALUE!,41.1,118,#VALUE!,41.6,125,#VALUE!,44.6,132,#VALUE!,71.1,122,1/5/00,42.2,125,4/5/00,44.6
61,2000,29,1,118,#VALUE!,41.6,119,#VALUE!,41.6,126,#VALUE!,48.5,136,#VALUE!,74.1,123,2/5/00,42.2,130,9/5/00,61.1
62,2000,30,1,119,#VALUE!,41.6,119,#VALUE!,41.6,126,#VALUE!,48.5,132,#VALUE!,71.1,123,2/5/00,42.2,125,4/5/00,44.6
63,2002,1a,1,,,,,,,,,,,,,121,1/5/02,40.4,122,2/5/02,48.0
64,2002,2,1,121,#VALUE!,40.4,121,#VALUE!,40.4,123,#VALUE!,57.9,125,#VALUE!,69.1,122,2/5/02,48.0,123,3/5/02,57.9
65,2002,3,1,,,,,,,,,,,,,122,2/5/02,48.0,123,3/5/02,57.9
66,2002,4,1,121,#VALUE!,40.4,121,#VALUE!,40.4,123,#VALUE!,57.9,125,#VALUE!,69.1,122,2/5/02,48.0,123,3/5/02,57.9
67,2002,5,1,121,#VALUE!,40.4,121,#VALUE!,40.4,123,#VALUE!,57.9,125,#VALUE!,69.1,122,2/5/02,48.0,123,3/5/02,57.9
68,2002,6,1,121,#VALUE!,40.4,122,#VALUE!,48.0,123,#VALUE!,57.9,125,#VALUE!,69.1,121,1/5/02,40.4,124,4/5/02,66.6
69,2002,7a,1,,,,,,,,,,,,,122,2/5/02,48.0,123,3/5/02,57.9
70,2002,8,1,119,#VALUE!,29.7,119,#VALUE!,29.7,122,#VALUE!,48.0,125,#VALUE!,69.1,121,1/5/02,40.4,123,3/5/02,57.9
71,2002,9,1,121,#VALUE!,40.4,121,#VALUE!,40.4,123,#VALUE!,57.9,125,#VALUE!,69.1,121,1/5/02,40.4,123,3/5/02,57.9
72,2002,10,1,120,#VALUE!,33.4,121,#VALUE!,40.4,122,#VALUE!,48.0,124,#VALUE!,66.6,,,,,,
73,2002,11,1,120,#VALUE!,33.4,121,#VALUE!,40.4,122,#VALUE!,48.0,124,#VALUE!,66.6,121,1/5/02,40.4,123,3/5/02,57.9
74,2002,12,1,119,#VALUE!,29.7,119,#VALUE!,29.7,122,#VALUE!,48.0,125,#VALUE!,69.1,121,1/5/02,40.4,123,3/5/02,57.9
75,2002,13,1,121,#VALUE!,40.4,122,#VALUE!,48.0,123,#VALUE!,57.9,126,#VALUE!,72.8,122,2/5/02,48.0,123,3/5/02,57.9
76,2002,14,1,,,,,,,,,,,,,,,,,,
77,2002,15,1,,,,,,,,,,,,,122,2/5/02,48.0,123,3/5/02,57.9
78,2002,16,1,120,#VALUE!,33.4,121,#VALUE!,40.4,122,#VALUE!,48.0,124,#VALUE!,66.6,121,1/5/02,40.4,123,3/5/02,57.9
79,2002,17,1,119,#VALUE!,29.7,119,#VALUE!,29.7,122,#VALUE!,48.0,125,#VALUE!,69.1,122,2/5/02,48.0,123,3/5/02,57.9
80,2002,18,1,121,#VALUE!,40.4,121,#VALUE!,40.4,124,#VALUE!,66.6,126,#VALUE!,72.8,122,2/5/02,48.0,123,3/5/02,57.9
81,2002,19,1,,,,,,,,,,,,,,,,,,
82,2002,20,1,118,#VALUE!,27.6,118,#VALUE!,27.6,122,#VALUE!,48.0,124,#VALUE!,66.6,122,2/5/02,48.0,123,3/5/02,57.9
83,2002,21,1,,,,,,,,,,,,,122,2/5/02,48.0,123,3/5/02,57.9
84,2002,22,1,121,#VALUE!,40.4,121,#VALUE!,40.4,122,#VALUE!,48.0,125,#VALUE!,69.1,122,2/5/02,48.0,124,4/5/02,66.6
85,2002,23,1,122,#VALUE!,48.0,122,#VALUE!,48.0,123,#VALUE!,57.9,125,#VALUE!,69.1,122,2/5/02,48.0,124,4/5/02,66.6
86,2002,24,1,,,,,,,,,,,,,121,1/5/02,40.4,123,3/5/02,57.9
87,2002,25,1,122,#VALUE!,48.0,122,#VALUE!,48.0,123,#VALUE!,57.9,125,#VALUE!,69.1,122,2/5/02,48.0,124,4/5/02,66.6
88,2002,26,1,121,#VALUE!,40.4,121,#VALUE!,40.4,122,#VALUE!,48.0,124,#VALUE!,66.6,121,1/5/02,40.4,123,3/5/02,57.9
89,2002,27,2,124,4/5/02,66.6,124,4/5/02,66.6,125,5/5/02,69.1,128,8/5/02,84.0,124,4/5/02,66.6,125,5/5/02,69.1
117,2002,27a,1,121,#VALUE!,40.4,121,#VALUE!,40.4,122,#VALUE!,48.0,125,#VALUE!,69.1,122,2/5/02,48.0,124,4/5/02,66.6
118,2002,28,1,118,#VALUE!,27.6,118,#VALUE!,27.6,122,#VALUE!,48.0,125,#VALUE!,69.1,121,1/5/02,40.4,124,4/5/02,66.6
119,2002,29,1,121,#VALUE!,40.4,122,#VALUE!,48.0,123,#VALUE!,57.9,126,#VALUE!,72.8,122,2/5/02,48.0,123,3/5/02,57.9
120,2002,30,1,,,,,,,,,,,,,,,,,,
121,2003,1,2,135,15/5/03,68.5,137,17/5/03,85.1,138,18/5/03,90.5,142,22/5/03,117.3,135,15/5/03,68.5,142,22/5/03,117.3
122,2003,1a,1,132,#VALUE!,41.4,,,,133,#VALUE!,49.7,136,#VALUE!,76.7,132,12/5/03,41.4,134,14/5/03,60.9
123,2003,2,1,133,#VALUE!,49.7,133,#VALUE!,49.7,134,#VALUE!,60.9,136,#VALUE!,76.7,133,13/5/03,49.7,135,15/5/03,68.5
124,2003,3,1,132,#VALUE!,41.4,133,#VALUE!,49.7,134,#VALUE!,60.9,136,#VALUE!,76.7,133,13/5/03,49.7,135,15/5/03,68.5
125,2003,4,1,,,,,,,,,,,,,133,13/5/03,49.7,134,14/5/03,60.9
126,2003,5,1,133,#VALUE!,49.7,,,,133,#VALUE!,49.7,136,#VALUE!,76.7,133,13/5/03,49.7,135,15/5/03,68.5
127,2003,6,1,133,#VALUE!,49.7,133,#VALUE!,49.7,134,#VALUE!,60.9,136,#VALUE!,76.7,133,13/5/03,49.7,135,15/5/03,68.5
128,2003,7a,1,,,,,,,,,,,,,132,12/5/03,41.4,133,13/5/03,49.7
129,2003,8,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,135,#VALUE!,68.5,132,12/5/03,41.4,134,14/5/03,60.9
130,2003,9,1,131,#VALUE!,35.3,132,#VALUE!,41.4,133,#VALUE!,49.7,135,#VALUE!,68.5,132,12/5/03,41.4,134,14/5/03,60.9
131,2003,10,1,132,#VALUE!,41.4,,,,133,#VALUE!,49.7,135,#VALUE!,68.5,132,12/5/03,41.4,134,14/5/03,60.9
132,2003,11,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,136,#VALUE!,76.7,132,12/5/03,41.4,134,14/5/03,60.9
133,2003,12,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,135,#VALUE!,68.5,132,12/5/03,41.4,134,14/5/03,60.9
134,2003,13,1,133,#VALUE!,49.7,133,#VALUE!,49.7,134,#VALUE!,60.9,136,#VALUE!,76.7,133,13/5/03,49.7,135,15/5/03,68.5
135,2003,14,1,132,#VALUE!,41.4,,,,133,#VALUE!,49.7,136,#VALUE!,76.7,133,13/5/03,49.7,134,14/5/03,60.9
136,2003,15,1,,,,,,,,,,,,,133,13/5/03,49.7,134,14/5/03,60.9
137,2003,16,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,136,#VALUE!,76.7,132,12/5/03,41.4,134,14/5/03,60.9
138,2003,17,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,136,#VALUE!,76.7,132,12/5/03,41.4,133,13/5/03,49.7
139,2003,18,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,136,#VALUE!,76.7,133,13/5/03,49.7,134,14/5/03,60.9
140,2003,19,1,,,,,,,,,,,,,,,,,,
141,2003,20,1,,,,,,,,,,,,,132,12/5/03,41.4,133,13/5/03,49.7
142,2003,21,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,136,#VALUE!,76.7,132,12/5/03,41.4,134,14/5/03,60.9
143,2003,22,1,,,,,,,,,,,,,133,13/5/03,49.7,134,14/5/03,60.9
144,2003,23,1,133,#VALUE!,49.7,133,#VALUE!,49.7,134,#VALUE!,60.9,136,#VALUE!,76.7,132,12/5/03,41.4,134,14/5/03,60.9
145,2003,24,1,133,#VALUE!,49.7,133,#VALUE!,49.7,134,#VALUE!,60.9,136,#VALUE!,76.7,132,12/5/03,41.4,134,14/5/03,60.9
146,2003,25,1,132,#VALUE!,41.4,,,,133,#VALUE!,49.7,135,#VALUE!,68.5,132,12/5/03,41.4,133,13/5/03,49.7
147,2003,26,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,135,#VALUE!,68.5,132,12/5/03,41.4,133,13/5/03,49.7
148,2003,27,2,140,20/5/03,100.3,140,20/5/03,100.3,,,,143,23/5/03,124.8,135,15/5/03,68.5,143,23/5/03,124.8
149,2003,27a,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,135,#VALUE!,68.5,133,13/5/03,49.7,134,14/5/03,60.9
150,2003,28,1,,,,,,,,,,,,,132,12/5/03,41.4,133,13/5/03,49.7
151,2003,29,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,136,#VALUE!,76.7,132,12/5/03,41.4,135,15/5/03,68.5
152,2003,30,1,132,#VALUE!,41.4,132,#VALUE!,41.4,133,#VALUE!,49.7,135,#VALUE!,68.5,132,12/5/03,41.4,134,14/5/03,60.9
153,2004,1,2,,,,,,,,,,,,,129,8/5/04,70.7,131,10/5/04,83.6
154,2004,1a,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,125,4/5/04,32.2,127,6/5/04,51.3
155,2004,2,1,125,#VALUE!,32.2,,,,126,#VALUE!,40.8,131,#VALUE!,83.6,126,5/5/04,40.8,128,7/5/04,60.1
156,2004,3,1,,,,,,,,,,,,,,,,,,
157,2004,4,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,129,8/5/04,70.7
158,2004,5,1,,,,,,,,,,,,,,,,,,
159,2004,6,1,126,#VALUE!,40.8,,,,126,#VALUE!,40.8,131,#VALUE!,83.6,126,5/5/04,40.8,130,9/5/04,81.3
160,2004,7a,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,127,6/5/04,51.3
161,2004,8,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,125,4/5/04,32.2,127,6/5/04,51.3
162,2004,9,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,127,6/5/04,51.3
163,2004,10,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,127,6/5/04,51.3
164,2004,11,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,125,4/5/04,32.2,127,6/5/04,51.3
165,2004,12,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,127,6/5/04,51.3
166,2004,13,1,126,#VALUE!,40.8,126,#VALUE!,40.8,127,#VALUE!,51.3,131,#VALUE!,83.6,,,,,,
167,2004,14,1,,,,,,,,,,,,,,,,,,
168,2004,15,1,,,,,,,,,,,,,,,,,,
169,2004,16,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,125,4/5/04,32.2,129,8/5/04,70.7
170,2004,17,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,125,4/5/04,32.2,127,6/5/04,51.3
171,2004,18,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,131,#VALUE!,83.6,126,5/5/04,40.8,127,6/5/04,51.3
172,2004,19,1,,,,,,,,,,,,,,,,,,
173,2004,20,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,125,4/5/04,32.2,128,7/5/04,60.1
174,2004,21,1,125,#VALUE!,32.2,,,,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,129,8/5/04,70.7
175,2004,22,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,130,9/5/04,81.3
176,2004,23,1,126,#VALUE!,40.8,126,#VALUE!,40.8,127,#VALUE!,51.3,130,#VALUE!,81.3,126,5/5/04,40.8,128,7/5/04,60.1
177,2004,24,1,126,#VALUE!,40.8,126,#VALUE!,40.8,127,#VALUE!,51.3,130,#VALUE!,81.3,126,5/5/04,40.8,128,7/5/04,60.1
178,2004,25,1,126,#VALUE!,40.8,126,#VALUE!,40.8,127,#VALUE!,51.3,130,#VALUE!,81.3,126,5/5/04,40.8,129,8/5/04,70.7
179,2004,26,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,125,4/5/04,32.2,129,8/5/04,70.7
180,2004,27,2,128,7/5/04,60.1,,,,128,7/5/04,60.1,138,17/5/04,85.8,,,,,,
181,2004,27a,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,129,8/5/04,70.7
182,2004,28,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,130,#VALUE!,81.3,126,5/5/04,40.8,129,8/5/04,70.7
183,2004,29,1,125,#VALUE!,32.2,125,#VALUE!,32.2,126,#VALUE!,40.8,131,#VALUE!,83.6,126,5/5/04,40.8,129,8/5/04,70.7
184,2004,30,1,,,,,,,,,,,,,,,,,,
185,2005,1,2,143,23/5/05,68.7,143,23/5/05,68.7,144,24/5/05,82.4,145,25/5/05,93.5,142,22/5/05,56.2,145,25/5/05,93.5
186,2005,1a,1,137,#VALUE!,33.6,137,#VALUE!,33.6,141,#VALUE!,46.8,144,#VALUE!,82.4,142,22/5/05,56.2,143,23/5/05,68.7
187,2005,2,1,137,#VALUE!,33.6,137,#VALUE!,33.6,141,#VALUE!,46.8,145,#VALUE!,93.5,142,22/5/05,56.2,144,24/5/05,82.4
188,2005,3,1,137,#VALUE!,33.6,137,#VALUE!,33.6,139,#VALUE!,36.1,144,#VALUE!,82.4,141,21/5/05,46.8,142,22/5/05,56.2
189,2005,4,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,142,22/5/05,56.2,144,24/5/05,82.4
190,2005,5,1,,,,,,,,,,,,,,,,,,
191,2005,6,1,,,,,,,,,,,,,141,21/5/05,46.8,144,24/5/05,82.4
192,2005,7a,1,,,,,,,,,,,,,141,21/5/05,46.8,143,23/5/05,68.7
193,2005,8,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,143,#VALUE!,68.7,140,20/5/05,40.6,143,23/5/05,68.7
194,2005,9,1,138,#VALUE!,34.8,138,#VALUE!,34.8,142,#VALUE!,56.2,144,#VALUE!,82.4,142,22/5/05,56.2,143,23/5/05,68.7
195,2005,10,1,137,#VALUE!,33.6,137,#VALUE!,33.6,142,#VALUE!,56.2,144,#VALUE!,82.4,142,22/5/05,56.2,143,23/5/05,68.7
196,2005,11,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,143,#VALUE!,68.7,140,20/5/05,40.6,143,23/5/05,68.7
197,2005,12,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,141,21/5/05,46.8,143,23/5/05,68.7
198,2005,13,1,138,#VALUE!,34.8,138,#VALUE!,34.8,142,#VALUE!,56.2,144,#VALUE!,82.4,142,22/5/05,56.2,144,24/5/05,82.4
199,2005,14,1,,,,,,,,,,,,,,,,,,
200,2005,15,1,,,,,,,,,,,,,,,,,,
201,2005,16,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,140,20/5/05,40.6,143,23/5/05,68.7
202,2005,17,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,141,21/5/05,46.8,143,23/5/05,68.7
203,2005,18,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,145,#VALUE!,93.5,142,22/5/05,56.2,143,23/5/05,68.7
204,2005,19,1,,,,,,,,,,,,,,,,,,
205,2005,20,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,,,,,,
206,2005,21,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,140,20/5/05,40.6,144,24/5/05,82.4
207,2005,22,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,142,22/5/05,56.2,144,24/5/05,82.4
208,2005,23,1,139,#VALUE!,36.1,139,#VALUE!,36.1,142,#VALUE!,56.2,144,#VALUE!,82.4,141,21/5/05,46.8,144,24/5/05,82.4
209,2005,24,1,,,,,,,,,,,,,141,21/5/05,46.8,144,24/5/05,82.4
210,2005,25,1,,,,,,,,,,,,,141,21/5/05,46.8,144,24/5/05,82.4
211,2005,26,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,143,#VALUE!,68.7,140,20/5/05,40.6,144,24/5/05,82.4
212,2005,27,2,143,23/5/05,68.7,143,23/5/05,68.7,144,24/5/05,82.4,146,26/5/05,103.8,143,23/5/05,68.7,144,24/5/05,82.4
213,2005,27a,1,138,#VALUE!,34.8,138,#VALUE!,34.8,140,#VALUE!,40.6,144,#VALUE!,82.4,141,21/5/05,46.8,144,24/5/05,82.4
214,2005,28,1,137,#VALUE!,33.6,137,#VALUE!,33.6,140,#VALUE!,40.6,144,#VALUE!,82.4,141,21/5/05,46.8,144,24/5/05,82.4
215,2005,29,1,137,#VALUE!,33.6,137,#VALUE!,33.6,142,#VALUE!,56.2,145,#VALUE!,93.5,141,21/5/05,46.8,144,24/5/05,82.4
