,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
199,1997,puu25,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,18
200,1997,puu25,14/5/97,134.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
203,1997,puu26,9/5/97,129.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
204,1997,puu26,10/5/97,130.00,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,12
205,1997,puu26,11/5/97,131.00,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18
206,1997,puu26,12/5/97,132.00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
207,1997,puu26,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
220,1997,puu28,10/5/97,130.00,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
221,1997,puu28,11/5/97,131.00,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
222,1997,puu28,12/5/97,132.00,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
223,1997,puu28,13/5/97,133.00,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
224,1997,puu28,14/5/97,134.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
227,1997,puu29,9/5/97,129.00,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5
228,1997,puu29,10/5/97,130.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
237,1997,puu30,11/5/97,131.00,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,7
238,1997,puu30,12/5/97,132.00,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,13
239,1997,puu30,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
259,1998,puu 1A,2/5/98,122.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
260,1998,puu 1A,3/5/98,123.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
261,1998,puu 1A,4/5/98,124.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
262,1998,puu 1A,5/5/98,125.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
263,1998,puu 1A,6/5/98,126.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
264,1998,puu 1A,7/5/98,127.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
265,1998,puu 1A,8/5/98,128.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
266,1998,puu 1A,9/5/98,129.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
267,1998,puu 1A,10/5/98,130.00,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
268,1998,puu 1A,11/5/98,131.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
