Name,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,,,,,,
Alliaria petiolata,12-Apr,19-Apr,24-Apr,26-Mar,24-Apr,3-Apr,15-Apr,1-Apr,3-May,26-Apr,22-Apr,19-Apr,10-Apr,5-Apr,24-Apr,28-Apr,1-May,22-Apr,13-Apr,20-Apr,5-Apr,16-Apr,16-Apr, ,28-Apr,26-Apr,16-Apr,15-Apr,11-Apr,24-Apr,24-Apr,21-Apr,30-Apr,17-Apr,12-Apr,7-Apr,7-Apr,14-Apr,11-Apr,3-Apr,5-Apr,13-Apr, ,1-Apr,5-Apr, , ,,,,,,,,,,,,,,,
Alnus glutinosa  ,1-Mar,27-Feb,6-Mar,27-Feb,5-Mar,19-Feb,14-Feb,4-Mar,17-Feb,14-Mar,7-Mar,26-Feb,4-Mar,6-Mar, , ,17-Mar,17-Feb,27-Feb, ,28-Feb,24-Jan,14-Feb,24-Feb,27-Feb,24-Mar,26-Feb,25-Feb,5-Feb,25-Jan,7-Mar,26-Feb,19-Mar,1-Mar,21-Feb,21-Feb,14-Feb,2-Mar,22-Feb,23-Feb,13-Feb,24-Feb,2-Mar,22-Feb,15-Feb,20-Feb, ,,,,,,,,,,,,,,,
Alopecurus geniculatus,15-Jun,7-Jun,26-May,7-Jun,17-Jun,3-Jun,4-Jun, , , ,24-May,25-May,8-Jun,19-Jun,14-Jun, ,20-Jun, ,21-Jun,27-May, ,14-Jun,13-Jun,26-May,25-May,16-Jun, , ,5-Jun, ,13-May,31-May, ,23-May,21-May,17-Jun,24-May, ,21-Jun,13-Jun,15-May,20-May, ,22-May, , , ,,,,,,,,,,,,,,,
Alopecurus myosuroides, , , ,22-Apr,14-May,15-May,18-May,11-May,27-May, ,20-May,15-May,27-May, ,17-May,17-May, , ,6-May,13-May,17-May,22-May,9-May,23-May,26-May, ,17-May,14-May,15-May,7-May,8-May,23-May,21-May,9-May,11-May,16-May,12-Apr,16-May,2-Jun,9-May,1-May,1-May,21-May,15-May,19-Apr,4-May,9-May,,,,,,,,,,,,,,,
Alopecurus pratensis  , , , ,19-Mar,28-Apr,16-Apr,9-Apr,11-Mar,5-May,27-Apr,27-Apr,23-Apr,22-Apr,10-Apr,26-Apr,10-Apr,3-May,21-Apr,14-Apr,15-Apr,9-Apr,24-Mar,15-Apr,6-Apr,18-Apr,13-Apr,20-Apr,3-Apr,14-Apr,24-Apr,14-Apr,19-Apr,26-Apr,3-May,6-Apr,1-Apr,26-Mar,14-Apr,20-Apr,8-Apr,2-Apr,5-Apr, ,6-Apr,1-Apr,6-Apr,29-Apr,,,,,,,,,,,,,,,
Anacamptis pyramidalis,26-Jun,25-Jun,28-Jun,12-Jun,15-Jun,21-Jun,12-Jun,6-Jun,30-Jun,10-Jul,16-Jun, ,15-Jun,14-Jun,23-Jun,26-Jun,19-Jun, ,1-Jul,28-Jun,21-Jun,19-Jun,17-Jun, ,17-Jun,23-Jun,18-Jun,16-Jun,18-Jun,26-Jun,16-Jun,4-Jul,3-Jul,27-Jun,22-Jun,23-Jun,17-Jun, ,18-Jun, ,14-Jun,22-Jun, ,7-Jun,20-Jun,24-Jun,27-Jun,,,,,,,,,,,,,,,
Anagallis arvensis,15-Jun,7-Jun,30-Jun,25-May,19-Jun,13-Jun,6-Jun,20-Apr, ,21-Jun,26-May,12-Jun,6-Jun,16-Jun,13-Apr,20-Jun,15-May,15-May,4-May, , ,31-May,28-Jun, ,10-Jun,27-Jun,18-Jun,27-Jun,15-May, ,16-Jun,16-Jun, ,16-Jun,15-May,27-May,5-May,12-Jun,6-Jun, ,11-Jun, , ,8-Jun, ,20-May,26-May,,,,,,,,,,,,,,,
Anisantha sterilis  , ,10-May,9-May,18-Apr,8-May,29-Apr,21-Apr,14-Apr,7-May, ,4-May, , ,17-Apr, ,11-May, ,25-Apr,4-May,28-Apr,16-Apr,21-Apr,1-May,4-Apr,8-May,5-May,9-May,21-Apr,29-Apr, ,28-Apr, ,10-May,5-May,12-Apr,6-Apr,26-Apr,3-May,25-Apr,25-Apr,24-Apr,27-Apr,5-May, , , ,20-Apr,,,,,,,,,,,,,,,
Anthoxanthum odoratum,30-Apr,21-Apr,8-May,19-Apr,3-May,19-Apr,11-May,10-Apr,12-May,10-May,11-May,23-Apr,22-Apr,21-Apr,27-Apr,12-Apr,14-May,8-May,2-May,5-May,4-May,12-May,8-May,19-May, ,18-May,11-May,18-Apr, ,6-May,29-Apr,8-May, , ,26-Mar,28-Apr, , , , , ,27-Apr, ,10-Apr,4-May,25-Apr, ,,,,,,,,,,,,,,,
Anthriscus sylvestris,22-Apr,19-Apr,18-Apr,26-Feb,4-Mar,8-Mar,15-Apr,10-Mar,22-Apr,26-Apr,20-Apr,14-Apr,17-Mar,20-Mar,20-Apr,24-Apr,23-Apr,21-Apr,1-Apr,16-Mar,29-Mar, ,29-Mar,20-Mar,14-Apr,26-Apr,14-Apr,15-Mar,1-Mar,26-Mar,5-Apr,10-Apr,29-Apr,10-Apr,20-Feb,18-Feb, ,19-Mar, ,11-Feb,8-Feb,3-Feb,14-Apr,14-May,21-Feb,6-Mar, ,,,,,,,,,,,,,,,
Antirrhinum majus, , , ,14-May, , ,23-May, , , , ,5-Jun,6-Jun,28-May,3-Jun, ,12-Jun,27-May, ,1-Jun,4-Jun, , , ,13-Jun, ,23-May,26-May,3-Jun,8-Jun,1-May,3-Jun,17-Jun,30-May,10-Jun,8-Jun,, , ,22-May,11-Jun, ,9-May,27-May, , , ,,,,,,,,,,,,,,,
Arabidopsis thaliana, , , ,16-Mar, , , ,16-Apr, , , , , , , , , , ,28-Mar, ,30-Mar, , ,5-Mar,13-Apr,13-Apr,6-Mar,20-Mar,20-Feb,22-Mar,1-Apr,11-Apr, ,10-Apr,26-Mar,23-Feb,11-Mar,1-Apr,21-Mar,15-Mar,10-Mar,1-Apr, ,12-Apr,20-Mar,1-Apr, ,,,,,,,,,,,,,,,
Arctium lappa, ,20-Jul,24-Jul, ,23-Jul,25-Jul, , ,4-Aug, , ,14-Aug,15-Aug,21-Jul, ,3-Aug, , ,11-Aug, ,15-Aug, ,24-Jul, , ,21-Jul,11-Aug, , ,23-Jul, ,9-Aug,5-Aug,14-Aug, ,8-Jul,, ,5-Jul,26-Jul,7-Aug,6-Aug,27-Jul, ,8-Aug,26-Jul,26-Jun,,,,,,,,,,,,,,,
Arctium minus,10-Jul,19-Jul,24-Jul,25-Jun,18-Jul,11-Jul,17-Jul,18-Jul,3-Aug,15-Jul,24-Jul,28-Jul,8-Jul,20-Jul,20-Jul,3-Jul,9-Jul,31-Jul,30-Jul,24-Jul,12-Jul,15-Jul,3-Jul,30-Jul,24-Jul,27-Jul,31-Jul,23-Jul,8-Jul,18-Jul,19-Jul,30-Jul,20-Jul,12-Jul,1-Jul,30-Jun,14-Jul, ,7-Jul,5-Jul,10-Jul,18-Jul,28-Jul,22-Jul,15-Jul,13-Jul, ,,,,,,,,,,,,,,,
Armoracia rusticana, , ,24-May,13-May,28-May,13-May, , , ,25-May,20-May,27-May,20-May, , , , ,5-Jun, ,12-Jun,1-Jun, , ,4-Jun, ,9-Jun,9-Jun, ,18-May, ,14-Jun, ,17-Jun,26-May,16-Jun,26-May,, ,3-Jun, , , ,14-Jun,22-May,23-May,8-Jun, ,,,,,,,,,,,,,,,
Arrhenatherum elatius  , ,27-May,22-May,20-May,23-May,12-May,15-May,23-May, ,3-Jun, ,22-May,31-May,8-May,3-Jun,21-May,28-May,20-May,27-May,27-May,31-May,20-Apr,21-May,30-May,28-May,24-May,26-May,19-May,15-May,25-May,15-May,21-May,31-May,30-May,30-May,29-May,29-Apr,2-Jun,6-May,24-May,27-Apr,12-May,10-May,21-Apr,29-Apr,22-Apr,10-May,,,,,,,,,,,,,,,
Artemisia vulgaris,28-Jul,11-Jul,17-Jul,16-Jul,19-Jul,15-Jul,26-Jul,27-Jul,25-Jul,8-Jul,18-Jul,25-Jul,22-Jul,27-Jul,23-Jul,21-Jul,23-Jul,19-Jul,18-Jul,23-Jul,26-Jul,25-Jul,7-Jul,20-Jul,23-Jul,20-Jul,9-Jul,12-Jul,3-Jul,14-Jul,15-Jul,30-Jul,20-Jul,14-Jul,7-Jul,7-Jul,2-Jul,13-Jul, , ,12-Jul,22-Jul,15-Jul, ,16-Jul,20-Jun,3-Jul,,,,,,,,,,,,,,,
Asperula cynanchica,14-Jun,3-Sep,25-May,12-Jun,31-May,13-Jun,6-Jun, , ,18-Jun,16-Jun,13-Jun,13-Jun,30-Jun,18-Jun,27-Jun,20-Jun,19-Jun,28-Jun, ,4-Jun, , , ,23-Jun,24-Jun, ,25-Jun,14-Jun,25-Jun,5-Jun, , , ,21-Jun,23-Jun,, ,19-Jun, , ,21-Jun,1-Jul, ,10-Jun,26-Jun, ,,,,,,,,,,,,,,,
Aster novi-belgii, , , , , ,28-Jul, ,16-Aug, ,13-Aug, , , ,3-Aug,24-Aug,19-Aug,18-Aug,24-Aug,3-Aug,8-Aug,11-Jul, ,13-Jul, , ,10-Aug, ,12-Aug,17-Aug,4-Aug,30-Jul,31-Jul,21-Jul,5-Aug,2-Aug,20-Jul,, , ,28-Jul, , ,10-Sep,18-Jul, ,18-Jul, ,,,,,,,,,,,,,,,
Atriplex prostrata,4-Aug, ,16-Aug, ,23-Jul,1-Aug, , ,8-Aug,19-Jul,11-Aug, , ,7-Aug,27-Jul,2-Aug, , ,30-Jul, ,1-Aug, , ,3-Aug,8-Jul, ,13-Aug, , ,29-Jul, ,12-Aug,30-Jul,1-Aug, , , ,2-Aug,1-Aug,1-Aug, , ,14-Jul,25-Jul, , , ,,,,,,,,,,,,,,,
Atropa bella-donna,19-Jun,16-Jun,12-Jun,12-Jun,15-Jun,25-May,3-Jul, , ,16-Jun,10-Jul, ,10-Jun, , , ,23-Jun, , , , , , , , ,9-Jul, ,23-Jun,24-Jun,1-Jul,8-Jun,27-Jun, ,22-Jun,24-Jun,20-Jun,, ,19-Jun,5-Jun,10-Jun,11-Jun,11-Jul,25-May,22-Jun,2-Jul,5-Jul,,,,,,,,,,,,,,,
Avena fatua  ,30-Jun,12-Jul,6-Jul,1-Jul, , ,30-Jun,13-Jul,30-Jun, ,7-Jul,4-Jul,9-Jul, ,14-Jul, , ,10-Jul,10-Jul,27-Jun,2-Jul, , ,9-Jul,28-Jun,6-Jul,4-Jul,28-Jun, ,27-Jun,22-Jun,5-Jul,4-Jul,20-Jun, ,13-Jun,28-May,11-Jul,17-Jun,1-Jul,5-Jul, , ,15-Jun,19-Jun,8-Jun, ,,,,,,,,,,,,,,,
Avena sativa  ,28-Jun, , , , ,25-Jun,1-Jun, , ,4-Jul,7-Jul,8-Jul, ,2-Jul, ,19-Jun, ,23-Jun,11-Jul, ,23-Jun,30-May,12-Jun,8-Jul,24-Jun,9-Jul, , ,22-Jun, ,17-Jun, , , ,10-Jun, ,, ,2-Jul,9-Jun,5-Jul,7-Jun,24-Jun, ,16-Jun,26-Jun, ,,,,,,,,,,,,,,,
Ballota nigra,29-Jun,29-Jun,2-Jul,18-Jun,5-Jul,24-Jun,7-Jun, ,2-Jul,27-Jun,28-Jun,7-Jul,16-Jun,20-Jul,6-Jul,3-Jul,20-Jun,9-Jul,10-Jul,27-Jun,22-Jun,17-Jun,26-Jun,5-Jul,30-Jun,10-Jul,23-Jun,29-Jun,19-Jun,28-Jun,6-Jul,23-Jun,5-Jul,2-Jul, ,20-Jun,19-Jun, ,18-Jun,17-Jun,5-Jul,18-Jun,7-Jul,22-Jun,21-Jun,30-Jun,21-Jun,,,,,,,,,,,,,,,
Barbarea vulgaris  ,30-Apr,9-May,9-May,30-Apr,9-May,1-May,30-Apr,14-Apr,10-May,3-May,14-May,26-Apr, ,29-Apr,7-May,10-May,6-May,8-May,11-May,3-May,2-May,13-May,4-May,2-May, ,13-May,14-May,29-Apr,1-May,14-May, ,6-May,15-May,6-May,11-May,8-May,28-Apr,30-May,4-May,15-Apr,29-Apr,8-May,7-May,26-Apr, ,2-May,25-Apr,,,,,,,,,,,,,,,
Betula pendula,11-Apr,27-Apr,18-Apr,3-Apr,28-Apr,27-Apr,14-Apr,14-Mar,28-Apr,21-Apr,8-May,18-Apr, ,15-Apr,27-Apr,2-May,21-Apr, ,7-Apr,23-Apr,9-Apr,17-Apr,7-Apr,12-Apr,9-May,20-Apr,12-Apr,6-Apr,7-Apr,24-Apr,21-Apr,9-Apr,1-May,16-Apr,17-Apr,1-Apr,17-Mar,9-Apr,19-Apr,23-Mar,4-Apr,7-Apr, ,22-Mar,20-Apr,13-Apr, ,,,,,,,,,,,,,,,
Brachypodium pinnatum  , ,19-Jun,19-Jun,13-Jun,17-Jun,29-May,12-Jun,9-Jun, ,20-Jun,26-Jun, , ,13-Jun, , , , , , ,4-Jul, , , ,16-Jun,3-Jul, ,25-Jun,19-Jun,9-Jun,13-Jun, ,15-Jun, ,28-May,21-Jun,, , ,17-Jun,10-Jun, , ,15-Jun,22-Jun,30-Jun,22-Jun,,,,,,,,,,,,,,,
Brachypodium sylvaticum ,20-Jun,29-Jun,15-Jun,15-Jun,15-Jun, ,11-Jun,6-Jun,28-Jun,15-Jun,13-Jun,3-Jul, ,30-Jun, ,14-Jun,26-Jun,4-Jul,16-Jun,28-Jun,24-Jun,24-Jun,18-Jun,1-Jul,27-Jun,23-Jun,15-Jun,2-Jul, ,24-Jun,18-Jun,17-Jun,1-Jul,1-Jul,24-Jun,16-Jun,21-Jun, ,28-Jun,5-Jun, , ,7-Jul, ,13-Jun, ,14-Jun,,,,,,,,,,,,,,,
Brassica rapa, , ,16-May,30-Apr,20-May,21-Apr,23-Apr,17-Mar,23-May,8-May,21-Apr,26-Apr,27-May,13-Apr, ,10-May,11-May, ,15-Apr,12-Apr,12-Apr,1-Mar,6-Apr,12-Apr,5-Apr,17-May, ,15-May,1-May, ,20-May,18-May,25-May,18-May, ,28-Apr, , , ,1-May, , ,4-May,4-May,25-Apr,15-Apr,10-May,,,,,,,,,,,,,,,
Briza media, ,28-May,29-May,18-May,30-May,17-May,23-May,20-May,23-May,28-May,20-May,22-May,22-May,25-May,25-May,23-May,24-May,21-May,28-May,24-May,26-May,17-May, , ,26-May,1-Jun,24-May,20-May,24-May,5-Jun,23-May,1-Jun,9-Jun,23-May,28-May,22-May,25-May,26-May, ,5-Jun,27-May,26-May,20-May,22-May,3-Jun,18-May,20-May,,,,,,,,,,,,,,,
Bromus erectus  , ,9-May,16-May,17-Apr,3-May,28-Apr,8-May,18-Mar,9-May,27-Apr,13-May,8-May,9-May,22-Apr,17-May,11-May,10-May,8-May,13-May,5-May,10-May,16-May,8-May,13-May, ,18-May,14-May,22-Apr,15-May,5-May,14-May,17-May,17-May,11-May,24-Apr,4-May,28-Apr, ,2-May,25-Apr,12-May,27-Apr,20-May,4-May,21-Apr,18-May, ,,,,,,,,,,,,,,,
Bromus hordeaceus, ,12-May,15-May,17-Apr,3-May,20-Apr,8-May,26-Apr,10-May,15-May,13-May,11-May,13-May,9-May,16-May,10-May,20-May,10-May,3-May,27-Apr,12-May, ,8-May,10-May,10-May,24-May,14-May,15-May,14-May,8-May,29-Apr,8-May,14-May,11-May,23-Apr,21-Apr,5-May,11-May,6-May, ,29-Apr,6-May,11-May,1-May, ,29-Apr, ,,,,,,,,,,,,,,,
Bryonia dioica,10-Jun,14-Jun,23-May,22-May, ,18-May, ,29-May,6-Jun, ,8-Jun,23-May,3-Jun,12-Jun,31-May, , ,4-Jun, ,7-Jun,1-Jun,9-Jun,12-Jun, ,4-Jun,9-Jun,23-May,14-Jun,17-May, ,25-May,2-Jun,9-Jun,13-May,5-Jun,4-Jun,9-May,27-May,19-May,29-May,18-May,26-May,26-May,15-May,3-Jun, , ,,,,,,,,,,,,,,,
Buddleia davidii,9-Jun,13-Jun,23-May,21-May, ,17-May,23-May,28-May,5-Jun, ,8-Jun,22-Jun,2-Jun,11-Jun,31-May, , ,3-Jun, ,6-Jun,31-May,8-Jun,12-Jun, ,3-Jun,8-Jun,23-May,13-Jun,16-May, ,25-May,1-Jun,8-Jun,12-May,5-Jun,3-Jun,8-May,14-Jul,23-Jul, ,25-Jun, ,22-Jul,9-Jul, ,20-Jun,27-Jun,,,,,,,,,,,,,,,
Calluna vulgaris,19-Jul,21-Jul,26-Jul,1-Jul,6-Jul,15-Jul,6-Jul,19-Jul, ,8-Jul,12-Jul,21-Jul,11-Jul,26-Jul,6-Jul,26-Jul,16-Jul,17-Jul, ,8-Jul,30-Jun,10-Jun,5-Jul,12-Jul,20-Jul,10-Jul,21-Jun,2-Jul,29-Jun,5-Jul,18-Jul,26-Jul,23-Jul,12-Jul,3-Jul,21-Jun,26-Jun, ,28-Jul,2-Jul,23-Jul,15-Jul,3-Aug,15-Jul, ,6-Jul, ,,,,,,,,,,,,,,,
Caltha palustris,4-Apr,14-Apr,18-Apr,8-Mar,14-Apr,27-Mar,6-Mar,14-Mar, ,21-Apr,13-Apr,10-Apr,15-Apr,28-Mar, ,18-Apr,4-Apr,24-Apr,1-Apr,2-Feb,12-Apr,27-Mar,7-Apr, , ,19-Apr,5-Apr,27-Mar,28-Mar,1-Apr,14-Apr,12-Apr,27-Apr,4-Apr,23-Mar,21-Mar,17-Mar,6-Apr,4-Jul,3-Apr,29-Mar,2-Apr, ,1-Apr,7-Apr,4-Apr,11-Apr,,,,,,,,,,,,,,,
Calystegia sepium , ,5-Jul,9-Jul, , ,25-Jun,1-Jul, ,3-Jul,28-Jun,25-Jun, ,8-Jul, ,4-Jul, ,21-Jun, , , ,5-Jul,6-Jul,11-Jul, , ,28-Jun,10-Jul,26-Jun,1-Jul,11-Jul,15-Jul,11-Jul,7-Jul,9-Jul,1-Jul,1-Jul,, ,23-Jun,1-Jul, , ,18-Jul,5-Jun, , ,29-Jun,,,,,,,,,,,,,,,
Calystegia silvatica,1-Jul,1-Jul, , , , ,7-Jun, ,28-Jun,4-Jul, , , , ,25-Jun,1-Jul,17-Jun,23-Jun,10-Jul,24-Jun, ,23-Jun, , ,29-Jun,8-Jul,30-Jun,19-Jun,17-Jun,29-Jun,26-Jun,30-Jun,6-Jul,18-Jun,28-Jun,7-Jun, ,12-Jul,7-Jun, ,20-Jun,29-Jun,2-Jul,23-Jun,28-Jun,21-Jun,1-Jul,,,,,,,,,,,,,,,
Campanula glomerata,19-Jun,3-Jun,5-Jul,27-Jun,19-Jun,15-May,22-May, ,24-May,26-Jun,28-Jun,25-May,13-Jun, ,21-Jun, ,28-Jun,19-Jun,15-Jun, ,4-Jun,14-Jun, ,2-Jul,4-Jul,28-Jul, ,17-Jun,1-Jul,1-Jul,29-Jun,13-Jul,15-Jun, , ,27-Jun,, , ,24-Jun,10-Jun,18-Jul,15-Jun,15-Jun,22-Jun,22-Jul, ,,,,,,,,,,,,,,,
Campanula trachelium,2-Jul, ,7-Jul,26-Jun,8-Jul,26-Jun,1-Jul, ,6-Jul,2-Jul,25-Jun,3-Jul,6-Jul,8-Jul,10-Jul,6-Jul,26-Jun,9-Jul,15-Jul,9-Jul,21-Jun,4-Jul,18-Jun,7-Jul,7-Jul,5-Jul,11-Jul,4-Jul,18-Jun,13-Jul,14-Jul,7-Jul,10-Jul,5-Jul,26-Jun,20-Jun,23-Jun,5-Jul,20-Jun,11-Jun,10-Jul, ,10-Jul,21-Jun,30-Jun,27-Jun,27-Jun,,,,,,,,,,,,,,,
Cardamine hirsuta,26-Mar,31-Mar,1-Apr,9-Feb,14-Feb,6-Mar,26-Mar,1-Mar,17-Feb,13-Apr,7-Mar,20-Mar,25-Feb,10-Mar, ,10-Apr,28-Feb,13-Mar,27-Feb,2-Feb,12-Mar,11-Jan,8-Feb,4-Mar,24-Mar,10-Apr,6-Mar,29-Feb,20-Feb,29-Jan,8-Mar,1-Mar,17-Mar,14-Mar,18-Jan, ,10-Feb,8-Mar,24-Feb,26-Jan,10-Jan,9-Jan, , ,16-Feb, ,23-Feb,,,,,,,,,,,,,,,
Cardamine pratensis,22-Apr,24-Apr,21-Apr,28-Mar,28-Apr,16-Apr,22-Apr,7-Apr,6-May,27-Apr,16-Apr,23-Apr,15-Apr,31-Mar,26-Apr,3-May,4-May,22-Apr,17-Apr,22-Mar,5-Apr, ,13-Apr,30-Apr, ,4-May,18-Apr,16-Apr,16-Apr,3-Apr,22-Apr,17-Apr,28-Apr,28-Mar,3-Apr,25-Mar,10-Mar,6-Apr,3-Apr,18-Mar,29-Mar,20-Mar, ,26-Mar,28-Mar,2-Jul,20-Mar,,,,,,,,,,,,,,,
Carduus acanthoides,15-Jun,31-May,25-May,21-May,15-Jun,6-Jun, ,26-May, ,14-Jun,19-Jun,13-Jun,4-Jun,16-Jun,3-Jun,21-Jun,28-May,20-Jun,17-Jun,31-May,31-May,30-May,13-Jun,8-Jun,7-Jun,9-Jun,8-Jun,11-Jun,5-Jun, ,30-May,22-Jun,10-Jun,30-May,11-Jun,16-Jun,11-May, ,21-May,28-May,30-May,5-Jun, ,2-Jun,10-Apr,20-May,14-Jun,,,,,,,,,,,,,,,
Carduus nutans,12-Jun,24-Jun, ,1-May,16-Jun, , ,28-May, ,16-Jun, ,12-Jun,17-Jun, ,14-Jun,21-Jun,13-Jun,4-Jun,16-Jun,16-Jun, ,27-May, , ,18-Jun, ,12-Jun, ,30-Jun,4-Jun,29-Jun, ,1-Jul,3-Jun,24-Jun,20-Jun,, ,7-Jun,19-Jun, , ,19-Jun,20-May,22-Jun,30-Jun, ,,,,,,,,,,,,,,,
