year,plot_code,plant_id,1st_snowfree,1st_leaf,1st_flower,1st_flower_open,1st_petal_shed,last_petal_shed,1st_seed_disp,1st_red_leaf
1993,252C,AR1,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,252C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252C,BB5,NaN,NaN,NaN,NaN,215,NaN,NaN,NaN
1993,251E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251E,AR5,NaN,NaN,NaN,NaN,197,197,NaN,NaN
1993,251E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251E,BB4,NaN,NaN,NaN,197,204,NaN,NaN,NaN
1993,251E,BB5,NaN,NaN,NaN,NaN,204,NaN,NaN,NaN
1993,251C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251C,AR3,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,251C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251C,BB1,NaN,NaN,NaN,200,202,NaN,NaN,NaN
1993,251C,BB2,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,251C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,251C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,AR1,NaN,NaN,NaN,NaN,NaN,197,NaN,NaN
1993,451E,AR2,NaN,NaN,NaN,197,210,NaN,NaN,NaN
1993,451E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451E,BB5,NaN,NaN,NaN,197,197,NaN,NaN,NaN
1993,451C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,451C,BB2,NaN,NaN,NaN,202,222,NaN,NaN,NaN
1993,451C,BB3,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,451C,BB4,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,451C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452E,AR5,NaN,NaN,NaN,NaN,197,197,NaN,NaN
1993,452E,BB1,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,452E,BB2,NaN,NaN,NaN,197,NaN,NaN,NaN,NaN
1993,452E,BB3,NaN,NaN,NaN,197,NaN,NaN,NaN,NaN
1993,452E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452E,BB5,NaN,NaN,NaN,197,204,NaN,NaN,NaN
1993,452C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,BB2,NaN,NaN,NaN,NaN,201,NaN,NaN,NaN
1993,452C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,452C,BB5,NaN,NaN,NaN,200,215,NaN,NaN,NaN
1993,453E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453E,AR3,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,453E,AR4,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,453E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453E,BB2,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,453E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453E,BB5,NaN,NaN,NaN,197,NaN,NaN,NaN,NaN
1993,453C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453C,AR2,NaN,NaN,NaN,NaN,NaN,200,NaN,NaN
1993,453C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453C,BB1,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,453C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,453C,BB3,NaN,NaN,NaN,200,NaN,NaN,NaN,NaN
1993,453C,BB4,NaN,NaN,NaN,NaN,200,222,NaN,NaN
1993,453C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454E,AR2,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,454E,AR3,NaN,NaN,NaN,NaN,NaN,215,NaN,NaN
1993,454E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454E,BB1,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,454E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454E,BB4,NaN,NaN,NaN,201,222,NaN,NaN,NaN
1993,454E,BB5,NaN,NaN,NaN,197,200,NaN,NaN,NaN
1993,454C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454C,BB1,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,454C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,454C,BB3,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,454C,BB4,NaN,NaN,NaN,200,NaN,NaN,NaN,NaN
1993,454C,BB5,NaN,NaN,NaN,NaN,202,NaN,NaN,NaN
1993,455E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,AR4,NaN,NaN,NaN,NaN,NaN,215,NaN,NaN
1993,455E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,BB1,NaN,NaN,NaN,200,215,230,NaN,NaN
1993,455C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,455C,BB4,NaN,NaN,NaN,NaN,200,222,NaN,NaN
1993,455C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755E,BB2,NaN,NaN,NaN,NaN,197,NaN,NaN,NaN
1993,755E,BB3,NaN,NaN,NaN,NaN,197,NaN,NaN,NaN
1993,755E,BB4,NaN,NaN,NaN,NaN,202,NaN,NaN,NaN
1993,755E,BB5,NaN,NaN,NaN,197,210,NaN,NaN,NaN
1993,755C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755C,AR5,NaN,NaN,NaN,NaN,NaN,204,NaN,NaN
1993,755C,BB1,NaN,NaN,NaN,NaN,202,NaN,NaN,NaN
1993,755C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,755C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754E,AR2,NaN,NaN,NaN,NaN,NaN,215,NaN,NaN
1993,754E,AR3,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,754E,AR4,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,754E,AR5,NaN,NaN,NaN,NaN,NaN,215,NaN,NaN
1993,754E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754E,BB3,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,754E,BB4,NaN,NaN,NaN,NaN,210,NaN,NaN,NaN
1993,754E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754C,AR1,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,754C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,754C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
