"sp.name","form"
"Acrocomia.totai","tree"
"Adansonia.digitata","tree"
"Adelia.ricinella","tree"
"Adenanthera.pavonina","tree"
"Adenostoma.sparsifolium","tree"
"Aegiphila.integrifolia","tree"
"Aegiphila.martinicensis","tree"
"Aesculus.×arnoldiana","tree"
"Aesculus.×bushii","tree"
"Aesculus.×carnea","tree"
"Aesculus.×hybrida","tree"
"Aesculus.×marylandica","tree"
"Aesculus.×mutabilis","tree"
"Aesculus.×neglecta","tree"
"Aesculus.×worlitzensis","tree"
"Aesculus.californica","tree"
"Aesculus.flava","tree"
"Aesculus.glabra","tree"
"Aesculus.glabra.var..arguta","tree"
"Aesculus.glabra.var..glabra","tree"
"Aesculus.hippocastanum","tree"
"Aesculus.parviflora","tree"
"Aesculus.pavia","tree"
"Aesculus.pavia.var..flavescens","tree"
"Aesculus.pavia.var..pavia","tree"
"Aesculus.sylvatica","tree"
"Agathis.robusta","tree"
"Aglaia.mariannensis","tree"
"Aidia.racemosa","tree"
"Ailanthus.altissima","tree"
"Aiphanes.minima","tree"
"Albizia.acle","tree"
"Albizia.adinocephala","tree"
"Albizia.carbonaria","tree"
"Albizia.chinensis","tree"
"Albizia.julibrissin","tree"
"Albizia.lebbeck","tree"
"Albizia.lebbekoides","tree"
"Albizia.procera","tree"
"Albizia.retusa","tree"
"Albizia.saponaria","tree"
"Alchornea.latifolia","tree"
"Alchorneopsis.floribunda","tree"
"Alchorneopsis.portoricensis","tree"
"Alectryon.macrococcus","tree"
"Alectryon.macrococcus.var..auwahiensis","tree"
"Alectryon.macrococcus.var..macrococcus","tree"
"Aleurites.moluccanus","tree"
"Aleurites.moluccanus.var..katoi","tree"
"Allophylus.crassinervis","tree"
"Allophylus.racemosus","tree"
"Allophylus.ternatus","tree"
"Allophylus.timorensis","tree"
"Allophylus.timoriensis","tree"
"Alnus.×fallacina","tree"
"Alnus.cordata","tree"
"Alnus.glutinosa","tree"
"Alnus.incana","tree"
"Alnus.incana.ssp..rugosa","tree"
"Alnus.incana.ssp..tenuifolia","tree"
"Alnus.maritima","tree"
"Alnus.nepalensis","tree"
"Alnus.oblongifolia","tree"
"Alnus.rhombifolia","tree"
"Alnus.rubra","tree"
"Alnus.serrulata","tree"
"Alnus.viridis","tree"
"Alnus.viridis.ssp..crispa","tree"
"Alnus.viridis.ssp..fruticosa","tree"
"Alnus.viridis.ssp..sinuata","tree"
"Alphitonia.carolinensis","tree"
"Alphitonia.ponderosa","tree"
"Alpinia.carolinensis","tree"
"Alsophila.amintae","tree"
"Alsophila.bryophila","tree"
"Alsophila.portoricensis","tree"
"Alstonia.macrophylla","tree"
"Alvaradoa.amorphoides","tree"
"Alvaradoa.amorphoides.ssp..psilophyllis","tree"
"Amelanchier.×intermedia","tree"
"Amelanchier.×neglecta","tree"
"Amelanchier.×quinti-martii","tree"
"Amelanchier.alnifolia","tree"
"Amelanchier.alnifolia.var..alnifolia","tree"
"Amelanchier.alnifolia.var..cusickii","tree"
"Amelanchier.alnifolia.var..humptulipensis","tree"
"Amelanchier.alnifolia.var..semiintegrifolia","tree"
"Amelanchier.arborea","tree"
"Amelanchier.arborea.var..alabamensis","tree"
"Amelanchier.arborea.var..arborea","tree"
"Amelanchier.arborea.var..austromontana","tree"
"Amelanchier.bartramiana","tree"
"Amelanchier.canadensis","tree"
"Amelanchier.interior","tree"
"Amelanchier.laevis","tree"
"Amelanchier.pallida","tree"
"Amelanchier.sanguinea","tree"
"Amelanchier.sanguinea.var..gaspensis","tree"
"Amelanchier.sanguinea.var..sanguinea","tree"
"Amelanchier.utahensis","tree"
"Amelanchier.utahensis.var..covillei","tree"
"Amelanchier.utahensis.var..utahensis","tree"
"×Amelasorbus.jackii","tree"
"Amphitecna.latifolia","tree"
"Amyris.balsamifera","tree"
"Amyris.elemifera","tree"
"Anacardium.occidentale","tree"
"Anacolosa.glochidiiformis","tree"
"Anadenanthera.peregrina","tree"
"Andira.inermis","tree"
"Aniba.bracteata","tree"
"Annona.cherimola","tree"
"Annona.glabra","tree"
"Annona.montana","tree"
"Annona.muricata","tree"
"Annona.reticulata","tree"
"Annona.squamosa","tree"
"Antidesma.×kapuae","tree"
"Antidesma.platyphyllum","tree"
"Antidesma.platyphyllum.var..hillebrandii","tree"
"Antidesma.platyphyllum.var..platyphyllum","tree"
"Antidesma.pulvinatum","tree"
"Antirhea.acutata","tree"
"Antirhea.coriacea","tree"
"Antirhea.lucida","tree"
"Antirhea.obtusifolia","tree"
"Antirhea.portoricensis","tree"
"Antirhea.sintenisii","tree"
"Aralia.chinensis","tree"
"Aralia.elata","tree"
"Aralia.spinosa","tree"
"Araucaria.heterophylla","tree"
"Arbutus.arizonica","tree"
"Arbutus.menziesii","tree"
"Arbutus.unedo","tree"
"Arbutus.xalapensis","tree"
"Archidendron.palauense","tree"
"Archontophoenix.alexandrae","tree"
"Arctostaphylos.columbiana","tree"
"Arctostaphylos.glauca","tree"
"Arctostaphylos.nortensis","tree"
"Arctostaphylos.pringlei","tree"
"Arctostaphylos.pringlei.ssp..drupacea","tree"
"Arctostaphylos.pringlei.ssp..pringlei","tree"
"Arctostaphylos.viscida","tree"
"Arctostaphylos.viscida.ssp..mariposa","tree"
"Arctostaphylos.viscida.ssp..pulchella","tree"
"Arctostaphylos.viscida.ssp..viscida","tree"
"Ardisia.elliptica","tree"
"Ardisia.escallonoides","tree"
"Ardisia.glauciflora","tree"
"Ardisia.luquillensis","tree"
"Ardisia.obovata","tree"
"Ardisia.solanacea","tree"
"Aristotelia.chilensis","tree"
"Artemisia.tridentata","tree"
"Artemisia.tridentata.ssp..spiciformis","tree"
"Artemisia.tridentata.ssp..tridentata","tree"
"Artemisia.tridentata.ssp..vaseyana","tree"
"Artemisia.tridentata.ssp..wyomingensis","tree"
"Artemisia.tridentata.ssp..xericensis","tree"
"Artocarpus.altilis","tree"
"Artocarpus.altilis.×.mariannensis","tree"
"Artocarpus.heterophyllus","tree"
"Asimina.obovata","tree"
"Asimina.parviflora","tree"
"Asimina.triloba","tree"
"Astronidium.palauense","tree"
"Atuna.racemosa","tree"
"Auerodendron.pauciflorum","tree"
"Averrhoa.carambola","tree"
"Avicennia.germinans","tree"
"Avicennia.marina","tree"
"Avicennia.marina.var..marina","tree"
"Avicennia.marina.var..resinifera","tree"
"Azadirachta.indica","tree"
"Baccharis.halimifolia","tree"
"Badusa.palauensis","tree"
"Bambusa.vulgaris","tree"
"Banara.portoricensis","tree"
"Banara.vanderbiltii","tree"
"Barringtonia.asiatica","tree"
"Bastardiopsis.eggersii","tree"
"Bauhinia.×blakeana","tree"
"Bauhinia.lunarioides","tree"
"Bauhinia.monandra","tree"
"Bauhinia.multinervia","tree"
"Bauhinia.pauletia","tree"
"Bauhinia.purpurea","tree"
"Bauhinia.tomentosa","tree"
"Bauhinia.variegata","tree"
"Beilschmiedia.pendula","tree"
"Bernardia.dichotoma","tree"
"Betula.×caerulea","tree"
"Betula.×caerulea.var..caerulea","tree"
"Betula.×caerulea.var..grandis","tree"
"Betula.×dugleana","tree"
"Betula.×eastwoodiae","tree"
"Betula.×hornei","tree"
"Betula.×jackii","tree"
"Betula.×neoborealis","tree"
"Betula.×purpusii","tree"
"Betula.×raymundii","tree"
"Betula.×sandbergii","tree"
"Betula.×utahensis","tree"
"Betula.×winteri","tree"
"Betula.alleghaniensis","tree"
"Betula.alleghaniensis.var..alleghaniensis","tree"
"Betula.alleghaniensis.var..macrolepis","tree"
"Betula.borealis","tree"
"Betula.lenta","tree"
"Betula.neoalaskana","tree"
"Betula.nigra","tree"
"Betula.occidentalis","tree"
"Betula.papyrifera","tree"
"Betula.papyrifera.var..cordifolia","tree"
"Betula.papyrifera.var..kenaica","tree"
"Betula.papyrifera.var..papyrifera","tree"
"Betula.pendula","tree"
"Betula.platyphylla","tree"
"Betula.platyphylla.var..platyphylla","tree"
"Betula.populifolia","tree"
"Betula.pubescens","tree"
"Betula.pubescens.ssp..pubescens","tree"
"Betula.pubescens.ssp..tortuosa","tree"
"Betula.szechuanica","tree"
"Betula.uber","tree"
"Bischofia.javanica","tree"
"Bixa.orellana","tree"
"Blighia.sapida","tree"
"Bobea.brevipes","tree"
"Bobea.elatior","tree"
"Bobea.sandwicensis","tree"
"Bobea.timonioides","tree"
"Bocconia.frutescens","tree"
"Bontia.daphnoides","tree"
"Bourreria.cassinifolia","tree"
"Bourreria.radula","tree"
"Bourreria.succulenta","tree"
"Bourreria.virgata","tree"
"Brachychiton.populneum","tree"
"Brasiliopuntia.brasiliensis","tree"
"Bridelia.insulana","tree"
"Brosimum.alicastrum","tree"
"Broussaisia.arguta","tree"
"Broussonetia.papyrifera","tree"
"Brucea.javanica","tree"
"Brugmansia.×candida","tree"
"Brugmansia.suaveolens","tree"
"Bruguiera.gymnorhiza","tree"
"Bruguiera.parviflora","tree"
"Bruguiera.sexangula","tree"
"Brunellia.comocladiifolia","tree"
"Brunellia.comocladiifolia.ssp..domingensis","tree"
"Brunfelsia.americana","tree"
"Brunfelsia.densifolia","tree"
"Brunfelsia.lactea","tree"
"Brunfelsia.nitida","tree"
"Brunfelsia.portoricensis","tree"
"Brya.ebenus","tree"
"Buchanania.engleriana","tree"
"Buchanania.palawensis","tree"
"Buchenavia.tetraphylla","tree"
"Bucida.buceras","tree"
"Bucida.molinetii","tree"
"Buddleja.alternifolia","tree"
"Buddleja.asiatica","tree"
"Buddleja.saligna","tree"
"Bunchosia.glandulifera","tree"
"Bunchosia.glandulosa","tree"
"Bunchosia.polystachia","tree"
"Bursera.fagaroides","tree"
"Bursera.fagaroides.var..elongata","tree"
"Bursera.microphylla","tree"
"Bursera.simaruba","tree"
"Butia.capitata","tree"
"Buxus.sempervirens","tree"
"Buxus.vahlii","tree"
"Byrsonima.crassifolia","tree"
"Byrsonima.lucida","tree"
"Byrsonima.spicata","tree"
"Byrsonima.wadsworthii","tree"
"Caesalpinia.coriaria","tree"
"Caesalpinia.gilliesii","tree"
"Caesalpinia.kavaiensis","tree"
"Caesalpinia.mexicana","tree"
"Caesalpinia.monensis","tree"
"Caesalpinia.pulcherrima","tree"
"Caesalpinia.spinosa","tree"
"Callaeum.macropterum","tree"
"Calliandra.haematomma","tree"
"Calliandra.purpurea","tree"
"Calliandra.surinamensis","tree"
"Callicarpa.ampla","tree"
"Callistemon.citrinus","tree"
"Callitris.glaucophylla","tree"
"Callitropsis.nootkatensis","tree"
"Calocedrus.decurrens","tree"
"Calophyllum.antillanum","tree"
"Calophyllum.inophyllum","tree"
"Calophyllum.inophyllum.var..inophyllum","tree"
"Calophyllum.inophyllum.var..wakamatsui","tree"
"Calophyllum.pelewense","tree"
"Calophyllum.soulattri","tree"
"Calotropis.procera","tree"
"Calycophyllum.candidissimum","tree"
"Calyptranthes.estremenae","tree"
"Calyptranthes.kiaerskovii","tree"
"Calyptranthes.krugii","tree"
"Calyptranthes.luquillensis","tree"
"Calyptranthes.pallens","tree"
"Calyptranthes.peduncularis","tree"
"Calyptranthes.portoricensis","tree"
"Calyptranthes.sintenisii","tree"
"Calyptranthes.thomasiana","tree"
"Calyptranthes.woodburyi","tree"
"Calyptranthes.zuzygium","tree"
"Calyptronoma.rivalis","tree"
"Camellia.japonica","tree"
"Camellia.sasanqua","tree"
"Camellia.sinensis","tree"
"Campnosperma.brevipetiolatum","tree"
"Cananga.odorata","tree"
"Canarium.hirsutum","tree"
"Canarium.hirsutum","tree"
"Canarium.luzonicum","tree"
"Canarium.vulgare","tree"
"Canella.winterana","tree"
"Canotia.holacantha","tree"
"Capparis.amplissima","tree"
"Capparis.baducca","tree"
"Capparis.cynophallophora","tree"
"Capparis.flexuosa","tree"
"Capparis.hastata","tree"
"Capparis.indica","tree"
"Caragana.arborescens","tree"
"Carica.papaya","tree"
"Carissa.macrocarpa","tree"
"Carmona.retusa","tree"
"Carnegiea.gigantea","tree"
"Carpinus.betulus","tree"
"Carpinus.caroliniana","tree"
"Carpinus.caroliniana.ssp..caroliniana","tree"
"Carpinus.caroliniana.ssp..virginiana","tree"
"Carpinus.coreana","tree"
"Carya.×brownii","tree"
"Carya.×collina","tree"
"Carya.×demareei","tree"
"Carya.×dunbarii","tree"
"Carya.×laneyi","tree"
"Carya.×lecontei","tree"
"Carya.×ludoviciana","tree"
"Carya.×nussbaumeri","tree"
"Carya.×schneckii","tree"
"Carya.aquatica","tree"
"Carya.carolinae-septentrionalis","tree"
"Carya.cordiformis","tree"
"Carya.floridana","tree"
"Carya.glabra","tree"
"Carya.illinoinensis","tree"
"Carya.laciniosa","tree"
"Carya.myristiciformis","tree"
"Carya.ovalis","tree"
"Carya.ovata","tree"
"Carya.pallida","tree"
"Carya.texana","tree"
"Carya.tomentosa","tree"
"Caryota.mitis","tree"
"Caryota.urens","tree"
"Casasia.clusiifolia","tree"
"Casearia.aculeata","tree"
"Casearia.arborea","tree"
"Casearia.decandra","tree"
"Casearia.guianensis","tree"
"Casearia.hirtella","tree"
"Casearia.nitida","tree"
"Casearia.sylvestris","tree"
"Cassia.afrofistula","tree"
"Cassia.fistula","tree"
"Cassia.grandis","tree"
"Cassia.javanica","tree"
"Cassia.javanica.var..indochinensis","tree"
"Cassine.xylocarpa","tree"
"Cassipourea.guianensis","tree"
"Castanea.×neglecta","tree"
"Castanea.crenata","tree"
"Castanea.dentata","tree"
"Castanea.mollissima","tree"
"Castanea.pumila","tree"
"Castanea.pumila.var..ozarkensis","tree"
"Castanea.pumila.var..pumila","tree"
"Castanea.sativa","tree"
"Castela.emoryi","tree"
"Castela.erecta","tree"
"Castela.erecta.ssp..erecta","tree"
"Castela.erecta.ssp..texana","tree"
"Castilla.elastica","tree"
"Casuarina.cunninghamiana","tree"
"Casuarina.equisetifolia","tree"
"Casuarina.glauca","tree"
"Casuarina.lepidophloia","tree"
"Catalpa.bignonioides","tree"
"Catalpa.longissima","tree"
"Catalpa.ovata","tree"
"Catalpa.speciosa","tree"
"Ceanothus.arboreus","tree"
"Ceanothus.impressus","tree"
"Ceanothus.impressus.var..impressus","tree"
"Ceanothus.impressus.var..nipomensis","tree"
"Ceanothus.spinosus","tree"
"Ceanothus.thyrsiflorus","tree"
"Ceanothus.velutinus","tree"
"Ceanothus.velutinus.var..hookeri","tree"
"Ceanothus.velutinus.var..velutinus","tree"
"Cecropia.adenopus","tree"
"Cecropia.obtusifolia","tree"
"Cecropia.schreberiana","tree"
"Cedrela.odorata","tree"
"Cedrus.deodara","tree"
"Ceiba.acuminata","tree"
"Ceiba.aesculifolia","tree"
"Ceiba.pentandra","tree"
"Celtis.australis","tree"
"Celtis.ehrenbergiana","tree"
"Celtis.iguanaea","tree"
"Celtis.laevigata","tree"
"Celtis.laevigata.var..brevipes","tree"
"Celtis.laevigata.var..laevigata","tree"
"Celtis.laevigata.var..reticulata","tree"
"Celtis.laevigata.var..smallii","tree"
"Celtis.laevigata.var..texana","tree"
"Celtis.lindheimeri","tree"
"Celtis.occidentalis","tree"
"Celtis.palauensis","tree"
"Celtis.paniculata","tree"
"Celtis.pumila","tree"
"Celtis.sinensis","tree"
"Celtis.tenuifolia","tree"
"Celtis.trinervia","tree"
"Cephalanthus.occidentalis","tree"
"Cephalanthus.salicifolius","tree"
"Ceratonia.siliqua","tree"
"Cerbera.floribunda","tree"
"Cerbera.manghas","tree"
"Cercidiphyllum.japonicum","tree"
"Cercis.canadensis","tree"
"Cercis.canadensis.var..canadensis","tree"
"Cercis.canadensis.var..mexicana","tree"
"Cercis.canadensis.var..texensis","tree"
"Cercis.orbiculata","tree"
"Cercocarpus.ledifolius","tree"
"Cercocarpus.ledifolius.var..intercedens","tree"
"Cercocarpus.ledifolius.var..ledifolius","tree"
"Cercocarpus.montanus","tree"
"Cercocarpus.montanus.var..argenteus","tree"
"Cercocarpus.montanus.var..blancheae","tree"
"Cercocarpus.montanus.var..glaber","tree"
"Cercocarpus.montanus.var..macrourus","tree"
"Cercocarpus.montanus.var..minutiflorus","tree"
"Cercocarpus.montanus.var..montanus","tree"
"Cercocarpus.montanus.var..paucidentatus","tree"
"Cercocarpus.traskiae","tree"
"Cereus.hexagonus","tree"
"Cereus.hildmannianus","tree"
"Cestrum.aurantiacum","tree"
"Cestrum.diurnum","tree"
"Cestrum.laurifolium","tree"
"Cestrum.nocturnum","tree"
"Cestrum.parqui","tree"
"Chamaecyparis.lawsoniana","tree"
"Chamaecyparis.pisifera","tree"
"Chamaecyparis.thyoides","tree"
"Chamaedorea.seifrizii","tree"
"Chamaesyce.articulata","tree"
"Chamaesyce.atrococca","tree"
"Chamaesyce.celastroides","tree"
"Chamaesyce.celastroides.var..amplectens","tree"
"Chamaesyce.celastroides.var..celastroides","tree"
"Chamaesyce.celastroides.var..hanapepensis","tree"
"Chamaesyce.celastroides.var..kaenana","tree"
"Chamaesyce.celastroides.var..laehiensis","tree"
"Chamaesyce.celastroides.var..lorifolia","tree"
"Chamaesyce.celastroides.var..stokesii","tree"
"Chamaesyce.celastroides.var..tomentella","tree"
"Chamaesyce.herbstii","tree"
"Chamaesyce.kuwaleana","tree"
"Chamaesyce.olowaluana","tree"
"Chamaesyce.rockii","tree"
"Charpentiera.densiflora","tree"
"Charpentiera.elliptica","tree"
"Charpentiera.obovata","tree"
"Charpentiera.ovata","tree"
"Charpentiera.ovata.var..niuensis","tree"
"Charpentiera.ovata.var..ovata","tree"
"Charpentiera.tomentosa","tree"
"Charpentiera.tomentosa.var..maakuaensis","tree"
"Charpentiera.tomentosa.var..tomentosa","tree"
"Cheirodendron.dominii","tree"
"Cheirodendron.fauriei","tree"
"Cheirodendron.forbesii","tree"
"Cheirodendron.platyphyllum","tree"
"Cheirodendron.platyphyllum.ssp..kauaiense","tree"
"Cheirodendron.platyphyllum.ssp..platyphyllum","tree"
"Cheirodendron.trigynum","tree"
"Cheirodendron.trigynum.ssp..helleri","tree"
"Cheirodendron.trigynum.ssp..trigynum","tree"
"Chenopodium.oahuense","tree"
"Chilopsis.linearis","tree"
"Chilopsis.linearis.ssp..arcuata","tree"
"Chilopsis.linearis.ssp..linearis","tree"
"Chiococca.alba","tree"
"Chionanthus.axilliflorus","tree"
"Chionanthus.compactus","tree"
"Chionanthus.domingensis","tree"
"Chionanthus.holdridgei","tree"
"Chionanthus.ligustrinus","tree"
"Chionanthus.virginicus","tree"
"Chione.seminervis","tree"
"Chione.venosa","tree"
"Chorisia.insignis","tree"
"Chorisia.speciosa","tree"
"Chrysobalanus.icaco","tree"
"Chrysolepis.chrysophylla","tree"
"Chrysolepis.chrysophylla.var..chrysophylla","tree"
"Chrysophyllum.argenteum","tree"
"Chrysophyllum.cainito","tree"
"Chrysophyllum.oliviforme","tree"
"Chrysophyllum.pauciflorum","tree"
"Cibotium.×heleniae","tree"
"Cibotium.chamissoi","tree"
"Cibotium.glaucum","tree"
"Cibotium.menziesii","tree"
"Cinchona.pubescens","tree"
"Cinnamomum.burmannii","tree"
"Cinnamomum.camphora","tree"
"Cinnamomum.carolinense","tree"
"Cinnamomum.elongatum","tree"
"Cinnamomum.montanum","tree"
"Cinnamomum.pedatinervium","tree"
"Cinnamomum.verum","tree"
"Citharexylum.×perkinsii","tree"
"Citharexylum.berlandieri","tree"
"Citharexylum.caudatum","tree"
"Citharexylum.spinosum","tree"
"×Citrofortunella.microcarpa","tree"
"×Citroncirus.webberi","tree"
"Citrus.×aurantiifolia","tree"
"Citrus.×aurantium","tree"
"Citrus.×limon","tree"
"Citrus.×limonia","tree"
"Citrus.×paradisi","tree"
"Citrus.×sinensis","tree"
"Citrus.hystrix","tree"
"Citrus.limetta","tree"
"Citrus.macroptera","tree"
"Citrus.maxima","tree"
"Citrus.medica","tree"
"Citrus.reticulata","tree"
"Cladrastis.kentukea","tree"
"Claoxylon.fallax","tree"
"Claoxylon.longiracemosum","tree"
"Claoxylon.sandwicense","tree"
"Cleidion.sessile","tree"
"Cleistanthus.carolinianus","tree"
"Cleistanthus.insularis","tree"
"Clermontia.×leptoclada","tree"
"Clermontia.arborescens","tree"
"Clermontia.arborescens.ssp..arborescens","tree"
"Clermontia.arborescens.ssp..waihiae","tree"
"Clermontia.arborescens.ssp..waikoluensis","tree"
"Clermontia.clermontioides","tree"
"Clermontia.clermontioides.ssp..clermontioides","tree"
"Clermontia.clermontioides.ssp..rockiana","tree"
"Clermontia.drepanomorpha","tree"
"Clermontia.fauriei","tree"
"Clermontia.grandiflora","tree"
"Clermontia.grandiflora.ssp..grandiflora","tree"
"Clermontia.grandiflora.ssp..maxima","tree"
"Clermontia.grandiflora.ssp..munroi","tree"
"Clermontia.hawaiiensis","tree"
"Clermontia.kakeana","tree"
"Clermontia.kohalae","tree"
"Clermontia.lindseyana","tree"
"Clermontia.micrantha","tree"
"Clermontia.montis-loa","tree"
"Clermontia.oblongifolia","tree"
"Clermontia.oblongifolia.ssp..brevipes","tree"
"Clermontia.oblongifolia.ssp..mauiensis","tree"
"Clermontia.oblongifolia.ssp..oblongifolia","tree"
"Clermontia.pallida","tree"
"Clermontia.parviflora","tree"
"Clermontia.peleana","tree"
"Clermontia.peleana.ssp..peleana","tree"
"Clermontia.peleana.ssp..singuliflora","tree"
"Clermontia.persicifolia","tree"
"Clermontia.pyrularia","tree"
"Clermontia.tuberculata","tree"
"Clermontia.waimeae","tree"
"Clerodendrum.aculeatum","tree"
"Clerodendrum.bungei","tree"
"Clerodendrum.chinense","tree"
"Clerodendrum.glabrum","tree"
"Clerodendrum.indicum","tree"
"Clerodendrum.inerme.var..oceanicum","tree"
"Clerodendrum.kaempferi","tree"
"Clerodendrum.macrostegium","tree"
"Clerodendrum.speciosissimum","tree"
"Clerodendrum.trichotomum","tree"
"Clerodendrum.trichotomum.var..ferrugineum","tree"
"Clethra.acuminata","tree"
"Cleyera.albopunctata","tree"
"Clibadium.erosum","tree"
"Clidemia.angustilamina","tree"
"Clidemia.cymosa","tree"
"Cliftonia.monophylla","tree"
"Clitoria.fairchildiana","tree"
"Clusia.clusioides","tree"
"Clusia.gundlachii","tree"
"Clusia.minor","tree"
"Clusia.rosea","tree"
"Cnidoscolus.aconitifolius","tree"
"Coccoloba.costata","tree"
"Coccoloba.diversifolia","tree"
"Coccoloba.krugii","tree"
"Coccoloba.microstachya","tree"
"Coccoloba.pallida","tree"
"Coccoloba.pubescens","tree"
"Coccoloba.pyrifolia","tree"
"Coccoloba.rugosa","tree"
"Coccoloba.sintenisii","tree"
"Coccoloba.swartzii","tree"
"Coccoloba.tenuifolia","tree"
"Coccoloba.uvifera","tree"
"Coccoloba.venosa","tree"
"Coccothrinax.argentata","tree"
"Coccothrinax.barbadensis","tree"
"Cocculus.laurifolius","tree"
"Cochlospermum.vitifolium","tree"
"Cocos.nucifera","tree"
"Codiaeum.variegatum","tree"
"Coffea.arabica","tree"
"Coffea.liberica","tree"
"Cojoba.arborea","tree"
"Cola.acuminata","tree"
"Colona.scabra","tree"
"Colubrina.arborescens","tree"
"Colubrina.asiatica","tree"
"Colubrina.cubensis","tree"
"Colubrina.cubensis.var..floridana","tree"
"Colubrina.elliptica","tree"
"Colubrina.glandulosa","tree"
"Colubrina.glandulosa.var..antillana","tree"
"Colubrina.greggii","tree"
"Colubrina.oppositifolia","tree"
"Colutea.arborescens","tree"
"Comarostaphylis.diversifolia","tree"
"Comarostaphylis.diversifolia.ssp..diversifolia","tree"
"Comarostaphylis.diversifolia.ssp..planifolia","tree"
"Commersonia.bartramia","tree"
"Comocladia.dodonaea","tree"
"Comocladia.glabra","tree"
"Condalia.globosa","tree"
"Condalia.globosa.var..pubescens","tree"
"Condalia.hookeri","tree"
"Condalia.hookeri.var..edwardsiana","tree"
"Condalia.hookeri.var..hookeri","tree"
"Conocarpus.erectus","tree"
"Conostegia.rufescens","tree"
"Consolea.moniliformis","tree"
"Consolea.nashii","tree"
"Consolea.rubescens","tree"
"Copaifera.officinalis","tree"
"Coprosma.foliosa","tree"
"Coprosma.kauensis","tree"
"Coprosma.longifolia","tree"
"Coprosma.montana","tree"
"Coprosma.ochracea","tree"
"Coprosma.pubens","tree"
"Coprosma.rhynchocarpa","tree"
"Coprosma.waimeae","tree"
"Cordia.alliodora","tree"
"Cordia.bahamensis","tree"
"Cordia.boissieri","tree"
"Cordia.borinquensis","tree"
"Cordia.collococca","tree"
"Cordia.dichotoma","tree"
