YEAR,JD,Plot, Air 15 cm,7.5cm,Air_SD,7.5_SD
2004,171,10,21.612,23.886,0.0691,0.00606
2004,171,11,21.356001,23.284,0.05539,0.00528
2004,171,12,23.500999,23.580999,0.0061,0.00635
2004,171,13,21.469999,23.299,0.05156,0.00456
2004,171,14,21.285,23.634001,0.07583,0.00549
2004,171,15,23.107,21.611,0.00497,0.0378
2004,171,16,21.35,23.632,0.06079,0.00552
2004,171,17,-99999,-99999,0,0
2004,171,18,21.341999,24.087,0.04933,0.00712
2004,171,19,21.424999,24.112,0.08468,0.00624
2004,171,20,21.358,24.167999,0.06395,0.00612
2004,171,1,20.976999,24.315001,0.05423,0.00756
2004,171,2,20.783001,24.481001,0.06461,0.00601
2004,171,3,21.089001,24.125999,0.04425,0.00592
2004,171,4,-99999,24.469,0,0.00693
2004,171,5,-99999,-99999,0,0
2004,171,6,21.111,23.747,0.06379,0.00677
2004,171,7,-99999,23.782,0,0.00549
2004,171,8,23.052999,21.093,0.01211,0.05513
2004,171,9,21.250999,23.646,0.03998,0.00458
2004,171,10,21.361,23.877001,0.04967,0.00541
2004,171,11,21.23,23.273001,0.05101,0.0056
2004,171,12,23.489,23.568001,0.00529,0.00535
2004,171,13,21.358999,23.296,0.02413,0.00497
2004,171,14,21.124001,23.622999,0.04415,0.00605
2004,171,15,23.097,21.459,0.00658,0.04585
2004,171,16,21.177,23.615,0.05612,0.00689
2004,171,17,-99999,-99999,0,0
2004,171,18,21.163,24.066999,0.04172,0.0074
2004,171,19,21.246,24.096001,0.06735,0.00606
2004,171,20,21.124001,24.153,0.05665,0.00589
2004,171,1,21.148001,24.292999,0.09027,0.00677
2004,171,2,20.954,24.464001,0.11327,0.00709
2004,171,3,21.117001,24.112,0.05458,0.00705
2004,171,4,-99999,24.448,0,0.00688
2004,171,5,-99999,-99999,0,0
2004,171,6,21.341999,23.726999,0.08247,0.00708
2004,171,7,-99999,23.771,0,0.00589
2004,171,8,23.033001,21.143,0.00816,0.08051
2004,171,9,21.344999,23.636999,0.08703,0.00618
2004,171,10,21.483,23.864,0.08205,0.00572
2004,171,11,21.313999,23.264,0.05258,0.00483
2004,171,12,23.478001,23.554001,0.00485,0.00547
