BACE spring 2012 tree phenology,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
8,S,8,6231,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
9,N,1,6232,P. grand,xxx,xxx,xxx,xxx,xxx,y,
9,N,2,6357,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
9,N,3,6633,U. americana,102,107,109,109,115,,
9,N,4,6632,U. americana,102,104,109,109,115,,
9,N,5,6033,B. popul,.,100,107,109,111,,
9,N,6,6032,B. popul,86,86,93,95,107,,
9,N,7,6433,P. serotina,100,107,109,109,115,,
9,N,8,6432,P. serotina,93,93,104,107,115,,
9,S,1,6434,P. serotina,<83,86,86,86,93,,
9,S,2,6235,P. grand,115,.,115,115,124,,tiny resprout
9,S,3,6435,P. serotina,<93,.,93,100,107,,
9,S,4,6234,P. grand,xxx,xxx,xxx,xxx,xxx,y,tree girdled
9,S,5,6635,U. americana,104,104,.,107,115,,
9,S,6,6634,U. americana,107,107,109,109,115,,
9,S,7,6034,B. popul,<100,.,100,111,107,,
9,S,8,6035,B. popul,83,83,86,86,102,,
10,N,1,6036,B. popul,86,86,93,102,107,,
10,N,2,6437,P. serotina,86,93,93,93,111,,resprout from base
10,N,3,6637,U. americana,<139,.,<139,.,139,,"stump (chewed off), ?tiny resprouts?? 1 leaf day 139."
10,N,4,6236,P. grand,115,.,115,117,124,,resprout
10,N,5,6636,U. americana,.,93,.,107,111,,resprouts from base
10,N,6,6237,P. grand,100,104,.,107,107,,"resprouts from base, tree girdled"
10,N,7,6037,B. popul,83,83,88,104,107,,
10,N,8,6436,P. serotina,100,102,.,107,111,,
10,S,1,6439,P. serotina,86,93,.,100,109,,new sprout (old tree part lags behind on phenology)
10,S,2,6238,P. grand,107,107,111,111,115,,
10,S,3,6039,B. popul,95,95,104,104,107,,
10,S,4,6639,U. americana,107,107,109,109,117,,
10,S,5,6239,P. grand,107,107,111,111,121,,
10,S,6,6438,P. serotina,.,93,102,107,109,,
10,S,7,6038,B. popul,86,100,107,107,111,,
10,S,8,6638,U. americana,102,115,109,115,115,,
11,N,1,6041,B. popul,86,86,95,100,107,,
11,N,2,6241,P. grand,100,.,107,109,111,,
11,N,3,6441,P. serotina,109,111,115,115,121,,
11,N,4,6440,P. serotina,102,102,102,104,109,,
11,N,5,6641,U. americana,109,109,115,115,124,,
11,N,6,6240,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
11,N,7,6640,U. americana,111,115,115,115,121,,tiny resprout
11,N,8,6040,B. popul,93,100,107,107,111,,
11,S,1,6642,U. americana,109,109,111,117,121,,
11,S,2,6042,B. popul,95,104,104,107,111,,
11,S,3,6443,P. serotina,104,.,107,111,121,,
11,S,4,6643,U. americana,100,104,107,109,115,,
11,S,5,6043,B. popul,86,86,93,100,111,,
11,S,6,6243,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
11,S,7,6442,P. serotina,93,93,107,107,111,,
11,S,8,6242,P. grand,.,.,117,117,124,,tiny bud at base
12,N,1,6044,B. popul,86,88,102,104,104,,
12,N,2,6645,U. americana,107,115,115,115,121,,tiny buds at base
12,N,3,6244,P. grand,111,.,<117,117,132,,tiny buds at base
12,N,4,6444,P. serotina,93,93,102,102,109,,
12,N,5,6445,P. serotina,102,1052,107,107,111,,
12,N,6,6045,B. popul,88,88,.,107,111,,
12,N,7,6644,U. americana,102,107,107,109,117,,
12,N,8,6245,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
12,S,1,6247,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
12,S,2,6447,P. serotina,107,107,109,109,117,,
12,S,3,6246,P. grand,109,.,111,111,132,,resprout
12,S,4,6647,U. americana,107,107,109,109,115,,
12,S,5,6446,P. serotina,93,93,102,107,111,,
12,S,6,6046,B. popul,83,86,102,1052,111,,
12,S,7,6646,U. americana,109,109,111,111,127,,
12,S,8,6047,B. popul,93,107,107,107,115,,
13,N,1,6248,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
13,N,2,6648,U. americana,107,107,109,115,115,,
13,N,3,6649,U. americana,88,93,102,104,107,,
13,N,4,6049,B. popul,xxx,xxx,xxx,xxx,xxx,y,
13,N,5,6249,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
13,N,6,6449,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
13,N,7,6048,B. popul,xxx,xxx,xxx,xxx,xxx,y,
13,N,8,6448,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
13,S,1,6650,U. americana,107,107,109,109,115,,
13,S,2,6250,P. grand,xxx,xxx,xxx,xxx,xxx,y,
13,S,3,6651,U. americana,109,111,111,115,124,,
13,S,4,6451,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
13,S,5,6051,B. popul,xxx,xxx,xxx,xxx,xxx,y,
13,S,6,6050,B. popul,xxx,xxx,xxx,xxx,xxx,y,
13,S,7,6450,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
13,S,8,6251,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
14,N,1,6252,P. grand,xxx,xxx,xxx,xxx,xxx,y,chewed down 117
14,N,2,6052,B. popul,xxx,xxx,xxx,xxx,xxx,y,
14,N,3,6652,U. americana,121,135,135,137,137,,bud 121 rspt
14,N,4,6452,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
14,N,5,6253,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
14,N,6,6053,B. popul,xxx,xxx,xxx,xxx,xxx,y,
14,N,7,6453,P. serotina,93,100,102,107,115,,
14,N,8,6653,U. americana,100,.,.,107,115,,bud at ground level in dirt
14,S,1,6655,U. americana,.,93,93,100,107,,
14,S,2,6455,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
14,S,3,6255,P. grand,xxx,xxx,xxx,xxx,xxx,y,
14,S,4,6055,B. popul,xxx,xxx,xxx,xxx,xxx,y,eaten from below
14,S,5,6454,P. serotina,.,93,93,104,107,,sprouts near ground
14,S,6,6254,P. grand,xxx,xxx,xxx,xxx,xxx,y,
14,S,7,6054,B. popul,xxx,xxx,xxx,xxx,xxx,y,
14,S,8,6654,U. americana,107,107,109,111,115,,
15,N,1,6256,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
15,N,2,6257,P. grand,xxx,xxx,xxx,xxx,xxx,y,
15,N,3,6457,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
15,N,4,6057,B. popul,88,100,.,107,111,,
15,N,5,6456,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
15,N,6,6656,U. americana,111,115,111,115,124,,2 resprouts at base
15,N,7,6056,B. popul,xxx,xxx,xxx,xxx,xxx,y,
15,N,8,6657,U. americana,107,107,109,109,115,,
15,S,1,6459,P. serotina,93,.,100,111,111,,
15,S,2,6659,U. americana,93,.,111,111,115,,
15,S,3,6658,U. americana,115,115,115,115,124,,rspt
15,S,4,6058,B. popul,100,109,109,109,121,,I think the leaves are just small on this tree
15,S,5,6259,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
15,S,6,6059,B. popul,109,115,109,117,130,,
15,S,7,6258,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
15,S,8,6458,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
16,N,1,6261,P. grand,xxx,xxx,xxx,xxx,xxx,y,
16,N,2,6460,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
16,N,3,6060,B. popul,86,86,95,102,107,,
16,N,4,6661,U. americana,.,86,102,107,115,,
16,N,5,6260,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
16,N,6,6061,B. popul,xxx,xxx,xxx,xxx,xxx,y,eaten from below
16,N,7,6660,U. americana,104,107,109,109,115,,
16,N,8,6461,P. serotina,150,.,.,.,.,n,tiny bud at base
16,S,1,6263,P. grand,xxx,xxx,xxx,xxx,xxx,y,
16,S,2,6663,U. americana,109,109,111,115,124,,
16,S,3,6463,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
16,S,4,6262,P. grand,xxx,xxx,xxx,xxx,xxx,y,eaten
16,S,5,6063,B. popul,100,109,109,109,111,,
16,S,6,6062,B. popul,100,100,109,109,111,,
16,S,7,6662,U. americana,109,109,115,115,121,,
16,S,8,6462,P. serotina,93,100,100,109,109,,
17,N,1,6065,B. popul,86,86,102,102,107,,
17,N,2,6064,B. popul,109,109,111,111,117,,
17,N,3,6264,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
17,N,4,6465,P. serotina,111,115,111,115,115,,rspt
17,N,5,6665,U. americana,109,109,115,115,124,,
17,N,6,6464,P. serotina,93,.,93,111,111,,resprout at base
