BACE spring 2012 Tree Phenology,,,,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,Comments,,,
15,W,4,4657,Q. rubra,115,121,124,124,150,,chewed stump- bud 1/4 of the way up,,,
15,W,5,4256,A. rubrum,.,.,.,.,150,,,,,
15,W,6,4656,Q. rubra,<121,.,121,124,137,,chewed stump,,,
15,W,8,4057,B. lenta,.,.,.,.,.,y,very chewed,,,
15,E,1,4058,B. lenta,.,.,.,.,.,y,,,,
15,E,2,4259,A. rubrum,121,124,124,127,139,,,,,
15,E,3,4059,B. lenta,.,.,.,.,.,y,,,,
15,E,5,4258,A. rubrum,.,.,.,.,.,y,gone,,,
15,E,6,4772,Q. rubra,.,.,.,.,.,y,gone,,,
15,E,7,4658,Q. rubra,.,.,.,.,.,y,,,,
16,W,2,4261,A. rubrum,115,115,115,115,.,,,,,
16,W,4,4260,A. rubrum,107,115,107,115,142,,chewed stump,,,
16,W,5,4661,Q. rubra,.,.,.,.,.,y,chewed stump,,,
16,W,6,4061,B. lenta,.,.,.,.,.,y,"very chewed, no bark",,,
16,W,7,4660,Q. rubra,.,.,.,.,.,y,"very chewed, no bark",,,
16,W,8,4060,B. lenta,.,.,.,.,.,y,"very chewed, no bark",,,
16,E,1,4062,B. lenta,107,107,111,111,121,,,,,
16,E,2,4263,A. rubrum,121,.,124,127,<<144,,"resprout, tiny leaf",,,
16,E,3,4063,B. lenta,.,.,.,.,.,y,girdled,,,
16,E,4,4662,Q. rubra,121,.,127,127,139,,resprout,,,
16,E,5,4663,Q. rubra,.,.,.,.,.,y,,,,
16,E,7,4262,A. rubrum,<135,.,135,135,146,,,,,
17,W,2,4664,Q. rubra,.,.,.,.,.,y,gone,,,
17,W,4,4064,B. lenta,.,.,.,.,.,y,chewed stump,,,
17,W,5,4265,A. rubrum,107,115,109,115,139,,,,,
17,W,6,4665,Q. rubra,.,.,.,.,152,,"chewed stump- resprout, missed phenology",,,
17,W,7,4065,B. lenta,<<121,.,.,121,127,,very chewed- leaves at base,,,
17,W,8,4264,A. rubrum,<107,115,107,111,124,,tiny sprout near base,,,
17,E,2,4667,Q. rubra,.,.,.,.,.,y,,,,
17,E,3,4067,B. lenta,.,.,.,.,.,y,very chewed,,,
17,E,4,4267,A. rubrum,.,.,.,.,.,y,gone,,,
17,E,5,4066,B. lenta,121,124,132,.,139,,1 leaf day 139,,,
17,E,7,4266,A. rubrum,.,.,.,.,.,y,gone,,,
17,E,8,4666,Q. rubra,115,.,121,121,135,,resprout. 127- leaves all dried. 135- some chewed leaves still green,,,
18,W,1,4668,Q. rubra,115,.,121,121,150,,,,,
18,W,2,4268,A. rubrum,.,.,.,.,.,y,gone,,,
18,W,4,4069,B. lenta,.,.,121,124,127,,very chewed resprout day 121,,,
18,W,5,4669,Q. rubra,.,.,.,.,.,y,probably dead (day 100),,,
18,W,6,4269,A. rubrum,<121,,121,124,144,,resprout,,,
18,W,8,4068,B. lenta,.,.,.,,.,y,very chewed,,,
18,E,2,4071,B. lenta,.,.,.,.,.,,,,,
18,E,3,4271,A. rubrum,109,115,111,111,124,,,,,
18,E,5,4671,Q. rubra,.,.,.,.,.,y,gone,,,
18,E,6,4270,A. rubrum,.,.,.,.,.,y,gone,,,
18,E,7,4070,B. lenta,.,.,.,.,.,y,very chewed,,,
18,E,8,4670,Q. rubra,117,117,117,117,127,,,,,
19,W,2,4673,Q. rubra,.,.,.,.,.,y,,,,
19,W,3,4073,B. lenta,.,.,.,.,.,y,bark chewed off completely lower 1/2,,,
19,W,4,4272,A. rubrum,.,.,.,.,.,y,gone,,,
19,W,5,4672,Q. rubra,.,.,.,.,.,y,chewed stump,,,
19,W,6,4273,A. rubrum,.,.,.,.,.,y,,,,
19,W,8,4072,B. lenta,.,.,.,.,.,y,,,,
19,E,1,4274,A. rubrum,.,.,.,.,.,y,gone,,,
19,E,2,4075,B. lenta,107,107,109,109,130,,drying day 132,,,
19,E,3,4275,A. rubrum,.,.,.,.,152,,missed phenology on resprout,,,
19,E,5,4675,Q. rubra,109,,,,,,,,,
19,E,6,4074,B. lenta,.,.,.,.,.,y,,,,
19,E,7,4674,Q. rubra,.,.,.,.,.,y,probably dead (day 100),,,
20,W,1,4676,Q. rubra,107,107,107,107,124,,,,,
20,W,2,4277,A. rubrum,.,.,.,.,.,y,buds died after opening?  Gone day 107,,,
20,W,4,4077,B. lenta,<124,.,124,127,130,,resprout at base,,,
20,W,6,4076,B. lenta,.,.,.,.,.,y,,,,
20,W,7,4677,Q. rubra,.,.,.,.,.,y,,,,
20,W,8,4276,A. rubrum,.,.,.,.,.,y,tiny chewed stump,,,
20,E,1,4678,Q. rubra,.,.,.,.,.,y,tiny chewed stump,,,
20,E,3,4079,B. lenta,107,107,109,109,115,,,,,
20,E,4,4278,A. rubrum,.,.,.,.,.,y,gone,,,
20,E,5,4679,Q. rubra,100,.,104,104,121,,"2 resprouts from base. Originally said full leaf on day 107, but I think this was one I messed up on with overzealous opening allocations",,,
20,E,6,4279,A. rubrum,109,109,109,109,127,,,,,
20,E,8,4078,B. lenta,121,.,124,127,127,,resprout- leaves are tiny but green,,,
21,W,2,4280,A. rubrum,.,.,.,.,.,y,eaten,,,
21,W,3,4681,Q. rubra,.,.,.,.,.,y,probably dead (day 100),,,
21,W,5,4081,B. lenta,.,.,.,.,.,y,dry,,,
21,W,6,4080,B. lenta,.,.,.,.,.,y,,,,
21,W,7,4281,A. rubrum,.,.,.,.,.,y,,,,
21,W,8,4680,Q. rubra,.,.,.,.,.,y,dry,,,
21,E,2,4683,Q. rubra,.,.,.,.,.,y,dried,,,
21,E,3,4682,Q. rubra,.,.,.,.,.,y,,,,
21,E,5,4082,B. lenta,.,.,.,.,.,y,dried,,,
21,E,6,4282,A. rubrum,.,.,.,.,.,y,dried,,,
21,E,7,,B. lenta,.,.,.,.,.,y,,,,
21,E,8,4283,A. rubrum,.,.,.,.,.,y,,,,
22,W,1,4084,B. lenta,.,.,.,.,.,y,probably dead (dry),,,
22,W,2,4684,Q. rubra,.,.,.,.,.,y,probably dead (dry),,,
22,W,3,4685,Q. rubra,.,.,.,.,.,y,probably dead (dry),,,
22,W,5,4085,B. lenta,.,.,.,.,.,y,probably dead (dry),,,
22,W,7,4284,A. rubrum,.,.,.,.,.,y,,,,
22,W,8,4285,A. rubrum,.,.,.,.,.,y,dry,,,
22,E,3,4287,A. rubrum,.,.,.,.,.,y,dry,,,
22,E,4,4087,B. lenta,.,.,.,.,.,y,probably dead,,,
22,E,5,4686,Q. rubra,.,.,.,.,.,y,,,,
22,E,6,4687,Q. rubra,.,.,.,.,.,y,chewed stump,,,
22,E,7,4086,B. lenta,.,.,.,.,.,y,,,,
22,E,8,4286,A. rubrum,.,.,.,.,.,y,,,,
23,W,1,4089,B. lenta,109,.,115,115,124,,,,,
23,W,4,4288,A. rubrum,.,.,.,.,.,y,gone,,,
23,W,5,4689,Q. rubra,107,.,109,.,121,,"only 2 leaves, day 117",,,
23,W,6,4088,B. lenta,.,.,.,.,.,y,probably dead,,,
23,W,7,4289,A. rubrum,.,.,.,.,.,y,probably dead,,,
23,W,8,4688,Q. rubra,.,.,.,.,.,y,,,,
23,E,1,4691,Q. rubra,111,.,111,111,135,,,,,
23,E,2,4290,A. rubrum,.,.,.,.,.,y,gone,,,
23,E,5,4091,B. lenta,107,109,115,115,121,,,,,
23,E,6,4690,Q. rubra,.,.,.,.,.,y,,,,
23,E,7,4090,B. lenta,.,.,.,.,.,y,,,,
23,E,8,4291,A. rubrum,.,.,.,.,.,y,gone,,,
24,W,1,4293,A. rubrum,100,.,104,107,111,,2 tiny resprouts near base,,,
24,W,2,4292,A. rubrum,.,.,.,.,.,y,,,,
24,W,4,4692,Q. rubra,121,.,127,135,142,,2 tiny buds at base (chewed stump),,,
24,W,5,4771,Q. rubra,127,.,135,135,152,,chewed stump- tiny resprout at base,,,
24,W,7,4093,B. lenta,107,109,111,111,121,,,,,
24,W,8,4092,B. lenta,107,109,109,109,121,,,,,
24,E,1,4095,B. lenta,.,.,.,.,.,y,probably dead,,,
24,E,2,4694,Q. rubra,.,.,.,.,.,y,probably dead,,,
24,E,4,4295,A. rubrum,.,.,.,.,.,y,,,,
24,E,5,4094,B. lenta,.,.,.,.,.,y,probably dead,,,
24,E,7,4294,A. rubrum,.,.,.,.,.,y,,,,
24,E,8,4695,Q. rubra,115,.,115,117,139,,leaves near top dying day 124,,,
25,W,1,4697,Q. rubra,.,.,.,.,.,y,,,,
25,W,2,4097,B. lenta,.,.,.,.,.,y,chewed stump,,,
25,W,4,4096,B. lenta,.,.,.,.,.,y,,,,
25,W,5,4297,A. rubrum,.,.,.,.,.,y,gone,,,
25,W,6,4296,A. rubrum,.,.,.,.,.,y,"chewed stump, gone",,,
25,W,7,4696,Q. rubra,.,.,.,.,.,y,"chewed stump, gone",,,
25,E,1,4699,Q. rubra,.,.,.,.,.,y,gone,,,
25,E,2,4098,B. lenta,.,.,.,.,.,y,probably dead,,,
25,E,3,4099,B. lenta,.,.,.,.,.,y,gone,,,
25,E,4,4298,A. rubrum,.,.,.,.,.,y,gone,,,
25,E,5,4698,Q. rubra,.,.,.,.,.,y,probably dead,,,
25,E,8,4299,A. rubrum,.,.,.,.,.,y,probably dead,,,
26,W,2,4101,B. lenta,.,.,.,.,.,y,"very chewed, probably dead",,,
26,W,4,4301,A. rubrum,.,.,.,.,.,y,gone,,,
26,W,5,4701,Q. rubra,121,.,127,132,146,,,,,
26,W,6,4300,A. rubrum,.,.,.,.,.,y,gone,,,
26,W,7,4700,Q. rubra,.,.,.,.,.,y,,,,
26,W,8,4100,B. lenta,.,.,.,.,.,y,very chewed stump,,,
26,E,1,4302,A. rubrum,<121,.,.,<121,132,,"bark very chewed, resprout",,,
26,E,2,4102,B. lenta,.,.,.,.,152,,"very chewed bark, top. resprout- missed phenology",,,
26,E,4,4702,Q. rubra,121,.,127,132,156,,"bark very chewed, top chewed, resprout",,,
26,E,5,4703,Q. rubra,135,.,135,135,150,,"bark very chewed, top chewed, resprout",,,
26,E,7,4303,A. rubrum,.,.,.,.,.,y,"bark very chewed, top chewed, resprout",,,
26,E,8,4103,B. lenta,.,.,.,.,.,y,tiny chewed stump,,,
27,W,1,4104,B. lenta,.,.,.,.,.,y,,,,
27,W,2,4704,Q. rubra,.,.,.,.,.,y,"eaten, chewed down at base, bark eaten",,,
27,W,3,4105,B. lenta,.,.,.,.,.,y,probably dead,,,
27,W,4,4304,A. rubrum,.,.,.,.,.,y,gone,,,
27,W,6,4705,Q. rubra,137,.,137,137,144,,"bark very chewed. Bud near base, tiny resprout 137",,,
27,W,8,4305,A. rubrum,.,.,.,.,.,y,gone,,,
27,E,1,4307,A. rubrum,.,.,.,.,.,y,gone,,,
27,E,2,4106,B. lenta,.,.,.,.,.,y,probably dead,,,
27,E,3,4706,Q. rubra,.,.,.,.,.,y,probably dead,,,
27,E,5,4306,A. rubrum,.,.,.,.,.,y,,,,
27,E,6,4707,Q. rubra,<121,.,.,121,142,,resprout,,,
27,E,8,4107,B. lenta,.,.,.,.,.,y,probably dead,,,
28,W,1,4708,Q. rubra,.,.,.,.,.,y,gone,,,
28,W,3,4357,A. rubrum,.,.,.,.,.,y,gone,,,
28,W,4,4308,A. rubrum,.,.,.,.,.,y,gone,,,
28,W,5,4709,Q. rubra,.,.,.,.,.,y,drought death?,,,
28,W,6,4109,B. lenta,.,.,.,.,.,y,,,,
28,W,8,4108,B. lenta,.,.,.,.,.,y,,,,
28,E,1,4710,Q. rubra,109,.,109,109,142,,probably dead,,,
28,E,2,4711,Q. rubra,.,.,.,.,.,y,"very chewed, probably dead",,,
28,E,4,4311,A. rubrum,109,.,109,117,127,,resprout from base,,,
28,E,5,4111,B. lenta,.,.,.,.,.,y,probably dead,,,
28,E,6,4110,B. lenta,.,.,.,.,.,y,probably dead,,,
28,E,8,4310,A. rubrum,.,.,.,.,.,y,chewed stump,,,
29,W,1,4112,B. lenta,.,.,.,.,.,y,,,,
29,W,2,4312,A. rubrum,.,.,.,.,.,y,probably dead,,,
29,W,4,4713,Q. rubra,.,.,.,.,.,y,eaten at base belowground,,,
29,W,6,4358,A. rubrum,.,.,.,.,.,y,gone,,,
29,W,7,4113,B. lenta,.,.,.,.,.,y,,,,
29,W,8,4712,Q. rubra,.,.,.,.,.,y,eaten at base belowground,,,
29,E,1,4715,Q. rubra,111,.,111,111,124,,,,,
29,E,2,4115,B. lenta,.,.,.,.,.,y,,,,
29,E,3,4714,Q. rubra,107,.,111,111,124,,,,,
29,E,4,4315,A. rubrum,.,.,.,.,.,y,,,,
29,E,7,4314,A. rubrum,.,.,.,.,.,y,tiny chewed stump,,,
29,E,8,4114,B. lenta,.,.,.,.,.,y,,,,
30,W,1,4116,B. lenta,.,.,.,.,.,y,"girdled, probably dead",,,
30,W,2,4316,A. rubrum,109,.,111,117,127,,,,,
30,W,3,4716,Q. rubra,.,.,.,.,.,y,,,,
30,W,4,4317,A. rubrum,115,.,121,124,127,,,,,
30,W,7,4717,Q. rubra,.,.,.,.,.,y,,,,
30,W,8,4117,B. lenta,.,.,.,.,.,y,probably dead,,,
30,E,1,4318,A. rubrum,.,.,.,.,.,y,gone,,,
30,E,3,4319,A. rubrum,.,.,.,.,.,y,,,,
30,E,4,4719,Q. rubra,.,.,.,.,.,y,gone,,,
30,E,6,4118,B. lenta,.,.,.,.,.,y,probably dead,,,
30,E,7,4119,B. lenta,.,.,.,.,.,y,probably dead,,,
30,E,8,4718,Q. rubra,121,121,124,127,146,,chewed stump,,,
31,W,1,4321,A. rubrum,.,.,.,.,.,y,gone,,,
31,W,2,4720,Q. rubra,<132,.,<132,<132,142,,resprout,,,
31,W,3,4721,Q. rubra,.,.,.,.,.,y,,,,
31,W,4,4121,B. lenta,.,.,.,.,.,y,"very chewed stump, probably dead",,,
31,W,7,4320,A. rubrum,<115,.,<115,.,115,,"very chewed, 2 leaves total (day 115). I accidentally just knocked leaves off (day 121)",,,
31,W,8,4120,B. lenta,.,.,.,.,.,y,"very chewed, probably dead",,,
31,E,1,4322,A. rubrum,.,.,.,.,.,y,,,,
31,E,3,4723,Q. rubra,.,.,.,.,.,y,gone,,,
31,E,4,4122,B. lenta,.,.,.,.,.,y,gone,,,
31,E,5,4323,A. rubrum,.,.,.,.,.,y,gone,,,
31,E,7,4722,Q. rubra,.,.,<127,127,135,,"very chewed stump, resprout",,,
31,E,8,4123,B. lenta,.,.,.,.,.,y,gone,,,
32,W,1,4125,B. lenta,.,.,.,.,.,y,,,,
32,W,2,4324,A. rubrum,.,.,.,.,.,y,gone,,,
32,W,5,4725,Q. rubra,.,.,.,.,.,y,tiny chewed stump,,,
32,W,6,4325,A. rubrum,.,.,.,.,.,y,gone,,,
32,W,7,4724,Q. rubra,.,.,.,.,.,y,gone,,,
32,W,8,4124,B. lenta,.,.,.,.,.,y,"very chewed, probably dead",,,
32,E,2,4126,B. lenta,.,.,.,.,.,y,"tiny chewed stump, bud dried",,,
32,E,3,4726,Q. rubra,111,.,115,115,127,,,,,
32,E,4,4326,A. rubrum,.,.,.,.,.,y,,,,
32,E,6,4727,Q. rubra,.,.,.,.,.,y,"eaten, no bark, chewed most of way through at base",,,
32,E,7,4327,A. rubrum,.,.,.,.,.,y,,,,
32,E,8,4127,B. lenta,.,.,.,.,.,y,very chewed and devoid of bark at base,,,
33,W,1,4329,A. rubrum,.,.,.,.,.,y,gone,,,
33,W,2,4328,A. rubrum,.,.,.,.,.,y,gone,,,
33,W,4,4729,Q. rubra,.,.,.,.,.,y,,,,
33,W,5,4128,B. lenta,.,.,.,.,.,y,,,,
33,W,6,4728,Q. rubra,.,.,.,.,.,y,,,,
33,W,7,4129,B. lenta,.,.,.,.,.,y,,,,
33,E,2,4731,Q. rubra,.,.,.,.,.,y,very dry,,,
33,E,3,4130,B. lenta,.,.,.,.,.,y,very dry,,,
33,E,4,4331,A. rubrum,.,.,.,.,.,y,gone,,,
33,E,5,4356,A. rubrum,.,.,.,.,.,y,gone,,,
33,E,6,4730,Q. rubra,.,.,.,.,.,y,,,,
33,E,7,4131,B. lenta,.,.,.,.,.,y,very dry,,,
34,W,1,4733,Q. rubra,.,.,.,.,.,y,very dry,,,
34,W,3,4133,B. lenta,.,.,.,.,.,y,very dry,,,
34,W,4,4333,A. rubrum,.,.,.,.,.,y,gone,,,
