BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
21,Trifolium pratense ,,,,,,,,,
21,Trifolium repens ,,,,,,,,,
21,Veronica arvensis ,2,,,119,,,179,,
21,Trifolium pratense ,,,,,,,,,
21,Digitaria ischaemum,,,,,,,,,
21,Solidago canadensis,,,179,,,,<300,,
21,,,,,,,,,,
22,Achillea millefolium,1,,128,,179,,<300,,
22,Asclepias syriaca ,,,,,,,,,
22,Berteroa incana,,,151,,179,<300,308,,
22,Capsella bursa-pastoris ,5,,,,,112,143,,
22,Cerastium fontanum ,,,,,,,,,
22,Chenopodium album,,,,,,,,,
22,Conyza canadensis,,,,,,,<300,,
22,Dactylis glomerata ,12,,128,,143,151,179,,
22,Digitaria ischaemum,,,,,,,,,
22,Draba verna ,>,,,,,119,<300,,
22,Elymus repens ,,,,,,,,,
22,Erigeron annuus ,,,,,,,,,
22,Festuca spp. ,3,,128,151,,179,<300,,
22,Lepidium virginicum,,,,,,,,,
22,Oenothera biennis,,,,,,,,,
22,Oxalis stricta ,1,,,128,,151,179,,
22,Phleum pratense ,,,,,,,,,
22,Plantago lanceolata ,,,,134,,151,179,,
22,Poa trivialis,1,,128,,143,,179,,
22,Potentilla argentea ,,,,,,,,,
22,Rumex crispus ,,1,134,,,,143,,
22,Setaria glauca,,,,,,,,,
22,Silene alba ,,,,134,,151,179,,
22,Tanacetum vulgare ,,,,,,,<300,,
22,Taraxacum officinale ,1,,,,,128,151,,
22,Trifolium pratense ,,,,,,,,,
22,Trifolium repens ,,,,,,,,,
22,Veronica arvensis ,10,,,119,134,,143,,
22,Linaria vulgaris,50,,,143,179,<300,325,,
22,Cardamine hirsuta,,,,,,112,134,,
22,,,,,,,,,,
23,Achillea millefolium,2,,119,143,151,179,<300,,
23,Asclepias syriaca ,,,,,,,,,
23,Berteroa incana,,,,,,,,,
23,Capsella bursa-pastoris ,,,,,,,,,
23,Cerastium fontanum ,,,,,,,,,
23,Chenopodium album,,,,,,,,,
23,Conyza canadensis,,,,,,,<300,,
23,Dactylis glomerata ,,,,,151,,<300,,
23,Digitaria ischaemum,,,,,,,,,
23,Draba verna ,,,,,,,,,
23,Elymus repens ,,,151,,179,,<300,,
23,Erigeron annuus ,,,,,,,,,
23,Festuca spp. ,,,,,,,,,
23,Lepidium virginicum,,,,,,,,,
23,Oenothera biennis,,,,,,,,,
23,Oxalis stricta ,,,,,,,,,
23,Phleum pratense ,,,,,179,,<300,,
23,Plantago lanceolata ,,,,,,,,,
23,Poa trivialis,2,,,,143,,179,,
23,Potentilla argentea ,,,,,,,,,
23,Rumex crispus ,,,,,,,,,
23,Silene alba ,,,,151,,,179,,
23,Solidago canadensis,,,,,,,,,
23,Tanacetum vulgare ,,,,,,,,,
23,Taraxacum officinale ,,,,,,,,,
23,Trifolium pratense ,,,,,,,,,
23,Trifolium repens ,,,,,,,,,
23,Veronica arvensis ,8,,,128,134,143,179,,
23,Portulaca oleracea,,,,,,,,,
23,linnaria vulgaris,,,,,179,300,325,,
23,,,,,,,,,,
23,,,,,,,,,,
24,Achillea millefolium,1,,128,,179,,<300,,
24,Agrostis alba,,,134,,151,`79,<300,,
24,Asclepias syriaca ,,,,,,,,,
24,Berteroa incana,,,,,,,,,
24,Capsella bursa-pastoris ,,,,,,,,,
24,Cerastium fontanum ,,,,,,,,,
24,Chenopodium album,,,,,,,,,
24,Conyza canadensis,,,,,,,,,
24,Dactylis glomerata ,4,,128,,151,,179,,
24,Digitaria ischaemum,,,,,,,,,
24,Draba verna ,,,,,,,,,
24,Elymus repens ,,,,,,,,,
24,Erigeron annuus ,,,,,,,,,
24,Festuca spp. ,,,,,,,,,
24,Lepidium virginicum,,,,,179,,<300,,
24,Oxalis stricta ,,,,,,,,,
24,Phleum pratense ,,,,,,,,,
24,Plantago lanceolata ,,,,,,151,179,,
24,Poa trivialis,10,,128,,143,,179,,
24,Potentilla argentea ,,,,,,,,,
24,Rumex crispus ,,,,,,,,,
24,Setaria glauca,,,,,,,,,
24,Silene alba ,4,,119,128,134,151,179,,
24,Tanacetum vulgare ,,,,,,,<300,,
24,Taraxacum officinale ,,,,,,,,,
24,Trifolium pratense ,,,,,,,,,
24,Trifolium repens ,,,,,,,,,
24,Veronica arvensis ,4,,,128,,,134,,
24,,,,,,,,,,
24,,,,,,,,,,
25,Achillea millefolium,,,,,,,,,
25,Asclepias syriaca ,,,,,,,,,
25,Berteroa incana,,,,,,,,,
25,Capsella bursa-pastoris ,,,,,,,,,
25,Cerastium fontanum ,,,,,,,,,
25,Conyza canadensis,,,,,,,,,
25,Dactylis glomerata ,,,,,,,,,
25,Draba verna ,,,,,,,,,
25,Elymus repens ,,,,,,,,,
25,Erigeron annuus ,,,,,,,,,
25,Festuca spp. ,,,143,,,,179,,
25,Oxalis stricta ,,,,151,,,179,,
25,Phleum pratense ,,,,,,,,,
25,Plantago lanceolata ,,,,,,,,,
25,Poa trivialis,,,134,143,151,,179,,
25,Potentilla argentea ,,,,,,,,,
25,Rumex crispus ,,,,,,,,,
25,Setaria glauca,,,,,,,<300,,
25,Silene alba ,,,,,,,,,
25,Tanacetum vulgare ,,,,,,,,,
25,Taraxacum officinale ,,,,,,,,,
25,Trifolium pratense ,,,,,,,,,
25,Trifolium repens ,,,,,,,,,
25,Veronica arvensis ,,,,,134,,179,,
25,Oenothera biennis,,,,,,,,,
25,,,,,,,,,,
25,,,,,,,,,,
26,Achillea millefolium,4,,128,151,179,,<300,,
26,Asclepias syriaca ,,,151,,179,,<300,,
26,Berteroa incana,,,,,,,,,
26,Capsella bursa-pastoris ,,,,,,,,,
26,Cerastium fontanum ,,,,,,,,,
26,Conyza canadensis,,,,,,,,,
26,Dactylis glomerata ,,,,,,,,,
26,Draba verna ,?,,,112,,119,127,,
26,Elymus repens ,,,,,,,,,
26,Erigeron annuus ,,,,,,,,,
26,Festuca spp. ,,,,,,,,,
26,Oxalis stricta ,,1,,143,,,179,,
26,Phleum pratense ,,,,,,,,,
26,Plantago lanceolata ,,,,,,,,,
26,Poa trivialis,,,134,,,,179,,
26,Potentilla argentea ,,,,,,,,,
26,Rumex crispus ,,,,,,,,,
26,Setaria glauca,,,,,,,,,
26,Silene alba ,,,,,,,,,
26,Tanacetum vulgare ,,,,,,,,,
26,Taraxacum officinale ,,,,,,,,,
26,Trifolium pratense ,,,,,,,,,
26,Trifolium repens ,,,,,,,,,
26,Veronica arvensis ,2,,,,,,143,,
26,,,,,,,,,,
26,,,,,,,,,,
27,Achillea millefolium,,,,,,,,,
27,Asclepias syriaca ,,,151,,179,,<300,,
27,Berteroa incana,,,,,,,,,
27,Capsella bursa-pastoris ,,,,,,,,,
27,Cerastium fontanum ,,,,,,,,,
27,Conyza canadensis,,,,,,,,,
27,Dactylis glomerata ,,,,,,,,,
27,Digitaria ischaemum,,,,,,,,,
27,Draba verna ,?,,,112,,119,128,,
27,Elymus repens ,,,,,,,,,
27,Erigeron annuus ,,,,,,,,,
27,Festuca spp. ,,,,,,,,,
27,Oenothera biennis,,,,,,,,,
27,Oxalis stricta ,,2,,143,,,<300,,
27,Phleum pratense ,,,,,,,,,
27,Plantago lanceolata ,,,,,,,,,
27,Poa trivialis,90,,128,,143,,179,,
27,Potentilla argentea ,,,,,,,,,
27,Rumex crispus ,,,,,,,,,
27,Setaria glauca,,,,,,,,,
27,Setaria viridis,,,,,,,,,
27,Silene alba ,,,,,,,,,
27,Tanacetum vulgare ,,,,,,,,,
27,Taraxacum officinale ,,,,,,,,,
27,Trifolium pratense ,,,,,,,,,
27,Trifolium repens ,,,,,,,,,
27,Veronica arvensis ,4,,,119,,134,143,,
27,Verbascum thapsus,,,,,,,,,
27,,,,,,,,,,
27,,,,,,,,,,
28,Achillea millefolium,2,,119,143,179,,<300,,
28,Asclepias syriaca ,,20,143,,179,,<300,,
28,Berteroa incana,,,,,,,,,
28,Capsella bursa-pastoris ,,,,,,,,,
28,Cerastium fontanum ,,,,128,,143,179,,
28,Conyza canadensis,,,,,,,,,
28,Dactylis glomerata ,3,,128,,143,,<300,,
28,Digitaria ischaemum,,,,,,,,,
28,Draba verna ,1,,,,,128,,,
28,Elymus repens ,,,,,,,,,
28,Erigeron annuus ,,,,,,,,,
28,Festuca spp. ,,,,,,,,,
28,Oenothera biennis,,,,,,,,,
28,Oxalis stricta ,2,,,128,134,,179,,
28,Phleum pratense ,,,,,,,,,
28,Plantago lanceolata ,,,,,,,,,
28,Poa trivialis,60,,128,,143,,179,,
28,Potentilla argentea ,5,,128,,143,,179,,
28,Rumex crispus ,,,,,,,,,
28,Setaria glauca,,,,,,,<300,,
28,Setaria viridis,,,,,,,,,
28,Silene alba ,,,,,,,,,
28,Tanacetum vulgare ,,,,,,,,,
28,Taraxacum officinale ,,,,,,,,,
28,Trifolium pratense ,,,,,,,,,
28,Trifolium repens ,,,,,,,,,
28,Veronica arvensis ,3,,,119,,151,179,,
28,,,,,,,,,,
28,,,,,,,,,,
29,Achillea millefolium,4,,119,,151,179,<300,,
29,Asclepias syriaca ,,16,134,151,,,179,,
29,Berteroa incana,,,,,179,,<300,,
29,Capsella bursa-pastoris ,,,,,,,,,
29,Cardamine hirsuta,1,,,,,112,134,,
29,Cerastium fontanum ,,,,,,,,,
29,Conyza canadensis,,,,,,,,,
29,Dactylis glomerata ,8,,119,,143,,179,,
29,Digitaria ischaemum,,,,,,,,,
29,Draba verna ,?,,,105,,,<300,,
29,Elymus repens ,,,,,,,,,
29,Erigeron annuus ,,,,,,,,,
29,Festuca spp. ,,,,,,,,,
29,Oenothera biennis,,,,,,,,,
29,Oxalis stricta ,,,,134,,,151,,
29,Phleum pratense ,,,,,,,,,
29,Plantago lanceolata ,,,,,,,,,
29,Poa trivialis,5,,128,,143,151,179,,
29,Potentilla argentea ,,,,,,,,,
29,Rumex crispus ,,,,,,,,,
29,Setaria glauca,,,,,,,,,
29,Silene alba ,25,,,112,119,143,179,,
29,Tanacetum vulgare ,,,,,,,,,
29,Taraxacum officinale ,1,,,119,,128,151,,
29,Trifolium pratense ,,,,,,,,,
29,Trifolium repens ,,,,,,,,,
29,Veronica arvensis ,,,,,,,,,
29,,,,,,,,,,
29,,,,,,,,,,
30,Achillea millefolium,1,,119,151,179,,<300,,
30,Asclepias syriaca ,,,143,,,179,<300,,
30,Berteroa incana,,,,,,,,,
30,Capsella bursa-pastoris ,,,,,,,,,
30,Cerastium fontanum ,,,,134,,,179,,
30,Chicorium intybus,,,,,,,,,
30,Conyza canadensis,,,,,,,,,
30,Dactylis glomerata ,2,,128,,151,,179,,
30,Digitaria ischaemum,,,,,,,,,
30,Draba verna ,,,,,,,,,
30,Elymus repens ,,,,,,,,,
30,Erigeron annuus ,,,,,179,,<300,,
30,Festuca spp. ,,,,,,,,,
30,Oxalis stricta ,,,,134,,151,179,,
30,Phleum pratense ,,,,,,,,,
30,Plantago lanceolata ,3,,,143,,151,<300,,
30,Poa trivialis,15,,128,,151,,179,,
30,Polygonum,,,,,,,,,
30,Potentilla argentea ,,,,,151,,<300,,
30,Rumex crispus ,,,,,,,,,
30,Setaria glauca,,,,,,,,,
30,Silene alba ,12,,119,128,134,151,179,,
30,Tanacetum vulgare ,,,179,,,,<300,,
30,Taraxacum officinale ,,,,,,134,143,,
30,Trifolium pratense ,,,,,,,,,
30,Trifolium repens ,,,,,,,,,
30,Veronica arvensis ,25,,,112,,143,179,,
30,Oenothera biennis,,,,,,,,,
30,,,,,,,,,,
30,,,,,,,,,,
31,Achillea millefolium,,,,,,,,,
31,Asclepias syriaca ,,,,,179,,<300,,
31,Berteroa incana,,,,,,,,,
31,Capsella bursa-pastoris ,,,,,,,,,
31,Cerastium fontanum ,,,,134,,,179,,
31,Conyza canadensis,,,,,,,,,
31,Dactylis glomerata ,,,,134,,,179,,
31,Draba verna ,,,,,,,,,
31,Elymus repens ,2,,128,,151,,179,,
31,Erigeron annuus ,?,,,112,,,128,,
31,Festuca spp. ,,,,,,,,,
31,Linneria vulgaris,,,,,,,,,
31,Oxalis stricta ,,,,,,,,,
31,Phleum pratense ,,,,,,,,,
31,Plantago lanceolata ,,,,,,,,,
31,Poa trivialis,,,134,,151,,179,,
31,Potentilla argentea ,,,,,,,,,
31,Rumex crispus ,,1,143,151,,,179,,
31,Setaria glauca,,,,,,,,,
31,Silene alba ,,,,151,,,179,,
31,Tanacetum vulgare ,,,,,,,,,
31,Taraxacum officinale ,,,,,,,,,
31,Trifolium pratense ,,,,,,,,,
31,Trifolium repens ,,,,,,,,,
31,Veronica arvensis ,5,,,119,,134,143,,
31,Oenothera biennis,,,,,,,,,
31,,,,,,,,,,
31,,,,,,,,,,
32,Achillea millefolium,,,134,,,179,<300,,
32,Arabis glabra,,3,,,,143,<300,,
32,Asclepias syriaca ,,20,143,,,179,<300,,
32,Berteroa incana,,,,,,,,,
32,Capsella bursa-pastoris ,2,,112,,,119,143,,
32,Cerastium fontanum ,,,,134,,143,<300,,
32,Conyza canadensis,,,,,,,,,
32,Dactylis glomerata ,2,143,,,,,<300,,
32,Draba verna ,2,,,105,,112,<300,still fl/dry 128,
32,Elymus repens ,,,,,,,,,
32,Erigeron annuus ,,,,,,,,,
32,Festuca spp. ,,,,,,,,,
32,Oxalis stricta ,,,,,,,,,
32,Phleum pratense ,,,,,,,,,
32,Plantago lanceolata ,,,,,,151,179,,
32,Poa trivialis,,,132,,151,,179,,
32,Potentilla argentea ,,,,,,,,,
32,Rumex crispus ,,,,,151,,179,,
32,Setaria glauca,,,,,,,,,
32,Silene alba ,,,134,143,,179,<300,,
32,Tanacetum vulgare ,,,,,,,,,
32,Taraxacum officinale ,5,,,128,,134,179,,
32,Trifolium pratense ,,,,179,,,<300,,
32,Trifolium repens ,,,,,,,,,
32,Veronica arvensis ,8,,,119,,134,179,,
32,Solidago canadensis,,,179,,,,<300,,
32,Oenothera biennis,,,,,,,,,
32,,,,,,,,,,
32,,,,,,,,,,
33,Achillea millefolium,2,,119,151,179,,<300,,
33,Asclepias syriaca ,,,,,,,,,
33,Berteroa incana,,,,,179,,<300,,
33,Capsella bursa-pastoris ,,,,,,,,,
33,Cerastium fontanum ,,,,151,,,179,,
33,Conyza canadensis,,,,,,,,,
33,Dactylis glomerata ,,,,,,,,,
33,Draba verna ,2,,,92,98,112,128,,
33,Elymus repens ,,,,,,,,,
33,Erigeron annuus ,,,,,179,,<300,,
33,Festuca spp. ,,,,,,,,,
33,Lepidium virginicum,,,,,,,,,
33,Oenothera biennis,,,,,,,,,
33,Oxalis stricta ,,,,,,,,,
33,Phleum pratense ,,,,,,,,,
33,Plantago lanceolata ,,,,143,,151,179,,
33,Poa trivialis,30,,128,,151,,179,,
33,Potentilla argentea ,1,,128,143,,151,<300,,
33,Rumex crispus ,,,,,,,,,
33,Setaria glauca,,,,,,,<300,,
33,Silene alba ,,,134,,143,179,<300,,
33,Tanacetum vulgare ,,,,,,,,,
33,Taraxacum officinale ,4,,,119,,,151,,
33,Trifolium pratense ,,,,,,,,,
33,Trifolium repens ,,,,,,,,,
33,Veronica arvensis ,,,,,,,,,
33,,,,,,,,,,
33,,,,,,,,,,
34,Achillea millefolium,,,,,,,,,
34,Asclepias syriaca ,,,,,,,,,
34,Berteroa incana,,,,,179,,<300,,
34,Capsella bursa-pastoris ,,,,,,,,,
34,Cerastium fontanum ,,,,,,,143,,
34,Conyza canadensis,,,,,,,<300,,
34,Dactylis glomerata ,4,,128,,151,,<300,,
34,Digitaria ischaemum,,,,,,,,,
34,Draba verna ,?,,,92,,105,128,,
34,Elymus repens ,,,,,,,,,
34,Erigeron annuus ,,,,,,,,,
34,Festuca spp. ,,,,,,,,,
34,Lepidium virginicum,,,,,,,,,
34,Oenothera biennis,,,,,,,,,
34,Oxalis stricta ,,,,,,,,,
34,Phleum pratense ,,,,,,,,,
34,Plantago lanceolata ,40,,128,143,,151,179,,
34,Poa trivialis,3,,128,143,151,179,<300,,
34,Potentilla argentea ,,1,,143,,179,<300,,
34,Rumex crispus ,,,,,,,,,
34,Setaria glauca,,,,,,,<300,,
34,Silene alba ,5,,,134,143,179,<300,,
34,Tanacetum vulgare ,,,,,,,,,
34,Taraxacum officinale ,1,,,119,,128,<300,,
34,Trifolium pratense ,,,,,,,,,
34,Trifolium repens ,,,,,,,,,
34,Veronica arvensis ,3,,,119,,,143,,
34,Oregano,,,179,,,,<300,,
34,,,,,,,,,,
35,Achillea millefolium,,,,,,,,,
35,Amaranthus retroflexus,,,,,,,,,
35,Asclepias syriaca ,,,,,,,,,
35,Berteroa incana,,,,,179,,<300,,
35,Capsella bursa-pastoris ,,,,,,,,,
35,Cerastium fontanum ,,,,,,,,,
35,Chenopodium album,,,,,,,,,
35,Conyza canadensis,,,,,,,,,
35,Dactylis glomerata ,3,,128,,143,,179,,
35,Draba verna ,,,,,,,,,
35,Elymus repens ,,,,,,,,,
35,Erigeron annuus ,,,,,179,,<300,,
35,Festuca spp. ,,,143,,,,,,
35,Galinsoga ciliata,,,,,,,,,
35,Lepidium virginicum,,,,,,,,,
35,Oenothera biennis,,,,,,,,,
35,Oxalis stricta ,,,,,,,,,
35,Phleum pratense ,,,,,,,,,
35,Plantago lanceolata ,25,,128,134,143,151,179,,
35,Poa trivialis,3,,119,,143,,179,,
35,Potentilla argentea ,10,,119,134,143,179,<300,,
35,Rumex crispus ,,,,,,,,,
35,Setaria glauca,,,,,,,<300,,
35,Silene alba ,3,,128,,143,179,151,,
35,Tanacetum vulgare ,,,,,,,,,
35,Taraxacum officinale ,3,,,112,,128,151,,
35,Trifolium pratense ,,,,,,,,,
35,Trifolium repens ,,,,,,,,,
35,Veronica arvensis ,5,,,112,,151,179,,
35,,,,,,,,,,
35,,,,,,,,,,
36,Achillea millefolium,,,,,,,,,
36,Amaranthus retroflexus,,,,,,,,,
36,Asclepias syriaca ,,,,,,,,,
36,Berteroa incana,,,143,143,179,,<300,,
36,Capsella bursa-pastoris ,3,,,98,105,105,128,,
36,Cerastium fontanum ,,,,,,,,,
36,Conyza canadensis,,,,,,,,,
36,Dactylis glomerata ,,,,,,,,,
36,Digitaria ischaemum,,,,,,,,,
36,Draba verna ,?,,,92,,,,cant find it 105,
36,Elymus repens ,,,,,,,,,
36,Erigeron annuus ,,,,,,,,,
36,Festuca spp. ,,,,,,,,,
36,Lepidium virginicum,,,,,,,,,
36,Oxalis stricta ,,,,,,,,,
36,Phleum pratense ,,,,,,,,,
36,Plantago lanceolata ,5,,128,134,,,151,,
36,Poa trivialis,3,,128,,134,,151,,
36,Portulaca oleracea,,,,,,,,,
36,Potentilla argentea ,50,,112,128,134,179,<300,,
36,Rumex crispus ,,,134,,,,151,,
36,Setaria viridis,,,,,,,,,
36,Silene alba ,,,,,,,,,
36,Tanacetum vulgare ,,,,,,,,,
36,Taraxacum officinale ,2,,,105,,119,151,,
36,Trifolium pratense ,,,,,,,,,
36,Trifolium repens ,,,,,,,,,
36,Veronica arvensis ,5,,,119,,,151,,
36,Lamium amplexicaula,2,,,92,98,112,119,,
36,Setaria glauca,,,,,,,<300,,
36,Portulaca oleracea,,,,,,,,,
36,,,,,,,,,,
36,,,,,,,,,,
40,Achillea millefolium,,,,,,,,,
40,Asclepias syriaca ,,,,,,,,,
40,Berteroa incana,,,,,,,,,
40,Capsella bursa-pastoris ,,,,,,,,,
40,Cerastium fontanum ,,,,,,,,,
40,Conyza canadensis,,,,,,,,,
40,Dactylis glomerata ,1,,128,,,,179,,
40,Draba verna ,,,,,,,,,
40,Elymus repens ,,,,,179,,<308,,
40,Erigeron annuus ,,,,,,,,,
40,Festuca spp. ,,,,,,,,,
40,Oenothera biennis,,,,,,,,,
40,Oxalis stricta ,,,,,,,,,
40,Phleum pratense ,,,,,,,,,
40,Plantago lanceolata ,,,,,,,,,
40,Poa trivialis,,,,,,,,,
40,Potentilla argentea ,,,,,,,,,
40,Rumex crispus ,,,,,,,,,
40,Setaria glauca,,,,,,,,,
40,Silene alba ,,,,,,179,<308,,
40,Tanacetum vulgare ,,,,,,,,,
40,Taraxacum officinale ,,,,,,,,,
40,Trifolium pratense ,,,,,,,,,
40,Trifolium repens ,,,,,,,,,
40,Veronica arvensis ,3,,128,,,134,143,,
40,Rumex acetosella,75,,128,134,143,,179,,
40,,,,,,,,,,
40,,,,,,,,,,
41,Achillea millefolium,,,,,,,,,
41,Asclepias syriaca ,,,,,,,,,
41,Berteroa incana,,,,,179,,<308,,
41,Capsella bursa-pastoris ,,,,,,,,,
41,Cerastium fontanum ,,,,,,,,,
41,Conyza canadensis,,,,,,,,,
41,Dactylis glomerata ,5,,128,,,,179,,
41,Digitaria ischaemum,,,,,,,,,
41,Draba verna ,,,,,,,,,
41,Elymus repens ,,,,,,,,,
41,Erigeron annuus ,,,,,179,,<308,,
41,Festuca spp. ,,,,,,,,,
41,Oenothera biennis,,,,,,,,,
41,Oxalis stricta ,,,,,,,,,
41,Phleum pratense ,,,,,,,,,
41,Plantago lanceolata ,,,,,,,179,,
41,Poa trivialis,10,,128,,,,179,,
41,Potentilla argentea ,,,,,,,,,
41,Rumex crispus ,,,,,,,,,
41,Silene alba ,,,,,,,,,
41,Tanacetum vulgare ,,,,,,,,,
41,Taraxacum officinale ,,,,,,,,,
41,Trifolium pratense ,,,,,,,,,
41,Trifolium repens ,,,,,,,,,
41,Veronica arvensis ,3,,,128,,134,179,,
41,Setarir glauca,,,,,,,,,
41,,,,,,,,,,
41,,,,,,,,,,
42,Achillea millefolium,,,,,179,,<308,,
42,Asclepias syriaca ,,,,179,,,<308,,
42,Berteroa incana,,,,,,,,,
42,Capsella bursa-pastoris ,,,,,,,,,
42,Cerastium fontanum ,,,,134,,143,179,,
42,Conyza canadensis,,,,,,,,,
42,Dactylis glomerata ,10,,128,,,151,179,,
42,Draba verna ,,,,,,,,,
42,Elymus repens ,,,,,,,,,
42,Erigeron annuus ,,,,,179,,<308,,
42,Festuca spp. ,,,,,,,,,
42,Lepidium virginicum,,,,,,,,,
42,Oenothera biennis,,,,,,,,,
42,Oxalis stricta ,,,,,,,,,
42,Phleum pratense ,,,,,,,,,
42,Plantago lanceolata ,,,143,,,151,179,,
42,Poa trivialis,3,,128,,151,,179,,
42,Potentilla argentea ,,,,,,,,,
42,Rumex crispus ,,,151,,,,179,,
42,Setaria glauca,,,,,,,,,
42,Setaria viridis,,,,,,,,,
42,Silene alba ,3,,,,143,151,179,,
42,Tanacetum vulgare ,,,,,,,,,
42,Taraxacum officinale ,,,,,,,,,
42,Trifolium pratense ,,,,,,,,,
42,Trifolium repens ,,,,,,,,,
42,Veronica arvensis ,,,,,,,,,
42,Giant fox tail,,,,,,,,,
42,Digitaria ischaemum,,,,,,,,,
42,Eragrostis spectabilis,,,,,,,,,
42,moss,,,,,105,,,,
,,,,,,,,,,
,,,,,,,,,,
Key to variables:,,,,,,,,,,
% cover,,% of plot area covered by species (to nearest 5%),,,,,,,,
# of plants,,counted or estimated (if plant < 30 individuals),,,,,,,,
floral buds,,floral buds discernable (no flowers),,,,,,,,
buds and flowers,,floral buds and open flowers (10% to < 50% flowers),,,,,,,,
open flowers,,over 50% of organs carry open flowers,,,,,,,,
flowers and dry flowers,,open flowers and dry flowers (10 to < 50% dry flowers),,,,,,,,
dry flowers,,a majority of dry flowers and shedding of floral elements,,,,,,,,
,,,,,,,,,,
"*** for tiny flowers (e.g., V. arvensis and D. verna) just note FIRST date of any visible flower (under ""buds and flowers"")",,,,,,,,,,
,"and FIRST date whe NO FLOWER is visible any longer (under ""dry flowers"")",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Key to species names,,,,,,,,,,
Achillea millefolium,,common yarrow ***,,,,,,,,
Asclepias syriaca ,,common milkweed,,,,,,,,
Berteroa incana,,hoary alyssum,,,,,,,,
Capsella bursa-pastoris ,,shepherd's-purse,,,,,,,,
Cerastium fontanum ,,mouse-eared chickweed ***,,,,,,,,
Dactylis glomerata ,,orchard grass,,,,,,,,
Draba verna ,,spring Whitlowgrass ***,,,,,,,,
Elymus repens ,,quackgrass ***,,,,,,,,
Erigeron annuus ,,eastern daisy fleabane,,,,,,,,
Festuca spp. ,,Fescue,,,,,,,,
Lepidium ruderale,,stinking pepperweed,,,,,,,,
Oxalis stricta ,,yellow woodsorrel ***,,,,,,,,
Phleum pratense ,,timothy *** ,,,,,,,,
Plantago lanceolata ,,narrowleaf plantain ***,,,,,,,,
Poa trivialis,,rough bluegrass ***,,,,,,,,
Potentilla argentea ,,silver cinquefoil,,,,,,,,
Rumex crispus ,,curly dock ***,,,,,,,,
Silene alba ,,white campion ***,,,,,,,,
Tanacetum vulgare ,,common tansy ***,,,,,,,,
Taraxacum officinale ,,dandelion ***,,,,,,,,
Trifolium pratense ,,red clover,,,,,,,,
Trifolium repens ,,white clover ***,,,,,,,,
Veronica arvensis ,,corn speedwell ***,,,,,,,,
