BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
9,Conyza canadensis,,,,,,,,,
9,Dactylis glomerata ,4,,127,,150,,179,,
9,Digitaria ischaemum,,,,,,,,,
9,Draba verna ,,,,,,,,,
9,Elymus repens ,,,,,,,,,
9,Erigeron annuus ,,,,,,,,,
9,Festuca spp. ,,,,,,,,,
9,Lepidium virginicum,,,,,,,,,
9,Lotus corniculatus,,,,,,,,,
9,Oenothera biennis,,,,,,,,,
9,Oxalis stricta ,,,,134,,,179,,
9,Phleum pratense ,,,,,,,,,
9,Plantago lanceolata ,,,,,,,,,
9,Poa trivialis,2,,127,,143,,179,,
9,Polygonum aviculare,,,,,,,,,
9,Potentilla argentea ,,,,,,,,,
9,Rumex crispus ,,,134,,,143,150,,
9,Setaria glauca,,,,,,,,,
9,Silene alba ,4,,127,,134,150,179,,
9,Sonchus oleraceus,,,,,,,,,
9,Tanacetum vulgare ,,,,,,,,,
9,Taraxacum officinale ,,,,,,,,,
9,Trifolium pratense ,,,,,,,,,
9,Trifolium repens ,,,,,,,,,
9,Veronica arvensis ,15,,,112,119,134,150,,
9,Setaria viridens,,,,,,,,,
9,Linaria vulgaris,,,179,,,,<300,,
9,,,,,,,,,,
10,Achillea millefolium,,,,,,,,,
10,Asclepias syriaca ,,,150,,,179,<300,,
10,Berteroa incana,,,,,,,,,
10,Capsella bursa-pastoris ,,,,,,,,,
10,Cerastium fontanum ,,,,,,,,,
10,Conyza canadensis,,,,,,,,,
10,Dactylis glomerata ,5,,127,,143,,179,,
10,Draba verna ,,,,,,,,,
10,Elymus repens ,,,,,,,,,
10,Erigeron annuus ,,,,,,,,,
10,Festuca spp. ,,,,,,,,,
10,Oenothera biennis,,,,,,,,,
10,Oxalis stricta ,1,,,143,,,179,,
10,Phleum pratense ,,,,,,,,,
10,Plantago lanceolata ,,,,,,,,,
10,Poa trivialis,4,,127,143,150,,179,,
10,Potentilla argentea ,,,,,,,,,
10,Rumex crispus ,,,150,,,,179,,
10,Setaria glauca,,,,,,,,,
10,Silene alba ,2,,134,,143,,179,,
10,Tanacetum vulgare ,,,,,,,,,
10,Taraxacum officinale ,,,,,,,,,
10,Trifolium pratense ,,,,,,,,,
10,Trifolium repens ,,,,,,,,,
10,Veronica arvensis ,5,,112,,,,134,,
10,Linaria vulgaris,,,,,,,<300,,
10,Digitaria ischaemum,,,,,,,,,
10,,,,,,,,,,
10,,,,,,,,,,
11,Achillea millefolium,,,,,,,,,
11,Asclepias syriaca ,,,,,,,,,
11,Berteroa incana,,,,,,,,,
