block,rainfall,temp,plot,treepl2,treeplot,treeloc,tree_id,species,dead,tree_form,first_bud,three_buds,first_leaf,three_leaves,leaf_expansion,first_bud_doy,third_buds_doy,first_leaf_doy,third_leaf_doy,leaf_expansion_doy
1,0,2,3,2,W     ,3,428,Q. rubra  ,0,4,13-Apr-09,13-Apr-09,22-Apr-09,22-Apr-09,27-Apr-09,103,103,112,112,117
1,0,2,3,3,S     ,1,155,A. rubrum ,0,0,27-Apr-09,27-Apr-09,6-May-09,11-May-09,15-May-09,117,117,126,131,135
1,0,2,3,3,S     ,3,11,B. lenta  ,0,4,2-May-09,6-May-09,8-May-09,8-May-09,20-May-09,122,126,128,128,140
1,0,2,3,3,S     ,4,429,Q. rubra  ,0,4,17-Apr-09,20-Apr-09,24-Apr-09,27-Apr-09,27-Apr-09,107,110,114,117,117
1,0,2,3,4,E     ,1,156,A. rubrum ,0,4,20-Apr-09,29-Apr-09,29-Apr-09,2-May-09,4-May-09,110,119,119,122,124
1,0,2,3,4,E     ,2,430,Q. rubra  ,1,4,,,,,,,,,,
1,0,2,3,4,E     ,3,12,B. lenta  ,0,4,13-Apr-09,20-Apr-09,22-Apr-09,22-Apr-09,27-Apr-09,103,110,112,112,117
1,0,3,4,1,N     ,2,157,A. rubrum ,0,4,12-Apr-09,17-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,102,107,110,117,117
1,0,3,4,1,N     ,3,431,Q. rubra  ,0,4,15-Apr-09,15-Apr-09,27-Apr-09,27-Apr-09,27-Apr-09,105,105,117,117,117
1,0,3,4,1,N     ,4,13,B. lenta  ,0,4,13-Apr-09,20-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,103,110,110,117,117
1,0,3,4,2,W     ,1,432,Q. rubra  ,0,4,20-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,29-Apr-09,110,110,117,117,119
1,0,3,4,2,W     ,3,158,A. rubrum ,0,4,27-Apr-09,27-Apr-09,2-May-09,2-May-09,4-May-09,117,117,122,122,124
1,0,3,4,2,W     ,4,14,B. lenta  ,0,4,22-Apr-09,22-Apr-09,8-May-09,13-May-09,15-May-09,112,112,128,133,135
1,0,3,4,3,S     ,1,159,A. rubrum ,0,0,11-Apr-09,11-Apr-09,27-Apr-09,2-May-09,11-May-09,101,101,117,122,131
1,0,3,4,3,S     ,2,15,B. lenta  ,0,4,11-Apr-09,11-Apr-09,11-Apr-09,11-Apr-09,17-May-09,101,101,101,101,137
1,0,3,4,3,S     ,3,433,Q. rubra  ,0,4,11-Apr-09,11-Apr-09,20-Apr-09,20-Apr-09,27-Apr-09,101,101,110,110,117
1,0,3,4,4,E     ,1,434,Q. rubra  ,0,4,20-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,29-Apr-09,110,110,117,117,119
1,0,3,4,4,E     ,2,160,A. rubrum ,0,3,27-Apr-09,27-Apr-09,29-Apr-09,2-May-09,8-May-09,117,117,119,122,128
1,0,3,4,4,E     ,3,16,B. lenta  ,1,3,,,,,,,,,,
1,1,3,5,1,N     ,1,161,A. rubrum ,1,3,,,,,,,,,,
1,1,3,5,1,N     ,2,435,Q. rubra  ,1,3,,,,,,,,,,
1,1,3,5,1,N     ,3,17,B. lenta  ,0,3,27-Apr-09,27-Apr-09,2-May-09,4-May-09,15-May-09,117,117,122,124,135
1,1,3,5,2,W     ,1,436,Q. rubra  ,0,4,20-Apr-09,27-Apr-09,27-Apr-09,27-Apr-09,4-May-09,110,117,117,117,124
1,1,3,5,2,W     ,2,162,A. rubrum ,0,0,27-Apr-09,27-Apr-09,8-May-09,8-May-09,15-May-09,117,117,128,128,135
1,1,3,5,2,W     ,3,18,B. lenta  ,1,4,,,,,,,,,,
1,1,3,5,3,S     ,2,437,Q. rubra  ,0,4,24-Apr-09,27-Apr-09,29-Apr-09,4-May-09,8-May-09,114,117,119,124,128
1,1,3,5,3,S     ,3,163,A. rubrum ,0,0,24-Apr-09,29-Apr-09,27-Apr-09,6-May-09,15-May-09,114,119,117,126,135
1,1,3,5,3,S     ,4,19,B. lenta  ,1,4,,,,,,,,,,
1,1,3,5,4,E     ,1,438,Q. rubra  ,0,4,15-Apr-09,15-Apr-09,27-Apr-09,27-Apr-09,8-May-09,105,105,117,117,128
1,1,3,5,4,E     ,3,20,B. lenta  ,0,3,4-May-09,4-May-09,4-May-09,6-May-09,8-May-09,124,124,124,126,128
1,1,3,5,4,E     ,4,164,A. rubrum ,0,2,12-Apr-09,20-Apr-09,22-Apr-09,27-Apr-09,2-May-09,102,110,112,117,122
1,1,2,6,1,N     ,1,21,B. lenta  ,1,4,,,,,,,,,,
1,1,2,6,1,N     ,2,165,A. rubrum ,0,0,20-Apr-09,20-Apr-09,27-Apr-09,29-Apr-09,2-May-09,110,110,117,119,122
1,1,2,6,1,N     ,3,439,Q. rubra  ,0,4,20-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,2-May-09,110,110,117,117,122
1,1,2,6,2,W     ,1,22,B. lenta  ,0,2,15-Apr-09,15-Apr-09,22-Apr-09,27-Apr-09,27-Apr-09,105,105,112,117,117
1,1,2,6,2,W     ,2,440,Q. rubra  ,0,4,2-May-09,2-May-09,6-May-09,6-May-09,11-May-09,122,122,126,126,131
1,1,2,6,2,W     ,4,166,A. rubrum ,1,,,,,,,,,,,
1,1,2,6,3,S     ,2,167,A. rubrum ,0,2,15-Apr-09,22-Apr-09,22-Apr-09,29-Apr-09,8-May-09,105,112,112,119,128
1,1,2,6,3,S     ,3,23,B. lenta  ,0,2,11-Apr-09,11-Apr-09,27-Apr-09,2-May-09,4-May-09,101,101,117,122,124
1,1,2,6,3,S     ,4,441,Q. rubra  ,0,3,22-Apr-09,22-Apr-09,27-Apr-09,29-Apr-09,2-May-09,112,112,117,119,122
1,1,2,6,4,E     ,1,168,A. rubrum ,1,,,,,,,,,,,
1,1,2,6,4,E     ,2,24,B. lenta  ,1,,,,6-May-09,6-May-09,11-May-09,,,126,126,131
1,1,2,6,4,E     ,3,442,Q. rubra  ,0,4,15-Apr-09,15-Apr-09,27-Apr-09,27-Apr-09,2-May-09,105,105,117,117,122
1,1,1,7,1,N     ,1,25,B. lenta  ,0,2,,,15-May-09,23-May-09,23-May-09,,,135,143,143
1,1,1,7,1,N     ,2,169,A. rubrum ,1,,,,,,,,,,,
1,1,1,7,1,N     ,3,443,Q. rubra  ,0,2,27-Apr-09,29-Apr-09,2-May-09,4-May-09,11-May-09,117,119,122,124,131
1,1,1,7,2,W     ,1,170,A. rubrum ,0,2,24-Apr-09,27-Apr-09,4-May-09,6-May-09,18-May-09,114,117,124,126,138
1,1,1,7,2,W     ,2,26,B. lenta  ,0,3,27-Apr-09,27-Apr-09,27-Apr-09,8-May-09,11-May-09,117,117,117,128,131
1,1,1,7,2,W     ,4,444,Q. rubra  ,1,,,,,,,,,,,
1,1,1,7,3,S     ,1,171,A. rubrum ,1,,,,,,,,,,,
1,1,1,7,3,S     ,2,27,B. lenta  ,1,3,,,,,,,,,,
1,1,1,7,3,S     ,3,445,Q. rubra  ,1,,,,,,,,,,,
1,1,1,7,4,E     ,1,28,B. lenta  ,0,3,17-Apr-09,20-Apr-09,27-Apr-09,2-May-09,11-May-09,107,110,117,122,131
1,1,1,7,4,E     ,2,446,Q. rubra  ,1,,,,,,,,,,,
1,1,1,7,4,E     ,3,172,A. rubrum ,1,,,,,,,,,,,
1,1,0,8,1,N     ,1,29,B. lenta  ,0,4,29-Apr-09,2-May-09,4-May-09,6-May-09,11-May-09,119,122,124,126,131
1,1,0,8,1,N     ,2,447,Q. rubra  ,0,0,27-Apr-09,27-Apr-09,29-Apr-09,29-Apr-09,8-May-09,117,117,119,119,128
1,1,0,8,1,N     ,4,173,A. rubrum ,0,3,11-Apr-09,15-Apr-09,20-Apr-09,27-Apr-09,11-May-09,101,105,110,117,131
1,1,0,8,2,W     ,1,448,Q. rubra  ,0,3,29-Apr-09,29-Apr-09,2-May-09,2-May-09,15-May-09,119,119,122,122,135
1,1,0,8,2,W     ,2,30,B. lenta  ,0,3,,,,,,,,,,
1,1,0,8,2,W     ,3,174,A. rubrum ,0,4,15-Apr-09,27-Apr-09,27-Apr-09,2-May-09,11-May-09,105,117,117,122,131
1,1,0,8,3,S     ,1,31,B. lenta  ,0,3,18-May-09,18-May-09,23-May-09,23-May-09,1-Jun-09,138,138,143,143,152
1,1,0,8,3,S     ,2,449,Q. rubra  ,1,,,,,,,,,,,
1,1,0,8,3,S     ,3,175,A. rubrum ,1,4,,,,,,,,,,
1,1,0,8,4,E     ,1,176,A. rubrum ,0,4,15-May-09,15-May-09,15-May-09,18-May-09,5-Jun-09,135,135,135,138,156
1,1,0,8,4,E     ,2,450,Q. rubra  ,0,2,27-Apr-09,29-Apr-09,2-May-09,6-May-09,13-May-09,117,119,122,126,133
1,1,0,8,4,E     ,3,32,B. lenta  ,0,3,20-Apr-09,20-Apr-09,2-May-09,11-May-09,15-May-09,110,110,122,131,135
1,2,3,9,1,N     ,1,177,A. rubrum ,0,2,11-Apr-09,12-Apr-09,22-Apr-09,29-Apr-09,13-May-09,101,102,112,119,133
1,2,3,9,1,N     ,3,451,Q. rubra  ,0,3,20-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,2-May-09,110,110,117,117,122
1,2,3,9,1,N     ,4,33,B. lenta  ,0,2,20-Apr-09,20-Apr-09,29-Apr-09,29-Apr-09,2-May-09,110,110,119,119,122
1,2,3,9,2,W     ,1,452,Q. rubra  ,0,4,15-Apr-09,15-Apr-09,20-Apr-09,20-Apr-09,24-Apr-09,105,105,110,110,114
1,2,3,9,2,W     ,2,34,B. lenta  ,0,0,13-Apr-09,20-Apr-09,27-Apr-09,29-Apr-09,2-May-09,103,110,117,119,122
1,2,3,9,2,W     ,3,178,A. rubrum ,0,0,20-Apr-09,27-Apr-09,29-Apr-09,4-May-09,15-May-09,110,117,119,124,135
1,2,3,9,3,S     ,2,453,Q. rubra  ,0,4,27-Apr-09,4-May-09,8-May-09,8-May-09,11-May-09,117,124,128,128,131
1,2,3,9,3,S     ,3,179,A. rubrum ,0,2,15-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,4-May-09,105,110,117,117,124
1,2,3,9,3,S     ,4,35,B. lenta  ,0,3,24-Apr-09,24-Apr-09,27-Apr-09,4-May-09,8-May-09,114,114,117,124,128
1,2,3,9,4,E     ,1,36,B. lenta  ,0,3,11-Apr-09,24-Apr-09,22-Apr-09,29-Apr-09,2-May-09,101,114,112,119,122
1,2,3,9,4,E     ,2,454,Q. rubra  ,0,3,24-Apr-09,24-Apr-09,27-Apr-09,2-May-09,4-May-09,114,114,117,122,124
1,2,3,9,4,E     ,4,180,A. rubrum ,0,0,11-Apr-09,11-Apr-09,11-Apr-09,27-Apr-09,2-May-09,101,101,101,117,122
1,2,2,10,1,N     ,1,37,B. lenta  ,0,2,11-Apr-09,20-Apr-09,27-Apr-09,29-Apr-09,2-May-09,101,110,117,119,122
1,2,2,10,1,N     ,3,455,Q. rubra  ,0,3,22-Apr-09,24-Apr-09,27-Apr-09,27-Apr-09,2-May-09,112,114,117,117,122
1,2,2,10,1,N     ,4,182,A. rubrum ,0,0,11-Apr-09,17-Apr-09,20-Apr-09,29-Apr-09,8-May-09,101,107,110,119,128
1,2,2,10,2,W     ,1,456,Q. rubra  ,0,2,27-Apr-09,27-Apr-09,2-May-09,4-May-09,18-May-09,117,117,122,124,138
1,2,2,10,2,W     ,2,38,B. lenta  ,0,2,15-Apr-09,20-Apr-09,27-Apr-09,2-May-09,2-May-09,105,110,117,122,122
1,2,2,10,2,W     ,4,183,A. rubrum ,1,0,,,,,,,,,,
1,2,2,10,3,S     ,1,39,B. lenta  ,0,2,15-Apr-09,17-Apr-09,27-Apr-09,27-Apr-09,29-Apr-09,105,107,117,117,119
1,2,2,10,3,S     ,2,184,A. rubrum ,0,3,15-Apr-09,15-Apr-09,27-Apr-09,27-Apr-09,2-May-09,105,105,117,117,122
1,2,2,10,3,S     ,4,458,Q. rubra  ,0,4,24-Apr-09,24-Apr-09,27-Apr-09,29-Apr-09,8-May-09,114,114,117,119,128
1,2,2,10,4,E     ,1,40,B. lenta  ,0,2,13-Apr-09,20-Apr-09,29-Apr-09,29-Apr-09,2-May-09,103,110,119,119,122
1,2,2,10,4,E     ,3,185,A. rubrum ,1,0,,,,,,,,,,
1,2,2,10,4,E     ,4,457,Q. rubra  ,0,3,15-Apr-09,15-Apr-09,27-Apr-09,27-Apr-09,8-May-09,105,105,117,117,128
1,2,1,11,1,N     ,2,186,A. rubrum ,0,3,22-Apr-09,24-Apr-09,27-Apr-09,27-Apr-09,2-May-09,112,114,117,117,122
1,2,1,11,1,N     ,3,41,B. lenta  ,0,2,2-May-09,4-May-09,8-May-09,11-May-09,18-May-09,122,124,128,131,138
1,2,1,11,1,N     ,4,459,Q. rubra  ,0,3,29-Apr-09,29-Apr-09,4-May-09,4-May-09,11-May-09,119,119,124,124,131
1,2,1,11,2,W     ,1,42,B. lenta  ,0,3,27-Apr-09,27-Apr-09,2-May-09,8-May-09,11-May-09,117,117,122,128,131
1,2,1,11,2,W     ,3,460,Q. rubra  ,0,1,27-Apr-09,27-Apr-09,2-May-09,2-May-09,8-May-09,117,117,122,122,128
1,2,1,11,2,W     ,4,187,A. rubrum ,0,4,13-Apr-09,13-Apr-09,27-Apr-09,27-Apr-09,11-May-09,103,103,117,117,131
1,2,1,11,3,S     ,1,43,B. lenta  ,0,3,22-Apr-09,22-Apr-09,4-May-09,8-May-09,13-May-09,112,112,124,128,133
1,2,1,11,3,S     ,2,461,Q. rubra  ,0,4,29-Apr-09,29-Apr-09,4-May-09,6-May-09,11-May-09,119,119,124,126,131
1,2,1,11,3,S     ,4,188,A. rubrum ,0,1,,,,,,,,,,
1,2,1,11,4,E     ,1,462,Q. rubra  ,0,1,27-Apr-09,29-Apr-09,4-May-09,8-May-09,15-May-09,117,119,124,128,135
1,2,1,11,4,E     ,3,44,B. lenta  ,0,3,15-Apr-09,27-Apr-09,2-May-09,6-May-09,11-May-09,105,117,122,126,131
1,2,1,11,4,E     ,4,189,A. rubrum ,0,0,11-Apr-09,29-Apr-09,27-Apr-09,27-Apr-09,2-May-09,101,119,117,117,122
1,2,0,12,1,N     ,1,463,Q. rubra  ,0,3,2-May-09,4-May-09,11-May-09,11-May-09,18-May-09,122,124,131,131,138
1,2,0,12,1,N     ,3,45,B. lenta  ,0,3,4-May-09,4-May-09,8-May-09,11-May-09,18-May-09,124,124,128,131,138
1,2,0,12,1,N     ,4,190,A. rubrum ,0,2,11-Apr-09,17-Apr-09,27-Apr-09,27-Apr-09,8-May-09,101,107,117,117,128
1,2,0,12,2,W     ,1,464,Q. rubra  ,0,3,29-Apr-09,2-May-09,6-May-09,8-May-09,15-May-09,119,122,126,128,135
1,2,0,12,2,W     ,2,191,A. rubrum ,0,3,24-Apr-09,24-Apr-09,29-Apr-09,2-May-09,11-May-09,114,114,119,122,131
1,2,0,12,2,W     ,4,46,B. lenta  ,0,3,13-Apr-09,2-May-09,2-May-09,8-May-09,11-May-09,103,122,122,128,131
1,2,0,12,3,S     ,1,47,B. lenta  ,0,0,11-May-09,11-May-09,15-May-09,18-May-09,25-May-09,131,131,135,138,145
1,2,0,12,3,S     ,2,192,A. rubrum ,0,0,11-Apr-09,17-Apr-09,27-Apr-09,27-Apr-09,2-May-09,101,107,117,117,122
1,2,0,12,3,S     ,4,465,Q. rubra  ,0,3,27-Apr-09,29-Apr-09,2-May-09,2-May-09,15-May-09,117,119,122,122,135
1,2,0,12,4,E     ,2,466,Q. rubra  ,0,4,27-Apr-09,29-Apr-09,2-May-09,4-May-09,13-May-09,117,119,122,124,133
1,2,0,12,4,E     ,3,193,A. rubrum ,0,0,12-Apr-09,12-Apr-09,29-Apr-09,2-May-09,18-May-09,102,102,119,122,138
1,2,0,12,4,E     ,4,48,B. lenta  ,0,3,20-Apr-09,27-Apr-09,27-Apr-09,2-May-09,6-May-09,110,117,117,122,126
2,1,3,13,1,N     ,2,467,Q. rubra  ,0,4,29-Apr-09,29-Apr-09,2-May-09,4-May-09,11-May-09,119,119,122,124,131
2,1,3,13,1,N     ,3,194,A. rubrum ,0,2,12-Apr-09,24-Apr-09,27-Apr-09,29-Apr-09,4-May-09,102,114,117,119,124
2,1,3,13,1,N     ,4,49,B. lenta  ,0,3,27-Apr-09,27-Apr-09,2-May-09,6-May-09,13-May-09,117,117,122,126,133
2,1,3,13,2,W     ,1,468,Q. rubra  ,0,4,20-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,29-Apr-09,110,110,117,117,119
2,1,3,13,2,W     ,2,195,A. rubrum ,0,2,17-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,29-Apr-09,107,110,117,117,119
2,1,3,13,2,W     ,3,50,B. lenta  ,0,4,15-Apr-09,15-Apr-09,24-Apr-09,29-Apr-09,2-May-09,105,105,114,119,122
2,1,3,13,3,S     ,1,51,B. lenta  ,0,4,11-Apr-09,27-Apr-09,27-Apr-09,2-May-09,4-May-09,101,117,117,122,124
2,1,3,13,3,S     ,2,196,A. rubrum ,0,0,17-Apr-09,24-Apr-09,27-Apr-09,27-Apr-09,2-May-09,107,114,117,117,122
2,1,3,13,3,S     ,3,469,Q. rubra  ,1,,,,,,,,,,,
2,1,3,13,4,E     ,1,197,A. rubrum ,0,4,15-Apr-09,15-Apr-09,20-Apr-09,29-Apr-09,2-May-09,105,105,110,119,122
2,1,3,13,4,E     ,2,470,Q. rubra  ,0,3,24-Apr-09,24-Apr-09,2-May-09,2-May-09,11-May-09,114,114,122,122,131
2,1,3,13,4,E     ,3,52,B. lenta  ,1,4,,,,,,,,,,
2,1,2,14,1,N     ,1,471,Q. rubra  ,0,4,4-May-09,4-May-09,11-May-09,11-May-09,23-May-09,124,124,131,131,143
2,1,2,14,1,N     ,2,199,A. rubrum ,0,3,15-Apr-09,20-Apr-09,27-Apr-09,29-Apr-09,11-May-09,105,110,117,119,131
2,1,2,14,1,N     ,3,53,B. lenta  ,0,4,20-Apr-09,20-Apr-09,29-Apr-09,2-May-09,4-May-09,110,110,119,122,124
2,1,2,14,2,W     ,1,54,B. lenta  ,0,4,15-Apr-09,20-Apr-09,22-Apr-09,24-Apr-09,27-Apr-09,105,110,112,114,117
2,1,2,14,2,W     ,2,200,A. rubrum ,0,2,24-Apr-09,27-Apr-09,29-Apr-09,2-May-09,11-May-09,114,117,119,122,131
2,1,2,14,2,W     ,3,472,Q. rubra  ,0,4,22-Apr-09,22-Apr-09,29-Apr-09,2-May-09,8-May-09,112,112,119,122,128
2,1,2,14,3,S     ,2,201,A. rubrum ,0,0,15-Apr-09,20-Apr-09,27-Apr-09,27-Apr-09,8-May-09,105,110,117,117,128
2,1,2,14,3,S     ,3,55,B. lenta  ,0,3,13-Apr-09,15-Apr-09,24-Apr-09,24-Apr-09,27-Apr-09,103,105,114,114,117
2,1,2,14,3,S     ,4,473,Q. rubra  ,0,3,25-May-09,25-May-09,1-Jun-09,1-Jun-09,3-Jun-09,145,145,152,152,154
2,1,2,14,4,E     ,1,56,B. lenta  ,0,4,13-Apr-09,13-Apr-09,27-Apr-09,29-Apr-09,4-May-09,103,103,117,119,124
2,1,2,14,4,E     ,3,474,Q. rubra  ,0,4,27-Apr-09,27-Apr-09,29-Apr-09,2-May-09,11-May-09,117,117,119,122,131
2,1,2,14,4,E     ,4,202,A. rubrum ,0,3,27-Apr-09,27-Apr-09,2-May-09,2-May-09,11-May-09,117,117,122,122,131
2,1,1,15,1,N     ,1,203,A. rubrum ,0,3,29-Apr-09,2-May-09,8-May-09,8-May-09,15-May-09,119,122,128,128,135
2,1,1,15,1,N     ,2,475,Q. rubra  ,0,1,29-Apr-09,2-May-09,4-May-09,6-May-09,18-May-09,119,122,124,126,138
2,1,1,15,1,N     ,4,57,B. lenta  ,0,3,27-Apr-09,27-Apr-09,2-May-09,4-May-09,8-May-09,117,117,122,124,128
2,1,1,15,2,W     ,1,204,A. rubrum ,0,4,27-Apr-09,27-Apr-09,2-May-09,11-May-09,23-May-09,117,117,122,131,143
2,1,1,15,2,W     ,2,58,B. lenta  ,0,4,27-Apr-09,27-Apr-09,4-May-09,4-May-09,8-May-09,117,117,124,124,128
2,1,1,15,2,W     ,3,476,Q. rubra  ,0,2,27-Apr-09,29-Apr-09,2-May-09,2-May-09,13-May-09,117,119,122,122,133
2,1,1,15,3,S     ,1,59,B. lenta  ,0,3,27-Apr-09,27-Apr-09,2-May-09,8-May-09,11-May-09,117,117,122,128,131
2,1,1,15,3,S     ,2,477,Q. rubra  ,0,4,29-Apr-09,29-Apr-09,2-May-09,4-May-09,11-May-09,119,119,122,124,131
2,1,1,15,3,S     ,3,205,A. rubrum ,0,2,29-Apr-09,29-Apr-09,2-May-09,8-May-09,23-May-09,119,119,122,128,143
2,1,1,15,4,E     ,1,206,A. rubrum ,0,3,29-Apr-09,29-Apr-09,6-May-09,8-May-09,15-May-09,119,119,126,128,135
2,1,1,15,4,E     ,2,60,B. lenta  ,0,2,20-Apr-09,27-Apr-09,2-May-09,2-May-09,8-May-09,110,117,122,122,128
2,1,1,15,4,E     ,3,478,Q. rubra  ,1,,,,,,,,,,,
2,1,0,16,1,N     ,1,207,A. rubrum ,0,3,22-Apr-09,24-Apr-09,29-Apr-09,2-May-09,4-May-09,112,114,119,122,124
2,1,0,16,1,N     ,2,61,B. lenta  ,1,3,,,,,,,,,,
2,1,0,16,1,N     ,3,479,Q. rubra  ,0,2,8-May-09,8-May-09,11-May-09,15-May-09,20-May-09,128,128,131,135,140
2,1,0,16,2,W     ,1,480,Q. rubra  ,0,3,27-Apr-09,29-Apr-09,2-May-09,4-May-09,11-May-09,117,119,122,124,131
2,1,0,16,2,W     ,3,62,B. lenta  ,0,1,27-Apr-09,27-Apr-09,2-May-09,2-May-09,6-May-09,117,117,122,122,126
2,1,0,16,2,W     ,4,208,A. rubrum ,0,0,27-Apr-09,29-Apr-09,6-May-09,6-May-09,15-May-09,117,119,126,126,135
2,1,0,16,3,S     ,1,209,A. rubrum ,0,3,12-Apr-09,24-Apr-09,27-Apr-09,27-Apr-09,8-May-09,102,114,117,117,128
2,1,0,16,3,S     ,3,63,B. lenta  ,0,3,27-Apr-09,27-Apr-09,4-May-09,8-May-09,11-May-09,117,117,124,128,131
2,1,0,16,3,S     ,4,481,Q. rubra  ,0,3,27-Apr-09,27-Apr-09,8-May-09,11-May-09,20-May-09,117,117,128,131,140
2,1,0,16,4,E     ,1,482,Q. rubra  ,0,2,11-May-09,11-May-09,20-May-09,20-May-09,23-May-09,131,131,140,140,143
2,1,0,16,4,E     ,3,210,A. rubrum ,0,0,22-Apr-09,27-Apr-09,6-May-09,15-May-09,23-May-09,112,117,126,135,143
2,1,0,16,4,E     ,4,64,B. lenta  ,0,3,8-May-09,8-May-09,11-May-09,,,128,128,131,,
2,2,0,17,1,N     ,2,65,B. lenta  ,1,4,,,,,,,,,,
2,2,0,17,1,N     ,3,211,A. rubrum ,0,0,12-Apr-09,15-Apr-09,27-Apr-09,27-Apr-09,2-May-09,102,105,117,117,122
2,2,0,17,1,N     ,4,483,Q. rubra  ,0,2,29-Apr-09,29-Apr-09,4-May-09,6-May-09,15-May-09,119,119,124,126,135
2,2,0,17,2,W     ,2,66,B. lenta  ,0,2,27-Apr-09,27-Apr-09,6-May-09,8-May-09,11-May-09,117,117,126,128,131
