BACE spring 2012 Tree Phenology,,,,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,"1st bud 
bolted","all buds 
bolted",1st green,"all 
green","1st needle 
bundle",all needle bundles,"1st young 
needles","all young
needles",Comments,
27,E,7,4506,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
28,W,2,4556,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
28,W,7,4509,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
28,E,3,4557,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
28,E,7,4569,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
29,W,3,4513,P. strobus,115,102,95,102,121,130,163,184,,
29,W,5,,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
29,E,5,4515,P. strobus,.,.,.,.,.,.,.,.,"dying day 95, dead day 100",
29,E,6,4514,P. strobus,.,.,.,.,.,.,.,.,dead,
30,W,5,4517,P. strobus,102,109,102,102,124,128,158,170,,
30,W,6,4516,P. strobus,100,109,88,104,121,130,156,165,,
30,E,2,4518,P. strobus,144,144,88,102,121,128,156,158,top dead day 100. Side branches overtaking dead top day 146!,
30,E,5,4519,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
31,W,5,4521,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
31,W,6,4520,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
31,E,2,4523,P. strobus,104,115,95,109,137,142,.,.,drying day 198,
31,E,6,4522,P. strobus,109,115,111,115,137,142,165,191,,
32,W,3,4525,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
32,W,4,4524,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
32,E,1,4526,P. strobus,111,111,88,111,135,139,163,184,,
32,E,5,4527,P. strobus,109,109,109,115,135,142,167,191,,
33,W,3,4528,P. strobus,.,.,.,.,.,.,.,.,dead,
33,W,8,4529,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
33,E,1,4531,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
33,E,8,4565,P. strobus,.,.,.,.,.,.,.,.,dead,
34,W,2,4533,P. strobus,.,.,.,.,.,.,.,.,dead,
34,W,8,4532,P. strobus,.,.,.,.,.,.,.,.,dead,
34,E,7,4535,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
34,E,8,4534,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
35,W,1,4536,P. strobus,.,.,.,.,.,.,.,.,dead,
35,W,5,4537,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
35,E,1,4560,P. strobus,.,.,.,.,.,.,.,.,dead,
35,E,3,4566,P. strobus,.,.,.,.,.,.,.,.,dead,
36,W,1,4540,P. strobus,.,.,.,.,.,.,.,.,dead,
36,W,5,4541,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
36,E,1,4543,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
36,E,2,4542,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
40,W,3,4545,P. strobus,115,121,88,111,135,139,178,191,,
40,W,6,4544,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
40,E,3,4546,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
40,E,6,4547,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
41,W,1,4549,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
41,W,2,4548,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
41,E,6,4550,P. strobus,.,.,.,.,.,.,.,.,gone,
41,E,8,4551,P. strobus,135,137,128,128,150,160,184,198,,
42,W,3,4553,P. strobus,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,,
42,W,8,4552,P. strobus,137,.,115,115,142,150,184,198,,
42,E,1,4555,P. strobus,.,.,130,.,167,178,.,.,"?dying 102.  Day 212, new needles look healthy",
42,E,4,4554,P. strobus,.,.,128,128,150,160,184,191,?dying 102.,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
