plot,date,Day of year,year,decimal year,day,VWC,comments
33,10-Apr-09,100,2009,2009.271233,466,0.251,
34,10-Apr-09,100,2009,2009.271233,466,0.250,
35,10-Apr-09,100,2009,2009.271233,466,0.232,
36,10-Apr-09,100,2009,2009.271233,466,0.246,
1,16-Apr-09,106,2009,2009.287671,472,0.301,
2,16-Apr-09,106,2009,2009.287671,472,0.243,
3,16-Apr-09,106,2009,2009.287671,472,0.231,
4,16-Apr-09,106,2009,2009.287671,472,0.230,
5,16-Apr-09,106,2009,2009.287671,472,0.275,
6,16-Apr-09,106,2009,2009.287671,472,0.255,
7,16-Apr-09,106,2009,2009.287671,472,0.301,
8,16-Apr-09,106,2009,2009.287671,472,0.300,
9,16-Apr-09,106,2009,2009.287671,472,0.265,
10,16-Apr-09,106,2009,2009.287671,472,0.282,
11,16-Apr-09,106,2009,2009.287671,472,0.322,
12,16-Apr-09,106,2009,2009.287671,472,0.332,
13,16-Apr-09,106,2009,2009.287671,472,0.231,
14,16-Apr-09,106,2009,2009.287671,472,0.229,
15,16-Apr-09,106,2009,2009.287671,472,0.232,
16,16-Apr-09,106,2009,2009.287671,472,0.239,
17,16-Apr-09,106,2009,2009.287671,472,0.236,
18,16-Apr-09,106,2009,2009.287671,472,0.260,
19,16-Apr-09,106,2009,2009.287671,472,0.238,
20,16-Apr-09,106,2009,2009.287671,472,0.275,
21,16-Apr-09,106,2009,2009.287671,472,0.250,
22,16-Apr-09,106,2009,2009.287671,472,0.247,
23,16-Apr-09,106,2009,2009.287671,472,0.196,
24,16-Apr-09,106,2009,2009.287671,472,0.279,
25,16-Apr-09,106,2009,2009.287671,472,0.266,
26,16-Apr-09,106,2009,2009.287671,472,0.270,
27,16-Apr-09,106,2009,2009.287671,472,0.212,
28,16-Apr-09,106,2009,2009.287671,472,0.224,
29,16-Apr-09,106,2009,2009.287671,472,0.212,
30,16-Apr-09,106,2009,2009.287671,472,0.228,
31,16-Apr-09,106,2009,2009.287671,472,0.268,
32,16-Apr-09,106,2009,2009.287671,472,0.216,
33,16-Apr-09,106,2009,2009.287671,472,0.233,
34,16-Apr-09,106,2009,2009.287671,472,0.230,
35,16-Apr-09,106,2009,2009.287671,472,0.197,
36,16-Apr-09,106,2009,2009.287671,472,0.204,
1,24-Apr-09,113,2009,2009.306849,479,0.326,
2,24-Apr-09,113,2009,2009.306849,479,0.257,
3,24-Apr-09,113,2009,2009.306849,479,0.251,
4,24-Apr-09,113,2009,2009.306849,479,0.244,
5,24-Apr-09,113,2009,2009.306849,479,0.277,
6,24-Apr-09,113,2009,2009.306849,479,0.284,
7,24-Apr-09,113,2009,2009.306849,479,0.324,
8,24-Apr-09,113,2009,2009.306849,479,0.311,
9,24-Apr-09,113,2009,2009.306849,479,0.292,
10,24-Apr-09,113,2009,2009.306849,479,0.306,
11,24-Apr-09,113,2009,2009.306849,479,0.333,
12,24-Apr-09,113,2009,2009.306849,479,0.345,
13,24-Apr-09,113,2009,2009.306849,479,0.267,
14,24-Apr-09,113,2009,2009.306849,479,0.262,
15,24-Apr-09,113,2009,2009.306849,479,0.232,
16,24-Apr-09,113,2009,2009.306849,479,0.257,
17,24-Apr-09,113,2009,2009.306849,479,0.26,
18,24-Apr-09,113,2009,2009.306849,479,0.282,
19,24-Apr-09,113,2009,2009.306849,479,0.261,
20,24-Apr-09,113,2009,2009.306849,479,0.297,
21,24-Apr-09,113,2009,2009.306849,479,0.267,
22,24-Apr-09,113,2009,2009.306849,479,0.232,
23,24-Apr-09,113,2009,2009.306849,479,0.272,
24,24-Apr-09,113,2009,2009.306849,479,0.298,
25,24-Apr-09,113,2009,2009.306849,479,0.301,
26,24-Apr-09,113,2009,2009.306849,479,0.257,
27,24-Apr-09,113,2009,2009.306849,479,0.238,
28,24-Apr-09,113,2009,2009.306849,479,0.257,
29,24-Apr-09,113,2009,2009.306849,479,0.246,
30,24-Apr-09,113,2009,2009.306849,479,0.274,
31,24-Apr-09,113,2009,2009.306849,479,0.29,
32,24-Apr-09,113,2009,2009.306849,479,0.25,
33,24-Apr-09,113,2009,2009.306849,479,0.252,
34,24-Apr-09,113,2009,2009.306849,479,0.248,
35,24-Apr-09,113,2009,2009.306849,479,0.225,
36,24-Apr-09,113,2009,2009.306849,479,0.206,
1,30-Apr-09,120,2009,2009.326027,486,0.267,
2,30-Apr-09,120,2009,2009.326027,486,0.199,
3,30-Apr-09,120,2009,2009.326027,486,0.186,
4,30-Apr-09,120,2009,2009.326027,486,0.199,
5,30-Apr-09,120,2009,2009.326027,486,0.254,
6,30-Apr-09,120,2009,2009.326027,486,0.258,
7,30-Apr-09,120,2009,2009.326027,486,0.272,
8,30-Apr-09,120,2009,2009.326027,486,0.282,
9,30-Apr-09,120,2009,2009.326027,486,0.256,
10,30-Apr-09,120,2009,2009.326027,486,0.257,
11,30-Apr-09,120,2009,2009.326027,486,0.285,
12,30-Apr-09,120,2009,2009.326027,486,0.305,
13,30-Apr-09,120,2009,2009.326027,486,0.224,
14,30-Apr-09,120,2009,2009.326027,486,0.188,
15,30-Apr-09,120,2009,2009.326027,486,0.179,
16,30-Apr-09,120,2009,2009.326027,486,0.203,
17,30-Apr-09,120,2009,2009.326027,486,0.210,
18,30-Apr-09,120,2009,2009.326027,486,0.238,
19,30-Apr-09,120,2009,2009.326027,486,0.208,
20,30-Apr-09,120,2009,2009.326027,486,0.240,
21,30-Apr-09,120,2009,2009.326027,486,0.198,
22,30-Apr-09,120,2009,2009.326027,486,0.191,
23,30-Apr-09,120,2009,2009.326027,486,0.237,
24,30-Apr-09,120,2009,2009.326027,486,0.218,
25,30-Apr-09,120,2009,2009.326027,486,0.223,
26,30-Apr-09,120,2009,2009.326027,486,0.234,
27,30-Apr-09,120,2009,2009.326027,486,0.158,
28,30-Apr-09,120,2009,2009.326027,486,0.165,
29,30-Apr-09,120,2009,2009.326027,486,0.184,
30,30-Apr-09,120,2009,2009.326027,486,0.205,
31,30-Apr-09,120,2009,2009.326027,486,0.238,
32,30-Apr-09,120,2009,2009.326027,486,0.224,
33,30-Apr-09,120,2009,2009.326027,486,0.209,
34,30-Apr-09,120,2009,2009.326027,486,0.196,
35,30-Apr-09,120,2009,2009.326027,486,0.155,
36,30-Apr-09,120,2009,2009.326027,486,0.119,
1,7-May-09,127,2009,2009.345205,493,0.271,
2,7-May-09,127,2009,2009.345205,493,0.217,
3,7-May-09,127,2009,2009.345205,493,0.208,
4,7-May-09,127,2009,2009.345205,493,0.203,
5,7-May-09,127,2009,2009.345205,493,0.278,
6,7-May-09,127,2009,2009.345205,493,0.253,
7,7-May-09,127,2009,2009.345205,493,0.307,
8,7-May-09,127,2009,2009.345205,493,0.331,
9,7-May-09,127,2009,2009.345205,493,0.277,
10,7-May-09,127,2009,2009.345205,493,0.298,
11,7-May-09,127,2009,2009.345205,493,0.338,
12,7-May-09,127,2009,2009.345205,493,0.368,
13,7-May-09,127,2009,2009.345205,493,0.212,
14,7-May-09,127,2009,2009.345205,493,0.207,
15,7-May-09,127,2009,2009.345205,493,0.230,
16,7-May-09,127,2009,2009.345205,493,0.251,
17,7-May-09,127,2009,2009.345205,493,0.267,
18,7-May-09,127,2009,2009.345205,493,0.299,
19,7-May-09,127,2009,2009.345205,493,0.255,
20,7-May-09,127,2009,2009.345205,493,0.289,
21,7-May-09,127,2009,2009.345205,493,0.193,
22,7-May-09,127,2009,2009.345205,493,0.178,
23,7-May-09,127,2009,2009.345205,493,0.259,
24,7-May-09,127,2009,2009.345205,493,0.245,
25,7-May-09,127,2009,2009.345205,493,0.290,
26,7-May-09,127,2009,2009.345205,493,0.247,
27,7-May-09,127,2009,2009.345205,493,0.186,
28,7-May-09,127,2009,2009.345205,493,0.201,
29,7-May-09,127,2009,2009.345205,493,0.230,
30,7-May-09,127,2009,2009.345205,493,0.241,
31,7-May-09,127,2009,2009.345205,493,0.281,
32,7-May-09,127,2009,2009.345205,493,0.251,
33,7-May-09,127,2009,2009.345205,493,0.222,
34,7-May-09,127,2009,2009.345205,493,0.203,
35,7-May-09,127,2009,2009.345205,493,0.163,
36,7-May-09,127,2009,2009.345205,493,0.111,
1,15-May-09,135,2009,2009.367123,501,0.242,
2,15-May-09,135,2009,2009.367123,501,0.167,
3,15-May-09,135,2009,2009.367123,501,0.159,
4,15-May-09,135,2009,2009.367123,501,0.154,
5,15-May-09,135,2009,2009.367123,501,0.231,
6,15-May-09,135,2009,2009.367123,501,0.247,
7,15-May-09,135,2009,2009.367123,501,0.295,
8,15-May-09,135,2009,2009.367123,501,0.283,
9,15-May-09,135,2009,2009.367123,501,0.237,
10,15-May-09,135,2009,2009.367123,501,0.258,
11,15-May-09,135,2009,2009.367123,501,0.297,
12,15-May-09,135,2009,2009.367123,501,0.323,
13,15-May-09,135,2009,2009.367123,501,0.184,
14,15-May-09,135,2009,2009.367123,501,0.139,
15,15-May-09,135,2009,2009.367123,501,0.172,
16,15-May-09,135,2009,2009.367123,501,0.209,
17,15-May-09,135,2009,2009.367123,501,0.237,
18,15-May-09,135,2009,2009.367123,501,0.247,
19,15-May-09,135,2009,2009.367123,501,0.202,
20,15-May-09,135,2009,2009.367123,501,0.238,
21,15-May-09,135,2009,2009.367123,501,0.132,
22,15-May-09,135,2009,2009.367123,501,0.127,
23,15-May-09,135,2009,2009.367123,501,0.221,
24,15-May-09,135,2009,2009.367123,501,0.222,
25,15-May-09,135,2009,2009.367123,501,0.244,
26,15-May-09,135,2009,2009.367123,501,0.208,
27,15-May-09,135,2009,2009.367123,501,0.152,
28,15-May-09,135,2009,2009.367123,501,0.152,
29,15-May-09,135,2009,2009.367123,501,0.166,
30,15-May-09,135,2009,2009.367123,501,0.181,
31,15-May-09,135,2009,2009.367123,501,0.236,
32,15-May-09,135,2009,2009.367123,501,0.211,
33,15-May-09,135,2009,2009.367123,501,0.179,
34,15-May-09,135,2009,2009.367123,501,0.162,
35,15-May-09,135,2009,2009.367123,501,0.108,
36,15-May-09,135,2009,2009.367123,501,0.065,
1,22-May-09,142,2009,2009.386301,508,0.184,
2,22-May-09,142,2009,2009.386301,508,0.119,
3,22-May-09,142,2009,2009.386301,508,0.110,
4,22-May-09,142,2009,2009.386301,508,0.114,
5,22-May-09,142,2009,2009.386301,508,0.155,
6,22-May-09,142,2009,2009.386301,508,0.214,
7,22-May-09,142,2009,2009.386301,508,0.215,
8,22-May-09,142,2009,2009.386301,508,0.255,
9,22-May-09,142,2009,2009.386301,508,0.199,
10,22-May-09,142,2009,2009.386301,508,0.216,
11,22-May-09,142,2009,2009.386301,508,0.271,
12,22-May-09,142,2009,2009.386301,508,0.288,
13,22-May-09,142,2009,2009.386301,508,0.131,
14,22-May-09,142,2009,2009.386301,508,0.092,
15,22-May-09,142,2009,2009.386301,508,0.136,
16,22-May-09,142,2009,2009.386301,508,0.166,
17,22-May-09,142,2009,2009.386301,508,0.203,
18,22-May-09,142,2009,2009.386301,508,0.206,
19,22-May-09,142,2009,2009.386301,508,0.159,
20,22-May-09,142,2009,2009.386301,508,0.192,
21,22-May-09,142,2009,2009.386301,508,0.098,
22,22-May-09,142,2009,2009.386301,508,0.097,
23,22-May-09,142,2009,2009.386301,508,0.204,
24,22-May-09,142,2009,2009.386301,508,0.166,
25,22-May-09,142,2009,2009.386301,508,0.197,
26,22-May-09,142,2009,2009.386301,508,0.223,
27,22-May-09,142,2009,2009.386301,508,0.103,
28,22-May-09,142,2009,2009.386301,508,0.131,
29,22-May-09,142,2009,2009.386301,508,0.136,
30,22-May-09,142,2009,2009.386301,508,0.131,
31,22-May-09,142,2009,2009.386301,508,0.203,
32,22-May-09,142,2009,2009.386301,508,0.174,
33,22-May-09,142,2009,2009.386301,508,0.133,
34,22-May-09,142,2009,2009.386301,508,0.118,
35,22-May-09,142,2009,2009.386301,508,0.077,
36,22-May-09,142,2009,2009.386301,508,0.053,
1,26-May-09,146,2009,2009.39726,512,0.134,
2,26-May-09,146,2009,2009.39726,512,0.097,
3,26-May-09,146,2009,2009.39726,512,0.092,
4,26-May-09,146,2009,2009.39726,512,0.097,
5,26-May-09,146,2009,2009.39726,512,0.135,
6,26-May-09,146,2009,2009.39726,512,0.139,
7,26-May-09,146,2009,2009.39726,512,0.155,
8,26-May-09,146,2009,2009.39726,512,0.229,
9,26-May-09,146,2009,2009.39726,512,0.201,
10,26-May-09,146,2009,2009.39726,512,0.190,
11,26-May-09,146,2009,2009.39726,512,0.250,
12,26-May-09,146,2009,2009.39726,512,0.266,
13,26-May-09,146,2009,2009.39726,512,0.073,
14,26-May-09,146,2009,2009.39726,512,0.093,
15,26-May-09,146,2009,2009.39726,512,0.091,
16,26-May-09,146,2009,2009.39726,512,0.130,
17,26-May-09,146,2009,2009.39726,512,0.173,
18,26-May-09,146,2009,2009.39726,512,0.166,
19,26-May-09,146,2009,2009.39726,512,0.125,
20,26-May-09,146,2009,2009.39726,512,0.159,
21,26-May-09,146,2009,2009.39726,512,0.079,
22,26-May-09,146,2009,2009.39726,512,0.077,
23,26-May-09,146,2009,2009.39726,512,0.187,
24,26-May-09,146,2009,2009.39726,512,0.130,
25,26-May-09,146,2009,2009.39726,512,0.161,
26,26-May-09,146,2009,2009.39726,512,0.152,
27,26-May-09,146,2009,2009.39726,512,0.072,
28,26-May-09,146,2009,2009.39726,512,0.083,
29,26-May-09,146,2009,2009.39726,512,0.118,
