JULIAN DAY,TIME,Plot,air,7.5,aa
1,345,16,-3.0573,3.6451,
1,345,17,,,
1,345,18,-8.2098,4.606,
1,345,19,-1.0225,3.7943,
1,345,20,-2.4405,4.0106,
1,400,1,2.0625,3.6897,
1,400,2,-4.8386,4.0418,
1,400,3,-2.3256,4.5309,
1,400,4,,5.4771,
1,400,5,,4.3248,
1,400,6,-1.9564,3.9793,
1,400,7,1.9083,4.6196,
1,400,8,0.77931,-8.4902,
1,400,9,-5.7019,4.1284,
1,400,10,2.1264,4.2531,
1,400,11,0.29333,2.4725,
1,400,12,4.3487,6.1873,
1,400,13,0.89566,6.8323,
1,400,14,1.0027,3.2814,
1,400,15,2.4319,2.4248,
1,400,16,-3.0202,3.6045,
1,400,17,,,
1,400,18,-8.2215,4.5722,
1,400,19,-1.1744,3.7542,
1,400,20,-2.4512,3.972,
1,415,1,2.0251,3.65,
1,415,2,-4.8992,3.9991,
1,415,3,-2.3101,4.4875,
1,415,4,,5.4406,
1,415,5,,4.2823,
1,415,6,-1.9733,3.943,
1,415,7,1.8604,4.5828,
1,415,8,0.75799,-8.5492,
1,415,9,-5.7348,4.088,
1,415,10,2.0866,4.2118,
1,415,11,0.26223,2.4414,
1,415,12,4.3157,6.1594,
1,415,13,0.87363,6.8188,
1,415,14,0.97386,3.242,
1,415,15,2.4008,2.3895,
1,415,16,-3.0621,3.5654,
1,415,17,,,
1,415,18,-8.4641,4.5367,
1,415,19,-1.285,3.7132,
1,415,20,-2.5141,3.9327,
1,430,1,1.9898,3.6038,
1,430,2,-4.8731,3.9583,
1,430,3,-2.2932,4.4438,
1,430,4,,5.404,
1,430,5,,4.243,
1,430,6,-1.9733,3.9073,
1,430,7,1.8175,4.5518,
1,430,8,0.7354,-8.7612,
1,430,9,-5.7144,4.0576,
1,430,10,2.0635,4.1717,
1,430,11,0.24604,2.4136,
1,430,12,4.2794,6.1328,
1,430,13,0.85327,6.8041,
1,430,14,0.9467,3.2044,
1,430,15,2.3697,2.3611,
1,430,16,-3.0862,3.5258,
1,430,17,,,
1,430,18,-9.112,4.5045,
1,430,19,-1.0457,3.6764,
1,430,20,-2.5018,3.8964,
1,445,1,1.9553,3.5631,
1,445,2,-4.8813,3.918,
1,445,3,-2.3013,4.4033,
1,445,4,,5.3684,
1,445,5,,4.2039,
1,445,6,-1.9773,3.8706,
1,445,7,1.7769,4.519,
1,445,8,0.71603,-8.7845,
1,445,9,-5.6821,4.0195,
1,445,10,2.0377,4.1331,
1,445,11,0.22474,2.3878,
1,445,12,4.2434,6.1052,
1,445,13,0.83398,6.7905,
1,445,14,0.92027,3.1675,
1,445,15,2.342,2.3345,
1,445,16,-3.1237,3.4892,
1,445,17,,,
1,445,18,-10.04,4.4714,
1,445,19,-1.0027,3.6388,
1,445,20,-2.4851,3.8603,
1,500,1,1.9147,3.5191,
1,500,2,-4.8687,3.8725,
1,500,3,-2.3876,4.3634,
1,500,4,,5.3337,
1,500,5,,4.1645,
