year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average, 
5.00,4.00,4.00,207.00,3.00,6.00,,,,,6.00,
5.00,4.00,4.00,172.00,4.00,1.00,,,,,1.00,
5.00,4.00,4.00,179.00,4.00,1.00,3.00,4.00,,,2.67,
5.00,4.00,4.00,186.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,4.00,193.00,4.00,5.00,,,,,5.00,
5.00,4.00,4.00,200.00,4.00,6.00,,,,,6.00,
5.00,4.00,4.00,172.00,5.00,1.00,2.00,,,,1.50,
5.00,4.00,4.00,179.00,5.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,4.00,186.00,5.00,1.00,2.00,4.00,,,2.33,
5.00,4.00,4.00,193.00,5.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,4.00,200.00,5.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,4.00,207.00,5.00,6.00,,,,,6.00,
5.00,4.00,5.00,172.00,1.00,1.00,,,,,1.00,
5.00,4.00,5.00,179.00,1.00,1.00,2.00,,,,1.50,
5.00,4.00,5.00,186.00,1.00,4.00,,,,,4.00,
5.00,4.00,5.00,193.00,1.00,6.00,,,,,6.00,
5.00,4.00,5.00,172.00,2.00,1.00,,,,,1.00,
5.00,4.00,5.00,179.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,5.00,186.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,5.00,193.00,2.00,2.00,4.00,5.00,,,3.67,
5.00,4.00,5.00,200.00,2.00,2.00,3.00,4.00,5.00,6.00,4.00,
5.00,4.00,5.00,207.00,2.00,5.00,6.00,,,,5.50,
5.00,4.00,5.00,214.00,2.00,6.00,,,,,6.00,
5.00,4.00,5.00,172.00,3.00,1.00,2.00,,,,1.50,
5.00,4.00,5.00,179.00,3.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,5.00,186.00,3.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,5.00,193.00,3.00,3.00,4.00,,,,3.50,
5.00,4.00,5.00,200.00,3.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,5.00,207.00,3.00,5.00,6.00,,,,5.50,
5.00,4.00,5.00,214.00,3.00,6.00,,,,,6.00,
5.00,4.00,5.00,172.00,4.00,1.00,2.00,,,,1.50,
5.00,4.00,5.00,179.00,4.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,5.00,186.00,4.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,5.00,193.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,5.00,200.00,4.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,5.00,207.00,4.00,6.00,,,,,6.00,
5.00,4.00,5.00,172.00,5.00,1.00,,,,,1.00,
5.00,4.00,5.00,179.00,5.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,5.00,186.00,5.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,5.00,193.00,5.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,5.00,200.00,5.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,5.00,207.00,5.00,3.00,6.00,,,,4.50,
5.00,4.00,5.00,214.00,5.00,6.00,,,,,6.00,
5.00,4.00,6.00,172.00,1.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,6.00,179.00,1.00,3.00,4.00,,,,3.50,
5.00,4.00,6.00,186.00,1.00,4.00,,,,,4.00,
5.00,4.00,6.00,193.00,1.00,5.00,6.00,,,,5.50,
5.00,4.00,6.00,200.00,1.00,4.00,6.00,,,,5.00,
5.00,4.00,6.00,207.00,1.00,6.00,,,,,6.00,
5.00,4.00,6.00,172.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,6.00,179.00,2.00,3.00,4.00,,,,3.50,
5.00,4.00,6.00,186.00,2.00,4.00,,,,,4.00,
5.00,4.00,6.00,193.00,2.00,6.00,,,,,6.00,
5.00,4.00,6.00,172.00,3.00,1.00,4.00,,,,2.50,
5.00,4.00,6.00,179.00,3.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,6.00,186.00,3.00,1.00,2.00,4.00,,,2.33,
5.00,4.00,6.00,193.00,3.00,4.00,5.00,,,,4.50,
5.00,4.00,6.00,200.00,3.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,6.00,207.00,3.00,5.00,6.00,,,,5.50,
5.00,4.00,6.00,214.00,3.00,6.00,,,,,6.00,
5.00,4.00,6.00,172.00,4.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,6.00,179.00,4.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,6.00,186.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,6.00,193.00,4.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,6.00,200.00,4.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,6.00,214.00,4.00,5.00,6.00,,,,5.50,
5.00,4.00,6.00,221.00,4.00,6.00,,,,,6.00,
5.00,4.00,6.00,172.00,5.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,6.00,179.00,5.00,1.00,2.00,,,,1.50,
5.00,4.00,6.00,186.00,5.00,2.00,4.00,,,,3.00,
5.00,4.00,6.00,214.00,5.00,6.00,,,,,6.00,
5.00,4.00,7.00,172.00,1.00,1.00,2.00,,,,1.50,
5.00,4.00,7.00,179.00,1.00,3.00,4.00,,,,3.50,
5.00,4.00,7.00,186.00,1.00,3.00,4.00,,,,3.50,
5.00,4.00,7.00,193.00,1.00,5.00,6.00,,,,5.50,
5.00,4.00,7.00,200.00,1.00,6.00,,,,,6.00,
5.00,4.00,7.00,172.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,7.00,179.00,2.00,1.00,2.00,4.00,,,2.33,
5.00,4.00,7.00,186.00,2.00,4.00,,,,,4.00,
5.00,4.00,7.00,193.00,2.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,7.00,200.00,2.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,7.00,207.00,2.00,6.00,,,,,6.00,
5.00,4.00,7.00,172.00,3.00,1.00,2.00,,,,1.50,
5.00,4.00,7.00,179.00,3.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,7.00,186.00,3.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,7.00,193.00,3.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,7.00,200.00,3.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,7.00,207.00,3.00,6.00,,,,,6.00,
5.00,4.00,7.00,172.00,4.00,1.00,2.00,,,,1.50,
5.00,4.00,7.00,179.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,7.00,186.00,4.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,7.00,193.00,4.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,7.00,200.00,4.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,7.00,207.00,4.00,3.00,6.00,,,,4.50,
5.00,4.00,7.00,214.00,4.00,6.00,,,,,6.00,
5.00,4.00,7.00,172.00,5.00,1.00,2.00,,,,1.50,
5.00,4.00,7.00,179.00,5.00,3.00,,,,,3.00,
5.00,4.00,7.00,186.00,5.00,3.00,4.00,,,,3.50,
5.00,4.00,7.00,193.00,5.00,3.00,,,,,3.00,
5.00,4.00,7.00,200.00,5.00,3.00, , ,,,3.00,
5.00,4.00,7.00,207.00,5.00,3.00,6.00,,,,4.50,
5.00,4.00,7.00,214.00,5.00,6.00,,,,,6.00,
5.00,4.00,8.00,172.00,1.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,8.00,179.00,1.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,8.00,186.00,1.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,8.00,193.00,1.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,8.00,200.00,1.00,6.00,,,,,6.00,
5.00,4.00,8.00,172.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,8.00,179.00,2.00,3.00,4.00,,,,3.50,
5.00,4.00,8.00,186.00,2.00,3.00,4.00,,,,3.50,
5.00,4.00,8.00,193.00,2.00,5.00,6.00,,,,5.50,
5.00,4.00,8.00,200.00,2.00,6.00,,,,,6.00,
5.00,4.00,8.00,172.00,3.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,8.00,179.00,3.00,3.00,4.00,,,,3.50,
5.00,4.00,8.00,186.00,3.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,8.00,193.00,3.00,6.00,,,,,6.00,
5.00,4.00,8.00,172.00,5.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,8.00,179.00,5.00,3.00,4.00,,,,3.50,
5.00,4.00,8.00,186.00,5.00,3.00,5.00,,,,4.00,
5.00,4.00,8.00,193.00,5.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,8.00,200.00,5.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,8.00,207.00,5.00,6.00,,,,,6.00,
5.00,4.00,9.00,172.00,1.00,1.00,2.00,,,,1.50,
5.00,4.00,9.00,179.00,1.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,9.00,186.00,1.00,3.00,4.00,,,,3.50,
5.00,4.00,9.00,193.00,1.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,9.00,200.00,1.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,9.00,207.00,1.00,6.00,,,,,6.00,
5.00,4.00,9.00,172.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,9.00,179.00,2.00,1.00,3.00,4.00,,,2.67,
5.00,4.00,9.00,186.00,2.00,3.00,4.00,,,,3.50,
5.00,4.00,9.00,193.00,2.00,5.00,6.00,,,,5.50,
5.00,4.00,9.00,200.00,2.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,9.00,207.00,2.00,5.00,6.00,,,,5.50,
5.00,4.00,9.00,214.00,2.00,6.00,,,,,6.00,
5.00,4.00,9.00,172.00,3.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,9.00,179.00,3.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,9.00,186.00,3.00,4.00,,,,,4.00,
5.00,4.00,9.00,200.00,3.00,5.00,6.00,,,,5.50,
5.00,4.00,9.00,207.00,3.00,6.00,,,,,6.00,
5.00,4.00,9.00,172.00,4.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,9.00,179.00,4.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,9.00,186.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,9.00,193.00,4.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,9.00,200.00,4.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,9.00,207.00,4.00,6.00,,,,,6.00,
5.00,4.00,9.00,172.00,5.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,9.00,179.00,5.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,9.00,186.00,5.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,9.00,193.00,5.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,9.00,200.00,5.00,3.00,5.00,6.00,,,4.67,
5.00,4.00,9.00,207.00,5.00,3.00,6.00,,,,4.50,
5.00,4.00,9.00,214.00,5.00,6.00,,,,,6.00,
5.00,4.00,10.00,172.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,10.00,179.00,2.00,3.00,4.00,,,,3.50,
5.00,4.00,10.00,186.00,2.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,10.00,193.00,2.00,6.00,,,,,6.00,
5.00,4.00,10.00,172.00,3.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,10.00,179.00,3.00,3.00,4.00,,,,3.50,
5.00,4.00,10.00,186.00,3.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,10.00,193.00,3.00,6.00,,,,,6.00,
5.00,4.00,10.00,200.00,3.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,10.00,207.00,3.00,6.00,,,,,6.00,
5.00,4.00,10.00,172.00,4.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,10.00,179.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,10.00,186.00,4.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,10.00,193.00,4.00,5.00,6.00,,,,5.50,
5.00,4.00,10.00,200.00,4.00,6.00,,,,,6.00,
5.00,4.00,10.00,172.00,5.00,1.00,3.00,4.00,,,2.67,
5.00,4.00,10.00,179.00,5.00,3.00,4.00,,,,3.50,
5.00,4.00,10.00,186.00,5.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,10.00,193.00,5.00,6.00,,,,,6.00,
