year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
6,1,6,161,4,3,4,5,,,4,4.25
6,1,6,175,4,5,6,,,,5.5,5.5
6,1,6,133,5,0,,,,,0,0
6,1,6,137,5,1,,,,,1,1
6,1,6,142,5,1,2,,,,1.5,1.5
6,1,6,148,5,1,2,3,4,,2.5,2
6,1,6,155,5,2,3,4,,,3,3
6,1,6,161,5,3,4,5,,,4,4
6,1,6,168,5,3,5,6,,,4.666666667,5.5
6,1,6,175,5,6,,,,,6,6
6,1,7,133,3,1,,,,,1,1
6,1,7,137,3,1,2,,,,1.5,1.5
6,1,7,142,3,1,2,3,4,,2.5,2.5
6,1,7,155,3,3,4,5,,,4,4.25
6,1,7,161,3,3,4,5,,,4,4.5
6,1,7,168,3,5,6,,,,5.5,5.5
6,1,7,175,3,6,,,,,6,6
6,1,7,133,4,1,,,,,1,1
6,1,7,137,4,1,2,,,,1.5,1.25
6,1,7,142,4,1,2,3,4,,2.5,2.25
6,1,7,148,4,2,3,4,,,3,3
6,1,7,155,4,4,5,,,,4.5,4.25
6,1,7,161,4,3,4,5,,,4,4
6,1,7,168,4,6,,,,,6,6
6,1,7,133,5,1,,,,,1,1
6,1,7,137,5,1,2,,,,1.5,1.25
6,1,7,142,5,1,2,3,4,,2.5,2.25
6,1,7,148,5,1,2,3,4,,2.5,2.5
6,1,7,155,5,1,2,3,4,5,3,3.75
6,1,7,161,5,3,4,5,,,4,4
6,1,7,168,5,5,6,,,,5.5,5.75
6,1,7,175,5,6,,,,,6,6
6,1,8,133,1,0,,,,,0,0
6,1,8,137,1,1,,,,,1,1
6,1,8,142,1,1,2,3,4,,2.5,2
6,1,8,148,1,1,2,4,,,2.333333333,3.25
6,1,8,155,1,1,2,3,4,,2.5,2.5
6,1,8,161,1,1,2,4,5,,3,4
6,1,8,168,1,4,5,,,,4.5,4.5
6,1,8,175,1,5,6,,,,5.5,5.25
6,1,8,182,1,5,6,,,,5.5,5.5
6,1,8,190,1,6, ,,,,6,6
6,1,8,137,2,0,,,,,0,0
6,1,8,142,2,1,2,,,,1.5,1.25
6,1,8,148,2,1,2,,,,1.5,1.5
6,1,8,155,2,1,2,3,4,,2.5,2.5
6,1,8,161,2,3,4,5,,,4,3.75
6,1,8,168,2,5,6,,,,5.5,5.75
6,1,8,175,2,6, ,,,,6,6
6,1,8,137,3,0,,,,,0,0
6,1,8,142,3,1,2,,,,1.5,1.25
6,1,8,148,3,1,2,,,,1.5,1.5
6,1,8,155,3,1,2,3,4,,2.5,2.75
6,1,8,161,3,2,4,,,,3,3.75
6,1,8,168,3,5,6,,,,5.5,5.25
6,1,8,175,3,6,,,,,6,6
6,1,8,137,4,0,,,,,0,0
6,1,8,142,4,1,2,,,,1.5,1.25
6,1,8,148,4,1,2,,,,1.5,1.5
6,1,8,155,4,1,2,3,4,,2.5,2.5
6,1,8,161,4,3,4,5,,,4,4
6,1,8,168,4,5,6,,,,5.5,5.5
6,1,8,175,4,6,,,,,6,6
6,1,8,137,5,0,,,,,0,0
6,1,8,142,5,1,2,,,,1.5,1.25
6,1,8,148,5,1,2,,,,1.5,1.5
6,1,8,155,5,1,2,3,,,2,2.25
6,1,8,161,5,1,3,4,,,2.666666667,3.25
6,1,8,168,5,2,3,4,5,,3.5,4
6,1,8,175,5,2,3,4,5,6,4,4.5
6,1,8,182,5,3,5,6,,,4.666666667,5.5
6,1,8,190,5,6, , ,,,6,6
6,1,9,133,1,0,,,,,0,0
6,1,9,137,1,1,2,,,,1.5,1.25
6,1,9,142,1,1,2,,,,1.5,1.5
6,1,9,148,1,1,2,3,4,,2.5,2
6,1,9,155,1,2,3,4,5,,3.5,4
6,1,9,161,1,3,4,5,,,4,4
6,1,9,168,1,5,6,,,,5.5,5.5
6,1,9,175,1,6,,,,,6,6
6,1,9,133,2,0,,,,,0,0
6,1,9,137,2,1,2,,,,1.5,1.5
6,1,9,142,2,1,2,3,4,,2.5,2.5
6,1,9,148,2,1,2,3,4,,2.5,2.25
6,1,9,155,2,2,3,4,,,3,3.5
6,1,9,161,2,3,4,5,,,4,4
6,1,9,168,2,3,4,5,6,,4.5,5
6,1,9,175,2,6,,,,,6,6
6,1,9,133,3,0,,,,,0,0
6,1,9,137,3,1,2,,,,1.5,1.5
6,1,9,142,3,1,2,3,4,,2.5,2.5
6,1,9,148,3,1,2,3,4,,2.5,2
6,1,9,155,3,3,4,5,,,4,4.5
6,1,9,161,3,3,4,5,,,4,4
6,1,9,168,3,5,6,,,,5.5,5.75
6,1,9,175,3,6,,,,,6,6
6,1,9,133,4,0,,,,,0,0
6,1,9,137,4,1,,,,,1,1
6,1,9,142,4,1,2,,,,1.5,1.75
6,1,9,148,4,1,2,3,4,,2.5,1.75
6,1,9,155,4,1,2,3,4,,2.5,3.25
6,1,9,161,4,3,4,5,,,4,4.25
6,1,9,168,4,5,6,,,,5.5,5.5
6,1,9,175,4,6,,,,,6,6
6,1,9,133,5,0,,,,,0,0
6,1,9,137,5,1,,,,,1,1
6,1,9,142,5,1,2,,,,1.5,1.75
6,1,9,148,5,1,2,3,4,,2.5,2.25
6,1,9,155,5,2,3,4,,,3,3.25
6,1,9,161,5,3,4,5,,,4,3.75
6,1,9,168,5,4,5,6,,,5,5
6,1,9,175,5,5,6,,,,5.5,5.75
6,1,9,182,5,6,,,,,6,6
6,1,10,133,1,1,,,,,1,1
6,1,10,137,1,1,2,,,,1.5,1.25
6,1,10,142,1,2,3,4,,,3,3.25
6,1,10,148,1,2,3,4,,,3,3.5
6,1,10,155,1,3,4,5,,,4,4
6,1,10,161,1,6,,,,,6,6
6,1,10,168,1,3,5,6,,,4.666666667,5.5
6,1,10,133,2,1,2,,,,1.5,1.5
6,1,10,137,2,1,2,,,,1.5,1.5
6,1,10,142,2,1,2,3,4,,2.5,2.25
6,1,10,148,2,2,3,4,,,3,3
6,1,10,155,2,3,4,,,,3.5,3.75
6,1,10,161,2,5,6,,,,5.5,5.5
6,1,10,168,2,5,6,,,,5.5,5.5
6,1,10,175,2,6,,,,,6,6
6,1,10,133,5,1,,,,,1,1
6,1,10,137,5,1,2,,,,1.5,1.5
6,1,10,142,5,1,2,3,,,2,2
6,1,10,148,5,1,2,3,4,,2.5,2
6,1,10,155,5,2,3,4,,,3,3.25
6,1,10,161,5,3,4,5,,,4,4.5
6,1,10,168,5,3,4,5,,,4,5.5
6,1,10,175,5,6,,,,,6,6
6,2,1,143,1,1,,,,,1,1
6,2,1,149,1,1,,,,,1,1
6,2,1,156,1,1,2,3,,,2,2.25
6,2,1,162,1,2,3,4,6,,3.75,3.5
6,2,1,169,1,4,5,6,,,5,5
6,2,1,176,1,5,6,,,,5.5,5.75
6,2,1,183,1,6,,,,,6,6
6,2,1,143,2,1,,,,,1,1
6,2,1,149,2,1,,,,,1,1
6,2,1,156,2,1,2,3,,,2,2
6,2,1,162,2,2,3,4,5,,3.5,3.5
6,2,1,169,2,3,4,5,,,4,4.5
6,2,1,176,2,5,6,,,,5.5,5.75
6,2,1,183,2,6,,,,,6,6
6,2,1,143,3,1,,,,,1,1
6,2,1,149,3,1,,,,,1,1
6,2,1,156,3,1,2,3,,,2,2
6,2,1,162,3,2,3,4,5,,3.5,4
6,2,1,169,3,4,5,,,,4.5,4.75
6,2,1,176,3,5,6,,,,5.5,5.5
6,2,1,183,3,6,,,,,6,6
6,2,1,143,4,0,,,,,0,0
6,2,1,149,4,1,,,,,1,1
6,2,1,156,4,1,2,3,,,2,1.75
6,2,1,162,4,2,3,4,,,3,3
6,2,1,169,4,2,3,4,,,3,3.5
6,2,1,176,4,4,5,6,,,5,4.75
6,2,1,183,4,6,,,,,6,6
6,2,1,143,5,0,,,,,0,0
6,2,1,149,5,1,,,,,1,1
6,2,1,156,5,1,2,3,,,2,2
6,2,1,162,5,2,3,4,,,3,3
6,2,1,169,5,3,4,,,,3.5,3.75
6,2,1,176,5,3,4,5,6,,4.5,4.5
6,2,1,183,5,6,,,,,6,6
6,2,3,143,1,1,2,3,,,2,1.75
6,2,3,149,1,1,2,3,,,2,2.25
6,2,3,156,1,2,3,4,,,3,3.25
6,2,3,162,1,3,4,5,,,4,4
6,2,3,169,1,5,6,,,,5.5,5.5
6,2,3,176,1,6,,,,,6,6
6,2,3,143,2,1,2,3,,,2,2
6,2,3,149,2,1,2,3,,,2,2
6,2,3,156,2,2,3,4,,,3,3
6,2,3,162,2,3,4,,,,3.5,3.25
6,2,3,169,2,3,4,6,,,4.333333333,1.25
6,2,3,176,2,3,5,6,,,4.666666667,5
6,2,3,183,2,3,6,,,,4.5,5.75
6,2,3,191,2,6,,,,,6,6
6,2,3,143,3,1,2,,,,1.5,1.25
6,2,3,149,3,1,2,3,,,2,1.5
6,2,3,156,3,2,3,4,,,3,3
6,2,3,162,3,3,4,5,6,,4.5,4.5
6,2,3,169,3,3,4,5,6,,4.5,5
6,2,3,176,3,3,5,6,,,4.666666667,5.2
6,2,3,183,3,3,6,,,,4.5,5.75
6,2,3,191,3,6,,,,,6,6
6,2,3,143,4,1,2,,,,1.5,1.5
6,2,3,149,4,1,2,3,,,2,1.5
6,2,3,156,4,1,12,3,4,5,5,2.75
6,2,3,162,4,3,4,5,,,4,4.5
6,2,3,169,4,5,6,,,,5.5,5.25
6,2,3,176,4,5,6,,,,5.5,5.5
6,2,3,183,4,6,,,,,6,6
6,2,4,143,1,1,,,,,1,1
6,2,4,149,1,1,,,,,1,1
6,2,4,156,1,1,2,,,,1.5,1.5
6,2,4,162,1,1,2,3,4,,2.5,2.75
6,2,4,169,1,2,4,,,,3,3.25
6,2,4,176,1,3,4,5,,,4,4
6,2,4,183,1,3,4,5,,,4,4
6,2,4,191,1,6,,,,,6,6
6,2,4,143,2,0,,,,,0,0
6,2,4,149,2,1,,,,,1,1
6,2,4,156,2,1,2,,,,1.5,1.5
6,2,4,162,2,1,2,3,4,,2.5,2.5
6,2,4,169,2,2,3,4,,,3,3.5
6,2,4,176,2,3,4,5,,,4,4.5
6,2,4,183,2,3,4,5,6,,4.5,5
6,2,4,191,2,6,,,,,6,6
6,2,4,143,3,0,,,,,0,0
6,2,4,149,3,1,,,,,1,1
6,2,4,156,3,1,2,3,,,2,1.5
6,2,4,162,3,1,2,3,4,,2.5,2.5
6,2,4,169,3,2,3,4,5,,3.5,3.75
6,2,4,176,3,3,4,5,,,4,4.25
6,2,4,183,3,3,4,5,6,,4.5,5
6,2,4,191,3,6,,,,,6,6
6,2,5,143,1,1,2,3,,,2,2
6,2,5,149,1,1,2,3,4,,2.5,2.5
6,2,5,156,1,1,2,3,4,,2.5,2.75
6,2,5,162,1,3,4,5,,,4,4.5
6,2,5,169,1,3,4,5,6,,4.5,5
6,2,5,176,1,6,,,,,6,6
6,2,5,143,2,1,2,,,,1.5,1.25
6,2,5,149,2,1,2,,,,1.5,1.5
6,2,5,156,2,2,3,4,,,3,3.25
6,2,5,162,2,3,4,5,,,4,4.25
6,2,5,169,2,4,5,,,,4.5,4.5
6,2,5,176,2,5,6,,,,5.5,5.75
6,2,5,183,2,6,,,,,6,6
6,2,5,143,3,1, , ,,,1,1
6,2,5,149,3,1,2,,,,1.5,1.5
6,2,5,156,3,1,2,3,4,,2.5,2.75
6,2,5,162,3,3,4,5,,,4,4.25
6,2,5,169,3,4,5,,,,4.5,4.5
6,2,5,176,3,5,6,,,,5.5,5.75
6,2,5,183,3,6,,,,,6,6
6,2,5,143,4,1,2,3,,,2,2.25
6,2,5,149,4,1,2,3,,,2,2
6,2,5,156,4,2,3,4,5,,3.5,3.75
6,2,5,162,4,3,4,5,,,4,4
6,2,5,169,4,3,4,5,6,,4.5,5
6,2,5,176,4,5,6,,,,5.5,5.75
6,2,5,183,4,6,,,,,6,6
6,2,5,143,5,1,2,3,,,2,2.25
6,2,5,149,5,1,2,3,4,,2.5,2.25
6,2,5,156,5,1,2,3,4,,2.5,2.75
6,2,5,162,5,3,4,5,,,4,4
6,2,5,169,5,3,5,6,,,4.666666667,5.25
6,2,5,176,5,5,6,,,,5.5,5.75
6,2,5,183,5,6,,,,,6,6
6,2,6,143,1,1,,,,,1,1
6,2,6,149,1,1,,,,,1,1
6,2,6,156,1,1,2,,,,1.5,1.5
6,2,6,162,1,1,2,3,4,5,3,3.25
6,2,6,169,1,2,3,4,5,,3.5,4
6,2,6,176,1,3,4,5,,,4,4
6,2,6,183,1,5,6,,,,5.5,5.5
6,2,6,191,1,6,,,,,6,6
6,2,6,143,2,1,,,,,1,1
6,2,6,149,2,1,,,,,1,1
6,2,6,156,2,1,2,3,,,2,2
6,2,6,162,2,1,2,3,4,,2.5,2.75
6,2,6,169,2,2,3,4,5,,3.5,4
6,2,6,176,2,2,3,4,5,,3.5,4
6,2,6,191,2,6,,,,,6,6
6,2,6,143,3,1,,,,,1,1
6,2,6,149,3,1,,,,,1,1
6,2,6,156,3,1,2,3,,,2,2.25
6,2,6,162,3,2,4,5,,,3.666666667,4
6,2,6,169,3,4,5,,,,4.5,4.25
6,2,6,176,3,4,5,6,,,5,4.75
6,2,6,183,3,5,6,,,,5.5,5.75
6,2,6,191,3,6,,,,,6,6
6,2,7,143,1,1,,,,,1,1
6,2,7,149,1,1,,,,,1,1
6,2,7,156,1,1,2,3,4,,2.5,2.5
6,2,7,162,1,3,4,,,,3.5,3.5
6,2,7,169,1,3,4,5,,,4,4.5
6,2,7,176,1,3,5,6,,,4.666666667,5.25
6,2,7,183,1,6,,,,,6,6
6,2,7,143,2,1,,,,,1,1
6,2,7,149,2,1,,,,,1,1
6,2,7,156,2,1,2,3,4,,2.5,2.25
6,2,7,162,2,3,4,,,,3.5,3.5
6,2,7,169,2,4,5,,,,4.5,4.25
6,2,7,176,2,5,6,,,,5.5,5.5
6,2,7,183,2,6,,,,,6,6
6,2,7,143,3,1,,,,,1,1
6,2,7,149,3,1,,,,,1,1
6,2,7,156,3,1,2,3,,,2,2
6,2,7,162,3,3,4,,,,3.5,3.25
6,2,7,169,3,3,4,5,,,4,4.25
6,2,7,176,3,3,5,6,,,4.666666667,5.25
6,2,7,183,3,6,,,,,6,6
6,2,7,143,4,1,,,,,1,1
6,2,7,149,4,1,2,,,,1.5,1.25
6,2,7,156,4,1,2,3,4,5,3,2.75
6,2,7,162,4,1,2,3,4,5,3,3.5
6,2,7,169,4,3,4,5, ,,4,4.25
6,2,7,176,4,3,4,5,,,4,4.5
6,2,7,183,4,4,5,6,,,5,5.5
6,2,7,191,4,6,,,,,6,6
6,2,7,143,5,1,,,,,1,1
6,2,7,149,5,1,2,,,,1.5,1.25
6,2,7,156,5,1,2,3,4,,2.5,2.5
6,2,7,162,5,3,4,5,6,,4.5,4.5
6,2,7,169,5,3,4,5,,,4,4.5
6,2,7,176,5,4,5,,,,4.5,4.5
6,2,7,183,5,5,6,,,,5.5,5.75
6,2,7,191,5,6,,,,,6,6
6,3,7,151,3,1,2,,,,1.5,1.5
6,3,7,158,3,1,2,4,,,2.333333333,2.5
6,3,7,164,3,1,2,3,4,5,3,3.5
6,3,7,171,3,3,4,5,,,4,4.5
6,3,7,178,3,4,5,,,,4.5,4.5
6,3,7,186,3,4,6,,,,5,5.75
6,3,7,192,3,6,,,,,6,6
6,3,7,151,4,1,2,,,,1.5,1.25
6,3,7,164,4,3,4,5,,,4,4.5
6,3,7,171,4,4,5,,,,4.5,4.5
6,3,7,178,4,6,,,,,6,6
6,3,7,151,5,1,2,3,4,,2.5,2
6,3,7,164,5,4,5,,,,4.5,4.5
6,3,7,171,5,4,5,6,,,5,5
6,3,7,186,5,6,,,,,6,6
6,3,8,151,2,1,2,3,4,,2.5,2.25
6,3,8,164,2,3,4,5,,,4,4.25
6,3,8,171,2,4,5,6,,,5,4.5
6,3,8,178,2,4,5,6,,,5,5
6,3,8,186,2,6,,,,,6,6
6,3,8,151,4,1, ,,,,1,1
6,3,8,164,4,1,2,4,5,,3,3.75
6,3,8,171,4,1,2,4,5,,3,3.75
6,3,8,178,4,4,5,6,,,5,5
6,3,8,186,4,5,6,,,,5.5,5.5
6,3,8,192,4,6,,,,,6,6
6,3,8,151,5,1,,,,,1,1
6,3,8,164,5,2,3,4,,,3,3.5
6,3,8,171,5,3,4,5,,,4,4.25
6,3,8,178,5,4,5,6,,,5,5.25
6,3,8,186,5,6,,,,,6,6
6,3,9,151,1,1,2,3,4,,2.5,2.25
6,3,9,158,1,2,3,4,5,,3.5,4
6,3,9,164,1,3,4,5,,,4,4
6,3,9,171,1,3,4,5,,,4,4.5
6,3,9,178,1,6,,,,,6,6
6,3,9,151,2,1,2,3,,,2,1.75
6,3,9,158,2,1,2,3,4,5,3,3.75
6,3,9,164,2,3,4,,,,3.5,3.75
6,3,9,171,2,4,5,,,,4.5,4.5
6,3,9,178,2,5,6,,,,5.5,5.75
6,3,9,186,2,6,,,,,6,6
6,3,9,151,3,1,2,3,4,,2.5,2
6,3,9,158,3,3,4,5,,,4,4
6,3,9,164,3,3,4,5,,,4,4.25
6,3,9,171,3,5,6,,,,5.5,5.5
6,3,9,178,3,6,,,,,6,6
6,3,9,151,5,1,2,,,,1.5,1.5
6,3,9,158,5,3,4,,,,3.5,3.25
6,3,9,164,5,3,4,,,,3.5,3.75
6,3,9,171,5,3,4,5,,,4,4.5
6,3,9,178,5,5,6,,,,5.5,5.75
6,3,9,186,5,6,,,,,6,6
6,3,10,151,1,1,,,,,1,1
6,3,10,158,1,1,2,3,4,,2.5,2.25
6,3,10,164,1,1,2,4,,,2.333333333,2.75
6,3,10,171,1,1,2,3,4,,2.5,3.75
6,3,10,178,1,2,4,5,6,,4.25,4.5
6,3,10,186,1,5,6,,,,5.5,5.75
6,3,10,192,1,5,6,,,,5.5,5.75
6,3,10,200,1,6, ,,,,6,6
6,3,10,151,2,1,,,,,1,1
6,3,10,158,2,1,2,,,,1.5,1.5
6,3,10,164,2,4,,,,,4,4
6,3,10,171,2,4,,,,,4,4
6,3,10,178,2,4,5,,,,4.5,4.75
6,3,10,186,2,6,,,,,6,6
6,3,10,151,3,1,,,,,1,1
6,3,10,158,3,1,2,3,,,2,1.75
6,3,10,164,3,1,2,4,,,2.333333333,2.75
6,3,10,171,3,3,4,5,,,4,4.25
6,3,10,178,3,4,5,6,,,5,5
6,3,10,186,3,5,6,,,,5.5,5.75
6,3,10,192,3,5,6,,,,5.5,5.75
6,3,10,200,3,6, ,,,,6,6
6,3,10,151,4,1,,,,,1,1
6,3,10,158,4,1,2,3,4,,2.5,2.5
6,3,10,164,4,1,2,4,6,,3.25,3.75
6,3,10,171,4,3,4,,,,3.5,3.75
