year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,, , 
8,2,8,160,1,3,4,5,6,,4.5,4,,,
8,2,8,166,1,6,,,,,6,,,,
8,2,8,136,2,1,2,,,,1.5,1.5,,,
8,2,8,145,2,2,3,4,,,3,2.75,,,
8,2,8,152,2,3,4,,,,3.5,3.75,,,
8,2,8,160,2,3,4,5,6,,4.5,4,,,
8,2,8,166,2,5,6,,,,5.5,6,,,
8,2,8,175,2,6,,,,,6,6, ,,
8,2,8,136,3,1,2,,,,1.5,1.25,,,
8,2,8,145,3,3,4,,,,3.5,3.75,,,
8,2,8,152,3,3,,,,,3,3,,,
8,2,8,160,3,3,4,5,6,,4.5,3.75,,,
8,2,8,166,3,6,,,,,6,5.75,,,
8,2,8,136,4,1,2,,,,1.5,1.5,,,
8,2,8,145,4,2,3,4,,,3,2.75,,,
8,2,8,152,4,3,4,,,,3.5,3.75,,,
8,2,8,160,4,3,4,5,6,,4.5,5.25,,,
8,2,8,166,4,6,,,,,6,6,,,
8,2,8,136,5,1,2,,,,1.5,1.25,,,
8,2,8,145,5,3,4,,,,3.5,3.25,,,
8,2,8,152,5,3,,,,,3,3,,,
8,2,8,160,5,6,,,,,6,6,,,
8,2,9,136,1,1,2,,,,1.5,1.5,,,
8,2,9,145,1,2,3,4,,,3,3.25,,,
8,2,9,152,1,3,4,5,6,,4.5,5.25,,,
8,2,9,160,1,6,,,,,6,6,,,
8,2,9,136,2,1,2,3,,,2,2,,,
8,2,9,145,2,3,,,,,3,3,,,
8,2,9,152,2,3,,,,,3,3,,,
8,2,9,160,2,3,4,5,6,,4.5,3.75,,,
8,2,9,166,2,6,,,,,6,6,,,
8,2,9,136,3,1,2,3,,,2,2,,,
8,2,9,145,3,2,3,4,,,3,3,,,
8,2,9,152,3,3,4,,,,3.5,3.75,,,
8,2,9,160,3,3,4,5,6,,4.5,3.75,,,
8,2,9,166,3,6,,,,,6,6,,,
8,2,9,136,4,1,2,,,,1.5,1.75,,,
8,2,9,145,4,3,,,,,3,3,,,
8,2,9,152,4,3,4,,,,3.5,3.75,,,
8,2,9,160,4,6,,,,,6,6,,,
8,2,9,136,5,1,2,3,,,2,2.25,,,
8,2,9,145,5,3,4,,,,3.5,3.25,,,
8,2,9,152,5,3,4,,,,3.5,3.5,,,
8,2,9,160,5,3,4,5,6,,4.5,3.25,,,
8,2,9,166,5,6,,,,,6,6,,,
8,2,10,136,1,1,2,3,,,2,1.75,,,
8,2,10,145,1,2,3,4,,,3,2.75,,,
8,2,10,152,1,3,4,,,,3.5,3.5,,,
8,2,10,160,1,6,,,,,6,6,,,
8,2,10,136,2,1,2,,,,1.5,1.25,,,
8,2,10,145,2,1,2,3,,,2,2.25,,,
8,2,10,152,2,3,,,,,3,3,,,
8,2,10,160,2,3,4,5,6,,4.5,3.75,,,
8,2,10,166,2,6,,,,,6,6,,,
8,2,10,136,3,1,2,,,,1.5,1.25,,,
8,2,10,145,3,2,3,,,,2.5,2.5,,,
8,2,10,152,3,3,,,,,3,3,,,
8,2,10,160,3,6,,,,,6,6,,,
8,2,10,136,4,1,2,,,,1.5,1.25,,,
8,2,10,145,4,2,3,,,,2.5,2.5,,,
8,2,10,152,4,3,4,,,,3.5,3.75,,,
8,2,10,160,4,3,4,5,,,4,4.75,,,
8,2,10,166,4,5,6,,,,5.5,5.75,,,
8,2,10,175,4,6,,,,,6,6,,,
8,2,10,136,5,1,2,,,,1.5,1.25,,,
8,2,10,145,5,1,2,3,,,2,2.25,,,
8,2,10,152,5,3,4,,,,3.5,3.25,,,
8,2,10,160,5,5,6,,,,5.5,5.75,,,
8,2,10,166,5,6,,,,,6,6,,,
8,3,1,136,1,0,,,,,0,0,,,
8,3,1,146,1,1,2,,,,1.5,1.75,,,
8,3,1,153,1,3,4,,,,3.5,3.5,,,
8,3,1,159,1,3,4,,,,3.5,3.75,,,
8,3,1,170,1,3,4,5,6,,4.5,4.5,,,
8,3,1,175,1,3,6,,,,4.5,3.75,,,
8,3,1,180,1,6,,,,,6,,,,
8,3,1,136,2,0,,,,,0,0,,,
8,3,1,146,2,1,2,,,,1.5,1.25,,,
8,3,1,153,2,2,3,4,,,3,3.75,,,
8,3,1,159,2,3,4,,,,3.5,3.75,,,
8,3,1,170,2,3,4,5,,,4,4.75,,,
8,3,1,175,2,3,4,5,6,,4.5,5.25,,,
8,3,1,180,2,6,,,,,6,6,,,
8,3,1,136,3,0,,,,,0,0,,,
8,3,1,146,3,1,2,,,,1.5,1.5,,,
8,3,1,153,3,2,3,4,,,3,2.75,,,
8,3,1,159,3,3,4,,,,3.5,3.25,,,
8,3,1,170,3,3,4,5,,,4,3.75,,,
8,3,1,175,3,6,,,,,6,6,,,
8,3,1,136,4,0,,,,,0,0,,,
8,3,1,146,4,1,2,,,,1.5,1.25,,,
8,3,1,153,4,1,3,,,,2,2.75,,,
8,3,1,159,4,3,4,,,,3.5,3.75,,,
8,3,1,170,4,5,6,,,,5.5,5.25,,,
8,3,1,175,4,3,6,,,,4.5,5.75,,,
8,3,1,180,4,6,,,,,6,6,,,
8,3,1,136,5,0,,,,,0,0,,,
8,3,1,146,5,1,2,,,,1.5,1.5,,,
8,3,1,153,5,2,3,,,,2.5,2.75,,,
8,3,1,159,5,3,4,,,,3.5,3.25,,,
8,3,1,170,5,3,4,5,6,,4.5,4.25,,,
8,3,1,175,5,6,,,,,6,6,,,
8,3,2,136,1,0,,,,,0,0,,,
8,3,2,146,1,1,2,,,,1.5,1.25,,,
8,3,2,153,1,2,3,,,,2.5,2.75,,,
8,3,2,159,1,1,3,4,,,2.666666667,3.5,,,
8,3,2,170,1,3,4,5,,,4,3.75,,,
8,3,2,175,1,3,4,5,6,,4.5,5.25,,,
8,3,2,180,1,6,,,,,6,6,,,
8,3,2,136,2,0,,,,,0,0,,,
8,3,2,146,2,1,2,,,,1.5,1.25,,,
8,3,2,153,2,3,,,,,3,3,,,
8,3,2,159,2,3,,,,,3,3,,,
8,3,2,170,2,3,4,5,,,4,4.25,,,
8,3,2,175,2,6,,,,,6,6,,,
8,3,2,136,3,0,,,,,0,0,,,
8,3,2,146,3,1,2,,,,1.5,1.5,,,
8,3,2,153,3,1,2,3,,,2,2.25,,,
8,3,2,159,3,3,4,,,,3.5,3.25,,,
8,3,2,170,3,3,4,,,,3.5,3.5,,,
8,3,2,175,3,6,,,,,6,6,,,
8,3,2,136,4,0,,,,,0,0,,,
8,3,2,146,4,1,2,,,,1.5,1.25,,,
8,3,2,153,4,3,,,,,3,3,,,
8,3,2,159,4,3,4,,,,3.5,3.25,,,
8,3,2,170,4,6,,,,,6,6,,,
8,3,2,136,5,0,,,,,0,0,,,
8,3,2,146,5,1,2,,,,1.5,1.25,,,
8,3,2,153,5,1,3,,,,2,1.5,,,
8,3,2,159,5,1,3,,,,2,3,,,
8,3,2,170,5,3,,,,,3,6,,,
8,3,2,175,5,6,,,,,6,6,,,
8,3,3,136,1,0,,,,,0,0,,,
8,3,3,146,1,1,2,,,,1.5,1.75,,,
8,3,3,153,1,3,4,,,,3.5,3.75,,,
8,3,3,159,1,3,4,,,,3.5,3.25,,,
8,3,3,170,1,3,4,5,6,,4.5,5.25,,,
8,3,3,175,1,6,,,,,6,6,,,
8,3,3,136,2,0,,,,,0,0,,,
8,3,3,146,2,1,2,3,,,2,1.75,,,
8,3,3,153,2,2,3,4,,,3,3.75,,,
8,3,3,159,2,3,4,5,6,,4.5,3.75,,,
8,3,3,170,2,3,4,5,,,4,3.75,,,
8,3,3,175,2,3,4,5,6,,4.5,4.25,,,
8,3,3,136,3,0,,,,,0,0,,,
8,3,3,146,3,1,2,3,,,2,1.75,,,
8,3,3,153,3,3,4,,,,3.5,3.75,,,
8,3,3,159,3,3,4,5,6,,4.5,4.25,,,
8,3,3,170,3,3,4,5,,,4,4.25,,,
8,3,3,175,3,5,6,,,,5.5,5.75,,,
8,3,3,180,3,6,,,,,6,6,,,
8,3,3,136,4,0,,,,,0,0,,,
8,3,3,146,4,1,2, ,,,1.5,1.5,,,
8,3,3,153,4,3,4,,,,3.5,3.75,,,
8,3,3,159,4,3,4,5,6,,4.5,3.75,,,
8,3,3,170,4,3,4,5,6,,4.5,5.25,,,
8,3,3,175,4,6,,,,,6,6,,,
8,3,3,136,5,0,,,,,0,0,,,
8,3,3,146,5,1,,,,,1,1,,,
8,3,3,153,5,3,,,,,3,3,,,
8,3,3,159,5,3,4,,,,3.5,3.75,,,
8,3,3,170,5,3,4,5,6,,4.5,4.25,,,
8,3,3,175,5,6,,,,,6,6,,,
8,3,4,136,1,1,2,,,,1.5,1.25,,,
8,3,4,146,1,1,2,3,4,,2.5,3.25,,,
8,3,4,153,1,3,4,,,,3.5,3.5,,,
8,3,4,159,1,3,4,5,6,,4.5,5.75,,,
8,3,4,170,1,6,,,,,6,6,,,
8,3,4,136,2,1,,,,,1,1,,,
8,3,4,146,2,1,2,3,4,,2.5,3.25,,,
8,3,4,153,2,2,3,4,,,3,2.75,,,
8,3,4,159,2,3,4,5,6,,4.5,4.75,,,
8,3,4,170,2,3,4,5,6,,4.5,5.75,,,
8,3,4,175,2,6,,,,,6,6,,,
8,3,4,136,3,1,2,,,,1.5,1.25,,,
8,3,4,146,3,1,2,3,4, ,2.5,3.25,,,
8,3,4,153,3,3,4,,,,3.5,3.75,,,
8,3,4,159,3,3,4,5,6,,4.5,4.25,,,
8,3,4,170,3,3,4,5,6,,4.5,5.5,,,
8,3,4,175,3,6,,,,,6,6,,,
8,3,4,136,4,1,,,,,1,1,,,
8,3,4,146,4,1,2,3,4,,2.5,2.25,,,
8,3,4,153,4,3,4,,,,3.5,3.5,,,
8,3,4,159,4,3,4,5,6,,4.5,5.25,,,
8,3,4,170,4,3,4,5,6,,4.5,5.75,,,
8,3,4,175,4,6,,,,,6,6,,,
8,3,4,136,5,1,2,,,,1.5,1.25,,,
8,3,4,146,5,1,2,3,4,,2.5,2.25,,,
8,3,4,153,5,3,4,,,,3.5,3.25,,,
8,3,4,159,5,3,4,5,6,,4.5,3.75,,,
8,3,4,170,5,3,4,5,6,,4.5,5.25,,,
8,3,4,175,5,6,,,,,6,6,,,
8,3,5,136,1,0,,,,,0,0,,,
8,3,5,146,1,1,3,,,,2,2,,,
8,3,5,159,1,3,4,,,,3.5,3.75,,,
8,3,5,170,1,3,4,,,,3.5,3.75,,,
8,3,5,175,1,3,4,5,6,,4.5,4.25,,,
8,3,5,180,1,6,,,,,6,6,,,
8,3,5,136,2,0,,,,,0,0,,,
8,3,5,146,2,1,2,3,,,2,2.25,,,
8,3,5,153,2,3,4,5,,,4,3.25,,,
8,3,5,159,2,3,4,,,,3.5,3.75,,,
8,3,5,170,2,3,4,5,,,4,4.75,,,
8,3,5,175,2,3,4,5,6,,4.5,4.25,,,
8,3,5,180,2,6,,,,,6,6,,,
8,3,5,136,3,0,,,,,0,0,,,
8,3,5,146,3,1,2,3,,,2,2.75,,,
8,3,5,153,3,3,4,,,,3.5,3.25,,,
8,3,5,159,3,3,4,5,,,4,3.75,,,
8,3,5,170,3,3,4,5,6,,4.5,4.5,,,
8,3,5,175,3,6,,,,,6,6,,,
8,3,5,136,4,0,,,,,0,0,,,
8,3,5,146,4,1,2,,,,1.5,1.75,,,
8,3,5,153,4,3,,,,,3,3,,,
8,3,5,159,4,3,,,,,3,3,,,
8,3,5,170,4,4,5,,,,4.5,4.25,,,
8,3,5,175,4,6,,,,,6,6,,,
8,3,5,136,5,0,,,,,0,0,,,
8,3,5,146,5,1,2,,,,1.5,1.75,,,
8,3,5,153,5,3,4,,,,3.5,3.25,,,
8,3,5,159,5,3,4,,,,3.5,3.25,,,
8,3,5,170,5,3,4,5,,,4,4.75,,,
8,3,5,175,5,5,6,,,,5.5,5.25,,,
8,3,5,180,5,6,,,,,6,6,,,
8,3,6,136,1,0,,,,,0,0,,,
8,3,6,146,1,2,,,,,2,2,,,
8,3,6,153,1,3,4,,,,3.5,3.5,,,
8,3,6,159,1,3,4,,,,3.5,3.75,,,
8,3,6,170,1,3,4,5,6,,4.5,4.75,,,
8,3,6,175,1,6,,,,,6,6,,,
8,3,6,136,2,0,,,,,0,0,,,
8,3,6,146,2,1,2,3,,,2,2.25,,,
8,3,6,153,2,2,3,,,,2.5,2.75,,,
8,3,6,159,2,3,,,,,3,3,,,
8,3,6,170,2,3,,,,,3,3,,,
8,3,6,175,2,6,,,,,6,6,,,
8,3,6,136,3,0,,,,,0,0,,,
8,3,6,146,3,1,2,,,,1.5,1.75,,,
8,3,6,153,3,2,3,,,,2.5,2.75,,,
8,3,6,159,3,3,4,,,,3.5,3.5,,,
8,3,6,170,3,3,,,,,3,3,,,
8,3,6,175,3,6,,,,,6,6,,,
8,3,6,136,4,0,,,,,0,0,,,
8,3,6,146,4,1,2,,,,1.5,1.5,,,
8,3,6,153,4,2,3,,,,2.5,2.75,,,
