year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
7,1,9,239,4,2,3,4,,,3,3.25
7,1,9,246,4,3,4,,,,3.5,3.75
7,1,9,253,4,3,4,5,,,4,4
7,1,9,212,5,0,,,,,0,0
7,1,9,219,5,1,2,,,,1.5,1.5
7,1,9,225,5,1,2,,,,1.5,1.5
7,1,9,232,5,1,2,,,,1.5,1.5
7,1,9,239,5,3,4,,,,3.5,3.5
7,1,9,246,5,3,4,5,,,4,4.5
7,1,9,253,5,3,4,5,6,,4.5,4.75
