"site","block","plot","temptreat","target","reported","temptreat_units","preciptreat","preciptreat_amt","preciptreat_units"
"exp09","3","3B","1",2,2.3,"C","1",120,"perchistmean"
"exp09","3","3H","1",2,2.3,"C","0",NA,NA
"exp09","3","3W","0",NA,NA,NA,"1",120,"perchistmean"
"exp09","4","4A","0",NA,NA,NA,"0",NA,NA
"exp09","4","4B","1",2,2.3,"C","1",120,"perchistmean"
"exp09","4","4H","1",2,2.3,"C","0",NA,NA
"exp09","4","4W","0",NA,NA,NA,"1",120,"perchistmean"
"exp10",NA,"1","5",3.5,2.9195,"C",NA,NA,NA
"exp10",NA,"10","3",2.5,1.854,"C",NA,NA,NA
"exp10",NA,"11","0",NA,NA,NA,NA,NA,NA
"exp10",NA,"12","6",4,3.5125,"C",NA,NA,NA
"exp10",NA,"2","0",NA,NA,NA,NA,NA,NA
"exp10",NA,"3","7",4.5,4.0765,"C",NA,NA,NA
"exp10",NA,"4","2",2,2.073,"C",NA,NA,NA
"exp10",NA,"5","0",NA,NA,NA,NA,NA,NA
"exp10",NA,"6","1",1.5,1.5435,"C",NA,NA,NA
"exp10",NA,"7","4",3,2.5685,"C",NA,NA,NA
"exp10",NA,"8","8",5,4.4915,"C",NA,NA,NA
"exp10",NA,"9","9",5.5,5.361,"C",NA,NA,NA
"exp10",NA,"OUT","ambient",NA,NA,NA,NA,NA,NA
"exp11",NA,"1","ambient",NA,NA,NA,NA,NA,NA
"exp11",NA,"10","1",1,1.2,"C",NA,NA,NA
"exp11",NA,"2","1",1,1.2,"C",NA,NA,NA
"exp11",NA,"3","ambient",NA,NA,NA,NA,NA,NA
"exp11",NA,"4","1",1,1.2,"C",NA,NA,NA
"exp11",NA,"5","ambient",NA,NA,NA,NA,NA,NA
"exp11",NA,"6","1",1,1.2,"C",NA,NA,NA
"exp11",NA,"7","ambient",NA,NA,NA,NA,NA,NA
"exp11",NA,"8","1",1,1.2,"C",NA,NA,NA
"exp11",NA,"9","ambient",NA,NA,NA,NA,NA,NA
"exp12","1","1","1",4,4.17,"C","1",200,"perc"
"exp12","1","2","0",NA,NA,NA,"0",NA,NA
"exp12","1","3","1",4,4.17,"C","0",NA,NA
"exp12","1","4","0",NA,NA,NA,"1",200,"perc"
"exp12","2","10","0",NA,NA,NA,"0",NA,NA
"exp12","2","7","1",4,4.17,"C","0",NA,NA
"exp12","2","8","0",NA,NA,NA,"1",200,"perc"
"exp12","2","9","1",4,4.17,"C","1",200,"perc"
"exp12","3","11","0",NA,NA,NA,"1",200,"perc"
"exp12","3","12","1",4,4.17,"C","0",NA,NA
"exp12","3","13","1",4,4.17,"C","1",200,"perc"
"exp12","3","14","0",NA,NA,NA,"0",NA,NA
"exp12","4","15","1",4,4.17,"C","0",NA,NA
"exp12","4","16","0",NA,NA,NA,"1",200,"perc"
"exp12","4","5","1",4,4.17,"C","1",200,"perc"
"exp12","4","6","0",NA,NA,NA,"0",NA,NA
"exp12","5","17","1",4,4.17,"C","1",200,"perc"
"exp12","5","18","0",NA,NA,NA,"0",NA,NA
"exp12","5","19","1",4,4.17,"C","0",NA,NA
"exp12","5","20","0",NA,NA,NA,"1",200,"perc"
"exp13","C","14","1",1.5,1.77,"C",NA,NA,NA
"exp13","C","15","0",NA,NA,NA,NA,NA,NA
"exp13","D","25","0",NA,NA,NA,NA,NA,NA
"exp13","D","28","1",1.5,1.77,"C",NA,NA,NA
"exp14","108","108-control","0",NA,NA,NA,NA,NA,NA
"exp14","108","108-high","2",3,1.38,"C",NA,NA,NA
"exp14","108","108-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","109","109-control","0",NA,NA,NA,NA,NA,NA
"exp14","109","109-high","2",3,1.38,"C",NA,NA,NA
"exp14","109","109-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","110","110-control","0",NA,NA,NA,NA,NA,NA
"exp14","110","110-high","2",3,1.38,"C",NA,NA,NA
"exp14","110","110-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","137","137-control","0",NA,NA,NA,NA,NA,NA
"exp14","137","137-high","2",3,1.38,"C",NA,NA,NA
"exp14","137","137-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","138","138-control","0",NA,NA,NA,NA,NA,NA
"exp14","138","138-high","2",3,1.38,"C",NA,NA,NA
"exp14","138","138-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","167","167-control","0",NA,NA,NA,NA,NA,NA
"exp14","167","167-high","2",3,1.38,"C",NA,NA,NA
"exp14","167","167-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","176","176-control","0",NA,NA,NA,NA,NA,NA
"exp14","176","176-high","2",3,1.38,"C",NA,NA,NA
"exp14","176","176-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","201","201-control","0",NA,NA,NA,NA,NA,NA
"exp14","201","201-high","2",3,1.38,"C",NA,NA,NA
"exp14","201","201-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","202","202-control","0",NA,NA,NA,NA,NA,NA
"exp14","202","202-high","2",3,1.38,"C",NA,NA,NA
"exp14","202","202-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","220","220-control","0",NA,NA,NA,NA,NA,NA
"exp14","220","220-high","2",3,1.38,"C",NA,NA,NA
"exp14","220","220-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","223","223-control","0",NA,NA,NA,NA,NA,NA
"exp14","223","223-high","2",3,1.38,"C",NA,NA,NA
"exp14","223","223-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","229","229-control","0",NA,NA,NA,NA,NA,NA
"exp14","229","229-high","2",3,1.38,"C",NA,NA,NA
"exp14","229","229-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","230","230-control","0",NA,NA,NA,NA,NA,NA
"exp14","230","230-high","2",3,1.38,"C",NA,NA,NA
"exp14","230","230-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","233","233-control","0",NA,NA,NA,NA,NA,NA
"exp14","233","233-high","2",3,1.38,"C",NA,NA,NA
"exp14","233","233-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","237","237-control","0",NA,NA,NA,NA,NA,NA
"exp14","237","237-high","2",3,1.38,"C",NA,NA,NA
"exp14","237","237-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","253","253-control","0",NA,NA,NA,NA,NA,NA
"exp14","253","253-high","2",3,1.38,"C",NA,NA,NA
"exp14","253","253-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","268","268-control","0",NA,NA,NA,NA,NA,NA
"exp14","268","268-high","2",3,1.38,"C",NA,NA,NA
"exp14","268","268-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","273","273-control","0",NA,NA,NA,NA,NA,NA
"exp14","273","273-high","2",3,1.38,"C",NA,NA,NA
"exp14","273","273-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","280","280-control","0",NA,NA,NA,NA,NA,NA
"exp14","280","280-high","2",3,1.38,"C",NA,NA,NA
"exp14","280","280-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","282","282-control","0",NA,NA,NA,NA,NA,NA
"exp14","282","282-high","2",3,1.38,"C",NA,NA,NA
"exp14","282","282-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","286","286-control","0",NA,NA,NA,NA,NA,NA
"exp14","286","286-high","2",3,1.38,"C",NA,NA,NA
"exp14","286","286-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","29","29-control","0",NA,NA,NA,NA,NA,NA
"exp14","29","29-high","2",3,1.38,"C",NA,NA,NA
"exp14","29","29-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","290","290-control","0",NA,NA,NA,NA,NA,NA
"exp14","290","290-high","2",3,1.38,"C",NA,NA,NA
"exp14","290","290-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","291","291-control","0",NA,NA,NA,NA,NA,NA
"exp14","291","291-high","2",3,1.38,"C",NA,NA,NA
"exp14","291","291-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","299","299-control","0",NA,NA,NA,NA,NA,NA
"exp14","299","299-high","2",3,1.38,"C",NA,NA,NA
"exp14","299","299-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","301","301-control","0",NA,NA,NA,NA,NA,NA
"exp14","301","301-high","2",3,1.38,"C",NA,NA,NA
"exp14","301","301-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","325","325-control","0",NA,NA,NA,NA,NA,NA
"exp14","325","325-high","2",3,1.38,"C",NA,NA,NA
"exp14","325","325-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","328","328-control","0",NA,NA,NA,NA,NA,NA
"exp14","328","328-high","2",3,1.38,"C",NA,NA,NA
"exp14","328","328-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","338","338-control","0",NA,NA,NA,NA,NA,NA
"exp14","338","338-high","2",3,1.38,"C",NA,NA,NA
"exp14","338","338-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","69","69-control","0",NA,NA,NA,NA,NA,NA
"exp14","69","69-high","2",3,1.38,"C",NA,NA,NA
"exp14","69","69-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","82","82-control","0",NA,NA,NA,NA,NA,NA
"exp14","82","82-high","2",3,1.38,"C",NA,NA,NA
"exp14","82","82-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","83","83-control","0",NA,NA,NA,NA,NA,NA
"exp14","83","83-high","2",3,1.38,"C",NA,NA,NA
"exp14","83","83-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","105","105-control","0",NA,NA,NA,NA,NA,NA
