"","x"
"84","Geranium.maculatum"
"85","Geum.canadense"
"86","Hackelia.virginiana"
"87","Hamamelis.virginiana"
"88","Helianthella.quinquenervis"
"89","Hexastylis.arifolia"
"90","Hieracium.caepitosum"
"91","Hieracium.gronovii"
"92","Hieracium.venosum"
"93","Houstonia.longifolia"
"94","Hypericum.punctatum"
"95","Ilex.opaca"
"96","Ilex.verticillata"
"97","Ilex.vomitoria"
"98","Ipomopsis.aggregata"
"99","Juniperus.virginiana"
"100","Lactuca.serriola"
"101","Lathyrus.lanszwertii"
"102","Lathyrus.leucanthus"
"103","Lepidium.campestre"
"104","Lindera.benzoin"
"105","Liquidambar.styraciflua"
"106","Liriodendron.tulipifera"
"107","Lobelia.inflata"
"108","Lolium.multiflorum"
"109","Lolium.perenne"
"110","Lolium.rigidum"
"111","Lonicera.sp"
"112","Lysimachia.quadrifolia"
"113","Magnolia.grandiflora"
"114","Magnolia.sp"
"115","Magnolia.virginiana"
"116","Maianthemum.canadense"
"117","Maianthemum.racemosum"
"118","Melampyrum.lineare"
"119","Mertensia.fusiformes"
"120","Mertensiana.fusiformis"
"121","Microstegium.vimineum"
"122","Mitchella.repens"
"123","Nyssa.sylvatica"
"124","Oenothera.biennis"
"125","Oenothera.perennis"
"126","Ostrya.virginiana"
"127","Oxalis.stricta"
"128","Oxydendrum.arboreum"
"129","Panicum.virgatum"
"130","Parthenocissus.quiquefolia"
"131","Phytolacca.americana"
"132","Pinus.echinata"
"133","Pinus.palustris"
"134","Pinus.resinosa"
"135","Pinus.sp"
"136","Pinus.strobus"
"137","Pinus.taeda"
"138","Pinus.virginiana"
"139","Plantago.major"
"140","Podophyllum.peltatum"
"141","Populus.grandidentata"
"142","Populus.sp"
"143","Populus.tremuloides"
"144","Potentilla.canadensis"
"145","Potentilla.gracilis"
"146","Potentilla.hippiana"
"147","Potentilla.norvegica"
"148","Prunella.vulgaris"
"149","Prunus.pensylvanica"
"150","Prunus.serotina"
"151","Prunus.sp"
"152","Pseudognaphalium.obtusifolium"
"153","Pycnanthemum.incanum"
"154","Quercus.alba"
"155","Quercus.coccinea"
"156","Quercus.falcata"
"157","Quercus.laurifolia"
"158","Quercus.nigra"
"159","Quercus.phellos"
"160","Quercus.rubra"
"161","Quercus.sp"
"162","Quercus.stellata"
"163","Quercus.velutina"
"164","Ranunculus.abortivis"
"165","Rhus.glabra"
"166","Rosa.multiflora"
"167","Rubus.occidentalis"
"168","Rubus.sp"
"169","Rumex.acetosella"
"170","Sambucus.canadensis"
"171","Sassafras.albidum"
"172","Schizachyrium.scoparium"
"173","Setaria.parviflora"
"174","Setaria.viridis"
"175","Sisyrinchium.mucronatum"
"176","Smilax.sp"
"177","Solidago.caesia"
"178","Solidago.canadensis"
"179","Solidago.juncea"
"180","Solidago.nemoralis"
"181","Solidago.rugosa"
"182","Sonchus.asper"
"183","Sorbus.americana"
"184","Symphyotrichum.lateriflorum"
"185","Symphyotrichum.lavae"
"186","Symphyotrichum.pilosum"
"187","Taraxacum.officionale"
"188","Thalictrum.thalictroides"
"189","Tipularia.discolor"
"190","Trifolium.aureum"
"191","Trifolium.pratense"
"192","Trifolium.repens"
"193","Ulmus.americana"
"194","Ulmus.rubra"
"195","Ulmus.sp"
"196","Uvularia.perfoliata"
"197","Vaccinium.corymbosum"
"198","Vaccinium.pallidum"
"199","Vaccinium.sp"
"200","Vaccinium.stamineum"
"201","Vaccinium.vacillans"
"202","Verbascum.thapsus"
"203","Verbena.urticifolia"
"204","Veronica.officinalis"
"205","Veronica.serpyllifolia"
"206","Viburnum.acerifolium"
"207","Viburnum.cassinoides"
"208","Viburnum.lentago"
"209","Viburnum.prunifolium"
"210","Viburnum.sp"
"211","Vicia.cracca"
"212","Vicia.sativa"
"213","Viola.blanda"
"214","Viola.hirsutula"
"215","Viola.pubescens"
"216","Viola.soria"
"217","Viola.sp"
"218","Vitis.sp"
"219","Vulpia.myuros"
