Experiment	Year	Species	Plot	Treatment	NumSpecies	CumGDDBud	CumGDDFlwr	FlwDuration	FlwHt	FlwrDay	BudDay	EndFlwr	SeedDay
249	2009	Dalea purpurea	220	1-Low	16	412.5	617	1	66	204	181	211	 
249	2009	Dalea purpurea	220	1-Low	16	412.5	684.5	2	42	211	181	225	 
249	2009	Dalea purpurea	220	1-Low	16	412.5	684.5	2	46	211	181	225	 
249	2009	Dalea purpurea	249	0-Ambient	32	363.5	617	2	43	204	175	218	 
249	2009	Dalea purpurea	249	0-Ambient	32	363.5	617	2	54	204	175	218	 
249	2009	Dalea purpurea	249	0-Ambient	32	487.5	684.5	 	38	211	189	211	 
249	2009	Dalea purpurea	249	2-High	32	363.5	555	2	24	196	175	210	 
249	2009	Dalea purpurea	249	2-High	32	363.5	555	3	37	196	175	217	 
249	2009	Dalea purpurea	249	2-High	32	487.5	684.5	 	29	211	189	211	 
249	2009	Dalea purpurea	249	1-Low	32	363.5	555	1	42	196	175	203	 
249	2009	Dalea purpurea	249	1-Low	32	363.5	684.5	 	38	211	175	211	 
249	2009	Dalea purpurea	253	0-Ambient	16	363.5	617	2	60	204	175	218	 
249	2009	Dalea purpurea	253	0-Ambient	16	412.5	684.5	1	51	211	181	218	 
249	2009	Dalea purpurea	253	0-Ambient	16	412.5	684.5	3	63	211	181	232	 
249	2009	Dalea purpurea	253	2-High	16	363.5	487.5	2	32	189	175	203	 
249	2009	Dalea purpurea	253	2-High	16	363.5	555	2	34	196	175	210	 
249	2009	Dalea purpurea	253	1-Low	16	363.5	555	2	41	196	175	210	 
249	2009	Dalea purpurea	253	1-Low	16	363.5	555	3	52	196	175	217	 
249	2009	Dalea purpurea	253	1-Low	16	363.5	617	1	56	204	175	211	 
249	2009	Dalea purpurea	273	0-Ambient	16	412.5	684.5	3	64	211	181	232	 
249	2009	Dalea purpurea	273	0-Ambient	16	487.5	801	1	42	223	189	230	 
249	2009	Dalea purpurea	273	2-High	16	363.5	555	3	77	196	175	217	 
249	2009	Dalea purpurea	273	2-High	16	412.5	684.5	3	56	211	181	232	 
249	2009	Dalea purpurea	273	2-High	16	487.5	734.5	2	50	217	189	231	 
249	2009	Dalea purpurea	291	0-Ambient	1	555	684.5	3	30	211	196	232	 
249	2009	Dalea purpurea	291	2-High	1	363.5	555	2	30	196	175	210	 
249	2009	Dalea purpurea	291	1-Low	1	363.5	617	2	38	204	175	218	 
249	2009	Dalea purpurea	291	1-Low	1	412.5	684.5	2	25	211	181	225	 
249	2009	Dalea purpurea	328	0-Ambient	16	363.5	617	2	37	204	175	218	 
249	2009	Dalea purpurea	328	0-Ambient	16	363.5	617	2	47	204	175	218	 
249	2009	Dalea purpurea	328	1-Low	16	363.5	555	2	34	196	175	210	 
249	2009	Dalea purpurea	328	1-Low	16	363.5	617	1	38	204	175	211	 
249	2009	Dalea purpurea	328	1-Low	16	363.5	617	2	47	204	175	218	 
249	2009	Koeleria cristata	78	0-Ambient	32	120	255	2	45	167	140	181	 
249	2009	Koeleria cristata	78	0-Ambient	32	120	255	2	43	167	140	181	 
249	2009	Koeleria cristata	78	0-Ambient	32	120	255	2	55	167	140	181	 
249	2009	Koeleria cristata	78	2-High	32	120	255	1	21	167	140	174	 
249	2009	Koeleria cristata	78	1-Low	32	120	255	2	40	167	140	181	 
249	2009	Koeleria cristata	108	0-Ambient	16	120	255	2	41	167	140	181	 
249	2009	Koeleria cristata	108	0-Ambient	16	120	255	2	27	167	140	181	 
249	2009	Koeleria cristata	108	2-High	16	120	211.5	2	20	162	140	176	 
249	2009	Koeleria cristata	108	2-High	16	120	211.5	2	22	162	140	176	 
249	2009	Koeleria cristata	108	2-High	16	120	211.5	3	33	162	140	183	 
249	2009	Koeleria cristata	249	1-Low	32	120	255	1	38	167	140	174	 
249	2009	Koeleria cristata	253	0-Ambient	16	120	255	2	30	167	140	181	 
249	2009	Koeleria cristata	268	0-Ambient	1	120	211.5	1	21	162	140	169	 
249	2009	Koeleria cristata	268	0-Ambient	1	120	255	1	28	167	140	174	 
249	2009	Koeleria cristata	268	2-High	1	120	211.5	3	31	162	140	183	 
249	2009	Koeleria cristata	268	2-High	1	120	211.5	3	17	162	140	183	 
249	2009	Koeleria cristata	268	2-High	1	120	211.5	3	17	162	140	183	 
249	2009	Koeleria cristata	268	1-Low	1	120	211.5	2	23	162	140	176	 
249	2009	Koeleria cristata	268	1-Low	1	120	255	2	28	167	140	181	 
249	2009	Koeleria cristata	328	2-High	16	 	211.5	1	14	162	 	169	 
249	2009	Lespedeza capitata	29	0-Ambient	1	684.5	743	 	52	218	211	218	 
249	2009	Lespedeza capitata	29	0-Ambient	1	555	990.5	 	36	246	196	246	 
249	2009	Lespedeza capitata	29	0-Ambient	1	555	990.5	 	31	246	196	246	 
249	2009	Lespedeza capitata	29	2-High	1	555	734.5	4	69	217	196	245	 
249	2009	Lespedeza capitata	29	2-High	1	555	801	3	56	223	196	244	 
249	2009	Lespedeza capitata	29	2-High	1	555	891.5	2	35	231	196	245	 
249	2009	Lespedeza capitata	29	1-Low	1	555	801	2	55	223	196	237	 
249	2009	Lespedeza capitata	29	1-Low	1	555	891.5	1	35	231	196	238	 
249	2009	Lespedeza capitata	29	1-Low	1	555	891.5	1	32	231	196	238	 
249	2009	Lespedeza capitata	78	0-Ambient	32	555	734.5	2	61	217	196	231	 
249	2009	Lespedeza capitata	78	0-Ambient	32	801	1137	 	30	262	223	262	 
249	2009	Lespedeza capitata	78	2-High	32	555	801	1	52	223	196	230	 
249	2009	Lespedeza capitata	78	2-High	32	555	990.5	 	60	246	196	246	 
249	2009	Lespedeza capitata	78	1-Low	32	555	801	1	61	223	196	230	 
249	2009	Lespedeza capitata	78	1-Low	32	555	891.5	 	49	231	196	231	 
249	2009	Lespedeza capitata	82	0-Ambient	16	555	891.5	 	49	231	196	231	 
249	2009	Lespedeza capitata	82	2-High	16	555	684.5	1	54	211	196	218	 
249	2009	Lespedeza capitata	82	2-High	16	555	891.5	 	40	231	196	231	 
249	2009	Lespedeza capitata	82	1-Low	16	555	801	1	50	223	196	230	 
249	2009	Lespedeza capitata	82	1-Low	16	555	891.5	 	42	231	196	231	 
249	2009	Lespedeza capitata	82	1-Low	16	555	891.5	 	46	231	196	231	 
249	2009	Lespedeza capitata	108	0-Ambient	16	555	734.5	1	53	217	196	224	 
249	2009	Lespedeza capitata	108	1-Low	16	555	891.5	 	79	231	196	231	 
249	2009	Lespedeza capitata	202	0-Ambient	16	555	801	2	68	223	196	237	 
249	2009	Lespedeza capitata	202	2-High	16	617	734.5	3	74	217	204	238	 
249	2009	Lespedeza capitata	202	2-High	16	617	946.5	 	87	238	204	238	 
249	2009	Lespedeza capitata	202	1-Low	16	617	801	1	56	223	204	230	 
249	2009	Lespedeza capitata	202	1-Low	16	617	801	2	79	223	204	237	 
249	2009	Lespedeza capitata	202	1-Low	16	617	891.5	 	44	231	204	231	 
249	2009	Lespedeza capitata	220	0-Ambient	16	555	801	3	69	223	196	244	 
249	2009	Lespedeza capitata	220	0-Ambient	16	555	891.5	 	52	231	196	231	 
249	2009	Lespedeza capitata	220	0-Ambient	16	684.5	891.5	 	38	231	211	231	 
249	2009	Lespedeza capitata	220	2-High	16	555	801	2	65	223	196	237	 
249	2009	Lespedeza capitata	220	1-Low	16	555	891.5	 	37	231	196	231	 
249	2009	Lespedeza capitata	220	1-Low	16	617	891.5	 	47	231	204	231	 
249	2009	Lespedeza capitata	249	0-Ambient	32	617	734.5	2	60	217	204	231	 
249	2009	Lespedeza capitata	249	2-High	32	555	990.5	 	38	246	196	246	 
249	2009	Lespedeza capitata	249	1-Low	32	801	1057	 	46	254	223	254	 
249	2009	Lespedeza capitata	253	0-Ambient	16	555	891.5	 	52	231	196	231	 
249	2009	Lespedeza capitata	253	0-Ambient	16	555	891.5	 	51	231	196	231	 
249	2009	Lespedeza capitata	253	0-Ambient	16	555	 	 	 	 	196	 	 
249	2009	Lespedeza capitata	253	2-High	16	555	946.5	 	40	238	196	238	 
249	2009	Lespedeza capitata	253	2-High	16	555	 	 	 	 	196	 	 
249	2009	Lespedeza capitata	253	1-Low	16	555	734.5	3	56	217	196	238	 
249	2009	Lespedeza capitata	253	1-Low	16	684.5	891.5	 	34	231	211	231	 
249	2009	Lespedeza capitata	253	1-Low	16	684.5	891.5	 	40	231	211	231	 
249	2009	Lespedeza capitata	273	2-High	16	555	734.5	4	66	217	196	245	 
249	2009	Lespedeza capitata	273	2-High	16	555	801	1	70	223	196	230	 
249	2009	Lespedeza capitata	273	2-High	16	684.5	 	 	 	 	211	 	 
249	2009	Lespedeza capitata	273	1-Low	16	734.5	891.5	 	25	231	217	231	 
249	2009	Lespedeza capitata	299	0-Ambient	16	617	801	1	41	223	204	230	 
249	2009	Lespedeza capitata	299	0-Ambient	16	555	891.5	 	71	231	196	231	 
249	2009	Lespedeza capitata	299	0-Ambient	16	617	891.5	1	50	231	204	238	 
249	2009	Lespedeza capitata	299	2-High	16	617	891.5	 	45	231	204	231	 
249	2009	Lespedeza capitata	299	2-High	16	734.5	891.5	 	28	231	217	231	 
249	2009	Lespedeza capitata	299	2-High	16	801	946.5	 	45	238	223	238	 
249	2009	Lespedeza capitata	301	0-Ambient	16	555	891.5	 	38	231	196	231	 
249	2009	Lespedeza capitata	301	0-Ambient	16	555	 	 	 	 	196	 	 
249	2009	Lespedeza capitata	301	2-High	16	555	684.5	3	42	211	196	232	 
249	2009	Lespedeza capitata	301	2-High	16	555	801	1	31	223	196	230	 
249	2009	Lespedeza capitata	301	1-Low	16	555	734.5	3	87	217	196	238	 
249	2009	Lespedeza capitata	301	1-Low	16	555	801	1	53	223	196	230	 
249	2009	Lespedeza capitata	301	1-Low	16	555	891.5	 	52	231	196	231	 
249	2009	Lespedeza capitata	328	0-Ambient	16	 	801	 	10	223	 	223	 
249	2009	Lespedeza capitata	328	0-Ambient	16	555	891.5	 	44	231	196	231	 
249	2009	Lespedeza capitata	328	2-High	16	555	891.5	1	54	231	196	238	 
249	2009	Lespedeza capitata	328	2-High	16	555	891.5	2	57	231	196	245	 
249	2009	Lespedeza capitata	328	2-High	16	555	891.5	 	64	231	196	231	 
249	2009	Liatris aspera	78	0-Ambient	32	555	801	2	46	223	196	237	 
249	2009	Liatris aspera	78	1-Low	32	801	1057	2	38	254	223	268	 
249	2009	Liatris aspera	82	0-Ambient	16	801	946.5	3	48	238	223	259	 
249	2009	Liatris aspera	82	0-Ambient	16	617	1057	1	32	254	204	261	 
249	2009	Liatris aspera	82	2-High	16	946.5	990.5	5	20	246	238	281	 
249	2009	Liatris aspera	82	1-Low	16	801	990.5	3	42	246	223	267	 
249	2009	Liatris aspera	167	1-Low	1	487.5	990.5	2	52	246	189	260	 
249	2009	Liatris aspera	249	0-Ambient	32	617	990.5	3	44	246	204	267	 
249	2009	Liatris aspera	249	0-Ambient	32	487.5	1057	2	45	254	189	268	 
249	2009	Liatris aspera	249	2-High	32	684.5	1057	2	41	254	211	268	 
249	2009	Liatris aspera	253	0-Ambient	16	555	990.5	2	49	246	196	260	 
249	2009	Liatris aspera	253	1-Low	16	801	946.5	3	62	238	223	259	 
249	2009	Liatris aspera	253	1-Low	16	617	990.5	2	44	246	204	260	 
249	2009	Liatris aspera	299	0-Ambient	16	684.5	1057	1	32	254	211	261	 
249	2009	Liatris aspera	301	0-Ambient	16	617	1057	3	45	254	204	275	 
249	2009	Liatris aspera	301	2-High	16	617	1057	2	42	254	204	268	 
249	2009	Liatris aspera	301	1-Low	16	487.5	990.5	3	71	246	189	267	 
249	2009	Liatris aspera	301	1-Low	16	555	990.5	2	33	246	196	260	 
249	2009	Liatris aspera	328	2-High	16	734.5	1057	2	38	254	217	268	 
249	2009	Lupinus perennis	78	0-Ambient	32	76	157.5	1	28	148	134	155	 
249	2009	Lupinus perennis	78	1-Low	32	49	120	2	34	140	126	154	 
249	2009	Lupinus perennis	78	1-Low	32	120	197.5	2	27	156	140	170	 
249	2009	Lupinus perennis	82	0-Ambient	16	120	157.5	3	26	148	140	169	 
249	2009	Lupinus perennis	82	0-Ambient	16	49	197.5	3	21	156	126	177	 
249	2009	Lupinus perennis	82	2-High	16	120	120	2	30	140	140	154	 
249	2009	Lupinus perennis	82	2-High	16	49	197.5	1	29	156	126	163	 
249	2009	Lupinus perennis	82	1-Low	16	76	197.5	2	30	156	134	170	 
249	2009	Lupinus perennis	82	1-Low	16	76	197.5	2	40	156	134	170	 
249	2009	Lupinus perennis	83	0-Ambient	1	120	197.5	1	33	156	140	163	 
249	2009	Lupinus perennis	83	0-Ambient	1	120	197.5	3	38	156	140	177	 
249	2009	Lupinus perennis	83	2-High	1	120	157.5	2	24	148	140	162	 
249	2009	Lupinus perennis	83	1-Low	1	120	157.5	3	30	148	140	169	 
249	2009	Lupinus perennis	83	1-Low	1	120	157.5	2	20	148	140	162	 
249	2009	Lupinus perennis	83	1-Low	1	 	157.5	3	37	148	 	169	 
249	2009	Lupinus perennis	108	0-Ambient	16	49	120	3	25	140	126	161	 
249	2009	Lupinus perennis	108	0-Ambient	16	76	157.5	3	31	148	134	169	 
249	2009	Lupinus perennis	108	0-Ambient	16	49	165.5	1	17	149	126	156	 
249	2009	Lupinus perennis	108	2-High	16	49	157.5	2	37	148	126	162	 
249	2009	Lupinus perennis	108	2-High	16	49	157.5	3	42	148	126	169	 
249	2009	Lupinus perennis	108	2-High	16	49	165.5	3	39	149	126	170	 
249	2009	Lupinus perennis	108	1-Low	16	76	197.5	2	35	156	134	170	 
249	2009	Lupinus perennis	202	0-Ambient	16	76	197.5	1	22	156	134	163	 
249	2009	Lupinus perennis	202	0-Ambient	16	76	197.5	2	40	156	134	170	 
249	2009	Lupinus perennis	202	2-High	16	49	157.5	2	49	148	126	162	 
249	2009	Lupinus perennis	202	2-High	16	49	157.5	3	37	148	126	169	 
249	2009	Lupinus perennis	202	2-High	16	49	157.5	2	40	148	126	162	 
249	2009	Lupinus perennis	202	1-Low	16	120	120	3	39	140	140	161	 
249	2009	Lupinus perennis	202	1-Low	16	 	120	3	41	140	 	161	 
249	2009	Lupinus perennis	202	1-Low	16	49	157.5	2	31	148	126	162	 
249	2009	Lupinus perennis	220	0-Ambient	16	76	157.5	 	45	148	134	148	 
249	2009	Lupinus perennis	220	0-Ambient	16	76	197.5	2	48	156	134	170	 
249	2009	Lupinus perennis	220	0-Ambient	16	 	197.5	1	30	156	 	163	 
249	2009	Lupinus perennis	220	2-High	16	49	197.5	1	29	156	126	163	 
249	2009	Lupinus perennis	220	2-High	16	120	197.5	1	31	156	140	163	 
249	2009	Lupinus perennis	220	2-High	16	120	197.5	2	26	156	140	170	 
249	2009	Lupinus perennis	220	1-Low	16	76	157.5	2	27	148	134	162	 
249	2009	Lupinus perennis	220	1-Low	16	120	157.5	3	35	148	140	169	 
249	2009	Lupinus perennis	220	1-Low	16	120	197.5	1	14	156	140	163	 
249	2009	Lupinus perennis	249	0-Ambient	32	76	157.5	3	35	148	134	169	 
249	2009	Lupinus perennis	249	0-Ambient	32	 	197.5	1	39	156	 	163	 
249	2009	Lupinus perennis	249	2-High	32	76	157.5	3	33	148	134	169	 
249	2009	Lupinus perennis	249	2-High	32	 	197.5	2	23	156	 	170	 
249	2009	Lupinus perennis	249	1-Low	32	 	211.5	1	48	162	 	169	 
249	2009	Lupinus perennis	249	1-Low	32	76	 	 	 	 	134	 	 
249	2009	Lupinus perennis	253	0-Ambient	16	49	120	3	27	140	126	161	 
249	2009	Lupinus perennis	253	0-Ambient	16	49	157.5	3	42	148	126	169	 
249	2009	Lupinus perennis	253	0-Ambient	16	76	197.5	2	35	156	134	170	 
249	2009	Lupinus perennis	253	2-High	16	76	157.5	2	37	148	134	162	 
249	2009	Lupinus perennis	253	1-Low	16	49	157.5	3	33	148	126	169	 
249	2009	Lupinus perennis	253	1-Low	16	76	157.5	2	26	148	134	162	 
249	2009	Lupinus perennis	253	1-Low	16	76	197.5	1	23	156	134	163	 
249	2009	Lupinus perennis	273	0-Ambient	16	49	157.5	3	38	148	126	169	 
249	2009	Lupinus perennis	273	0-Ambient	16	76	157.5	3	38	148	134	169	 
249	2009	Lupinus perennis	273	0-Ambient	16	 	157.5	3	32	148	 	169	 
249	2009	Lupinus perennis	273	2-High	16	49	157.5	2	43	148	126	162	 
249	2009	Lupinus perennis	273	2-High	16	120	197.5	2	48	156	140	170	 
249	2009	Lupinus perennis	273	1-Low	16	76	120	3	36	140	134	161	 
249	2009	Lupinus perennis	273	1-Low	16	76	120	3	38	140	134	161	 
249	2009	Lupinus perennis	273	1-Low	16	76	157.5	2	46	148	134	162	 
249	2009	Lupinus perennis	299	0-Ambient	16	76	120	2	31	140	134	154	 
249	2009	Lupinus perennis	299	0-Ambient	16	76	157.5	3	29	148	134	169	 
249	2009	Lupinus perennis	299	0-Ambient	16	120	211.5	1	23	162	140	169	 
249	2009	Lupinus perennis	299	2-High	16	49	120	3	34	140	126	161	 
249	2009	Lupinus perennis	299	2-High	16	120	197.5	2	44	156	140	170	 
249	2009	Lupinus perennis	299	2-High	16	120	197.5	2	36	156	140	170	 
249	2009	Lupinus perennis	299	1-Low	16	49	157.5	2	35	148	126	162	 
249	2009	Lupinus perennis	299	1-Low	16	76	157.5	2	35	148	134	162	 
249	2009	Lupinus perennis	301	0-Ambient	16	49	120	3	29	140	126	161	 
249	2009	Lupinus perennis	301	0-Ambient	16	76	120	3	27	140	134	161	 
249	2009	Lupinus perennis	301	2-High	16	49	120	4	31	140	126	168	 
249	2009	Lupinus perennis	301	2-High	16	49	120	3	32	140	126	161	 
249	2009	Lupinus perennis	301	2-High	16	49	120	3	28	140	126	161	 
249	2009	Lupinus perennis	301	1-Low	16	49	120	3	40	140	126	161	 
249	2009	Lupinus perennis	301	1-Low	16	120	157.5	3	37	148	140	169	 
249	2009	Lupinus perennis	301	1-Low	16	211.5	255	1	27	167	162	174	 
249	2009	Lupinus perennis	328	0-Ambient	16	49	157.5	3	35	148	126	169	 
249	2009	Lupinus perennis	328	0-Ambient	16	76	157.5	2	25	148	134	162	 
249	2009	Lupinus perennis	328	0-Ambient	16	120	197.5	1	25	156	140	163	 
249	2009	Lupinus perennis	328	2-High	16	49	120	2	23	140	126	154	 
249	2009	Lupinus perennis	328	2-High	16	76	157.5	3	28	148	134	169	 
249	2009	Lupinus perennis	328	2-High	16	120	197.5	2	26	156	140	170	 
249	2009	Lupinus perennis	328	1-Low	16	76	120	3	42	140	134	161	 
249	2009	Lupinus perennis	328	1-Low	16	49	157.5	1	30	148	126	155	 
249	2009	Poa pratensis	82	0-Ambient	16	120	197.5	 	 	156	140	156	 
249	2009	Poa pratensis	108	0-Ambient	16	76	157.5	2	21	148	134	162	 
249	2009	Poa pratensis	202	2-High	16	76	157.5	1	36	148	134	155	 
249	2009	Poa pratensis	202	2-High	16	76	157.5	2	31	148	134	162	 
249	2009	Poa pratensis	220	0-Ambient	16	76	197.5	1	19	156	134	163	 
249	2009	Poa pratensis	220	0-Ambient	16	76	197.5	1	10	156	134	163	 
249	2009	Poa pratensis	237	1-Low	1	157.5	197.5	1	27	156	148	163	 
249	2009	Poa pratensis	237	1-Low	1	76	211.5	2	28	162	134	176	 
249	2009	Poa pratensis	249	0-Ambient	32	76	157.5	3	30	148	134	169	 
249	2009	Poa pratensis	249	2-High	32	76	211.5	 	29	162	134	162	 
249	2009	Poa pratensis	249	1-Low	32	76	197.5	2	10	156	134	170	 
249	2009	Poa pratensis	253	1-Low	16	76	157.5	2	15	148	134	162	 
249	2009	Poa pratensis	273	0-Ambient	16	157.5	197.5	1	18	156	148	163	 
249	2009	Poa pratensis	301	0-Ambient	16	157.5	211.5	 	17	162	148	162	 
249	2009	Poa pratensis	301	1-Low	16	120	211.5	1	20	162	140	169	 
249	2009	Schizachyrium scoparium	78	0-Ambient	32	801	891.5	 	50	231	223	231	 
249	2009	Schizachyrium scoparium	78	0-Ambient	32	 	990.5	1	54	246	 	253	 
249	2009	Schizachyrium scoparium	78	2-High	32	891.5	946.5	3	37	238	231	259	 
249	2009	Schizachyrium scoparium	78	2-High	32	891.5	990.5	1	56	246	231	253	 
249	2009	Schizachyrium scoparium	78	1-Low	32	 	801	1	31	223	 	230	 
249	2009	Schizachyrium scoparium	78	1-Low	32	891.5	990.5	3	60	246	231	267	 
249	2009	Schizachyrium scoparium	82	0-Ambient	16	801	891.5	 	42	231	223	231	 
249	2009	Schizachyrium scoparium	82	0-Ambient	16	891.5	990.5	1	44	246	231	253	 
