year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
7,1,10,148,4,1,2,3,4,,2.5,3,
7,1,10,156,4,2,3,4,,,3,3.75,
7,1,10,162,4,4,5,,,,4.5,4.25,
7,1,10,169,4,4,5,,,,4.5,4.75,
7,1,10,176,4,5,6,,,,5.5,5.5,
7,1,10,184,4,6,,,,,6,6,
7,1,10,133,5,1,2,,,,1.5,1.5,
7,1,10,143,5,1,2,3,4,,2.5,2.75,
7,1,10,148,5,1,2,3,4,,2.5,2.75,
7,1,10,156,5,3,4,,,,3.5,3.25,
7,1,10,162,5,4,5,,,,4.5,4.25,
7,1,10,169,5,4,5,,,,4.5,4.5,
7,1,10,176,5,5,6,,,,5.5,5.5,
7,1,10,184,5,6,,,,,6,6,
7,2,1,149,1,0,,,,,0,0,
7,2,1,155,1,1,,,,,1,1,
7,2,1,162,1,1,2,,,,1.5,1.5,
7,2,1,169,1,1,2,4,,,2.333333333,2.25,
7,2,1,176,1,2,3,4,,,3,3.75,
7,2,1,184,1,4,,,,,4,4,
7,2,1,190,1,6,,,,,6,6,
7,2,1,149,2,0,,,,,0,0,
7,2,1,155,2,1,,,,,1,1,
7,2,1,162,2,1,2,,,,1.5,1.25,
7,2,1,169,2,1,2,3,4,,2.5,2,
7,2,1,176,2,1,2,4,,,2.333333333,3.25,
7,2,1,184,2,3,4,5,,,4,4,
7,2,1,190,2,6,,,,,6,6,
7,2,1,149,3,0,,,,,0,0,
7,2,1,155,3,1,,,,,1,1,
7,2,1,162,3,1,2,,,,1.5,1.5,
7,2,1,169,3,1,2,3,4,,2.5,2.5,
7,2,1,176,3,2,3,4,5,,3.5,3.75,
7,2,1,184,3,3,4,5,,,4,4,
7,2,1,190,3,6,,,,,6,6,
7,2,1,149,4,0,,,,,0,0,
7,2,1,155,4,1,,,,,1,1,
7,2,1,162,4,1,2,,,,1.5,1.5,
7,2,1,169,4,1,2,4,,,2.333333333,2.75,
7,2,1,176,4,2,3,4,5,,3.5,3.75,
7,2,1,184,4,3,4,5,,,4,4,
7,2,1,190,4,6,,,,,6,6,
7,2,1,149,5,0,,,,,0,0,
7,2,1,155,5,1,,,,,1,1,
7,2,1,162,5,1,2,,,,1.5,1.5,
7,2,1,169,5,1,2,4,,,2.333333333,2.75,
7,2,1,176,5,2,3,4,5,,3.5,3.75,
7,2,1,184,5,4,5,,,,4.5,4.5,
7,2,1,190,5,6,,,,,6,6,
7,2,3,141,1,0,,,,,0,0,
7,2,3,149,1,1,2,,,,1.5,1.5,
7,2,3,155,1,1,2,3,,,2,2,
7,2,3,162,1,2,3,4,,,3,3.5,
7,2,3,169,1,2,3,4,,,3,3.5,
7,2,3,176,1,3,4,5,,,4,1,
7,2,3,184,1,4,5,6,,,5,4.75,
7,2,3,190,1,6,,,,,6,6,
7,2,3,141,2,0,,,,,0,0,
7,2,3,149,2,1,2,,,,1.5,1.5,
7,2,3,155,2,1,2,3,,,2,2,
7,2,3,162,2,2,3,4,,,3,3.25,
7,2,3,169,2,2,3,4,,,3,3.5,
7,2,3,176,2,2,3,4,5,,3.5,3.75,
7,2,3,184,2,3,4,5,6,,4.5,4,
7,2,3,190,2,6,,,,,6,6,
7,2,3,149,3,0,,,,,0,0,
7,2,3,155,3,1,2,4,,,2.333333333,1.5,
7,2,3,162,3,1,2,4,,,2.333333333,3.25,
7,2,3,169,3,2,4,5,,,3.666666667,3.75,
7,2,3,176,3,4,5,,,,4.5,4.5,
7,2,3,184,3,4,5,6,,,5,5,
7,2,3,190,3,6,,,,,6,6,
7,2,3,149,4,0,,,,,0,0,
7,2,3,155,4,1,2,3,4,,2.5,2.5,
7,2,3,162,4,2,3,4,,,3,3.5,
7,2,3,169,4,2,3,4,,,3,3.5,
7,2,3,176,4,3,4,,,,3.5,3.75,
7,2,3,184,4,3,5,6,,,4.666666667,5.75,
7,2,3,190,4,6,,,,,6,6,
7,2,3,149,5,0,,,,,0,0,
7,2,3,155,5,1,2,4,,,2.333333333,2.5,
7,2,3,162,5,1,2,3,4,,2.5,3,
7,2,3,169,5,1,2,3,4,,2.5,3.5,
7,2,3,176,5,2,3,4,,,3,3.75,
7,2,3,184,5,3,5,6,,,4.666666667,5.75,
7,2,3,190,5,6,,,,,6,6,
7,2,5,141,1,0,,,,,0,0,
7,2,5,149,1,1,2,,,,1.5,1.25,
7,2,5,155,1,1,2,3,,,2,1.5,
7,2,5,162,1,1,2,3,4,,2.5,2.75,
7,2,5,169,1,1,2,4,,,2.333333333,2.75,
7,2,5,176,1,2,3,4,5,,3.5,3.75,
7,2,5,184,1,6,,,,,6,6,
7,2,5,141,2,0,,,,,0,0,
