year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall,
7,3,9,254,2,4,,,,4,4,
7,3,9,233,3,1,,,,1,1,
7,3,9,240,3,2,,,,2,2,
7,3,9,247,3,3,,,,3,3,
7,3,9,254,3,4,,,,4,4,
7,3,9,233,4,1,,,,1,1,
7,3,9,240,4,1,2,,,1.5,1.5,
7,3,9,247,4,3,,,,3,3,
7,3,9,254,4,4,,,,4,4,
7,3,9,233,5,1,,,,1,1,
7,3,9,240,5,2,,,,2,2,
7,3,9,247,5,3,4,,,3.5,3.5,
7,3,9,254,5,4,,,,4,4,
7,3,10,233,1,1,,,,1,1,
7,3,10,240,1,1,2,,,1.5,1.25,
7,3,10,247,1,3,,,,3,3,
7,3,10,254,1,3,,,,3,3,
7,3,10,233,2,1,,,,1,1,
7,3,10,240,2,2,,,,2,2,
7,3,10,247,2,2,3,,,2.5,2.75,
7,3,10,254,2,3,4,,,3.5,3.75,
7,3,10,240,3,1,,,,1,1,
7,3,10,247,3,1,3,,,2,2.5,
7,3,10,254,3,3,4,,,3.5,3.5,
7,3,10,233,4,1,,,,1,1,
7,3,10,240,4,1,2,,,1.5,1.75,
7,3,10,247,4,2,3,,,2.5,2.75,
7,3,10,254,4,4,,,,4,4,
7,3,10,233,5,1,,,,1,1,
7,3,10,240,5,2,,,,2,2,
7,3,10,247,5,2,3,,,2.5,2.75,
7,3,10,254,5,3,4,,,3.5,3.25,
7,4,1,226,1,1,,,,1,1,
7,4,1,233,1,1,2,,,1.5,1.75,
7,4,1,240,1,3,,,,3,3,
7,4,1,247,1,4,,,,4,4,
7,4,1,254,1,4,5,,,4.5,4.5,
7,4,1,226,2,1,,,,1,1,
7,4,1,233,2,1,2,,,1.5,1.5,
7,4,1,240,2,2,3,,,2.5,2.5,
7,4,1,247,2,3,4,,,3.5,3.5,
7,4,1,254,2,4,5,,,4.5,4.25,
7,4,1,226,3,1,,,,1,1,
7,4,1,233,3,1,2,,,1.5,1.75,
7,4,1,240,3,2,3,,,2.5,2.25,
7,4,1,247,3,3,4,,,3.5,3.5,
7,4,1,254,3,4,5,,,4.5,4.25,
7,4,1,226,4,1,,,,1,1,
7,4,1,233,4,1,2,,,1.5,1.75,
7,4,1,240,4,1,2,,,1.5,1.25,
7,4,1,247,4,1,3,,,2,2.75,
7,4,1,254,4,4,5,,,4.5,4.25,
7,4,1,240,5,1,,,,1,1,
7,4,1,247,5,3,,,,3,3,
7,4,1,254,5,3,4,,,3.5,3.75,
7,4,2,233,1,1,,,,1,1,
7,4,2,240,1,3,,,,3,3,
7,4,2,247,1,3,4,,,3.5,3.5,
7,4,2,254,1,4,5,,,4.5,4.25,
7,4,2,226,2,1,,,,1,1,
7,4,2,233,2,1,2,,,1.5,1.75,
7,4,2,240,2,2,3,,,2.5,2.25,
7,4,2,247,2,4,,,,4,4,
7,4,2,254,2,4,5,,,4.5,4.25,
7,4,2,226,3,1,,,,1,1,
7,4,2,233,3,1,2,,,1.5,1.5,
7,4,2,240,3,2,3,,,2.5,2.25,
7,4,2,247,3,4,5,,,4.5,4.25,
7,4,2,254,3,4,5,,,4.5,4.25,
7,4,2,233,4,1,,,,1,1,
7,4,2,240,4,2,,,,2,2,
7,4,2,247,4,3,4,,,3.5,3.75,
7,4,2,254,4,4,,,,4,4,
7,4,2,233,5,1,,,,1,1,
7,4,2,240,5,1,2,3,,2,1.75,
7,4,2,247,5,3,4,,,3.5,3.25,
7,4,2,254,5,4,5,,,4.5,4.75,
7,4,3,233,1,1,,,,1,1,
7,4,3,240,1,1,2,,,1.5,1.25,
7,4,3,247,1,1,2,3,,2,2.25,
7,4,3,254,1,3, ,,,3,3,
7,4,3,233,2,1,,,,1,1,
7,4,3,240,2,2,,,,2,2,
7,4,3,247,2,3,4,,,3.5,3.25,
7,4,3,254,2,4, ,,,4,4,
7,4,3,226,3,1,,,,1,1,
7,4,3,233,3,2,,,,2,2,
7,4,3,240,3,3,,,,3,3,
7,4,3,247,3,3,4,,,3.5,3.75,
7,4,3,254,3,4, , ,,4,4,
7,4,3,226,4,1,,,,1,1,
7,4,3,233,4,1,2,,,1.5,1.75,
7,4,3,240,4,3,,,,3,3,
7,4,3,247,4,4,,,,4,4,
7,4,3,254,4,4,5,,,4.5,4.25,
7,4,3,240,5,1,,,,1,1,
7,4,3,247,5,2,,,,2,2,
7,4,3,254,5,3,,,,3,3,
7,4,4,233,1,1,,,,1,1,
7,4,4,240,1,2,,,,2,2,
7,4,4,247,1,3,4,,,3.5,3.5,
7,4,4,254,1,4,5,,,4.5,4.25,
7,4,4,226,2,1,,,,1,1,
7,4,4,233,2,1,2,,,1.5,1.5,
7,4,4,240,2,2,,,,2,2,
7,4,4,247,2,3,4,,,3.5,3.25,
7,4,4,254,2,4,,,,4,4,
7,4,4,233,3,1,,,,1,1,
7,4,4,240,3,2,,,,2,2,
7,4,4,247,3,3,4,,,3.5,3.5,
7,4,4,254,3,4,,,,4,4,
7,4,4,233,4,1,,,,1,1,
7,4,4,240,4,2,,,,2,2,
7,4,4,247,4,3,4,,,3.5,3.5,
7,4,4,254,4,4,,,,4,4,
7,4,4,233,5,1,,,,1,1,
7,4,4,240,5,1,2,,,1.5,1.75,
7,4,4,247,5,3,4,,,3.5,3.75,
7,4,4,254,5,4,,,,4,4,
7,4,5,233,1,1,,,,1,1,
7,4,5,240,1,2,3,,,2.5,2.5,
7,4,5,247,1,3,4,,,3.5,3.25,
7,4,5,254,1,4,5,,,4.5,4.75,
7,4,5,233,2,1,,,,1,1,
7,4,5,240,2,2,3,,,2.5,2.5,
7,4,5,247,2,3,4,,,3.5,3.25,
7,4,5,254,2,4,,,,4,4,
7,4,5,233,3,1,,,,1,1,
7,4,5,240,3,1,2,,,1.5,1.25,
7,4,5,247,3,3,,,,3,3,
7,4,5,254,3,3,,,,3,3,
7,4,5,233,4,1,,,,1,1,
7,4,5,240,4,2,3,,,2.5,2.25,
7,4,5,247,4,3,4,,,3.5,3.25,
7,4,5,254,4,4,,,,4,4,
7,4,5,233,5,1,,,,1,1,
7,4,5,240,5,1,2,,,1.5,1.25,
7,4,5,247,5,2,3,,,2.5,2.25,
7,4,5,254,5,4,,,,4,4, 
7,4,6,219,1,1,,,,1,1, 
7,4,6,226,1,1,2,,,1.5,1.75,
7,4,6,233,1,2,,,,2,2,
7,4,6,240,1,3,4,,,3.5,3.5,
7,4,6,247,1,4,,,,4,4,
7,4,6,254,1,5,,,,5,5,
7,4,6,219,2,1,,,,1,1,
7,4,6,226,2,1,2,,,1.5,1.5,
7,4,6,233,2,2,,,,2,2,
7,4,6,240,2,2,3,4,,3,3.25,
7,4,6,247,2,4,,,,4,4,
7,4,6,254,2,5,,,,5,5,
7,4,6,219,3,1,,,,1,1,
7,4,6,226,3,1,2,,,1.5,1.75,
7,4,6,233,3,2,,,,2,2,
7,4,6,240,3,3,4,,,3.5,3.5,
7,4,6,247,3,4,,,,4,4,
7,4,6,254,3,5,,,,5,5,
7,4,6,219,4,1,,,,1,1,
7,4,6,226,4,1,2,,,1.5,1.75,
7,4,6,233,4,1,2,,,1.5,1.5,
7,4,6,240,4,2,3,,,2.5,2.25,
7,4,6,247,4,4,,,,4,4,
7,4,6,254,4,5,,,,5,5,
7,4,6,219,5,1,,,,1,1,
7,4,6,226,5,1,2,,,1.5,1.25,
7,4,6,233,5,2,,,,2,2,
7,4,6,240,5,3,4,,,3.5,3.25,
7,4,6,247,5,4,5,,,4.5,4.5,
7,4,6,254,5,5,,,,5,5,
7,4,7,233,1,1,,,,1,1,
7,4,7,240,1,2,,,,2,2,
7,4,7,247,1,3,,,,3,3,
7,4,7,254,1,4,,,,4,4,
7,4,7,226,2,1,,,,1,1,
7,4,7,233,2,1,2,,,1.5,1.25,
7,4,7,240,2,2,3,,,2.5,2.25,
7,4,7,247,2,3,4,,,3.5,3.5,
7,4,7,254,2,4,5,,,4.5,4.25,
7,4,7,226,3,1,,,,1,1,
7,4,7,233,3,1,2,,,1.5,1.5,
7,4,7,240,3,2,3,,,2.5,2.25,
7,4,7,247,3,4,,,,4,4,
7,4,7,254,3,4,5,,,4.5,4.25,
7,4,7,233,4,1,,,,1,1,
7,4,7,240,4,1,2,3,,2,2.25,
7,4,7,247,4,3,4,,,3.5,3.75,
7,4,7,254,4,4,5,,,4.5,4.5,
7,4,8,213,1,1,,,,1,1,
7,4,8,219,1,1,2,,,1.5,1.25,
7,4,8,226,1,1,2,,,1.5,1.5,
7,4,8,233,1,2,,,,2,2,
7,4,8,240,1,3,,,,3,3,
7,4,8,247,1,4,,,,4,4,
7,4,8,254,1,4,5,,,4.5,4.5,
7,4,8,213,2,1,,,,1,1,
7,4,8,219,2,1,2,,,1.5,1.25,
7,4,8,226,2,2,,,,2,2,
7,4,8,233,2,2,,,,2,2,
7,4,8,240,2,3,4,,,3.5,3.75,
7,4,8,247,2,4,5,,,4.5,4.5,
7,4,8,254,2,5,,,,5,5,
7,4,8,213,3,1,,,,1,1,
7,4,8,219,3,1,2,,,1.5,1.25,
7,4,8,226,3,2,,,,2,2,
7,4,8,233,3,2,,,,2,2,
7,4,8,240,3,3,4,,,3.5,3.75,
7,4,8,247,3,4,5,,,4.5,4.25,
7,4,8,254,3,4,5,,,4.5,4.5,
7,4,8,219,4,1,,,,1,1,
7,4,8,226,4,1,2,,,1.5,1.25,
7,4,8,233,4,2,,,,2,2,
7,4,8,240,4,3,4,,,3.5,3.5,
7,4,8,247,4,4,5,,,4.5,4.5,
7,4,8,254,4,4,5,,,4.5,4.75,
7,4,8,213,5,1,,,,1,1,
7,4,8,219,5,1,2,,,1.5,1.25,
7,4,8,226,5,2,,,,2,2,
7,4,8,233,5,2,,,,2,2,
7,4,8,240,5,3,4,,,3.5,3.5,
7,4,8,247,5,3,4,,,3.5,3.5,
7,4,8,254,5,4,5,,,4.5,4.25,
7,4,9,233,1,1,,,,1,1,
7,4,9,240,1,2,3,,,2.5,2.25,
7,4,9,247,1,3,4,,,3.5,3.5,
7,4,9,254,1,4,,,,4,4,
7,4,9,219,2,1,,,,1,1,
7,4,9,226,2,1,2,,,1.5,1.25,
7,4,9,233,2,2,,,,2,2,
7,4,9,240,2,3,,,,3,3,
7,4,9,247,2,4,5,,,4.5,4.25,
7,4,9,254,2,5,,,,5,5,
7,4,9,226,3,1,,,,1,1,
7,4,9,233,3,1,2,,,1.5,1.25,
7,4,9,240,3,2,3,,,2.5,2.5,
7,4,9,247,3,3,4,,,3.5,3.75,
7,4,9,254,3,4,5,,,4.5,4.25,
7,4,9,226,4,1,,,,1,1,
7,4,9,233,4,2,,,,2,2,
7,4,9,240,4,3,,,,3,3,
7,4,9,247,4,3,4,,,3.5,3.5,
7,4,9,254,4,4,,,,4,4,
7,4,9,226,5,1,,,,1,1,
7,4,9,233,5,1,2,,,1.5,1.25,
7,4,9,240,5,2,3,,,2.5,2.75,
7,4,9,247,5,4,,,,4,4,
7,4,9,254,5,4,5,,,4.5,4.5,
7,4,10,219,1,1,,,,1,1,
7,4,10,226,1,1,2,,,1.5,1.5,
7,4,10,233,1,1,2,,,1.5,1.5,
7,4,10,240,1,3,4,,,3.5,3.25,
7,4,10,247,1,4,,,,4,4,
7,4,10,254,1,4,5,,,4.5,4.25,
7,4,10,219,2,1,,,,1,1,
7,4,10,226,2,1,2,,,1.5,1.5,
7,4,10,233,2,2,,,,2,2,
7,4,10,240,2,3,,,,3,3,
7,4,10,247,2,4,5,,,4.5,4.5,
7,4,10,254,2,4,5,,,4.5,4.5,
7,4,10,219,3,1,,,,1,1,
7,4,10,226,3,1,2,,,1.5,1.5,
7,4,10,233,3,2,,,,2,2,
7,4,10,240,3,3,,,,3,3,
7,4,10,247,3,4,,,,4,4,
7,4,10,254,3,4,5,,,4.5,4.5,
7,4,10,213,4,1,,,,1,1,
7,4,10,219,4,1,2,,,1.5,1.25,
7,4,10,226,4,1,2,,,1.5,1.75,
7,4,10,233,4,2,,,,2,2,
7,4,10,240,4,3,,,,3,3,
7,4,10,247,4,4,5,,,4.5,4.5,
7,4,10,254,4,4,5,,,4.5,4.5,
7,4,10,213,5,1,,,,1,1,
7,4,10,219,5,1,2,,,1.5,1.25,
7,4,10,226,5,1,2,,,1.5,1.5,
7,4,10,233,5,1,2,,,1.5,1.25,
7,4,10,240,5,3,,,,3,3,
7,4,10,247,5,4,5,,,4.5,4.5,
7,4,10,254,5,5,,,,5,5,
