year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
8,3,5,257,1,4,5,,,,4.5,4.25
8,3,5,230,2,1,,,,,1,1
8,3,5,237,2,1,2,,,,1.5,1.75
8,3,5,245,2,2,3,,,,2.5,2.25
8,3,5,251,2,3,4,,,,3.5,3.25
8,3,5,257,2,4,5,,,,4.5,4.75
8,3,5,230,3,1,,,,,1,1
8,3,5,237,3,1,2,,,,1.5,1.75
8,3,5,245,3,1,2,3,,,2,2.25
8,3,5,251,3,2,3,,,,2.5,2.75
8,3,5,257,3,4,5,,,,4.5,4.25
8,3,5,230,4,1,,,,,1,1
8,3,5,237,4,1,2,,,,1.5,1.25
8,3,5,245,4,1,2,,,,1.5,1.25
8,3,5,251,4,2,3,,,,2.5,2.25
8,3,5,257,4,4,5,,,,4.5,4.5
8,3,5,230,5,1,,,,,1,1
8,3,5,237,5,2,,,,,2,2
8,3,5,245,5,2,3,,,,2.5,2.25
8,3,5,251,5,3,4,,,,3.5,3.25
8,3,5,257,5,4,5,,,,4.5,4.75
8,3,6,230,1,1,,,,,1,1
8,3,6,237,1,1,2,,,,1.5,1.25
8,3,6,245,1,1,2,,,,1.5,1.75
8,3,6,251,1,2,3,,,,2.5,2.5
8,3,6,257,1,4,5,,,,4.5,4.75
8,3,6,230,2,1,,,,,1,1
8,3,6,237,2,1,2,,,,1.5,1.25
8,3,6,245,2,1,2,3,4,,2.5,3.25
8,3,6,251,2,2,3,4,,,3,3.5
8,3,6,257,2,4,5,,,,4.5,4.75
8,3,6,230,3,1,,,,,1,1
8,3,6,237,3,1,2,,,,1.5,1.25
8,3,6,245,3,1,2,3,,,2,2.25
8,3,6,251,3,2,3,4,,,3,3.25
8,3,6,257,3,4,5,,,,4.5,4.5
8,3,6,230,4,1,,,,,1,1
8,3,6,237,4,2,,,,,2,2
8,3,6,245,4,2,3,,,,2.5,2.75
8,3,6,251,4,3,4,,,,3.5,3.25
8,3,6,257,4,4,5,,,,4.5,4.25
8,3,6,230,5,1,,,,,1,1
8,3,6,237,5,1,2,,,,1.5,1.75
8,3,6,245,5,2,3,,,,2.5,2.5
8,3,6,251,5,3,4,,,,3.5,3.25
8,3,6,257,5,4,5,,,,4.5,4.5
8,3,7,224,1,1,,,,,1,1
8,3,7,230,1,1,2,,,,1.5,1.5
8,3,7,245,1,2,,,,,2,2
8,3,7,251,1,3,4,,,,3.5,3.25
8,3,7,257,1,4,5,,,,4.5,4.5
8,3,7,224,2,1,,,,,1,1
8,3,7,230,2,1,2,,,,1.5,1.5
8,3,7,237,2,1,2,,,,1.5,1.75
8,3,7,245,2,2,,,,,2,2
8,3,7,251,2,3,4,,,,3.5,3.75
8,3,7,257,2,4,5,,,,4.5,4.25
8,3,7,224,3,1,,,,,1,1
8,3,7,230,3,1,2,,,,1.5,1.5
8,3,7,237,3,1,2,,,,1.5,1.5
8,3,7,245,3,2,,,,,2,2
8,3,7,251,3,3,4,,,,3.5,3.5
8,3,7,257,3,4,5,,,,4.5,4.5
8,3,7,224,4,1,,,,,1,1
8,3,7,230,4,1,2,,,,1.5,1.5
8,3,7,237,4,1,2,,,,1.5,1.75
8,3,7,245,4,2,3,,,,2.5,2.25
8,3,7,251,4,3,4,,,,3.5,3.5
8,3,7,257,4,4,5,,,,4.5,4.75
8,3,8,230,1,1,,,,,1,1
8,3,8,237,1,2,3,,,,2.5,2.75
8,3,8,245,1,2,3,,,,2.5,2.5
8,3,8,251,1,3,4,,,,3.5,3.25
8,3,8,257,1,4,5,,,,4.5,4.25
8,3,8,230,2,1,,,,,1,1
8,3,8,237,2,1,2,,,,1.5,1.75
8,3,8,245,2,2,3,,,,2.5,2.75
8,3,8,251,2,3,4,,,,3.5,3.75
8,3,8,257,2,4,5,,,,4.5,4.25
8,3,8,230,3,1,,,,,1,1
8,3,8,237,3,2,3,,,,2.5,2.5
8,3,8,245,3,2,3,,,,2.5,2.5
8,3,8,251,3,3,4,,,,3.5,3.5
8,3,8,257,3,4,5,,,,4.5,4.5
8,3,8,230,4,1,,,,,1,1
8,3,8,237,4,2,3,,,,2.5,2.75
8,3,8,245,4,1,2,3,,,2,2.25
8,3,8,251,4,3,4,,,,3.5,3.5
8,3,8,257,4,4,5,,,,4.5,4.25
8,3,8,230,5,1,,,,,1,1
8,3,8,237,5,2,,,,,2,2
8,3,8,245,5,2,3,,,,2.5,2.75
8,3,8,251,5,3,4,,,,3.5,3.25
8,3,8,257,5,4,5,,,,4.5,4.5
8,3,9,230,1,1,,,,,1,1
8,3,9,237,1,2,,,,,2,2
8,3,9,245,1,2,,,,,2,2
8,3,9,251,1,4,5,,,,4.5,4.5
8,3,9,257,1,4,5,,,,4.5,4.75
8,3,9,230,2,1,,,,,1,1
8,3,9,237,2,1,2,,,,1.5,1.75
8,3,9,245,2,2,,,,,2,2
8,3,9,251,2,3,4,,,,3.5,3.75
8,3,9,257,2,4,5,,,,4.5,4.25
8,3,9,230,3,1,,,,,1,1
8,3,9,237,3,1,2,,,,1.5,1.5
8,3,9,245,3,2,,,,,2,2
8,3,9,251,3,3,4,,,,3.5,3.75
8,3,9,257,3,4,5,,,,4.5,4.25
8,3,9,230,4,1,,,,,1,1
8,3,9,237,4,1,2,,,,1.5,1.75
8,3,9,245,4,1,2,,,,1.5,1.75
8,3,9,251,4,3,4,,,,3.5,3.75
8,3,9,257,4,4,5,,,,4.5,4.25
8,3,9,230,5,1,,,,,1,1
8,3,9,237,5,1,2,,,,1.5,1.75
8,3,9,245,5,1,2,,,,1.5,1.75
8,3,9,251,5,4,5,,,,4.5,4.25
8,3,9,257,5,4,5,,,,4.5,4.75
8,3,10,230,1,1,,,,,1,1
8,3,10,237,1,2,,,,,2,2
8,3,10,245,1,2,,,,,2,2
8,3,10,251,1,3,4,,,,3.5,3.75
8,3,10,257,1,4,5,,,,4.5,4.25
8,3,10,230,2,1,,,,,1,1
8,3,10,237,2,1,2,,,,1.5,1.75
8,3,10,245,2,1,2,,,,1.5,1.75
8,3,10,251,2,3,4,,,,3.5,3.5
8,3,10,257,2,4,5,,,,4.5,4.25
8,3,10,230,3,1,,,,,1,1
8,3,10,237,3,2,,,,,2,2
8,3,10,245,3,2,,,,,2,2
8,3,10,251,3,3,4,,,,3.5,3.25
8,3,10,257,3,4,5,,,,4.5,4.5
8,3,10,230,4,1,,,,,1,1
8,3,10,237,4,2,,,,,2,2
8,3,10,245,4,1,2,,,,1.5,1.75
8,3,10,251,4,3,4,,,,3.5,3.75
8,3,10,257,4,4,5,,,,4.5,4.25
8,3,10,230,5,1,,,,,1,1
8,3,10,237,5,2,,,,,2,2
8,3,10,245,5,2,,,,,2,2
8,3,10,251,5,3,4,,,,3.5,3.75
8,3,10,257,5,4,5,,,,4.5,4.5
8,4,1,222,1,1,,,,,1,1
8,4,1,231,1,2,3,,,,2.5,2.5
8,4,1,236,1,3,4,,,,3.5,3.5
8,4,1,244,1,1,2,,,,1.5,1.75
8,4,1,251,1,4,5,,,,4.5,4.75
8,4,1,257,1,5,6,,,,5.5,5.75
8,4,1,222,2,1,,,,,1,1
8,4,1,231,2,2,,,,,2,2
8,4,1,236,2,3,,,,,3,3
8,4,1,244,2,2,,,,,2,2
8,4,1,251,2,4,5,,,,4.5,4.5
8,4,1,257,2,5,6,,,,5.5,5.25
8,4,1,218,3,1,,,,,1,1
8,4,1,222,3,1,2,,,,1.5,1.25
8,4,1,231,3,1,2,,,,1.5,1.5
8,4,1,236,3,3,,,,,3,3
8,4,1,251,3,4,5,,,,4.5,4.5
8,4,1,257,3,5,6,,,,5.5,5.25
8,4,1,222,4,1,,,,,1,1
8,4,1,231,4,1,2,,,,1.5,1.5
8,4,1,236,4,1,2,3,,,2,2.25
8,4,1,244,4,1,2,,,,1.5,1.75
8,4,1,251,4,4,5,,,,4.5,4.5
8,4,1,257,4,5,6,,,,5.5,5.5
8,4,1,222,5,1,,,,,1,1
8,4,1,231,5,2,3,,,,2.5,2.5
8,4,1,236,5,1,2,3,,,2,1.75
8,4,1,244,5,2,,,,,2,2
8,4,1,251,5,4,5,,,,4.5,4.25
8,4,1,257,5,4,5,6,,,5,5.25
8,4,2,231,1,1,,,,,1,1
8,4,2,236,1,1,2,,,,1.5,1.5
8,4,2,244,1,3,4,,,,3.5,3.25
8,4,2,251,1,3,4,5,,,4,3.75
8,4,2,257,1,4,5,,,,4.5,4.75
8,4,2,231,2,1,,,,,1,1
8,4,2,236,2,1,2,,,,1.5,1.5
8,4,2,244,2,1,2,3,,,2,2.5
8,4,2,251,2,4,5,,,,4.5,4.25
8,4,2,257,2,4,5,6,,,5,5.25
8,4,2,222,3,1,,,,,1,1
8,4,2,231,3,1,2,,,,1.5,1.25
8,4,2,236,3,1,2,,,,1.5,1.5
8,4,2,244,3,1,2,3,,,2,2.75
8,4,2,251,3,4,5,,,,4.5,4.25
8,4,2,257,3,4,5,,,,4.5,4.75
8,4,2,231,4,1,,,,,1,1
8,4,2,236,4,1,2,,,,1.5,1.75
8,4,2,244,4,3,4,,,,3.5,3.25
8,4,2,251,4,4,5,,,,4.5,4.75
8,4,2,257,4,4,5,6,,,5,5.25
8,4,2,231,5,1,,,,,1,1
8,4,2,236,5,1,2,,,,1.5,1.5
8,4,2,244,5,1,2,3,,,2,2.75
8,4,2,251,5,1,2,3,4,,2.5,3.75
8,4,2,257,5,4,5,,,,4.5,4.75
8,4,3,231,1,1,,,,,1,1
8,4,3,236,1,1,2,,,,1.5,1.25
8,4,3,244,1,1,2,,,,1.5,1.25
8,4,3,251,1,1,2,,,,1.5,1.75
8,4,3,257,1,2,3,,,,2.5,2.25
8,4,3,231,2,1,,,,,1,1
8,4,3,236,2,1,2,,,,1.5,1.5
8,4,3,244,2,2,3,,,,2.5,2.5
8,4,3,251,2,3,4,,,,3.5,3.75
8,4,3,257,2,4,5,,,,4.5,4.25
8,4,3,231,5,1,,,,,1,1
