year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall
6,4,2,233,4,5,6,,,5.5,5.5
6,4,2,240,4,6,,,,6,6
6,4,2,177,5,0,,,,0,0
6,4,2,184,5,1,,,,1,1
6,4,2,192,5,1,2,,,1.5,1.25
6,4,2,198,5,1,2,,,1.5,1.25
6,4,2,205,5,2,3,4,5,3.5,3.25
6,4,2,213,5,3,4,5,,4,4.75
6,4,2,219,5,3,5,6,,4.666666667,5
6,4,2,226,5,5,6,,,5.5,5.5
6,4,2,233,5,6,,,,6,6
6,4,3,170,1,0,,,,0,0
6,4,3,177,1,1,,,,1,1
6,4,3,184,1,1,,,,1,1
6,4,3,192,1,1,,,,1,1
6,4,3,198,1,1,,,,1,1
6,4,3,205,1,2,,,,2,2
6,4,3,213,1,3,4,5,,4,4.5
6,4,3,219,1,3,5,,,4,4.75
6,4,3,226,1,3,5,,,4,4.75
6,4,3,233,1,5, ,,,5,5
6,4,3,240,1,5,6,,,5.5,5.25
6,4,3,247,1,6,,,,6,6
6,4,4,170,5,0,,,,0,0
6,4,4,177,5,1,,,,1,1
6,4,4,184,5,1,,,,1,1
6,4,4,192,5,1,,,,1,1
6,4,4,205,5,2,3,4,,3,2.5
6,4,4,213,5,3,4,,,3.5,3.75
6,4,4,219,5,3,4,5,,4,4
6,4,4,226,5,3,4,5,,4,4.75
6,4,4,233,5,3,5,,,4,4.75
6,4,4,240,5,5,6,,,5.5,5.25
6,4,5,170,2,0,,,,0,0
6,4,5,177,2,1,,,,1,1
6,4,5,184,2,1,,,,1,1
6,4,5,192,2,1,,,,1,1
6,4,5,198,2,1,2,,,1.5,1.25
6,4,5,205,2,1,2,,,1.5,1.75
6,4,5,213,2,2,3,4,5,3.5,3.5
6,4,5,219,2,3,4,5,,4,4.25
6,4,5,226,2,3,4,5,,4,4.75
6,4,5,233,2,3,4,5,,4,4.75
6,4,5,240,2,3,5,6,,4.666666667,5.25
6,4,5,170,4,0,,,,0,0
6,4,5,177,4,1,,,,1,1
6,4,5,184,4,1,,,,1,1
6,4,5,192,4,1,,,,1,1
6,4,5,198,4,1,2,,,1.5,1.25
6,4,5,205,4,1,2,,,1.5,1.25
6,4,5,213,4,2,3,4,5,3.5,3.25
6,4,5,219,4,3,5,,,4,4.5
6,4,5,226,4,3,5,,,4,4.75
6,4,6,177,1,0,,,,0,0
6,4,6,184,1,1,,,,1,1
6,4,6,192,1,1,2,,,1.5,1.25
6,4,6,198,1,2,3,,,2.5,2.25
6,4,6,205,1,2,3,4,,3,3.25
6,4,6,213,1,3,4,5,,4,4.25
6,4,6,219,1,3,5,,,4,4.75
6,4,6,226,1,3,5,6,,4.666666667,5.75
6,4,6,233,1,5,6,,,5.5,5.75
6,4,6,240,1,5,6,,,5.5,5.75
6,4,6,247,1,6,,,,6,6
6,4,6,170,2,0,,,,0,0
6,4,6,177,2,1,,,,1,1
6,4,6,184,2,1,,,,1,1
6,4,6,192,2,2,,,,2,2
6,4,6,198,2,2, ,,,2,2
6,4,6,205,2,3,4,,,3.5,3.5
6,4,6,213,2,3,4,5,,4,4.5
6,4,6,170,3,0,,,,0,0
6,4,6,177,3,1,,,,1,1
6,4,6,184,3,1,2,,,1.5,1.25
6,4,6,192,3,2,,,,2,2
6,4,6,198,3,2,3,,,2.5,2.25
6,4,6,205,3,3,4,5,,4,1
6,4,6,213,3,3,4,,,3.5,3.75
6,4,6,219,3,3,5,,,4,4.5
6,4,6,226,3,5,6,,,5.5,5.25
6,4,6,233,3,5,6,,,5.5,5.5
6,4,6,240,3,5,6,,,5.5,5.75
6,4,6,247,3,6,,,,6,6
6,4,6,170,5,0,,,,0,0
6,4,6,177,5,1,,,,1,1
6,4,6,184,5,1,2,,,1.5,1.25
6,4,6,192,5,1,2,,,1.5,1.75
6,4,6,198,5,2,3,,,2.5,2.5
6,4,6,205,5,3,4,,,3.5,3.25
6,4,6,213,5,3,4,5,6,4.5,4.75
6,4,6,219,5,3,5,6,,4.666666667,5.5
6,4,6,226,5,5,6,,,5.5,5.5
6,4,6,233,5,5,6,,,5.5,5.5
6,4,6,240,5,5,6,,,5.5,5.75
6,4,6,247,5,5,6,,,5.5,5.75
6,4,7,170,2,0,,,,0,0
6,4,7,177,2,1,,,,1,1
6,4,7,184,2,1,,,,1,1
6,4,7,192,2,1,2,,,1.5,1.25
6,4,7,198,2,2,,,,2,2
6,4,7,205,2,3,4,,,3.5,3.5
6,4,7,213,2,3,4,5,,4,4.5
6,4,7,219,2,3,4,5,,4,4.5
6,4,7,226,2,3,5,,,4,4.75
6,4,7,233,2,5,6,,,5.5,5.75
6,4,7,240,2,5,6,,,5.5,5.75
6,4,7,247,2,6,,,,6,6
6,4,8,170,4,1,,,,1,1
6,4,8,177,4,1,2,,,1.5,1.25
6,4,8,184,4,1,2,,,1.5,1.25
6,4,8,192,4,2,3,,,2.5,2.25
6,4,8,198,4,2,3,,,2.5,2.75
6,4,8,205,4,3,4,5,,4,4
6,4,8,213,4,5,6,,,5.5,5.25
6,4,8,219,4,5,6,,,5.5,5.5
6,4,9,170,3,1,,,,1,1
6,4,9,177,3,1,,,,1,1
6,4,9,184,3,1,,,,1,1
6,4,9,192,3,2,,,,2,2
6,4,9,198,3,2,3,,,2.5,2.25
6,4,9,205,3,3,4,5,,4,4
6,4,9,213,3,3,4,5,,4,4.75
6,4,9,219,3,3,5,6,,4.666666667,5
6,4,9,226,3,3,5,6,,4.666666667,5.25
6,4,9,233,3,5,6,,,5.5,5.75
6,4,9,240,3,5,6,,,5.5,5.75
6,4,9,247,3,6,,,,6,6
6,4,9,170,4,1,,,,1,1
6,4,9,177,4,1,,,,1,1
6,4,9,184,4,1,,,,1,1
6,4,9,192,4,2,,,,2,2
6,4,9,198,4,2,3,,,2.5,2.25
6,4,9,205,4,3,4,5,,4,4
6,4,9,213,4,3,4,5,,4,4.75
