year,site,plot,date,rep,stage1,stage2,stage3,average,overall,
8,1,3,243,5,4,,,4,4,
8,1,4,189,1,1,2,3,2,1.75,
8,1,4,195,1,1,2,3,2,1.5,
8,1,4,203,1,2,3,,2.5,2.25,
8,1,4,208,1,2,3,,2.5,2.25,
8,1,4,217,1,2,3,,2.5,2.25,
8,1,4,222,1,2,3,4,3,3.25,
8,1,4,229,1,3,4,,3.5,3.75,
8,1,4,243,1,4,,,4,4,
8,1,4,189,2,1,,,1,1,
8,1,4,195,2,2,3,,2.5,2.75,
8,1,4,203,2,2,3,,2.5,2.5,
8,1,4,208,2,2,3,,2.5,2.5,
8,1,4,217,2,2,3,,2.5,2.5,
8,1,4,222,2,2,3,,2.5,2.75,
8,1,4,229,2,3,4,,3.5,0.75,
8,1,4,243,2,3,4,,3.5,3.75,
8,1,4,251,2,4,,,4,4,
8,1,4,189,3,1,2,3,2,2.25,
8,1,4,195,3,1,2,3,2,1.75,
8,1,4,203,3,2,3,,2.5,2.25,
8,1,4,208,3,2,3,,2.5,2.25,
8,1,4,217,3,2,3,,2.5,2.25,
8,1,4,222,3,2,3,4,3,3.25,
8,1,4,229,3,4,,,4,4,
8,1,4,189,4,1,2,3,2,1.25,
8,1,4,195,4,2,3,,2.5,2.5,
8,1,4,203,4,2,3,,2.5,2.25,
8,1,4,208,4,2,3,,2.5,2.25,
8,1,4,222,4,2,3,,2.5,2.75,
8,1,4,229,4,3,4,,3.5,3.75,
8,1,4,243,4,4,,,4,4,
8,1,4,189,5,1,2,3,2,1.75,
8,1,4,195,5,1,2,3,2,2.25,
8,1,4,203,5,2,3,,2.5,2.25,
8,1,4,208,5,2,3,,2.5,2.5,
8,1,4,217,5,2,3,,2.5,2.75,
8,1,4,222,5,2,3,,2.5,2.75,
8,1,4,229,5,3,4,,3.5,3.75,
8,1,4,243,5,3,4,,3.5,3.75,
8,1,4,251,5,4,,,4,4,
8,1,5,189,1,1,2,,1.5,1.25,
8,1,5,195,1,1,2,3,2,2.25,
8,1,5,203,1,2,3,,2.5,2.25,
8,1,5,208,1,2,3,,2.5,2.25,
8,1,5,217,1,2,3,,2.5,2.25,
8,1,5,222,1,3,4,,3.5,3.25,
8,1,5,229,1,3,4,,3.5,3.75,
8,1,5,243,1,4,,,4,4,
8,1,5,189,2,1,2,,1.5,1.25,
8,1,5,195,2,2,3,,2.5,2.5,
8,1,5,203,2,2,3,,2.5,2.5,
8,1,5,208,2,2,3,,2.5,2.25,
8,1,5,217,2,2,3,,2.5,2.25,
8,1,5,222,2,3,4,,3.5,3.25,
8,1,5,229,2,3,4,,3.5,3.75,
8,1,5,243,2,3,4,,3.5,3.75,
8,1,5,251,2,4,,,4,4,
8,1,5,189,3,1,2,,1.5,1.5,
8,1,5,195,3,1,2,3,2,2.25,
8,1,5,203,3,2,3,,2.5,2.25,
8,1,5,208,3,2,3,,2.5,2.25,
8,1,5,217,3,2,3,,2.5,2.5,
8,1,5,222,3,3,4,,3.5,3.75,
8,1,5,229,3,3,4,,3.5,3.75,
8,1,5,243,3,3,4,,3.5,3.75,
8,1,5,251,3,4,,,4,4,
8,1,5,189,4,1,2,3,2,2.25,
8,1,5,195,4,1,2,,1.5,1.75,
8,1,5,203,4,1,2,3,2,2.25,
8,1,5,208,4,2,3,,2.5,2.25,
8,1,5,217,4,2,3,4,3,2.75,
8,1,5,222,4,3,4,,3.5,3.5,
8,1,5,229,4,3,4,,3.5,3.75,
8,1,5,243,4,4,,,4,4,
8,1,5,189,5,1,,,1,1,
8,1,5,195,5,1,2,,1.5,1.25,
8,1,5,203,5,1,2, ,1.5,1.75,
8,1,5,208,5,2,,,2,2,
8,1,5,217,5,2,3,,2.5,2.25,
8,1,5,222,5,3,4,,3.5,3.5,
8,1,5,229,5,3,4,,3.5,3.25,
8,1,5,243,5,3,4,,3.5,3.5,
8,1,5,251,5,4,,,4,4,
8,1,6,189,1,1,2,,1.5,1.25,
8,1,6,195,1,1,2,3,2,2.25,
8,1,6,203,1,2,3,,2.5,2.5,
8,1,6,208,1,2,3,,2.5,2.25,
8,1,6,217,1,2,3,,2.5,2.5,
8,1,6,222,1,2,3,4,3,3.25,
8,1,6,229,1,3,4, ,3.5,2.75,
8,1,6,243,1,4,,,4,4,
8,1,6,189,2,1,2,3,2,2.5,
8,1,6,195,2,1,2,3,2,1.75,
8,1,6,203,2,2,3,,2.5,2.25,
8,1,6,208,2,2,3,,2.5,2.25,
8,1,6,217,2,2,3,,2.5,2.5,
8,1,6,222,2,2,3,4,3,3.25,
8,1,6,229,2,4,,,4,4,
8,1,6,189,3,1,2,,1.5,1.25,
8,1,6,195,3,2,3,,2.5,2.25,
8,1,6,203,3,2,3,,2.5,2.25,
8,1,6,208,3,2,3,,2.5,2.25,
8,1,6,217,3,2,3,,2.5,2.5,
8,1,6,222,3,2,3,,2.5,2.75,
8,1,6,229,3,4,,,4,4,
8,1,6,189,4,1,2,3,2,2.5,
8,1,6,195,4,2,3,,2.5,2.5,
8,1,6,203,4,2,3,,2.5,2.25,
8,1,6,208,4,2,3,,2.5,2.5,
8,1,6,217,4,2,3,,2.5,2.75,
8,1,6,222,4,2,3,4,3,2.75,
8,1,6,229,4,3,4,,3.5,3.75,
8,1,6,243,4,4,,,4,4,
8,1,6,189,5,1,2,3,2,2.25,
8,1,6,195,5,1,2,3,2,2.25,
8,1,6,203,5,2,3,,2.5,2.25,
8,1,6,208,5,2,3,,2.5,2.25,
8,1,6,217,5,2,3,,2.5,2.75,
8,1,6,222,5,2,3,4,3,3.25,
8,1,6,229,5,3,4,,3.5,3.75,
8,1,6,243,5,4,,,4,4,
8,1,7,189,1,1,2,3,2,1.75,
8,1,7,195,1,2,3,,2.5,2.5,
8,1,7,203,1,2,3,,2.5,2.25,
8,1,7,208,1,2,3,,2.5,2.25,
8,1,7,217,1,2,3,,2.5,2.25,
8,1,7,222,1,2,3,,2.5,2.75,
8,1,7,229,1,4,,,4,4,
8,1,7,189,2,1,2,,1.5,1.5,
8,1,7,195,2,2,3,,2.5,2.25,
8,1,7,203,2,2,3,,2.5,2.25,
8,1,7,208,2,2,3,,2.5,2.25,
8,1,7,217,2,2,3,,2.5,2.5,
8,1,7,222,2,2,3,4,3,3.25,
8,1,7,229,2,3,4,,3.5,3.5,
8,1,7,243,2,4,,,4,4,
8,1,7,189,3,1,2,,1.5,1.75,
8,1,7,195,3,2,3,,2.5,2.5,
8,1,7,203,3,2,3,,2.5,2.25,
8,1,7,208,3,2,3,,2.5,2.25,
8,1,7,217,3,2,3,,2.5,2.5,
8,1,7,222,3,2,3,4,3,3.25,
8,1,7,229,3,3,4,,3.5,3.75,
8,1,7,243,3,4,,,4,4,
8,1,7,189,4,1,2,,1.5,1.5,
8,1,7,195,4,1,2,3,2,2.25,
8,1,7,203,4,2,3,,2.5,2.25,
8,1,7,208,4,2,3,,2.5,2.25,
8,1,7,217,4,2,3,4,3,2.75,
8,1,7,222,4,2,3,4,3,3.25,
8,1,7,229,4,3,4,,3.5,3.75,
8,1,7,243,4,4,,,4,4,
8,1,7,189,5,1,2,,1.5,1.75,
8,1,7,195,5,2,3,,2.5,2.5,
8,1,7,203,5,2,3,,2.5,2.25,
8,1,7,208,5,2,3,,2.5,2.25,
8,1,7,217,5,2,3, ,2.5,2.25,
8,1,7,222,5,2,3,4,3,3.25,
8,1,7,229,5,4,,,4,4,
8,1,8,189,1,1,2,,1.5,1.25,
8,1,8,195,1,1,2,,1.5,1.75,
8,1,8,203,1,2,3,,2.5,2.75,
8,1,8,208,1,2,3,,2.5,2.25,
8,1,8,217,1,2,3,,2.5,2.75,
8,1,8,222,1,2,3,,2.5,2.75,
8,1,8,229,1,3,4,,3.5,3.25,
8,1,8,243,1,3,4,,3.5,3.75,
8,1,8,251,1,4,,,4,4,
8,1,8,189,2,1,2,,1.5,1.5,
8,1,8,195,2,1,2,3,2,2.25,
8,1,8,203,2,2,3,,2.5,2.5,
8,1,8,208,2,2,3,,2.5,2.25,
8,1,8,217,2,2,3,,2.5,2.5,
8,1,8,222,2,2,3,,2.5,2.75,
8,1,8,229,2,3,4,,3.5,3.25,
8,1,8,243,2,3,4,,3.5,3.75,
8,1,8,251,2,4,,,4,4,
8,1,8,189,3,1,2,,1.5,1.5,
8,1,8,195,3,1,2,,1.5,1.75,
8,1,8,203,3,2,3,,2.5,2.25,
8,1,8,208,3,2,3,,2.5,2.25,
8,1,8,217,3,2,3,,2.5,2.75,
8,1,8,222,3,2,3,4,3,3.25,
8,1,8,229,3,3,4,,3.5,3.25,
8,1,8,189,4,1,2,,1.5,1.5,
8,1,8,195,4,1,2,,1.5,1.75,
8,1,8,203,4,2,3,,2.5,2.5,
8,1,8,208,4,2,3,,2.5,2.5,
8,1,8,217,4,2,3,,2.5,2.75,
8,1,8,222,4,2,3,,2.5,2.75,
8,1,8,229,4,3,4,,3.5,3.25,
8,1,8,243,4,3,4,,3.5,3.75,
8,1,8,251,4,4,,,4,4,
8,1,8,189,5,1,2,,1.5,1.75,
8,1,8,195,5,2,3,,2.5,2.5,
8,1,8,203,5,2,3,,2.5,2.25,
8,1,8,208,5,2,3,,2.5,2.25,
8,1,8,217,5,2,3,,2.5,2.5,
8,1,8,222,5,2,3,,2.5,2.75,
8,1,8,229,5,3,4,,3.5,3.75,
8,1,8,243,5,4,,,4,4,
8,1,9,189,1,1,2,3,2,2.5,
8,1,9,195,1,1,2,3,2,1.75,
8,1,9,203,1,2,3,,2.5,2.25,
8,1,9,208,1,2,3,,2.5,2.25,
8,1,9,217,1,2,3,,2.5,2.5,
8,1,9,222,1,2,3,,2.5,2.75,
8,1,9,229,1,4,,,4,4,
8,1,9,189,2,1,2,3,2,2.25,
8,1,9,195,2,1,2,3,2,2.25,
8,1,9,203,2,2,3,,2.5,2.25,
8,1,9,208,2,2,3,,2.5,2.25,
8,1,9,217,2,2,3,,2.5,2.5,
8,1,9,222,2,2,3,4,3,3.25,
8,1,9,229,2,4,,,4,4,
8,1,9,189,3,1,2,3,2,2.5,
8,1,9,195,3,2,3,,2.5,2.5,
8,1,9,203,3,2,3,,2.5,2.25,
8,1,9,208,3,2,3,,2.5,2.25,
8,1,9,217,3,2,3,,2.5,2.5,
8,1,9,222,3,2,3,,2.5,2.75,
8,1,9,229,3,4,,,4,4,
8,1,9,189,4,1,2,3,2,1.75,
8,1,9,195,4,1,2,3,2,1.75,
8,1,9,203,4,2,3,,2.5,2.25,
8,1,9,208,4,2,3,,2.5,2.25,
8,1,9,217,4,2,3,,2.5,2.5,
8,1,9,222,4,2,3,4,3,2.75,
8,1,9,229,4,4,,,4,4,
8,1,9,189,5,1,2,,1.5,1.75,
8,1,9,195,5,2,3,,2.5,2.5,
8,1,9,203,5,2,3,,2.5,2.5,
8,1,9,208,5,2,3,,2.5,2.25,
8,1,9,217,5,2,3,,2.5,2.75,
8,1,9,222,5,2,3,,2.5,2.75,
8,1,9,229,5,2,3,,2.5,2.75,
8,1,9,243,5,4,,,4,4,
8,1,10,189,1,1,2,3,2,2.25,
8,1,10,195,1,2,3,,2.5,2.75,
8,1,10,203,1,2,3,,2.5,2.25,
8,1,10,208,1,2,3,,2.5,2.5,
8,1,10,217,1,2,3,,2.5,2.25,
8,1,10,222,1,2,3,,2.5,2.7,
8,1,10,229,1,3,4,,3.5,3.75,
8,1,10,243,1,3,4,,3.5,3.75,
8,1,10,251,1,4,,,4,4,
8,1,10,189,2,1,2,3,2,1.75,
8,1,10,195,2,2,3,,2.5,2.5,
8,1,10,203,2,1,2,,1.5,1.75,
8,1,10,208,2,2,3,,2.5,2.25,
8,1,10,217,2,2,3,,2.5,2.25,
8,1,10,222,2,2,3,4,3,3.25,
8,1,10,229,2,3,4,,3.5,3.75,
8,1,10,243,2,3,4,,3.5,3.75,
8,1,10,251,2,4,,,4,4,
8,1,10,189,3,1,2,,1.5,1.75,
8,1,10,195,3,2,3,,2.5,2.5,
8,1,10,203,3,2,3,,2.5,2.5,
8,1,10,208,3,2,3,,2.5,2.25,
8,1,10,217,3,2,3,4,3,2.75,
8,1,10,222,3,2,3,4,3,3.25,
8,1,10,229,3,3,4,,3.5,3.25,
8,1,10,243,3,3,4,,3.5,3.75,
8,1,10,251,3,4,,,4,4,
8,1,10,189,4,1,2,3,2,2.25,
8,1,10,195,4,2,3,,2.5,2.75,
8,1,10,203,4,2,3,,2.5,2.5,
8,1,10,208,4,2,3,4,3,2.75,
8,1,10,217,4,2,3,4,3,2.5,
8,1,10,222,4,2,3,4,3,3.25,
8,1,10,229,4,4,,,4,4,
8,1,10,189,5,1,2,3,2,2.5,
8,1,10,195,5,2,3,,2.5,2.5,
8,1,10,203,5,2,3,,2.5,2.25,
8,1,10,208,5,2,3,4,3,2.75,
8,1,10,217,5,2,3,4,3,2.5,
8,1,10,222,5,2,3,,2.5,2.75,
8,1,10,229,5,3,4,,3.5,3.5,
8,1,10,243,5,4,,,4,4,
8,2,1,209,1,2,3,,2.5,2.5,
8,2,1,218,1,2,3,,2.5,2.25,
8,2,1,224,1,2,3,,2.5,2.5,
8,2,1,231,1,2,3,,2.5,2.75,
8,2,1,237,1,2,3,,2.5,2.75,
8,2,1,244,1,3,4,,3.5,3.75,
8,2,1,251,1,4,,,4,4,
8,2,1,209,2,2,3,,2.5,2.25,
8,2,1,218,2,2,3,,2.5,2.25,
8,2,1,224,2,2,3,,2.5,2.5,
8,2,1,231,2,2,3,,2.5,2.75,
8,2,1,237,2,3,4,,3.5,3.5,
8,2,1,244,2,3,4,,3.5,3.75,
8,2,1,251,2,4,,,4,4,
8,2,1,209,3,2,,,2,2,
8,2,1,218,3,2,3,,2.5,2.5,
8,2,1,224,3,2,3,4,3,3.25,
8,2,1,231,3,2,3,4,3,3.25,
8,2,1,237,3,3,4,,3.5,3.5,
8,2,1,244,3,3,4,,3.5,3.75,
8,2,1,251,3,3,4,,3.5,3.75,
8,2,1,257,3,4,,,4,4,
8,2,1,209,4,2,3,,2.5,2.25,
8,2,1,218,4,2,3,,2.5,2.5,
8,2,1,224,4,2,3,,2.5,2.5,
8,2,1,231,4,2,3,,2.5,2.75,
8,2,1,237,4,3,4,,3.5,3.5,
8,2,1,244,4,4,,,4,4,
8,2,1,209,5,2,3,,2.5,2.5,
8,2,1,218,5,2,3,,2.5,2.75,
8,2,1,237,5,3,4,,3.5,3.5,
8,2,1,244,5,4,,,4,4,
8,2,2,209,1,2,3,,2.5,2.5,
8,2,2,218,1,2,3,,2.5,2.5,
8,2,2,224,1,2,3,4,3,3.25,
8,2,2,231,1,3,4,,3.5,3.25,
8,2,2,237,1,3,4,,3.5,3.25,
8,2,2,244,1,3,4,,3.5,3.25,
8,2,2,251,1,4,,,4,4,
8,2,2,209,2,2,3,,2.5,2.5,
8,2,2,218,2,2,3,,2.5,2.5,
8,2,2,224,2,2,3,,2.5,2.5,
8,2,2,231,2,2,3,,2.5,2.75,
8,2,2,237,2,3,4,,3.5,3.5,
8,2,2,244,2,3,4,,3.5,3.75,
8,2,2,251,2,4,,,4,4,
8,2,2,209,3,2,3,,2.5,2.75,
8,2,2,218,3,2,3,,2.5,2.5,
8,2,2,224,3,2,3,,2.5,2.75,
8,2,2,231,3,2,3,,2.5,2.75,
8,2,2,237,3,2,3,,2.5,2.75,
8,2,2,244,3,3,4,,3.5,3.25,
8,2,2,251,3,3,4,,3.5,3.75,
8,2,2,257,3,4,,,4,4,
8,2,2,209,4,2,3,,2.5,2.5,
8,2,2,218,4,2,3,,2.5,2.75,
8,2,2,224,4,2,3,,2.5,2.75,
8,2,2,231,4,2,3,,2.5,2.75,
8,2,2,237,4,2,3,,2.5,2.75,
8,2,2,244,4,3,4,,3.5,3.25,
8,2,2,251,4,4,,,4,4,
8,2,2,209,5,2,3,,2.5,2.5,
8,2,2,218,5,2,3,4,3,2.75,
8,2,2,224,5,2,3,,2.5,2.75,
8,2,2,231,5,2,3,,2.5,2.75,
8,2,2,237,5,2,3,,2.5,2.75,
8,2,2,244,5,3,4,,3.5,3.25,
8,2,2,251,5,4,,,4,4,
8,2,3,209,1,2,3,,2.5,2.75,
8,2,3,218,1,2,3,4,3,3.25,
8,2,3,224,1,2,3,4,3,2.75,
8,2,3,231,1,2,3,4,3,2.75,
8,2,3,237,1,2,3,4,3,2.75,
8,2,3,244,1,3,4,,3.5,3.25,
8,2,3,251,1,4,,,4,4,
8,2,3,209,2,2,3,,2.5,2.75,
8,2,3,218,2,2,3,4,3,3.75,
8,2,3,224,2,2,3,4,3,3.25,
8,2,3,231,2,2,3,4,3,2.75,
8,2,3,237,2,2,3,4,3,2.75,
8,2,3,244,2,3,4,,3.5,3.75,
8,2,3,251,2,4,,,4,4,
8,2,3,209,3,2,3,,2.5,2.75,
8,2,3,218,3,2,3,4,3,3.75,
8,2,3,224,3,3,4,,3.5,2.75,
8,2,3,231,3,3,4, ,3.5,3.75,
8,2,3,237,3,3,4,,3.5,3.75,
8,2,3,244,3,4,,,4,4,
8,2,3,209,4,2,3,,2.5,2.5,
8,2,3,218,4,2,3,,2.5,2.75,
8,2,3,224,4,2,3,,2.5,2.75,
8,2,3,231,4,2,3,,2.5,2.75,
8,2,3,237,4,2,3,,2.5,2.75,
8,2,3,244,4,3,4,,3.5,3.5,
8,2,3,251,4,3,4,,3.5,3.75,
8,2,3,257,4,4,,,4,4,
8,2,3,209,5,2,3,,2.5,2.75,
8,2,3,218,5,2,3,4,3,3.25,
8,2,3,224,5,2,3,,2.5,2.5,
8,2,3,231,5,2,3,,2.5,2.75,
8,2,3,237,5,2,3,,2.5,2.75,
8,2,3,244,5,4,,,4,4,
8,2,4,209,1,2,3,,2.5,2.25,
8,2,4,218,1,2,3,,2.5,2.5,
8,2,4,224,1,2,3,,2.5,2.75,
8,2,4,231,1,2,3,,2.5,2.75,
8,2,4,237,1,2,3,,2.5,2.75,
8,2,4,244,1,3,4,,3.5,3.25,
8,2,4,251,1,4,,,4,4,
8,2,4,209,2,2,3,,2.5,2.25,
8,2,4,218,2,2,3,,2.5,2.5,
8,2,4,224,2,2,3,,2.5,2.75,
8,2,4,231,2,2,3,,2.5,2.75,
8,2,4,237,2,2,3,,2.5,2.75,
8,2,4,244,2,3,4,,3.5,3.25,
8,2,4,251,2,4,,,4,4,
8,2,4,209,3,2,3,,2.5,2.25,
8,2,4,218,3,2,3,,2.5,2.5,
8,2,4,224,3,2,3,,2.5,2.75,
8,2,4,231,3,2,3,,2.5,2.75,
8,2,4,237,3,2,3,,2.5,2.75,
8,2,4,244,3,3,4,,3.5,3.25,
8,2,4,251,3,3,4,,3.5,3.75,
8,2,4,257,3,4,,,4,4,
8,2,4,209,4,2,3,,2.5,2.25,
8,2,4,218,4,2,3,,2.5,2.5,
8,2,4,224,4,2,3,,2.5,2.5,
8,2,4,231,4,2,3,,2.5,2.75,
8,2,4,237,4,2,3,,2.5,2.75,
8,2,4,244,4,3,4,,3.5,3.75,
8,2,4,251,4,3,4,,3.5,3.75,
8,2,4,257,4,4,,,4,4,
8,2,4,209,5,2,3,,2.5,2.25,
8,2,4,218,5,2,3,,2.5,2.75,
8,2,4,224,5,2,3,,2.5,2.75,
8,2,4,231,5,2,3,,2.5,2.75,
8,2,4,237,5,2,3,,2.5,2.75,
8,2,4,244,5,3,4,,3.5,3.75,
8,2,4,251,5,4,,,4,4,
8,2,5,209,1,2,3,,2.5,2.5,
8,2,5,218,1,2,3,,2.5,2.75,
8,2,5,224,1,2,3,,2.5,2.75,
8,2,5,231,1,2,3,,2.5,2.75,
8,2,5,237,1,2,3,4,3,3.25,
8,2,5,244,1,3,4,,3.5,3.25,
8,2,5,251,1,4,,,4,4,
8,2,5,209,2,2,3,,2.5,2.25,
8,2,5,218,2,2,3,,2.5,2.75,
8,2,5,224,2,2,3,,2.5,2.75,
8,2,5,231,2,2,3,,2.5,2.75,
8,2,5,237,2,2,3,,2.5,2.75,
8,2,5,244,2,3,4,,3.5,3.25,
8,2,5,251,2,3,4,,3.5,3.75,
8,2,5,257,2,4,,,4,4,
8,2,5,209,3,2,3,,2.5,2.75,
8,2,5,218,3,2,3,4,3,3.25,
8,2,5,224,3,2,3,,2.5,2.75,
8,2,5,231,3,2,3,,2.5,2.75,
8,2,5,237,3,2,3,,2.5,2.75,
8,2,5,244,3,3,4,,3.5,3.25,
8,2,5,251,3,3,4,,3.5,3.5,
8,2,5,257,3,4,,,4,4,
8,2,5,209,4,2,3,,2.5,2.5,
8,2,5,218,4,2,3,,2.5,2.25,
8,2,5,224,4,2,3,,2.5,2.5,
8,2,5,231,4,2,3,,2.5,2.75,
8,2,5,237,4,2,3,,2.5,2.75,
8,2,5,244,4,3,4,,3.5,3.25,
8,2,5,251,4,3,4,,3.5,3.75,
8,2,5,257,4,4,,,4,4,
8,2,5,209,5,2,3,,2.5,2.25,
8,2,5,218,5,2,3,,2.5,2.75,
8,2,5,224,5,2,3,,2.5,2.75,
8,2,5,231,5,2,3,,2.5,2.75,
8,2,5,237,5,2,3,4,3,3.25,
8,2,5,244,5,3,4,,3.5,3.25,
8,2,5,251,5,3,4,,3.5,3.75,
8,2,5,257,5,4,,,4,4,
8,2,6,209,1,2,3,,2.5,2.75,
8,2,6,218,1,2,3,,2.5,2.5,
8,2,6,224,1,2,3,,2.5,2.75,
8,2,6,231,1,2,3,,2.5,2.75,
8,2,6,237,1,2,3,4,3,2.765,
8,2,6,251,1,3,4,,3.5,3.765,
8,2,6,257,1,4,,,4,4,
8,2,6,209,2,2,3,,2.5,2.25,
8,2,6,218,2,2,3,,2.5,2.5,
8,2,6,224,2,2,3,,2.5,2.75,
8,2,6,231,2,2,3,4,3,3.25,
8,2,6,237,2,2,3,4,3,2.25,
8,2,6,244,2,1,2,,1.5,1.75,
8,2,6,251,2,4,,,4,4,
8,2,6,209,3,2,3,,2.5,2.5,
8,2,6,218,3,2,3,,2.5,2.5,
8,2,6,224,3,2,3,,2.5,2.75,
8,2,6,231,3,2,3,4,3,3.25,
8,2,6,237,3,2,3,4,3,3.25,
8,2,6,251,3,3,4,,3.5,3.75,
8,2,6,257,3,4,,,4,4,
8,2,6,209,4,2,3,,2.5,2.25,
8,2,6,218,4,2,3,,2.5,2.75,
8,2,6,224,4,2,3,,2.5,2.75,
8,2,6,231,4,2,3,,2.5,2.75,
8,2,6,237,4,2,3,4,3,2.75,
8,2,6,251,4,3,4,,3.5,3.75,
8,2,6,257,4,4,,,4,4,
8,2,6,209,5,2,3,,2.5,2.75,
8,2,6,218,5,2,3,,2.5,2.5,
8,2,6,224,5,2,3,,2.5,2.5,
8,2,6,231,5,2,3,,2.5,2.75,
8,2,6,237,5,2,3,4,3,2.75,
8,2,6,244,5,2,,,2,2,
8,2,6,251,5,4,,,4,4,
