site,genus,species,scrub.genus,scrub.species,sev.code,scrub_round
kochmer,Eupatorium,semiserratum,Eupatorium,semiserratum,na,2
kochmer,Eupatorium,serotinum,Eupatorium,serotinum,na,2
concord,Eupatorium,serotinum,Eupatorium,serotinum,na,2
bertel,Euphorbia,arizonica,Chamaesyce,arizonica,na,2
kochmer,Euphorbia,commutatus,Euphorbia ,commutata,na,1
bertel,Euphorbia,florida,Chamaesyce,florida,na,2
kochmer,Euphorbia,ipecacuanhae,Euphorbia,ipecacuanhae,na,2
bertel,Euphorbia,micromera,Chamaesyce,micromera,na,2
kochmer,Euphorbia,polygonifolia,Chamaesyce,polygonifolia,na,2
bertel,Euphorbia,revoluta,Chamaesyce,revoluta,na,2
arnell,Euphrasia,sp.,Euphrasia,NA,na,1
konza,Evolvulus,nuttallianus,Evolvulus,nuttallianus,na,2
concord,Fagopyrum,sagittatum,Fagopyrum,esculentum,na,2
uwm,Fagus,americana,Fagus,grandifolia,na,2
bertel,Fleischmannia,sonorae,Fleischmannia,sonorae,na,2
kochmer,Fothergilla,gardenii,Fothergilla,gardenii,na,1
kochmer,Fothergilla,major,Fothergilla,major,na,2
arnell,Fragaria,viridis,Fragaria,viridis,na,2
fargo,Fraxinus,lanceolata,Fraxinus,pennsylvanica,na,2
kochmer,Fraxinus,tomentosa,Fraxinus,profunda,na,2
soederm,Fritillaria,imperialis,Fritillaria,imperialis,na,2
arnell,Fritillaria,imperialis,Fritillaria,imperialis,na,2
fargo,Fritillaria ,atropurpurea,Fritillaria ,atropurpurea,na,1
kochmer,Galactia,erecta,Galactia,erecta,na,2
kochmer,Galactia,macreei,Galactia,volubilis,na,2
kochmer,Galactia,regularis,Galactia,regularis,na,2
washdc,Galearis,spectabilis,Galearis,spectabilis,na,2
arnell,Galeopsis,speciosa,Galeopsis,speciosa,na,2
washdc,Galinsoga,ciliata,Galinsoga,quadriradiata,na,2
kochmer,Galinsoga,ciliata,Galinsoga,quadriradiata,na,2
concord,Galinsoga,ciliata,Galinsoga,quadriradiata,na,2
washdc,Galinsoga,quadriradiata,Galinsoga,quadriradiata,na,2
fargo,Galinsoga ,ciliata,Galinsoga ,ciliata,na,1
concord,Galium,circaezens,Galium,circaezans,na,1
kochmer,Galium,hispidulum,Galium,hispidulum,na,2
concord,Galium,mullugo,Galium,mollugo,na,1
washdc,Galium,tinctoria,Galium,tinctorium,na,1
bertel,Gamochaeta,purpurea,Gamochaeta,purpurea,na,2
kochmer,Gaultheria,procumbens,Gaultheria,procumbens,na,2
concord,Gaultheria,procumbens,Gaultheria,procumbens,na,2
concord,Gaylussacca,dumosa,Gaylussacia,dumosa,na,1
concord,Gaylussacca,frondosa,Gaylussacia,frondosa,na,1
washdc,Gaylussacia,baccata,Gaylussacia,baccata,na,2
kochmer,Gaylussacia,baccata,Gaylussacia,baccata,na,2
concord,Gaylussacia,baccata,Gaylussacia,baccata,na,2
concord,Gentiana,clausa,Gentiana,clausa,na,2
gothic,Gentiana,parryi,Gentiana,parryi,na,2
gothic,Gentianopsis,barbellata,Gentianopsis,barbellata,na,2
gothic,Gentianopsis,thermalis,Gentianopsis,thermalis,na,2
washdc,Geranium,bicknellii,Geranium,bicknellii,na,2
concord,Gerardia,flava,Aureolaria,flava,na,2
concord,Geum,canadensis,Geum,canadense ,na,1
kochmer,Geum,radiatum,Geum,radiatum,na,2
bertel,Gilia,flavocincta,Gilia,flavocincta,na,2
kochmer,Gladiolus,gandovensis,Gladiolus ,gandavensis,na,1
sev,Glandularia,binnatifida,Glandularia,bipinnatifida,GLBI2,1
bertel,Glandularia,gooddingii,Glandularia,gooddingii,na,2
kochmer,Gleditsia,aquatica,Gleditsia,aquatica,na,2
konza,Gleditsia,treacanthos,Gleditsia,triacanthos,na,1
fargo,Gleditsia,triacanthos ,Gleditsia ,triacanthos,na,1
fargo,Glyceria,grandis,Glyceria,grandis,na,2
bertel,Gomphrena,sonorae,Gomphrena,sonorae,na,2
kochmer,Goodyera,phioides,Goodyera ,ophioides,na,1
concord,Goodyera,tessellata,Goodyera,tesselata,na,1
bertel,Graptopetalum,rusbyi,Graptopetalum,rusbyi,na,2
fargo,Gratiola,?,Gratiola,na,na,1
kochmer,Gratiola,neglecta,Gratiola,neglecta,na,2
concord,Gratiola,neglecta,Gratiola,neglecta,na,2
kochmer,Gratiola,pilosa,Gratiola,pilosa,na,2
konza,Gutierrezia,dracunculoides,Amphiachyris,dracunculoides,na,2
bertel,Gutierrezia,microcephala,Gutierrezia,microcephala,na,2
fargo,Gymnoceadus,dioica,Gymnocladus ,dioicus,na,1
kochmer,Gymnocladus,dioica,Gymnocladus,dioicus,na,2
bertel,Gymnosperma,glutinosum,Gymnosperma,glutinosum,na,2
arnell,Gynmadenia,conopsea,Gymnadenia,conopsea,na,1
concord,Habenaria ,blephariglottis ,Habenaria ,blephariglottis ,na,1
concord,Habenaria ,clavellata,Habenaria ,clavellata,na,1
concord,Habenaria ,dilatata,Habenaria ,dilatata,na,1
concord,Habenaria ,fimbriata,Habenaria ,fimbriata,na,1
concord,Habenaria ,flava,Habenaria ,flava,na,1
concord,Habenaria ,lacera,Habenaria ,lacera,na,1
concord,Habenaria ,orbiculata,Habenaria,orbiculata,na,1
concord,Habenaria ,psychodes,Habenaria ,psycodes,na,1
kochmer,Habernaria,andrewsii,Habenaria,andrewsii,na,1
kochmer,Habernaria,blephariglottis,Habenaria,blephariglottis,na,1
kochmer,Habernaria,bracteata,Habenaria,bracteata,na,1
kochmer,Habernaria,champanii,Habenaria,champanii,na,1
kochmer,Habernaria,ciliaris,Habenaria,ciliaris,na,1
kochmer,Habernaria,clavellata,Habenaria,clavellata,na,1
kochmer,Habernaria,cristata,Habenaria,cristata,na,1
kochmer,Habernaria,flava,Habenaria,flava,na,1
kochmer,Habernaria,integra,Habenaria,integra,na,1
kochmer,Habernaria,lacera,Habenaria,lacera,na,1
kochmer,Habernaria,nivea,Habenaria,nivea,na,1
kochmer,Habernaria,orbiculata,Habenaria,orbiculata,na,1
kochmer,Habernaria,peramoena,Habenaria,peramoena,na,1
kochmer,Habernaria,psycodes,Habenaria,psycodes,na,1
kochmer,Habernaria,quinqueseta,Habenaria,quinqueseta,na,1
kochmer,Habernaria,repens,Habenaria,repens,na,1
fargo,Hackelia,americana,Hackelia,deflexa,na,2
kochmer,Hackelia,virginiana,Hackelia,virginiana,na,2
concord,Hackelia,virginiana,Hackelia,virginiana,na,2
kochmer,Halesia,parviflora,Halesia,carolina,na,2
bertel,Halimolobos,diffusa,Halimolobos,diffusus,na,1
soederm,Havreax,,NA,NA,na,1
soederm,Hedera,sp.,Hedera,NA,na,1
bertel,Hedyotis,greenei,Hedyotis,greenei,na,2
kochmer,Helenium,amarum,Helenium,amarum,na,2
kochmer,Helenium,pinnatifidium,Helenium ,pinnatifidum,na,1
bertel,Helenium,thurberi,Helenium,thurberi,na,2
kochmer,Helenium,vernale,Helenium,pinnatifidum,na,2
gothic,Helianthella,quinquenervi,Helianthella,quinquenervis,na,1
concord,Helianthemum,bicknell,Helianthemum,bicknellii  ,na,1
concord,Helianthemum,canadensis,Helianthemum,canadense  ,na,1
kochmer,Helianthus,cucumerifolius,Helianthus,debilis,na,2
concord,Helianthus,divicaricatus,Helianthus,divaricatus ,na,1
konza,Helianthus,maximilianii,Helianthus,maximiliani,na,1
kochmer,Helianthus,tomentosus,Helianthus,resinosus,na,2
fitter,Helictotrichon,pratensis,Helictotrichon,pratense,na,1
concord,Hemerocallis ,fulva,Hemerocallis ,fulva,na,1
luquillo,heteropteris,laurifolia,heteropteris,laurifolia,na,1
kochmer,Heterotheca,gossypina,Chrysopsis,gossypina,na,2
kochmer,Heterotheca,mariana,Chrysopsis,mariana,na,2
kochmer,Heterotheca,nervosa,Pityopsis,graminifolia,na,2
kochmer,Heterotheca,pilosa,Chrysopsis,pilosa,na,2
kochmer,Heterotheca,trichophylla,Chrysopsis,gossypina,na,2
kochmer,Heuchera,aceroides,Heuchera,longiflora,na,2
kochmer,Hexastylis,arifolia,Hexastylis,arifolia,na,2
kochmer,Hexastylis,heterophylla,Hexastylis,heterophylla,na,2
washdc,Hexastylis,minus,Hexastylis,minor,na,1
washdc,Hexastylis,virginica,Hexastylis,virginica,na,2
kochmer,Hexastylis,virginica,Hexastylis,virginica,na,2
concord,Hibiscus,palustris,Hibiscus,moscheutos,na,2
concord,Hieracium,florentinum,Hieracium,piloselloides,na,2
kochmer,Hieracium,florentium,Hieracium ,piloselloides,na,1
fargo,Hierochloa,odorata,Hierochloe ,odorata,na,1
arnell,Honkenya,peploides,Honckenya,peploides,na,1
fitter,Hordeum,distichon,Hordeum,vulgare,na,2
arnell,Hordeum,Vulgare,Hordeum,vulgare,na,1
fargo,Hosta,lancifolia,Hosta,lancifolia,na,2
washdc,Houstonia,purpurea,Houstonia,purpurea,na,2
kochmer,Houstonia,purpurea,Houstonia,purpurea,na,2
kochmer,Houstonia,serpyllifolia,Houstonia,serpyllifolia,na,2
kochmer,Houstonia,tenuifolia,Houstonia,longifolia,na,2
fitter,Hyacinthoides,x variabilis,Hyacinthoides,NA,na,1
washdc,Hybanthus,concolor,Hybanthus,concolor,na,2
konza,Hybanthus,verticellatus,Hybanthus,verticillatus,na,1
fargo,Hydrangea,paniculata ,Hydrangea  ,paniculata,na,1
concord,Hydrocotyl,americana,Hydrocotyle,americana,na,1
gothic,Hydrophyllum,fendleri,Hydrophyllum,fendleri,na,2
washdc,Hydrophyllum,virginianum,Hydrophyllum,virginianum,na,2
kochmer,Hydrophyllum,virginianum,Hydrophyllum,virginianum,na,2
fargo,Hydrophyllum,virginianum,Hydrophyllum,virginianum,na,2
bertel,Hymenothrix,wislizenii,Hymenothrix,wislizeni,na,1
bertel,Hymenothrix,wrightii,Hymenothrix,wrightii,na,2
bertel,Hymenoxys,quinquesquamata,Hymenoxys,quinquesquamata,na,2
concord,Hypericum,elliptium,Hypericum,ellipticum,na,1
concord,Hypericum,gentianoides,Hypericum,gentianoides,na,2
concord,Hypericum,majus,Hypericum,majus,na,2
kochmer,Hypochoeris,elata,Achyrophorus ,elatus,na,1
kochmer,Hypochoeris,glabra,Hypochaeris ,glabra,na,1
kochmer,Hypochoeris,radicata,Hypochaeris,radicata,na,1
washdc,Hypochoeris,radicata,Hypochaeris,radicata,na,1
washdc,Hypoxis,hirsuta,Hypoxis,hirsuta,na,2
kochmer,Hypoxis,hirsuta,Hypoxis,hirsuta,na,2
fargo,Hypoxis,hirsuta,Hypoxis,hirsuta,na,2
concord,Hypoxis,hirsuta,Hypoxis,hirsuta,na,2
kochmer,Hypoxis,sessilis,Hypoxis,sessilis,na,2
fargo,Hystrix,patula,Elymus,hystrix,na,2
concord,Ipomea,purpurea,Ipomoea,purpurea,na,1
kochmer,Ipomoea,coccina,Ipomoea ,coccinea,na,1
bertel,Ipomoea,cristulata,Ipomoea,cristulata,na,1
kochmer,Ipomoea,macrorhiza,Ipomoea,macrorhiza,na,2
kochmer,Ipomoea,quamoclit,Ipomoea,quamoclit,na,2
kochmer,Ipomoea,stolonifera,Ipomoea,imperati,na,2
kochmer,Ipomoea,trichocarpa,Ipomoea,cordatotriloba,na,2
bertel,Ipomopsis,multiflora,Ipomopsis,multiflora,na,2
kochmer,Ipomopsis,rubra,Ipomopsis,rubra,na,2
washdc,Iris,kaempferi,Iris,ensata,na,2
concord,Iris,pseudoacorus,Iris,pseudacorus  ,na,1
soederm,Iris,pseudocorus,Iris,pseudacorus,na,1
washdc,Iris,virginica,Iris,virginica,na,2
kochmer,Iris,virginica,Iris,virginica,na,2
bertel,Isocoma,tenuisecta,Isocoma,tenuisecta,na,2
washdc,Isotria,medeoloides,Isotria,medeoloides,na,2
kochmer,Isotria,medeoloides,Isotria,medeoloides,na,2
washdc,Isotria,verticillata,Isotria,verticillata,na,2
kochmer,Isotria,verticillata,Isotria,verticillata,na,2
concord,Isotria,verticillata,Isotria,verticillata,na,2
arnell,J.,bulbosus,Juncus,bulbosus,na,1
bertel,Janusia,gracilis,Janusia,gracilis,na,2
washdc,Jeffersonia,diphylla,Jeffersonia,diphylla,na,2
kochmer,Jeffersonia,diphylla,Jeffersonia,diphylla,na,2
fargo,Juglans,cinerea,Juglans,cinerea,na,2
konza,Juglens,nigra,Juglans,nigra,na,1
arnell,Juncus,conglomeratus,Juncus,effusus,na,2
kochmer,Justicia,americana,Justicia,americana,na,2
kochmer,Justicia,ovata,Justicia,ovata,na,2
bertel,Kallstroemia,californica,Kallstroemia,californica,na,2
kochmer,Kallstroemia,maxima,Kallstroemia,maxima,na,2
kochmer,Kalmia,caroliniana,Kalmia ,carolina,na,1
kochmer,Kalmia,cuneata,Kalmia,cuneata,na,2
kochmer,Kalmia,hirsuta,Kalmia,hirsuta,na,2
concord,Kalmia,polifolia,Kalmia,polifolia,na,2
konza,Koeleria,pyramidata,Koeleria,macrantha,na,2
soederm,Kornax,,NA,NA,na,1
kochmer,Kosteletskya,virgnica,Kosteletzkya ,virginica,na,1
kochmer,Krigia,oppositifolia,Krigia,caespitosa,na,2
concord,Krigia,viginica,Krigia,virginica,na,1
kochmer,Lactuca,biennis,Lactuca,biennis,na,2
fargo,Lactuca,biennis,Lactuca,biennis,na,2
concord,Lactuca,biennis,Lactuca,biennis,na,2
concord,Lamium,amplexicaulis,Lamium,amplexicaule,na,1
fargo,Lappula,echinata,Lappula,squarrosa,na,2
fargo,Lappula,redowski,Lappula,redowskii,na,2
concord,Leontodon,autumalis,Leontodon,autumnalis  ,na,1
bertel,Leptochloa,dubia,Leptochloa,dubia,na,2
kochmer,Lespedeza,cuneata,Lespedeza,cuneata,na,2
kochmer,Lespedeza,nuttallii,Lespedeza,nuttallii,na,2
kochmer,Lespedeza,stipulacea,Kummerowia,stipulacea,na,2
kochmer,Lespedeza,virginica,Lespedeza,virginica,na,2
concord,Lespedza,capitata,Lespedeza,capitata,na,1
concord,Lespedza,hirta,Lespedeza,hirta,na,1
concord,Lespedza,intermedia,Lespedeza,intermedia,na,1
concord,Lespedza,virginica,Lespedeza,virginica,na,1
fargo,Lesquerella,?,Lesquerella,na,na,1
arnell1877,Leucanthemum,vulgaris,Leucanthemum,vulgare,na,1
soederm,Leucojum,sp.,Leucojum,vernum,na,1
washdc,Leucothoe,editorum,Leucothoe,editorum,na,2
kochmer,Leucothoe,populifolia,Agarista,populifolia,na,2
washdc,LeucothoÌÇ,editorum,Leucothoe,editorum,na,2
arnell,Leymus,arenarius,Leymus,arenarius,na,2
kochmer,Liatris,earlei,Liatris,squarrulosa,na,2
kochmer,Liatris,gracilis,Liatris,gracilis,na,2
kochmer,Liatris,helleri,Liatris,helleri,na,2
kochmer,Liatris,microcephala,Liatris,microcephala,na,2
kochmer,Liatris,regimontis,Liatris,cokeri,na,2
kochmer,Liatris,resinosa,Liatris,resinosa,na,2
kochmer,Ligusticum,canadense,Ligusticum,canadense,na,2
kochmer,Lilaeopsis,chinensis,Lilaeopsis,chinensis,na,2
kochmer,Lilium,michauxii,Lilium,michauxii,na,2
concord,Lilium,philadelphium,Lilium,philadelphicum,na,1
kochmer,Lilium,superbum,Lilium,superbum,na,2
concord,Lilium,tigrum,Lilium,tigrinum,na,1
gothic,Limnorchis,hyperborea,Platanthera,hyperborea,na,2
fargo,Limonium,?,Limonium,na,na,1
kochmer,Limonium,nashii,Limonium,carolinianum,na,2
kochmer,Limosella,subulata,Limosella,australis,na,2
bertel,Linanthus,bigelovii,Linanthus,bigelovii,na,2
bertel,Linaria,texana,Nuttallanthus,texanus,na,2
kochmer,Lindera,melissaefolium,Lindera,melissifolia,na,1
kochmer,Lindernia,anagallidea,Lindernia,dubia,na,2
concord,Lindernia,angallidea,Lindernia,dubia,na,1
kochmer,Lindernia,monticola,Lindernia,monticola,na,2
kochmer,Lindernia,saxicola,Lindernia,monticola,na,2
konza,Linium,sulcatum,Linum,sulcatum,na,1
fitter,Linum,catharticum,Linum,catharticum,na,2
arnell,Linum,catharticum,Linum,catharticum,na,2
bertel,Linum,neomexicanum,Linum,neomexicanum,na,1
kochmer,Liparis,lilifolia,Liparis ,liliifolia,na,1
concord,Liparis ,lilifolia,Liparis ,liliifolia,na,1
concord,Liparis ,loeselii,Liparis ,loeselii,na,1
kochmer,Listera,australis,Listera,australis,na,2
konza,Lithospermum,incisum,Lithospermum,incisum,na,2
fargo,Lithospermum,incisum,Lithospermum,incisum,na,2
kochmer,Litsea,aestivalis,Litsea,aestivalis,na,2
arnell,Lobelia,dortmana,Lobelia,dortmanna,na,1
washdc,Lolium,multiflorum,Lolium,perenne,na,2
konza,Lomatium,foeniculaceum,Lomatium,foeniculaceum,na,2
fargo,Lomatium,foeniculaceum,Lomatium,foeniculaceum,na,2
arnell,Lonicera,caprifolium,Lonicera,caprifolium,na,2
konza,Lonicera,maackii,Lonicera,maackii,na,1
washdc,Lonicera,maackii,Lonicera,maackii,na,1
concord,Lonicera,morrowi,Lonicera,morrowii,na,2
concord,Lonicera,semperviens,Lonicera,sempervirens,na,1
concord,Lonicera,tartarica,Lonicera,tatarica,na,1
washdc,Lonicera,tatarica,Lonicera,tatarica,na,2
soederm,Lonicera,tatarica,Lonicera,tatarica,na,2
fargo,Lonicera,tatarica,Lonicera,tatarica,na,2
arnell,Lonicera,tatarica,Lonicera,tatarica,na,2
fargo,Lotus,americanus,Lotus,unifoliolatus,na,2
bertel,Lotus,greenei,Lotus,greenei,na,2
kochmer,Lotus,helleri,Lotus,unifoliolatus,na,2
bertel,Lotus,humistratus,Lotus,humistratus,na,2
bertel,Lotus,plebeius,Lotus,plebeius,na,2
bertel,Lotus,rigidus,Lotus,rigidus,na,2
concord,Lotus ,corniculatus,Lotus ,corniculatus,na,1
kochmer,Ludwigia,arcuata,Ludwigia,arcuata,na,2
kochmer,Ludwigia,bonariensis,Ludwigia,bonariensis,na,2
kochmer,Ludwigia,breviceps,Ludwigia ,brevipes,na,1
kochmer,Ludwigia,decurrens,Ludwigia,decurrens,na,2
kochmer,Ludwigia,glabrescens,Ludwigia ,peploides,na,1
kochmer,Ludwigia,hirtella,Ludwigia,hirtella,na,2
kochmer,Ludwigia,pilosa,Ludwigia,pilosa,na,2
kochmer,Ludwigia,suffruticosa,Ludwigia,suffruticosa,na,2
gothic,Lupinus,,Lupinus,na,na,1
gothic,Lupinus,amplus,Lupinus,bakeri,na,2
kochmer,Lupinus,diffusus,Lupinus,diffusus,na,2
gothic,Lupinus,prunophyllus,Lupinus,prunophilus,na,1
kochmer,Lycium,halimifolium,Lycium,barbarum,na,2
kochmer,Lycopersicon,exculentum,Lycopersicon,esculentum,na,1
bertel,Lycurus,setosus,Lycurus,setosus,na,2
kochmer,Lyonia,lucida,Lyonia,lucida,na,2
washdc,Lyonia,mariana,Lyonia,mariana,na,2
kochmer,Lyonia,mariana,Lyonia,mariana,na,2
concord,Lysimachia,hybrida,Lysimachia,hybrida,na,2
kochmer,Lysimachia,lanceolata,Lysimachia,lanceolata,na,2
kochmer,Lysimachia,loomisii,Lysimachia,loomisii,na,2
concord,Lysimachia,thrysiflora,Lysimachia,thyrsiflora  ,na,1
fargo,Lysimachia,thyrsiflora,Lysimachia,thyrsiflora,na,2
arnell,Lysimachia,thyrsiflora,Lysimachia,thyrsiflora,na,2
bertel,Machaeranthera,tagetina,Machaeranthera,tagetina,na,2
washdc,Magnolia,tripetala,Magnolia,tripetala,na,2
concord,Magnolia,tripetala,Magnolia,tripetala,na,2
kochmer,Mahonia,bealei,Berberis ,bealei,na,1
gothic,Maianthemum,stellatum,Maianthemum,stellatum,na,2
kochmer,Malaxis,spicata,Malaxis,spicata,na,2
kochmer,Malaxis,unifolia,Malaxis,unifolia,na,2
washdc,Malus,angustifolia,Malus,angustifolia,na,2
kochmer,Malus,angustifolia,Malus,angustifolia,na,2
washdc,Malus,floribunda,Malus,floribunda,na,2
soederm,Malus,sp.,Malus,NA,na,1
washdc,Malus,spectabilis,Malus,spectabilis,na,2
arnell,Malva,pusilla,Malva,neglecta,na,2
fargo,Mamillaria,vivipara,Mammillaria ,vivipara,na,1
bertel,Mammillaria,viridiflora,Mammillaria,viridiflora,na,2
bertel,Marah,gilensis,Marah,gilensis,na,2
concord,Marshallia,????,Marshallia,na,na,1
kochmer,Marshallia,scaposa,Marshallia ,obovata,na,1
kochmer,Marshallia,trinervia,Marshallia,trinervia,na,2
bertel,Matelea,arizonica,Matelea,arizonica,na,2
fitter,Matricaria,discoidea,Matricaria,discoidea,na,2
concord,Matricaria,matricariodes,Matricaria,matricarioides ,na,1
washdc,Matricaria,matricarioides,Matricaria,discoidea,na,2
kochmer,Matricaria,matricarioides,Matricaria,discoidea,na,2
fargo,Matricaria,matricarioides,Matricaria,discoidea,na,2
arnell,Matricaria,matricarioides,Matricaria,discoidea,na,2
kochmer,Mazus,miguelii,Mazus  ,miquelii,na,1
kochmer,Meehania,cordata,Meehania,cordata,na,2
fitter,Melilotus,albus,Melilotus,officinalis,na,2
fitter,Melilotus,altissimus,Melilotus,altissimus,na,1
kochmer,Mentha,citrata,Mentha,aquatica,na,2
washdc,Mertensia,virginica,Mertensia,virginica,na,2
kochmer,Mertensia,virginica,Mertensia,virginica,na,2
fargo,Mertensia,virginica,Mertensia,virginica,na,2
konza,Microseris,cuspidata,Nothocalais,cuspidata,na,2
bertel,Microsteris,gracilis,Phlox,gracilis,na,2
concord,Mirabilis,hirsuta,Mirabilis,hirsuta,na,2
fitter,Moehringia,trinervia,Moehringia,trinervia,na,2
arnell,Moehringia,trinervia,Moehringia,trinervia,na,2
concord,Monarda,media,Monarda,media,na,2
concord,Moneses,uniflora,Moneses,uniflora,na,2
arnell,Moneses,uniflora,Moneses,uniflora,na,2
fargo,Monolepis,nuttalliana,Monolepis,nuttalliana,na,2
kochmer,Monotropa,hypopithys,Monotropa,hypopithys,na,2
concord,Monotropa,hypopithys,Monotropa,hypopithys,na,2
arnell,Monotropa,hypopitys,Monotropa,hypopithys,na,2
kochmer,Monotropsis,odorata,Monotropsis,odorata,na,2
sev,Monroa,squarrosa,Munroa,squarrosa,MOSQ,1
bertel,Morus,microphylla,Morus,microphylla,na,2
bertel,Muhlenbergia,emersleyi,Muhlenbergia,emersleyi,na,2
bertel,Muhlenbergia,microsperma,Muhlenbergia,microsperma,na,1
bertel,Muhlenbergia,minutissima,Muhlenbergia,minutissima,na,2
bertel,Muhlenbergia,pauciflora,Muhlenbergia,pauciflora,na,1
sev,Muhlenbergia,pauciflora,Muhlenbergia,pauciflora,MUPA2,1
bertel,Muhlenbergia,porteri,Muhlenbergia,porteri,na,2
fargo,Muhlenbergia,richardsonis,Muhlenbergia,richardsonis,na,2
bertel,Muhlenbergia,rigens,Muhlenbergia,rigens,na,2
sev,Muhlenbergia,tenuifolia,Muhlenbergia,tenuifolia,MUTE4,1
bertel,Muhlenbergia,texana,Muhlenbergia,texana,na,2
fitter,Mycelis,muralis,Mycelis,muralis,na,2
arnell,Mycelis,muralis,Mycelis,muralis,na,2
kochmer,Myosotis,laxa,Myosotis,laxa,na,2
concord,Myosotis,laxa,Myosotis,laxa,na,2
arnell,Myosotis,laxa,Myosotis,laxa,na,2
washdc,Myosotis,macrosperma,Myosotis,macrosperma,na,2
kochmer,Myosotis,macrosperma,Myosotis,macrosperma,na,2
concord,Myosotis,scorpioides ,Myosotis,scorpioides ,na,1
washdc,Myrica,pensylvanica,Morella,pensylvanica,na,2
concord,Myrica,pensylvanica,Morella,pensylvanica,na,2
luquillo,na,na,na,na,na,1
kochmer,Nama,jamaicensis,Nama,jamaicensis,na,1
kochmer,Narcissus,incomparibilis,Narcissus,incomparabilis,na,1
kochmer,Narcissus,pseudo-narcissus,Narcissus,pseudonarcissus,na,1
kochmer,Narthecium,americanum,Narthecium,americanum,na,2
concord,Nemopanthes,mucronata,Nemopanthes,mucronata,na,2
harvard,Nemopanthus,mucronata,Nemopanthus,mucronata,na,2
washdc,Nemophila,aphylla,Nemophila,aphylla,na,2
fargo,Nepeta,hederacea,Glechoma,hederacea,na,2
kochmer,Nestronia,umbellula,Nestronia,umbellula,na,2
gothic,Noccaea,montanum,Noccaea,montana  ,na,1
kochmer,Nuphar,macrophyllum,Nuphar ,lutea,na,1
washdc,Nuphar,variegata,Nuphar,lutea,na,2
concord,Nuphar,variegatum,Nuphar,variegata,na,2
kochmer,Nyssa,ogeche,Nyssa,ogeche,na,2
washdc,Obolaria,virginica,Obolaria,virginica,na,2
arnell,Odontites,litoralis,Odontites,litoralis,na,2
sev,Oenothera,cespitosa,Oenothera,cespitosa,OECEC2,1
kochmer,Oenothera,humifusa,Oenothera,humifusa,na,2
kochmer,Oenothera,parviflora,Oenothera,parviflora,na,2
concord,Oenothera,parviflora,Oenothera,parviflora,na,2
soederm,Omphaloides,verna,Omphalodes,verna,na,1
fargo,Opuntia,polycantha,Opuntia ,polyacantha,na,1
gothic,Oreochrysum,parryi,Oreochrysum,parryi,na,2
gothic,Orobanche,,Orobanche,na,na,1
washdc,Orontium,aquaticum,Orontium,aquaticum,na,2
arnell,Orthilia,secunda,Orthilia,secunda,na,2
kochmer,Osmorhiza,claytonii,Osmorhiza ,aristata,na,1
washdc,Osmorhiza,claytonii,Osmorhiza,aristata,na,1
gothic,Osmorhiza,occidentalis,Osmorhiza,occidentalis,na,2
fargo,Oxalis,europea,Oxalis ,europaea,na,1
concord,Oxalis,montana,Oxalis,montana,na,2
washdc,Oxalis,repens,Oxalis,corniculata,na,2
soederm,Oxalis,sp.,Oxalis,NA,na,1
gothic,Oxypolis,fendleri,Oxypolis,fendleri,na,2
kochmer,Oxypolis,rigidor,Oxypolis,rigidior,na,1
fargo,Oxytropis,campestris ,Oxytropis ,jordalii,na,1
soederm,Paeonia,x festiva,Paeonia,festiva,na,1
kochmer,Panax,quinquefolium,Panax,quinquefolius,na,2
kochmer,Parietaria,floridana,Parietaria,floridana,na,2
fargo,Parietaria,pennsylvanica,Parietaria ,pensylvanica,na,1
concord,Parietaria,pensylvania,Parietaria,pensylvanica  ,na,1
bertel,Parkinsonia,microphylla,Parkinsonia,microphylla,na,2
fargo,Parnassia,glauca,Parnassia,glauca,na,2
kochmer,Parnassia,grandifolia,Parnassia,grandifolia,na,2
fargo,Parthenocissus ,vitacea,Parthenocissus ,vitacea,na,1
kochmer,Paxistima,canbyi,Pachistima ,canbyi,na,1
bertel,Pectis,cylilndrica,Pectis,cylindrica,na,1
bertel,Pectocarya,platycarpa,Pectocarya,platycarpa,na,2
kochmer,Pedicularis,lanceolatus,Pedicularis,lanceolata,na,1
konza,Pediomelum,esculenta,Pediomelum,esculentum,na,1
concord,Peltandra,virginiana,Peltandra,virginica  ,na,1
fargo,Penstemon,gracilis,Penstemon,gracilis,na,2
concord,Penstemon,hirsutus,Penstemon,hirsutus,na,1
washdc,Penstemon,hirsutus,Penstemon,hirsutus,na,1
bertel,Penstemon,parryi,Penstemon,parryi,na,1
sev,Penstemon,whippleanus,Penstemon,whippleanus,PEWH,1
bertel,Perityle,lemmoni,Perityle,lemmonii,na,1
fargo,Petalostemum,candidum,Dalea ,candida,na,1
kochmer,Petalostemum,pinnatum,Petalostemon ,pinnatus,na,1
fargo,Petalostemum,purpureum,Dalea ,purpurea,na,1
fargo,Petalostemum,villosum,Dalea ,villosa,na,1
kochmer,Petunia,atkinsiana,Petunia,atkinsiana,na,2
bertel,Phacelia,coerulea,Phacelia,coerulea,na,2
kochmer,Phacelia,hipinnatifida,Phacelia ,bipinnatifida,na,1
washdc,Phacelia,ranunculacea,Phacelia,ranunculacea,na,2
kochmer,Phacelia,ranunculacea,Phacelia,ranunculacea,na,2
bertel,Phemeranthus,aurantiacus,Phemeranthus,aurantiacus,na,2
bertel,Phemeranthus,parviflorus,Phemeranthus,parviflorus,na,2
kochmer,Phlox,amoena,Phlox,amoena,na,2
