"","clim_gdd0_JFM","clim_gdd5_JFM","clim_gdd0_JanMay","clim_gdd5_JanMay","clim_prec_OctMar","clim_prec_AprSep","clim_tmean_warm","clim_tmean_cold","clim_chill_SOND"
"hamavirg",597.404879190578,299.664457988924,1602.60139617339,1002.30802077308,548.857399890601,645.376577216432,24.8772104380904,3.13829389005479,23.8505713518041
"ilexopac",789.962771965014,418.472052938794,1918.9944938358,1242.76102128278,621.840866012181,668.989344878391,26.2076681268434,5.94931055126454,14.608399520788
"ilexvert",261.754881789488,97.938083283906,1022.55150910978,569.040684638095,498.063190095906,577.839501849507,22.2281236204283,-2.56759092400979,41.8961490137903
"junivirg",427.109596270488,182.203815730996,1378.17064426088,831.362522666561,476.582317941689,605.847931053993,24.8340525122112,0.028956505751173,32.0826163586188
"liqustyr",993.945776089374,578.25195476208,2232.36100051089,1511.67216018426,648.213400805167,703.24947546544,27.28302934676,8.50629622541606,7.61057902289886
"lirituli",538.531009342438,248.7004173076,1522.56249833021,929.775447280995,548.732246660623,625.640704214637,24.7430255886464,2.37830061605435,25.6923091476681
"magnvirg",1003.64914626198,584.473161118249,2239.15069327221,1514.98434122227,620.037666664343,718.114725306198,27.1767016359644,8.71974997746785,6.87629753758786
"nysssylv",768.171839765494,410.70781374925,1886.54612348332,1224.37926940332,597.518686094773,671.103346832803,26.1104835624349,5.54876373400662,16.6470216849619
"pinustrb",85.0729208505711,21.0817596138106,650.018429808735,320.870030538173,483.823055217122,548.393962153877,19.8911611063292,-7.58720485914882,57.2300052273915
"pinutaed",940.607317825569,532.145597816574,2152.81354360344,1439.36189043858,662.694124642008,686.878745330978,27.0562193299461,7.82344900824102,9.04388102421289
"pinuvirg",485.732995060342,201.826955590026,1429.08772480371,841.424553486276,554.744461278706,620.035881869261,24.0786678295167,1.91553533097099,27.8454994364232
"popugran",105.649369560519,26.4377314864948,724.542083300314,370.686211078141,449.180149666875,546.006590689767,20.6313117260254,-6.60731629272857,54.1326024865591
"queralba",416.712943934187,173.645560323449,1333.08054167165,789.186695537537,518.35324786013,606.903483872273,24.125987566734,0.407942318393459,31.7205452775073
"quercocc",455.58882649986,189.817097294606,1386.06271343433,817.736823182523,546.998004973877,615.21146188934,24.112365318679,1.32749403319408,29.3682748204719
"querfalc",735.01964594396,374.216355576786,1852.7090151175,1187.02376461997,634.169099378208,647.165952473071,26.2887269152764,5.1250134625342,16.7331137361805
"quernigr",910.756687787393,508.780693508502,2117.26141306499,1410.29416537714,663.673275852117,677.742561418692,27.1095853491701,7.40034383043932,10.1134303183639
"querphel",761.868312127683,392.072608347708,1897.15559953341,1222.40487807205,652.221334503376,652.653233596901,26.5112568927685,5.50446931038214,15.2953393030532
"querrubr",256.180233237369,91.645763080768,1035.56148890211,578.97924376642,485.397492204969,576.981663914299,22.5554561994825,-2.6431769824521,41.8293743271052
"querstel",675.149372472297,335.824127770915,1759.44562686484,1115.52353761337,593.824103733618,640.783820894262,25.9651094929895,4.2164869474603,19.558544178142
"quervelu",453.730986938417,193.202815830861,1402.14380199937,839.189172592086,528.115481498124,613.171420897799,24.5050808352248,1.00670895081552,29.6212292054777
"rhusglab",366.197608435594,159.725088922257,1263.670600777,760.789526017076,383.84520427486,566.641574571376,24.5087634647962,-2.03380268628881,38.1695909144563
"sassalbi",544.382075498207,252.273094561196,1544.81413499645,949.588695341832,557.108318937504,623.177025111983,25.0138599332624,2.36050110096602,25.4984664448988
"ulmurubr",360.258756686193,144.66637839747,1250.70515919584,735.963749183565,471.974458058832,593.908419669386,24.0091627599739,-0.947945398523601,35.504007028625
"vibulent",77.0628643120739,15.9095369396963,718.761966854321,377.740992158415,295.650054907608,524.061354260674,21.2225161246458,-8.32481111406365,56.7086759054385
"vibuprun",365.645463089214,136.278202518131,1263.83785759833,732.310603495811,480.844040050005,595.768723320781,23.8434528220799,-0.303174424639041,34.0687586862702
