"","V1","V2","V3","V4","V5","V6"
"62086","mohonk","Kalmia","latifolia","ffd",1976,153
"62087","mohonk","Polygala","paucifolia","ffd",1976,116
"62088","mohonk","Rhododendron","nudiflorum","ffd",1976,127
"62089","mohonk","Rhododendron","indicum","ffd",1976,187
"62090","mohonk","Sambucus","racemosa","ffd",1976,112
"62091","mohonk","Thalictrum","thalictroides","ffd",1976,105
"62092","mohonk","Trillium","undulatum","ffd",1976,118
"62093","mohonk","Viburnum","lantanoides","ffd",1976,118
"62094","mohonk","Amelanchier","arborea","ffd",1977,105
"62095","mohonk","Aquilegia","canadensis","ffd",1977,118
"62096","mohonk","Caltha","palustris","ffd",1977,115
"62097","mohonk","Cornus","florida","ffd",1977,120
"62098","mohonk","Erythronium","americanum","ffd",1977,102
"62099","mohonk","Kalmia","latifolia","ffd",1977,145
"62100","mohonk","Polygala","paucifolia","ffd",1977,115
"62101","mohonk","Rhododendron","nudiflorum","ffd",1977,126
"62102","mohonk","Sambucus","racemosa","ffd",1977,113
"62103","mohonk","Sanguinaria","canadensis","ffd",1977,92
"62104","mohonk","Thalictrum","thalictroides","ffd",1977,113
"62105","mohonk","Trillium","erectum","ffd",1977,111
"62106","mohonk","Trillium","undulatum","ffd",1977,115
"62107","mohonk","Viburnum","acerifolium","ffd",1977,140
"62108","mohonk","Amelanchier","arborea","ffd",1978,128
"62109","mohonk","Caltha","palustris","ffd",1978,114
"62110","mohonk","Erythronium","americanum","ffd",1978,110
"62111","mohonk","Hedyotis","caerulea","ffd",1978,122
"62112","mohonk","Kalmia","latifolia","ffd",1978,159
"62113","mohonk","Rhododendron","indicum","ffd",1978,195
"62114","mohonk","Sambucus","racemosa","ffd",1978,133
"62115","mohonk","Sanguinaria","canadensis","ffd",1978,110
"62116","mohonk","Trillium","erectum","ffd",1978,120
"62117","mohonk","Trillium","undulatum","ffd",1978,135
"62118","mohonk","Viburnum","acerifolium","ffd",1978,159
"62119","mohonk","Viburnum","lantanoides","ffd",1978,135
"62120","mohonk","Amelanchier","arborea","ffd",1979,116
"62121","mohonk","Caltha","palustris","ffd",1979,107
"62122","mohonk","Cornus","florida","ffd",1979,126
"62123","mohonk","Hedyotis","caerulea","ffd",1979,120
"62124","mohonk","Kalmia","latifolia","ffd",1979,154
"62125","mohonk","Polygala","paucifolia","ffd",1979,124
"62126","mohonk","Rhododendron","indicum","ffd",1979,175
"62127","mohonk","Sambucus","racemosa","ffd",1979,122
"62128","mohonk","Sanguinaria","canadensis","ffd",1979,107
"62129","mohonk","Trillium","erectum","ffd",1979,115
"62130","mohonk","Trillium","undulatum","ffd",1979,120
"62131","mohonk","Viburnum","lantanoides","ffd",1979,122
"62132","mohonk","Amelanchier","arborea","ffd",1980,116
"62133","mohonk","Caltha","palustris","ffd",1980,117
"62134","mohonk","Erythronium","americanum","ffd",1980,110
"62135","mohonk","Hedyotis","caerulea","ffd",1980,125
"62136","mohonk","Kalmia","latifolia","ffd",1980,152
"62137","mohonk","Polygala","paucifolia","ffd",1980,125
"62138","mohonk","Sanguinaria","canadensis","ffd",1980,104
