"Site","orig.Genus","orig.Species","clean.Genus","clean.Species"
"force","Clinopodium","vulgare","Clinopodium","vulgare"
"force","Conyza","canadensis","Conyza","canadensis"
"clarkduke","Cornus","florida","Cornus","florida"
"force","Cornus","florida","Cornus","florida"
"force","Cornus","racemosa","Cornus","racemosa"
"force","Cornus","sp","Cornus",NA
"force","Crataegus","sp","Crataegus",NA
"cleland","Crepis","vessicaria","Crepis","vesicaria"
"price","Delphinium","nelsonii","Delphinium","nuttallianum"
"dunne","Delphinium","nuttallianum","Delphinium","nuttallianum"
"force","Desmodium","nudiflorum","Desmodium","nudiflorum"
"force","Desmodium","paniculatum","Desmodium","paniculatum"
"force","Dianthus","ameria","Dianthus","armeria"
"force","Dioscorea","sp","Dioscorea",NA
"clarkduke","Diospyros","virginiana","Diospyros","virginiana"
"force","Epilobium","ciliatum","Epilobium","ciliatum"
"force","Erechtites","hieraciifolia","Erechtites","hieraciifolius"
"sherry","Erigeron","strigosus","Erigeron","strigosus"
"force","Erigeron","anuus","Erigeron","annuus"
"force","Erigeron","philadelphicus","Erigeron","philadelphicus"
"dunne","Erigeron","speciosus","Erigeron","speciosus"
"price","Eriogonum","subalpinum","Eriogonum","umbellatum"
"dunne","Eriogonum","subalpinum","Eriogonum","umbellatum"
"cleland","Erodium","brachycarpum","Erodium","brachycarpum"
"price","Erythronium","grandiflorum","Erythronium","grandiflorum"
"force","Euthamia","gramanifolia","Euthamia","graminifolia"
"farnsworth","Fagus","grandifolia","Fagus","grandifolia"
"clarkduke","Fagus","grandifolia","Fagus","grandifolia"
"clarkharvard","Fagus","grandifolia","Fagus","grandifolia"
"ellison","Fagus","grandifolia","Fagus","grandifolia"
"dunne","Festuca","thurberi","Festuca","thurberi"
"force","Fragaria","virginiana","Fragaria","virginiana"
"clarkduke","Fraxinus","americana","Fraxinus","americana"
"clarkharvard","Fraxinus","americana","Fraxinus","americana"
"force","Fraxinus","sp","Fraxinus",NA
"force","Galium","Galium","Galium",NA
"force","Galium","aparine","Galium","aparine"
"force","Galium","circaezans","Galium","circaezans"
"force","Galium","triflorum","Galium","triflorum"
"cleland","Geranium","dissectum","Geranium","dissectum"
"force","Geranium","maculatum","Geranium","maculatum"
"force","Geum","canadense","Geum","canadense"
"force","Hackelia","virginiana","Hackelia","virginiana"
"force","Hamamelis","virginiana","Hamamelis","virginiana"
"dunne","Helianthella","quinquenervis","Helianthella","quinquenervis"
"marchin","Hexastylis","arifolia","Hexastylis","arifolia"
"marchin","Hieracium","venosum","Hieracium","venosum"
"force","Hieracium","caepitosum","Hieracium","caespitosum"
"force","Hieracium","gronovii","Hieracium","gronovii"
"force","Houstonia","longifolia","Houstonia","longifolia"
"force","Hypericum","punctatum","Hypericum","punctatum"
"clarkduke","Ilex","opaca","Ilex","opaca"
"clarkduke","Ilex","vomitoria","Ilex","vomitoria"
"clarkharvard","Ilex","vomitoria","Ilex","vomitoria"
"force","Ilex","verticillata","Ilex","verticillata"
"price","Ipomopsis","aggregata","Ipomopsis","aggregata"
"clarkduke","Juniperus","virginiana","Juniperus","virginiana"
"force","Lactuca","serriola","Lactuca","serriola"
"price","Lathyrus","leucanthus","Lathyrus","lanszwertii"
"dunne","Lathyrus","lanszwertii","Lathyrus","lanszwertii"
"force","Lepidium","campestre","Lepidium","campestre"
"force","Lindera","benzoin","Lindera","benzoin"
"clarkduke","Liquidambar","styraciflua","Liquidambar","styraciflua"
"clarkharvard","Liquidambar","styraciflua","Liquidambar","styraciflua"
"clarkduke","Liriodendron","tulipifera","Liriodendron","tulipifera"
"clarkharvard","Liriodendron","tulipifera","Liriodendron","tulipifera"
"force","Liriodendron","tulipifera","Liriodendron","tulipifera"
"force","Lobelia","inflata","Lobelia","inflata"
"cleland","Lolium","multiflorum","Lolium","multiflorum"
"chuine","Lolium","perenne","Lolium","perenne"
"chuine","Lolium","rigidum","Lolium","rigidum"
"force","Lonicera","sp","Lonicera",NA
"force","Lysimachia","quadrifolia","Lysimachia","quadrifolia"
"clarkduke","Magnolia","grandiflora","Magnolia","grandiflora"
"clarkduke","Magnolia","sp","Magnolia",NA
"clarkduke","Magnolia","virginiana","Magnolia","virginiana"
"clarkharvard","Magnolia","grandiflora","Magnolia","grandiflora"
"clarkharvard","Magnolia","sp","Magnolia",NA
"clarkharvard","Magnolia","virginiana","Magnolia","virginiana"
"force","Maianthemum","canadense","Maianthemum","canadense"
"force","Maianthemum","racemosum","Maianthemum","racemosum"
"force","Melampyrum","lineare","Melampyrum","lineare"
"price","Mertensia","fusiformes","Mertensia","oblongifolia"
"dunne","Mertensiana","fusiformis","Mertensia","oblongifolia"
"force","Microstegium","vimineum","Microstegium","vimineum"
"force","Mitchella","repens","Mitchella","repens"
"clarkduke","Nyssa","sylvatica","Nyssa","sylvatica"
"clarkharvard","Nyssa","sylvatica","Nyssa","sylvatica"
"force","Nyssa","sylvatica","Nyssa","sylvatica"
"force","Oenothera","biennis","Oenothera","biennis"
"force","Oenothera","perennis","Oenothera","perennis"
"force","Ostrya","virginiana","Ostrya","virginiana"
"force","Oxalis","stricta","Oxalis","stricta"
"clarkduke","Oxydendrum","arboreum","Oxydendrum","arboreum"
"sherry","Panicum","virgatum","Panicum","virgatum"
"force","Parthenocissus","quiquefolia","Parthenocissus","quinquefolia"
"force","Phytolacca","americana","Phytolacca","americana"
"clarkduke","Pinus","echinata","Pinus","echinata"
"clarkduke","Pinus","palustris","Pinus","palustris"
"clarkduke","Pinus","resinosa","Pinus","resinosa"
"clarkduke","Pinus","sp","Pinus",NA
"clarkduke","Pinus","strobus","Pinus","strobus"
"clarkduke","Pinus","taeda","Pinus","taeda"
"clarkduke","Pinus","virginiana","Pinus","virginiana"
"clarkharvard","Pinus","palustris","Pinus","palustris"
"clarkharvard","Pinus","resinosa","Pinus","resinosa"
"clarkharvard","Pinus","sp","Pinus",NA
"clarkharvard","Pinus","strobus","Pinus","strobus"
"clarkharvard","Pinus","taeda","Pinus","taeda"
"force","Pinus","sp","Pinus",NA
"force","Plantago","major","Plantago","major"
"force","Podophyllum","peltatum","Podophyllum","peltatum"
"force","Populus","grandidentata","Populus","grandidentata"
"force","Populus","sp","Populus",NA
"force","Populus","tremuloides","Populus","tremuloides"
"price","Potentilla","gracilis","Potentilla","gracilis"
"force","Potentilla","canadensis","Potentilla","canadensis"
"force","Potentilla","norvegica","Potentilla","norvegica"
"dunne","Potentilla","hippiana","Potentilla","hippiana"
"force","Prunella","vulgaris","Prunella","vulgaris"
"farnsworth","Prunus","serotina","Prunus","serotina"
"clarkduke","Prunus","serotina","Prunus","serotina"
"clarkharvard","Prunus","pensylvanica","Prunus","pensylvanica"
"clarkharvard","Prunus","serotina","Prunus","serotina"
"clarkharvard","Prunus","sp","Prunus",NA
"force","Prunus","serotina","Prunus","serotina"
"ellison","Prunus","serotina","Prunus","serotina"
"force","Pseudognaphalium","obtusifolium","Pseudognaphalium","obtusifolium"
"force","Pycnanthemum","incanum","Pycnanthemum","incanum"
"marchin","Quercus","alba","Quercus","alba"
"marchin","Quercus","rubra","Quercus","rubra"
"bace","Quercus","rubra","Quercus","rubra"
"farnsworth","Quercus","alba","Quercus","alba"
"farnsworth","Quercus","rubra","Quercus","rubra"
"clarkduke","Quercus","alba","Quercus","alba"
"clarkduke","Quercus","coccinea","Quercus","coccinea"
"clarkduke","Quercus","falcata","Quercus","falcata"
"clarkduke","Quercus","laurifolia","Quercus","laurifolia"
"clarkduke","Quercus","nigra","Quercus","nigra"
"clarkduke","Quercus","phellos","Quercus","phellos"
"clarkduke","Quercus","rubra","Quercus","rubra"
"clarkduke","Quercus","sp","Quercus",NA
"clarkduke","Quercus","stellata","Quercus","stellata"
"clarkduke","Quercus","velutina","Quercus","velutina"
"clarkharvard","Quercus","alba","Quercus","alba"
"clarkharvard","Quercus","falcata","Quercus","falcata"
"clarkharvard","Quercus","nigra","Quercus","nigra"
"clarkharvard","Quercus","phellos","Quercus","phellos"
"clarkharvard","Quercus","rubra","Quercus","rubra"
"clarkharvard","Quercus","sp","Quercus",NA
"clarkharvard","Quercus","velutina","Quercus","velutina"
"force","Quercus","alba","Quercus","alba"
"force","Quercus","rubra","Quercus","rubra"
"force","Quercus","velutina","Quercus","velutina"
"ellison","Quercus","rubra","Quercus","rubra"
"force","Ranunculus","abortivis","Ranunculus","abortivus"
"force","Rhus","glabra","Rhus","glabra"
"force","Rosa","multiflora","Rosa","multiflora"
"force","Rubus","occidentalis","Rubus","occidentalis"
"force","Rubus","sp","Rubus",NA
"force","Rumex","acetosella","Rumex","acetosella"
"force","Sambucus","canadensis","Sambucus","nigra"
"force","Sassafras","albidum","Sassafras","albidum"
"sherry","Schizachyrium","scoparium","Schizachyrium","scoparium"
"chuine","Setaria","parviflora","Setaria","parviflora"
"chuine","Setaria","viridis","Setaria","viridis"
"force","Sisyrinchium","mucronatum","Sisyrinchium","mucronatum"
"force","Smilax","sp","Smilax",NA
"force","Solidago","caesia","Solidago","caesia"
"force","Solidago","canadensis","Solidago","canadensis"
"force","Solidago","juncea","Solidago","juncea"
"force","Solidago","nemoralis","Solidago","nemoralis"
"force","Solidago","rugosa","Solidago","rugosa"
"force","Sonchus","asper","Sonchus","asper"
"farnsworth","Sorbus","americana","Sorbus","americana"
"force","Symphyotrichum","lateriflorum","Symphyotrichum","lateriflorum"
"force","Symphyotrichum","lavae","Symphyotrichum","laeve"
"force","Symphyotrichum","pilosum","Symphyotrichum","pilosum"
"force","Taraxacum","officionale","Taraxacum","officinale"
"marchin","Thalictrum","thalictroides","Thalictrum","thalictroides"
"force","Thalictrum","thalictroides","Thalictrum","thalictroides"
"marchin","Tipularia","discolor","Tipularia","discolor"
"force","Trifolium","aureum","Trifolium","aureum"
"force","Trifolium","pratense","Trifolium","pratense"
"force","Trifolium","repens","Trifolium","repens"
"clarkduke","Ulmus","americana","Ulmus","americana"
"clarkduke","Ulmus","sp","Ulmus",NA
"clarkharvard","Ulmus","americana","Ulmus","americana"
"force","Ulmus","rubra","Ulmus","rubra"
"force","Uvularia","perfoliata","Uvularia","perfoliata"
"marchin","Vaccinium","pallidum","Vaccinium","pallidum"
"marchin","Vaccinium","stamineum","Vaccinium","stamineum"
"farnsworth","Vaccinium","corymbosum","Vaccinium","corymbosum"
"farnsworth","Vaccinium","vacillans","Vaccinium","pallidum"
"ellison","Vaccinium","sp","Vaccinium",NA
"force","Verbascum","thapsus","Verbascum","thapsus"
"force","Verbena","urticifolia","Verbena","urticifolia"
"force","Veronica","officinalis","Veronica","officinalis"
"force","Veronica","serpyllifolia","Veronica","serpyllifolia"
"farnsworth","Viburnum","acerifolium","Viburnum","acerifolium"
"farnsworth","Viburnum","lentago","Viburnum","lentago"
"force","Viburnum","prunifolium","Viburnum","prunifolium"
"force","Viburnum","sp","Viburnum",NA
"ellison","Viburnum","cassinoides","Viburnum","nudum"
"cleland","Vicia","sativa","Vicia","sativa"
"force","Vicia","cracca","Vicia","cracca"
"force","Viola","blanda","Viola","blanda"
"force","Viola","hirsutula","Viola","hirsutula"
"force","Viola","pubescens","Viola","pubescens"
"force","Viola","soria","Viola","sororia"
"force","Viola","sp","Viola",NA
"force","Vitis","sp","Vitis",NA
"cleland","Vulpia","myuros","Vulpia","myuros"
