"Site","orig.Genus","orig.Species","clean.Genus","clean.Species"
"washdc","Alnus","serrulata","Alnus","serrulata"
"fitter","Alopecurus","geniculatus","Alopecurus","geniculatus"
"fitter","Alopecurus","myosuroides","Alopecurus","myosuroides"
"fitter","Alopecurus","pratensis","Alopecurus","pratensis"
"fargo","Alopecurus","aequalis","Alopecurus","aequalis"
"fargo","Alopecurus","pratensis","Alopecurus","pratensis"
"washdc","Alopecurus","bonariensis","Alopecurus","bonariensis"
"washdc","Alopecurus","carolinianus","Alopecurus","carolinianus"
"concord","Althaea","officinalis","Althaea","officinalis"
"concord","Amaranthus","retroflexus","Amaranthus","retroflexus"
"fargo","Amaranthus","graecizans","Amaranthus","graecizans"
"fargo","Amaranthus","retroflexus","Amaranthus","retroflexus"
"fargo","Amaranthus","tuberculatus","Amaranthus","tuberculatus"
"concord","Ambrosia","artemisiifolia","Ambrosia","artemisiifolia"
"fargo","Ambrosia","artemisifolia","Ambrosia","artemisiifolia"
"fargo","Ambrosia","trifida","Ambrosia","trifida"
"concord","Amelanchier","arborea","Amelanchier","arborea"
"concord","Amelanchier","canadensis","Amelanchier","canadensis"
"mohonk","Amelanchier","arborea","Amelanchier","arborea"
"fargo","Amelanchier","alnifolia","Amelanchier","alnifolia"
"washdc","Amelanchier","arborea","Amelanchier","arborea"
"washdc","Amelanchier","canadensis","Amelanchier","canadensis"
"washdc","Amelanchier","laevis","Amelanchier","laevis"
"bolmgren","Amelanchier","cg","Amelanchier",NA
"gothic","Amelanchier","alnifolia","Amelanchier","alnifolia"
"uwm","Amelanchier",NA,"Amelanchier",NA
"gothic","Amerosedum","lanceolatum","Sedum","lanceolatum"
"fargo","Ammannia","coccinea","Ammannia","coccinea"
"konza","Amorpha","canescens","Amorpha","canescens"
"konza","Amorpha","fruticosa","Amorpha","fruticosa"
"concord","Amorpha","fruticosa","Amorpha","fruticosa"
"fargo","Amorpha","canescens","Amorpha","canescens"
"fargo","Amorpha","fruticosa","Amorpha","fruticosa"
"washdc","Amorpha","fruticosa","Amorpha","fruticosa"
"konza","Amphiachyris","dracunculoides","Amphiachyris","dracunculoides"
"concord","Amphicarpa","bracteata","Amphicarpa","bracteata"
"fargo","Amphicarpa","bracteata","Amphicarpa","bracteata"
"konza","Amphicarpaea","bracteata","Amphicarpaea","bracteata"
"fitter","Anacamptis","pyramidalis","Anacamptis","pyramidalis"
"fitter","Anagallis","arvensis","Anagallis","arvensis"
"concord","Anagallis","arvensis","Anagallis","arvensis"
"washdc","Anagallis","arvensis","Anagallis","arvensis"
"concord","Anaphalis","margaritacea","Anaphalis","margaritacea"
"washdc","Anchusa","azurea","Anchusa","azurea"
"concord","Andromeda","glaucophylla","Andromeda","polifolia"
"konza","Andropogon","gerardii","Andropogon","gerardii"
"fargo","Andropogon","gerardii","Andropogon","gerardii"
"konza","Androsace","occidentalis","Androsace","occidentalis"
"fargo","Androsace","occidentalis","Androsace","occidentalis"
"gothic","Androsace","septentrionalis","Androsace","septentrionalis"
"konza","Anemone","caroliniana","Anemone","caroliniana"
"concord","Anemone","quinquefolia","Anemone","quinquefolia"
"concord","Anemone","virginiana","Anemone","virginiana"
"marsham","Anemone","nemorosa","Anemone","nemorosa"
"fargo","Anemone","canadensis","Anemone","canadensis"
"fargo","Anemone","cylindrica","Anemone","cylindrica"
"fargo","Anemone","patens","Anemone","patens"
"fargo","Anemone","quinquefolia","Anemone","quinquefolia"
"fargo","Anemone","virginiana","Anemone","virginiana"
"washdc","Anemone","blanda","Anemone","blanda"
"washdc","Anemone","canadensis","Anemone","canadensis"
"washdc","Anemone","quinquefolia","Anemone","quinquefolia"
"washdc","Anemone","virginiana","Anemone","virginiana"
"bolmgren","Anemone","nemorosa","Anemone","nemorosa"
"concord","Anemonella","thalictroides","Thalictrum","thalictroides"
"washdc","Anethum","graveolens","Anethum","graveolens"
"concord","Angelica","atropurpurea","Angelica","atropurpurea"
"washdc","Angelica","atropurpurea","Angelica","atropurpurea"
"fitter","Anisantha","sterilis","Bromus","sterilis"
"gothic","Anisantha","tectorum","Bromus","tectorum"
"konza","Antennaria","neglecta","Antennaria","neglecta"
"fargo","Antennaria","aprica","Antennaria","parvifolia"
"washdc","Antennaria","neglecta","Antennaria","neglecta"
"washdc","Antennaria","plantaginifolia","Antennaria","plantaginifolia"
"washdc","Antennaria","solitaria","Antennaria","solitaria"
"washdc","Antennaria","virginica","Antennaria","virginica"
"gothic","Antennaria","pulcherrima","Antennaria","pulcherrima"
"concord","Anthemis","cotula","Anthemis","cotula"
"fargo","Anthemis","cotula","Anthemis","cotula"
"washdc","Anthemis","arvensis","Anthemis","arvensis"
"washdc","Anthemis","cotula","Anthemis","cotula"
"washdc","Anthemis","tinctoria","Cota","tinctoria"
"fitter","Anthoxanthum","odoratum","Anthoxanthum","odoratum"
"washdc","Anthoxanthum","odoratum","Anthoxanthum","odoratum"
"fitter","Anthriscus","sylvestris","Anthriscus","sylvestris"
"fitter","Antirrhinum","majus","Antirrhinum","majus"
"fargo","Antirrhinum","majus","Antirrhinum","majus"
"gothic","Aphyllon","fasciculatum","Orobanche","fasciculata"
"concord","Apios","americana","Apios","americana"
"washdc","Aplectrum","hyemale","Aplectrum","hyemale"
"konza","Apocynum","cannabinum","Apocynum","cannabinum"
"concord","Apocynum","androsaemifolium","Apocynum","androsaemifolium"
"concord","Apocynum","cannabinum","Apocynum","cannabinum"
"fargo","Apocynum","androsaemifolium","Apocynum","androsaemifolium"
"fargo","Apocynum","hypericifolium","Apocynum","cannabinum"
"washdc","Apocynum","cannabinum","Apocynum","cannabinum"
"concord","Aquilegia","canadensis","Aquilegia","canadensis"
"concord","Aquilegia","vulgaris","Aquilegia","vulgaris"
"mohonk","Aquilegia","canadensis","Aquilegia","canadensis"
"fargo","Aquilegia","canadensis","Aquilegia","canadensis"
"washdc","Aquilegia","canadensis","Aquilegia","canadensis"
"gothic","Aquilegia","coerulea","Aquilegia","coerulea"
"fitter","Arabidopsis","thaliana","Arabidopsis","thaliana"
"concord","Arabidopsis","thaliana","Arabidopsis","thaliana"
"washdc","Arabidopsis","thaliana","Arabidopsis","thaliana"
"concord","Arabis","canadensis","Boechera","canadensis"
"concord","Arabis","drummondii","Boechera","stricta"
"concord","Arabis","glabra","Turritis","glabra"
"fargo","Arabis","bulbosa","Cardamine","bulbosa"
"fargo","Arabis","divaricarpa","Arabis","divaricarpa"
"fargo","Arabis","hirsuta","Arabis","hirsuta"
"washdc","Arabis","laevigata","Boechera","laevigata"
"washdc","Arabis","lyrata","Arabidopsis","lyrata"
"concord","Aralia","hispida","Aralia","hispida"
"concord","Aralia","nudicaulis","Aralia","nudicaulis"
"concord","Aralia","racemosa","Aralia","racemosa"
"fargo","Aralia","nudicaulis","Aralia","nudicaulis"
"washdc","Aralia","nudicaulis","Aralia","nudicaulis"
"fitter","Arctium","lappa","Arctium","lappa"
"fitter","Arctium","minus","Arctium","minus"
"concord","Arctium","minus","Arctium","minus"
"fargo","Arctium","minus","Arctium","minus"
"fargo","Arctium","tomentosum","Arctium","tomentosum"
"concord","Arctostaphylos","uva-ursi","Arctostaphylos","uva-ursi"
"concord","Arenaria","lateriflora","Moehringia","lateriflora"
"concord","Arenaria","serpyllifolia","Arenaria","serpyllifolia"
"fargo","Arenaria","lateriflora","Moehringia","lateriflora"
"concord","Arethusa","bulbosa","Arethusa","bulbosa"
"konza","Argemone","polyanthemos","Argemone","polyanthemos"
"concord","Arisaema","atrorubens","Arisaema","triphyllum"
"fargo","Arisaema","atrorubens","Arisaema","triphyllum"
"washdc","Arisaema","dracontium","Arisaema","dracontium"
"washdc","Arisaema","triphyllum","Arisaema","triphyllum"
"washdc","Aristolochia","serpentaria","Aristolochia","serpentaria"
"fitter","Armoracia","rusticana","Armoracia","rusticana"
"concord","Armoracia","rusticana","Armoracia","rusticana"
"fargo","Armoracia","rusticana","Armoracia","rusticana"
"fargo","Arnica","fulgens","Arnica","fulgens"
"washdc","Arnica","acaulis","Arnica","acaulis"
"konza","Arnoglossum","plantagineum","Arnoglossum","plantagineum"
"washdc","Aronia","arbutifolia","Aronia","arbutifolia"
"washdc","Aronia","melanocarpa","Aronia","melanocarpa"
"fitter","Arrhenatherum","elatius","Arrhenatherum","elatius"
"fitter","Artemisia","vulgaris","Artemisia","vulgaris"
"konza","Artemisia","ludoviciana","Artemisia","ludoviciana"
"concord","Artemisia","absinthium","Artemisia","absinthium"
"concord","Artemisia","vulgaris","Artemisia","vulgaris"
"fargo","Artemisia","absinthium","Artemisia","absinthium"
"fargo","Artemisia","biennis","Artemisia","biennis"
"fargo","Artemisia","caudata","Artemisia","campestris"
"fargo","Artemisia","ludoviciana","Artemisia","ludoviciana"
"washdc","Artemisia","ludoviciana","Artemisia","ludoviciana"
"gothic","Artemisia","tridentata","Artemisia","tridentata"
"washdc","Aruncus","dioicus","Aruncus","dioicus"
"concord","Asarum","canadense","Asarum","canadense"
"washdc","Asarum","canadense","Asarum","canadense"
"konza","Asclepias","incarnata","Asclepias","incarnata"
"konza","Asclepias","lanuginosa","Asclepias","lanuginosa"
"konza","Asclepias","stenophylla","Asclepias","stenophylla"
"konza","Asclepias","sullivantii","Asclepias","sullivantii"
"konza","Asclepias","syriaca","Asclepias","syriaca"
"konza","Asclepias","tuberosa","Asclepias","tuberosa"
"konza","Asclepias","verticillata","Asclepias","verticillata"
"konza","Asclepias","viridiflora","Asclepias","viridiflora"
"konza","Asclepias","viridis","Asclepias","viridis"
"concord","Asclepias","incarnata","Asclepias","incarnata"
"concord","Asclepias","syriaca","Asclepias","syriaca"
"concord","Asclepias","tuberosa","Asclepias","tuberosa"
"fargo","Asclepias","incarnata","Asclepias","incarnata"
"fargo","Asclepias","ovalifolia","Asclepias","ovalifolia"
"fargo","Asclepias","speciosa","Asclepias","speciosa"
"fargo","Asclepias","syriaca","Asclepias","syriaca"
"fargo","Asclepias","verticillata","Asclepias","verticillata"
"washdc","Asclepias","incarnata","Asclepias","incarnata"
"washdc","Asclepias","syriaca","Asclepias","syriaca"
"washdc","Asclepias","tuberosa","Asclepias","tuberosa"
"konza","Asimina","triloba","Asimina","triloba"
"washdc","Asimina","triloba","Asimina","triloba"
"concord","Asparagus","officinalis","Asparagus","officinalis"
"fargo","Asparagus","officinalis","Asparagus","officinalis"
"washdc","Asparagus","officinalis","Asparagus","officinalis"
"fitter","Asperula","cynanchica","Asperula","cynanchica"
"fitter","Aster","novi-belgii","Symphyotrichum","novi-belgii"
"concord","Aster","acuminatus","Oclemena","acuminata"
"concord","Aster","cordifolius","Symphyotrichum","cordifolium"
"concord","Aster","divaricatus","Eurybia","divaricata"
"concord","Aster","dumosus","Symphyotrichum","dumosum"
"concord","Aster","ericoides","Symphyotrichum","ericoides"
"concord","Aster","laevis","Symphyotrichum","laeve"
"concord","Aster","lateriflorus","Symphyotrichum","lateriflorum"
"concord","Aster","linariifolius","Ionactis","linariifolia"
"concord","Aster","macrophyllus","Eurybia","macrophylla"
"concord","Aster","novae-angliae","Symphyotrichum","novae-angliae"
"concord","Aster","novi-belgii","Symphyotrichum","novi-belgii"
"concord","Aster","patens","Symphyotrichum","patens"
"concord","Aster","puniceus","Symphyotrichum","puniceum"
"concord","Aster","radula","Eurybia","radula"
"concord","Aster","simplex","Symphyotrichum","lanceolatum"
"concord","Aster","umbellatus","Doellingeria","umbellata"
"concord","Aster","undulatus","Symphyotrichum","undulatum"
"concord","Aster","vimineus","Symphyotrichum","racemosum"
"fargo","Aster","ericoides","Symphyotrichum","ericoides"
"fargo","Aster","laevis","Symphyotrichum","laeve"
"fargo","Aster","paniculatus","Symphyotrichum","lanceolatum"
"washdc","Aster","tataricus","Aster","tataricus"
"konza","Astragalus","crassicarpus","Astragalus","crassicarpus"
"konza","Astragalus","lotiflorus","Astragalus","lotiflorus"
"konza","Astragalus","missouriensis","Astragalus","missouriensis"
"fargo","Astragalus","canadensis","Astragalus","canadensis"
"fargo","Astragalus","crassicarpus","Astragalus","crassicarpus"
"fargo","Astragalus","flexuosus","Astragalus","flexuosus"
"fargo","Astragalus","gilviflorus","Astragalus","gilviflorus"
"fargo","Astragalus","hypoglottis","Astragalus","agrestis"
"fargo","Astragalus","missouriensis","Astragalus","missouriensis"
"fargo","Astragalus","pectinatus","Astragalus","pectinatus"
"fargo","Astragalus","plattensis","Astragalus","plattensis"
"fargo","Astragalus","racemosus","Astragalus","racemosus"
"fargo","Astragalus","striatus","Astragalus","laxmannii"
"gothic","Astragalus","sp","Astragalus",NA
"fitter","Atriplex","prostrata","Atriplex","prostrata"
"fargo","Atriplex","confertifolia","Atriplex","confertifolia"
"fargo","Atriplex","hastata","Atriplex","prostrata"
"fargo","Atriplex","patula","Atriplex","patula"
"fargo","Atriplex","rosea","Atriplex","rosea"
"fitter","Atropa","bella-donna","Atropa","bella-donna"
"concord","Aureolaria","flava","Aureolaria","flava"
"fitter","Avena","fatua","Avena","fatua"
"fitter","Avena","sativa","Avena","sativa"
"fargo","Avena","fatua","Avena","fatua"
"washdc","Avena","sativa","Avena","sativa"
"fargo","Bahia","oppositifolia","Picradeniopsis","oppositifolia"
"fitter","Ballota","nigra","Ballota","nigra"
"washdc","Ballota","nigra","Ballota","nigra"
"konza","Baptisia","australis","Baptisia","australis"
"konza","Baptisia","bracteata","Baptisia","bracteata"
"konza","Baptisia","xbicolor","Baptisia","X bicolor"
"concord","Baptisia","tinctoria","Baptisia","tinctoria"
"washdc","Baptisia","australis","Baptisia","australis"
"washdc","Baptisia","tinctoria","Baptisia","tinctoria"
"fitter","Barbarea","vulgaris","Barbarea","vulgaris"
"concord","Barbarea","vulgaris","Barbarea","vulgaris"
"washdc","Barbarea","verna","Barbarea","verna"
"washdc","Barbarea","vulgaris","Barbarea","vulgaris"
"gothic","Barbarea","vulgaris","Barbarea","vulgaris"
"concord","Bartonia","virginica","Bartonia","virginica"
"fargo","Beckmannia","syzigachne","Beckmannia","syzigachne"
"washdc","Bellis","perennis","Bellis","perennis"
"concord","Berberis","thunbergii","Berberis","thunbergii"
"concord","Berberis","vulgaris","Berberis","vulgaris"
"fargo","Berberis","thunbergii","Berberis","thunbergii"
"washdc","Berberis","thunbergii","Berberis","thunbergii"
"concord","Berteroa","incana","Berteroa","incana"
"fargo","Berteroa","incana","Berteroa","incana"
"fitter","Betula","pendula","Betula","pendula"
"harvard","Betula","alleghaniensis","Betula","alleghaniensis"
"harvard","Betula","lenta","Betula","lenta"
"harvard","Betula","papyrifera","Betula","papyrifera"
"harvard","Betula","populifolia","Betula","populifolia"
"hubbard","Betula","alleghaniensis","Betula","alleghaniensis"
"marsham","Betula","pendula","Betula","pendula"
"fargo","Betula","papyrifera","Betula","papyrifera"
"washdc","Betula","alleghaniensis","Betula","alleghaniensis"
"washdc","Betula","lenta","Betula","lenta"
"washdc","Betula","nigra","Betula","nigra"
"washdc","Betula","pendula","Betula","pendula"
"washdc","Betula","populifolia","Betula","populifolia"
"uwm","Betula","alleghaniensis","Betula","alleghaniensis"
"uwm","Betula","papyrifera","Betula","papyrifera"
"rousi","Betula","pendula","Betula","pendula"
"rousi","Betula","pubescens","Betula","pubescens"
"konza","Bidens","frondosa","Bidens","frondosa"
"concord","Bidens","cernua","Bidens","cernua"
"concord","Bidens","connata","Bidens","connata"
"concord","Bidens","frondosa","Bidens","frondosa"
"concord","Bidens","laevis","Bidens","laevis"
"concord","Bidens","vulgata","Bidens","vulgata"
"fargo","Bidens","acuta","Bidens","tripartita"
"fargo","Bidens","cernua","Bidens","cernua"
"fargo","Bidens","frondosa","Bidens","frondosa"
"fargo","Bidens","vulgata","Bidens","vulgata"
"washdc","Bignonia","capreolata","Bignonia","capreolata"
"niwot","Bistorta","bistortoides","Bistorta","bistortoides"
"gothic","Bistorta","vivipara","Bistorta","vivipara"
"gothic","Boechera","stricta","Boechera","stricta"
"concord","Boehmeria","cylindrica","Boehmeria","cylindrica"
"fargo","Boltonia","latisquama","Boltonia","asteroides"
"washdc","Borago","officinalis","Borago","officinalis"
"konza","Botrychium","virginianum","Botrychium","virginianum"
"washdc","Botrychium","virginianum","Botrychium","virginianum"
"konza","Bouteloua","curtipendula","Bouteloua","curtipendula"
"konza","Bouteloua","gracilis","Bouteloua","gracilis"
"konza","Bouteloua","hirsuta","Bouteloua","hirsuta"
"fargo","Bouteloua","curtipendula","Bouteloua","curtipendula"
"fargo","Bouteloua","gracilis","Bouteloua","gracilis"
"fitter","Brachypodium","pinnatum","Brachypodium","pinnatum"
"fitter","Brachypodium","sylvaticum","Brachypodium","sylvaticum"
"concord","Brasenia","schreberi","Brasenia","schreberi"
"fitter","Brassica","rapa","Brassica","rapa"
"concord","Brassica","kaber","Sinapis","arvensis"
"marsham","Brassica","rapa","Brassica","rapa"
"fargo","Brassica","arvensis","Sinapis","arvensis"
"fargo","Brassica","juncea","Brassica","juncea"
"washdc","Brassica","juncea","Brassica","juncea"
"washdc","Brassica","nigra","Brassica","nigra"
"washdc","Brassica","oleracea","Brassica","oleracea"
"washdc","Brassica","rapa","Brassica","rapa"
"konza","Brickellia","eupatorioides","Brickellia","eupatorioides"
"fitter","Briza","media","Briza","media"
"washdc","Briza","media","Briza","media"
"gothic","Bromelica","spectabilis","Melica","spectabilis"
"gothic","Bromopsis","inermis","Bromus","inermis"
"gothic","Bromopsis","pumpelliana","Bromus","pumpellianus"
"fitter","Bromus","erectus","Bromus","erectus"
"fitter","Bromus","hordeaceus","Bromus","hordeaceus"
"fargo","Bromus","inermis","Bromus","inermis"
"fargo","Bromus","tectorum","Bromus","tectorum"
"washdc","Bromus","commutatus","Bromus","commutatus"
"washdc","Bromus","inermis","Bromus","inermis"
"washdc","Bromus","tectorum","Bromus","tectorum"
"gothic","Bromus","sp","Bromus",NA
"washdc","Broussonetia","papyrifera","Broussonetia","papyrifera"
"fitter","Bryonia","dioica","Bryonia","dioica"
"konza","Buchloe","dactyloides","Bouteloua","dactyloides"
"fargo","Buchloe","dactyloides","Bouteloua","dactyloides"
"fitter","Buddleja","davidii","Buddleja","davidii"
"washdc","Bupleurum","rotundifolium","Bupleurum","rotundifolium"
"fargo","Calamagrostis","inexpansa","Calamagrostis","stricta"
"fargo","Calamovilfa","longifolia","Calamovilfa","longifolia"
"concord","Calla","palustris","Calla","palustris"
"fargo","Calla","palustris","Calla","palustris"
"konza","Callirhoe","alcaeoides","Callirhoe","alcaeoides"
"konza","Callirhoe","involucrata","Callirhoe","involucrata"
"fitter","Calluna","vulgaris","Calluna","vulgaris"
"gothic","Calochortus","gunnisonii","Calochortus","gunnisonii"
"concord","Calopogon","pulchellus","Calopogon","tuberosus"
"fitter","Caltha","palustris","Caltha","palustris"
"concord","Caltha","palustris","Caltha","palustris"
"mohonk","Caltha","palustris","Caltha","palustris"
"fargo","Caltha","palustris","Caltha","palustris"
"washdc","Caltha","palustris","Caltha","palustris"
"bolmgren","Caltha","palustris","Caltha","palustris"
"konza","Calylophus","serrulatus","Oenothera","serrulata"
"fitter","Calystegia","sepium","Calystegia","sepium"
"fitter","Calystegia","silvatica","Calystegia","silvatica"
"konza","Calystegia","macounii","Calystegia","macounii"
"fargo","Calystegia","sepium","Calystegia","sepium"
"washdc","Calystegia","sepium","Calystegia","sepium"
"washdc","Calystegia","spithamea","Calystegia","spithamaea"
"washdc","Camassia","leichtlinii","Camassia","leichtlinii"
"washdc","Camassia","scilloides","Camassia","scilloides"
"fargo","Camelina","sativa","Camelina","sativa"
"fitter","Campanula","glomerata","Campanula","glomerata"
"fitter","Campanula","trachelium","Campanula","trachelium"
"concord","Campanula","aparinoides","Campanula","aparinoides"
"concord","Campanula","rapunculoides","Campanula","rapunculoides"
"concord","Campanula","rotundifolia","Campanula","rotundifolia"
"fargo","Campanula","rapunculoides","Campanula","rapunculoides"
"fargo","Campanula","rotundifolia","Campanula","rotundifolia"
"washdc","Campanula","rotundifolia","Campanula","rotundifolia"
"gothic","Campanula","rotundifolia","Campanula","rotundifolia"
"konza","Campanulastrum","americanum","Campanula","americana"
"konza","Campsis","radicans","Campsis","radicans"
"fargo","Campsis","radicans","Campsis","radicans"
"concord","Cannabis","sativa","Cannabis","sativa"
"concord","Capsella","bursa-pastoris","Capsella","bursa-pastoris"
"fargo","Capsella","bursa-pastoris","Capsella","bursa-pastoris"
"washdc","Capsella","bursa-pastoris","Capsella","bursa-pastoris"
"fargo","Caragana","arborescens","Caragana","arborescens"
"fargo","Caragana","pygmaea","Caragana","pygmaea"
"fitter","Cardamine","hirsuta","Cardamine","hirsuta"
"fitter","Cardamine","pratensis","Cardamine","pratensis"
"concord","Cardamine","bulbosa","Cardamine","bulbosa"
"concord","Cardamine","diphylla","Cardamine","diphylla"
"concord","Cardamine","pensylvanica","Cardamine","pensylvanica"
"concord","Cardamine","pratensis","Cardamine","pratensis"
"washdc","Cardamine","angustata","Cardamine","angustata"
"washdc","Cardamine","bulbosa","Cardamine","bulbosa"
"washdc","Cardamine","douglassii","Cardamine","douglassii"
"washdc","Cardamine","hirsuta","Cardamine","hirsuta"
"washdc","Cardamine","pensylvanica","Cardamine","pensylvanica"
"gothic","Cardamine","cordifolia","Cardamine","cordifolia"
"fargo","Cardaria","draba","Lepidium","draba"
"fargo","Cardaria","pubescens","Lepidium","appelianum"
"fitter","Carduus","acanthoides","Carduus","acanthoides"
"fitter","Carduus","nutans","Carduus","nutans"
"fargo","Carduus","crispus","Carduus","crispus"
"washdc","Carduus","nutans","Carduus","nutans"
"fitter","Carex","acutiformis","Carex","acutiformis"
"fitter","Carex","caryophyllea","Carex","caryophyllea"
"fitter","Carex","disticha","Carex","disticha"
"fitter","Carex","hirta","Carex","hirta"
"fitter","Carex","panicea","Carex","panicea"
"fitter","Carex","paniculata","Carex","paniculata"
"fitter","Carex","sylvatica","Carex","sylvatica"
"konza","Carex","brevior","Carex","brevior"
"konza","Carex","inops","Carex","inops"
"konza","Carex","meadii","Carex","meadii"
"fargo","Carex","aquatilis","Carex","aquatilis"
"fargo","Carex","assiniboinensis","Carex","assiniboinensis"
"fargo","Carex","blanda","Carex","blanda"
"fargo","Carex","brevior","Carex","brevior"
