Block,Plot,humidity treatment,temperature treatment,species,population,sowing,9,55,65,85,95
b,5,S,T,ar,2,8-mars,30-mars,,,,5-Jul
b,5,S,T,sv,1,8-mars,30-mars,20-May,26-May,27-Jun,24-Aug
b,5,S,T,sv,1,8-mars,1-avr.,2-Jun,16-Jun,7-Jul,8-Aug
b,5,S,T,sv,1,8-mars,25-avr.,6-Jun,13-Jun,30-Jun,24-Aug
b,5,S,T,sv,1,8-mars,11-avr.,,22-Jun,5-Jul,24-Aug
b,5,S,T,sv,2,8-mars,4-May,,,,
b,5,S,T,sv,2,8-mars,3-May,,,,26-Aug
b,5,S,T,sv,2,8-mars,21-avr.,,5-Jul,18-Jul,24-Aug
b,6,H,T++,ar,1,8-mars,28-mars,,,,
b,6,H,T++,ar,1,8-mars,28-mars,,,,27-Jun
b,6,H,T++,ar,1,8-mars,28-mars,,13-Jun,,27-Jun
b,6,H,T++,ar,1,8-mars,28-mars,9-May,,,7-Jul
b,6,H,T++,ar,2,8-mars,28-mars,2-May,,,22-Jun
b,6,H,T++,ar,2,8-mars,28-mars,9-May,,,7-Jul
b,6,H,T++,ar,2,8-mars,28-mars,4-May,,,30-Jun
b,6,H,T++,ar,2,8-mars,28-mars,16-May,,,27-Jun
b,6,H,T++,ar,3,8-mars,28-mars,,,,
b,6,H,T++,ar,3,8-mars,30-mars,,,,18-Jul
b,6,H,T++,ar,3,8-mars,28-mars,,,,22-Jun
b,6,H,T++,ar,3,8-mars,28-mars,,2-Jun,,22-Jun
b,6,H,T++,sv,1,8-mars,28-mars,20-May,28-May,9-Jul,10-Oct
b,6,H,T++,sv,1,8-mars,28-Mar,19-May,6-Jun,,
b,6,H,T++,sv,1,8-mars,28-mars,<30/5,11-Jul,18-Jul,3-Nov
b,6,H,T++,sv,2,8-mars,30-mars,13-May,17-May,,17-Aug
b,6,H,T++,sv,2,8-mars,30-mars,9-May,,,
b,6,H,T++,sv,2,8-mars,28-mars,20-May,28-May,,2-Aug
c,1,S,T,aa,,9-mars,12-May,19-Sep,29-Sep,26-Oct,<17/11
c,1,S,T,aa,,9-mars,15-May,5-Sep,26-Sep,3-Nov,
c,1,S,T,aa,,9-mars,13-May,,,,
c,1,S,T,ar,1,9-mars,28-mars,6-May,,,22-Aug
c,1,S,T,ar,1,9-mars,28-mars,,,,
c,1,S,T,ar,1,9-mars,28-mars,26-May,,,2-Aug
c,1,S,T,ar,1,9-mars,28-mars,26-May,<11/7,,7-Jul
c,1,S,T,ar,2,9-mars,28-mars,11-Jul,25-Jul,2-Aug,10-Oct
c,1,S,T,ar,2,9-mars,30-mars,13-Jun,<5/7,21-Jul,2-Aug
c,1,S,T,ar,2,9-mars,28-Apr,,,,
c,1,S,T,ar,3,9-mars,28-mars,,,,2-Aug
c,1,S,T,ar,3,9-mars,28-mars,8-Aug,,,24-Aug
c,1,S,T,ar,3,9-mars,28-mars,,,,16-Aug
c,1,S,T,ar,3,9-mars,25-avr.,,,,
c,1,S,T,sv,1,9-mars,11-avr.,,<21/6,,24-Aug
c,1,S,T,sv,1,9-mars,25-avr.,21-May,2-Jun,,25-Jul
c,1,S,T,sv,1,9-mars,30-mars,21-May,2-Jun,,24-Aug
c,1,S,T,sv,1,9-mars,28-mars,26-May,2-Jun,,8-Aug
c,1,S,T,sv,2,9-mars,9-May,,5-Jul,,
c,1,S,T,sv,2,9-mars,25-avr.,,<16/6,,8-Aug
c,1,S,T,sv,2,9-mars,11-avr.,,,,
c,1,S,T,sv,2,9-mars,4-avr.,,30-Jun,,1-Sep
c,2,H,T++,ar,1,9-mars,18-avr.,24-May,,,18-Jul
c,2,H,T++,ar,1,9-mars,30-mars,3-May,,,
c,2,H,T++,ar,1,9-mars,30-mars,9-May,,,
c,2,H,T++,ar,1,9-mars,28-mars,,,,
c,2,H,T++,ar,2,9-mars,25-avr.,,,,
c,2,H,T++,ar,2,9-mars,28-mars,3-May,26-May,,21-Jun
c,2,H,T++,ar,2,9-mars,30-mars,9-May,,,
c,2,H,T++,ar,3,9-mars,18-avr.,,,,27-Jun
c,2,H,T++,ar,3,9-mars,28-avr.,,,,
c,2,H,T++,ar,3,9-mars,25-avr.,,,,27-Jun
c,2,H,T++,ar,3,9-mars,4-avr.,,,,2-Aug
c,2,H,T++,sv,1,9-mars,30-mars,9-May,15-May,,30-Aug
c,2,H,T++,sv,1,9-mars,4-avr.,26-May,2-Jun,,8-Aug
c,2,H,T++,sv,1,9-mars,1-avr.,,26-May,,2-Aug
c,2,H,T++,sv,1,9-mars,,,<21/6,,8-Aug
c,2,H,T++,sv,2,9-mars,7-avr.,,,,
c,2,H,T++,sv,2,9-mars,28-avr.,27-May,,,25-Jul
c,2,H,T++,sv,2,9-mars,28-avr.,,,,
c,2,H,T++,sv,2,9-mars,4-avr.,13-May,,,16-Aug
c,3,H,T,aa,2,9-mars,2-May,,,,
c,3,H,T,aa,,9-mars,15-May,,,,
c,3,H,T,aa,,9-mars,25-avr.,26-Aug,23-Sep,20-Oct,17-Nov
c,3,H,T,aa,,9-mars,12-May,8-Sep,29-Sep,,28-Nov
c,3,H,T,ar,1,9-mars,28-mars,19-May,,,
c,3,H,T,ar,1,9-mars,28-mars,9-May,2-Jun,7-Jul,7-Jul
c,3,H,T,ar,1,9-mars,28-mars,9-May,,,7-Jul
c,3,H,T,ar,1,9-mars,28-mars,,,,
c,3,H,T,ar,2,9-mars,28-mars,2-Jun,,,5-Jul
c,3,H,T,ar,2,9-mars,30-mars,<16/6,27-Jun,25-Jul,
c,3,H,T,ar,2,9-mars,28-mars,26-May,,7-Apr,
c,3,H,T,ar,2,9-mars,28-mars,,2-Jun,,
c,3,H,T,ar,3,9-mars,28-mars,,,,25-Jul
c,3,H,T,ar,3,9-mars,21-avr.,,,,11-Jul
c,3,H,T,ar,3,9-mars,28-mars,,,,2-Aug
c,3,H,T,ar,3,9-mars,28-mars,,,,2-Aug
c,3,H,T,sv,1,9-mars,30-mars,20-May,2-Jun,,3-Oct
c,3,H,T,sv,1,9-mars,28-mars,23-May,2-Jun,,3-Nov
c,3,H,T,sv,1,9-mars,30-mars,2-Jun,6-Jun,,3-Nov
c,3,H,T,sv,1,9-mars,30-mars,30-Jun,18-Jul,,26-Aug
c,3,H,T,sv,2,9-mars,3-May,11-Jul,18-Jul,15-Aug,26-Sep
c,3,H,T,sv,2,9-mars,4-avr.,19-May,23-May,,26-Oct
c,3,H,T,sv,2,9-mars,30-mars,7-Jul,<18/7,15-Aug,20-Oct
c,3,H,T,sv,2,9-mars,4-avr.,13-Jun,17-Jun,30-Jun,
c,4,S,T++,ar,1,9-mars,28-mars,,,,
c,4,S,T++,ar,1,9-mars,18-Apr,20-May,,,
c,4,S,T++,ar,1,9-mars,18-Apr,,,,
c,4,S,T++,ar,1,9-mars,28-mars,9-May,,,
c,4,S,T++,ar,2,9-mars,28-mars,10-May,21-Jun,,11-Jul
c,4,S,T++,ar,2,9-mars,28-mars,,,,
c,4,S,T++,ar,2,9-mars,18-Apr,,,,
c,4,S,T++,ar,2,9-mars,28-mars,,,,
c,4,S,T++,ar,3,9-mars,28-mars,<21/6,18-Jul,,2-Aug
c,4,S,T++,ar,3,9-mars,28-mars,,,,27-Jun
c,4,S,T++,ar,3,9-mars,18-Apr,,,,
c,4,S,T++,sv,1,9-mars,30-Mar,16-Jun,21-Jun,11-Jul,8-Aug
c,4,S,T++,sv,1,9-mars,28-Mar,10-May,15-May,,8-Aug
c,4,S,T++,sv,1,9-mars,28-Mar,2-May,10-May,,28-Jul
c,4,S,T++,sv,1,9-mars,28-Mar,,26-May,11-Jul,4-Aug
c,4,S,T++,sv,2,9-mars,28-Mar,,16-May,,8-Aug
c,4,S,T++,sv,2,9-mars,30-Mar,10-May,16-May,,28-Jul
c,4,S,T++,sv,2,9-mars,28-Mar,,21-Jun,,18-Aug
c,4,S,T++,sv,2,9-mars,28-Mar,,<6/6,,14-Aug
c,5,H,T+,aa,1,9-mars,1-May,1-Sep,,,26-Oct
c,5,H,T+,aa,1,9-mars,28-Apr,5-Sep,,,16-Oct
c,5,H,T+,aa,1,9-mars,2-May,23-Sep,3-Oct,3-Nov,
c,5,H,T+,aa,,9-mars,2-May,12-Sep,26-Sep,26-Oct,21-Nov
c,5,H,T+,aa,,9-mars,16-May,12-Sep,19-Sep,26-Oct,28-Nov
c,5,H,T+,aa,,9-mars,,26-Aug,19-Sep,20-Oct,28-Nov
c,5,H,T+,aa,,9-mars,16-May,1-Sep,26-Sep,3-Nov,28-Nov
c,5,H,T+,aa,,9-mars,16-May,,,,
c,5,H,T+,aa,,9-mars,,<12/9,,,
c,5,H,T+,ar,1,9-mars,28-Mar,,,,
c,5,H,T+,ar,1,9-mars,28-Mar,,,,
c,5,H,T+,ar,1,9-mars,28-Mar,3-May,,,
c,5,H,T+,ar,1,9-mars,28-Mar,19-May,,,
c,5,H,T+,ar,2,9-mars,28-Mar,20-May,,,21-Jul
c,5,H,T+,ar,2,9-mars,28-Mar,9-May,,,11-Jul
c,5,H,T+,ar,2,9-mars,28-Mar,,,,21-Jul
c,5,H,T+,ar,2,9-mars,31-Mar,19-May,,,
c,5,H,T+,ar,3,9-mars,28-Mar,,,,30-Jun
c,5,H,T+,ar,3,9-mars,28-Mar,,,,21-Jun
c,5,H,T+,ar,3,9-mars,28-Mar,,,,7-Jul
c,5,H,T+,ar,3,9-mars,18-Apr,,,,25-Jul
c,5,H,T+,sv,1,9-mars,1-Apr,,,,
c,5,H,T+,sv,1,9-mars,30-Mar,19-May,26-May,,12-Sep
c,5,H,T+,sv,1,9-mars,30-Mar,,26-May,,12-Sep
c,5,H,T+,sv,1,9-mars,28-Mar,,13-Jun,,2-Aug
c,5,H,T+,sv,2,9-mars,1-Apr,,,,
c,5,H,T+,sv,2,9-mars,9-May,,,,
c,6,S,T+,ar,1,9-mars,28-Mar,9-May,,,<3/11
c,6,S,T+,ar,1,9-mars,28-Mar,12-May,,,21-Jun
c,6,S,T+,ar,1,9-mars,28-Mar,9-May,,,
c,6,S,T+,ar,1,9-mars,28-Mar,9-May,,,
c,6,S,T+,ar,2,9-mars,28-Mar,25-Jul,2-Aug,,24-Aug
c,6,S,T+,ar,2,9-mars,28-Mar,26-May,11-Jul,,25-Jul
c,6,S,T+,ar,2,9-mars,28-Mar,,,,7-Jul
c,6,S,T+,ar,2,9-mars,28-Mar,20-May,,,7-Jul
c,6,S,T+,ar,3,9-mars,28-Mar,,,,22-Aug
c,6,S,T+,ar,3,9-mars,28-Mar,,,,22-Jul
c,6,S,T+,ar,3,9-mars,28-Mar,,,,27-Jun
c,6,S,T+,ar,3,9-mars,28-Mar,,,,
c,6,S,T+,sv,1,9-mars,30-Mar,19-May,26-May,5-Jul,14-Aug
c,6,S,T+,sv,1,9-mars,30-Mar,26-May,2-Jun,27-Jun,22-Aug
c,6,S,T+,sv,1,9-mars,30-Mar,2-Jun,6-Jun,27-Jun,24-Aug
c,6,S,T+,sv,1,9-mars,4-Apr,28-May,<13/6,30-Jun,17-Aug
c,6,S,T+,sv,2,9-mars,30-Mar,27-May,6-Jun,27-Jun,2-Aug
c,6,S,T+,sv,2,9-mars,10-May,,,,17-Aug
c,6,S,T+,sv,2,9-mars,,,6-Jun,27-Jun,13-Aug
d,1,S,T++,ar,1,9-mars,28-Mar,,,,
d,1,S,T++,ar,1,9-mars,28-Mar,,,,
d,1,S,T++,ar,1,9-mars,28-Mar,,,,
d,1,S,T++,ar,1,9-mars,28-Mar,,,,
d,1,S,T++,ar,2,9-mars,28-Mar,21-Jun,,,17-Jul
d,1,S,T++,ar,2,9-mars,28-Mar,11-May,,,17-Aug
d,1,S,T++,ar,2,9-mars,28-Mar,4-May,,,27-Jun
d,1,S,T++,ar,2,9-mars,28-Mar,,,,
d,1,S,T++,ar,3,9-mars,28-Mar,19-May,,,28-Jul
d,1,S,T++,ar,3,9-mars,28-Mar,,,,18-Jul
d,1,S,T++,ar,3,9-mars,28-Mar,19-May,,,21-Jun
d,1,S,T++,ar,3,9-mars,28-Mar,18-May,,,27-Jun
d,1,S,T++,sv,1,9-mars,25-Apr,13-Jun,16-Jun,,
d,1,S,T++,sv,1,9-mars,28-Mar,12-May,16-May,,14-Sep
d,1,S,T++,sv,1,9-mars,4-Apr,,,,2-Aug
d,1,S,T++,sv,1,9-mars,28-Mar,,2-Jun,,26-Aug
d,1,S,T++,sv,2,9-mars,7-Apr,15-May,24-May,,1-Sep
d,2,S,3,aa,,9-mars,16-May,19-Sep,29-Sep,24-Oct,17-Nov
d,2,S,T+,ar,1,9-mars,28-Mar,,,,11-Jul
d,2,S,T+,ar,1,9-mars,28-Mar,,,,2-Jul
d,2,S,T+,ar,1,9-mars,28-Mar,5-May,,,
d,2,S,T+,ar,1,9-mars,28-Mar,,,,21-Jun
