block,Plot,humidity treatment,temperature treatment,line,column,species,population,transplanted following germination failure,sowing,9,55,65,85,95
a,2,S,T++,1,7,av,1,1,15/4/02,6/5/02, , , ,
a,2,S,T++,3,1,av,1,0,15/4/02,29/4/02, , , ,8/10/02
a,2,S,T++,3,3,av,4,1,15/4/02,3/5/02, , , ,
a,2,S,T++,3,4,av,3,1,15/4/02,6/5/02, , , ,
a,2,S,T++,4,5,av,2,1,15/4/02,24/5/02, , , ,
a,2,S,T++,4,6,av,4,1,15/4/02,6/5/02, , , ,
a,2,S,T++,5,2,av,2,1,15/4/02,6/5/02, , , ,
a,2,S,T++,7,5,av,3,1,15/4/02,6/5/02, , , ,
a,2,S,T++,8,3,av,3,1,15/4/02,6/5/02, , , ,
a,2,S,T++,9,7,av,2,1,15/4/02,6/5/02, , , ,
a,2,S,T++,11,6,av,4,1,15/4/02,6/5/02, , , ,
a,2,S,T++,11,8,av,3,0,15/4/02,27/4/02, , , ,
a,2,S,T++,12,2,av,1,0,15/4/02,17/5/02, , , ,
a,2,S,T++,12,5,av,1,0,15/4/02,8/5/02, , , ,
a,2,S,T++,15,2,av,2,0,15/4/02,8/5/02, , , , 
a,2,S,T++,15,4,av,4,1,15/4/02,3/5/02,20/8/02,28/8/02, , 
a,2,S,T++,1,8,lp,2,1,15/4/02,13/5/02, , , ,
a,2,S,T++,2,3,lp,1,0,15/4/02,27/4/02, , , ,
a,2,S,T++,5,4,lp,3,1,15/4/02,3/5/02, , , ,
a,2,S,T++,5,6,lp,3,1,15/4/02,3/5/02, , , ,
a,2,S,T++,6,2,lp,2,0,15/4/02,19/4/02, , , ,
a,2,S,T++,7,8,lp,1,0,15/4/02,18/4/02, , , ,
a,2,S,T++,9,4,lp,2,1,15/4/02,13/5/02, , , ,
a,2,S,T++,10,6,lp,1,1,15/4/02,3/5/02, , , ,
a,2,S,T++,11,2,lp,3,1,15/4/02,13/5/02, , , ,
a,2,S,T++,11,5,lp,2,1,15/4/02,13/5/02, , , ,
a,2,S,T++,14,3,lp,1,0,15/4/02,19/4/02, , , ,
a,2,S,T++,14,6,lp,3,1,15/4/02,3/5/02, , , , 
a,2,S,T++,1,1,lr,1,0,15/4/02,25/4/02,18/7/02,26/7/02,9/8/02,4/9*
a,2,S,T++,1,6,lr,3,0,15/4/02,25/4/02,15/7/02,18/7/02, ,
a,2,S,T++,2,2,lr,3,0,15/4/02,25/4/02,16/7/02,24/7/02,20/8/02,7/9/02
a,2,S,T++,6,4,lr,1,1,15/4/02,3/5/02,2/8/02,10/8/02,28/8/02,7/9/02
a,2,S,T++,7,2,lr,2,1,15/4/02,3/5/02, , , ,4/9*
a,2,S,T++,7,7,lr,2,0,15/4/02,25/4/02,21/6/02,28/6/02,23/7/02,17/9/02
a,2,S,T++,9,5,lr,3,1,15/4/02,3/5/02,10/6/02,16/6/02,18/7/02,24/9*
a,2,S,T++,10,1,lr,3,0,15/4/02,27/4/02, , , ,4/9*
a,2,S,T++,12,3,lr,2,1,15/4/02,3/5/02, , , ,13/8/02
a,2,S,T++,13,5,lr,2,1,15/4/02,3/5/02,28/6/02,2/7/02,30/7/02,17/9/02
a,2,S,T++,13,8,lr,1,1,15/4/02,3/5/02, , , ,13/8/02
a,2,S,T++,14,2,lr,1,0,15/4/02,25/4/02,28/6/02,5/7/02,30/7/02,4/9*
a,2,S,T++,2,1,qi,1,0,,, , , ,
a,2,S,T++,8,4,qi,2,0,15/4/02,, , , ,
a,2,S,T++,14,7,qi,3,0,,, , , , 
a,2,S,T++,2,4,qp,3,0,15/4/02,1/6/02, , , ,
a,2,S,T++,8,7,qp,2,0,,, , , ,
a,2,S,T++,14,1,qp,1,0,,, , , ,
a,2,S,T++,2,7,qr,3,0,,, , , ,
a,2,S,T++,8,1,qr,1,0,,, , , ,
a,2,S,T++,14,4,qr,2,0,15/4/02,, , , ,
a,2,S,T++,2,6,sp,3,0,15/4/02,25/4/02,9/7/02,12/7/02, ,
a,2,S,T++,4,3,sp,1,0,15/4/02,25/4/02,15/6/02,19/6/02, ,
a,2,S,T++,6,1,sp,2,0,15/4/02,25/4/02,15/6/02,20/6/02, ,
a,2,S,T++,6,5,sp,1,0,15/4/02,25/4/02,22/6/02,26/6/02, ,
a,2,S,T++,6,7,sp,2,0,15/4/02,25/4/02,18/6/02,21/6/02, ,
a,2,S,T++,8,2,sp,3,1,15/4/02,16/5/02,19/7/02,23/7/02, ,
a,2,S,T++,10,3,sp,2,0,15/4/02,25/4/02,1/7/02,3/7/02, ,
a,2,S,T++,10,5,sp,3,1,15/4/02,6/5/02,8/8/02,10/8/02, ,
a,2,S,T++,11,3,sp,3,1,15/4/02,13/5/02,12/7/02,15/7/02, ,
a,2,S,T++,12,7,sp,1,0,15/4/02,25/4/02,2/7/02,4/7/02, ,
a,2,S,T++,13,1,sp,1,1,15/4/02,3/5/02,?20/6,27/6/02, ,
a,2,S,T++,15,6,sp,2,1,15/4/02,3/5/02,21/6/02,28/6/02, , 
a,2,S,T++,1,3,sv,2,1,15/4/02,17/6/02, , , ,
a,2,S,T++,3,2,sv,1,1,15/4/02,13/5/02,5/7/02,12/7/02,26/7/02,8/10/02
a,2,S,T++,3,8,sv,1,0,15/4/02,13/5/02,28/6/02,5/7/02,2/8/02,23/10/02
a,2,S,T++,4,4,sv,4,1,15/4/02,24/5/02, , , ,
a,2,S,T++,5,7,sv,4,1,15/4/02,24/5/02, , , ,
a,2,S,T++,6,6,sv,2,1,15/4/02,24/5/02, , , ,
a,2,S,T++,7,3,sv,3,0,15/4/02,29/4/02,28/6/02,5/7/02,26/7/02,6/11/02
a,2,S,T++,8,5,sv,3,1,15/4/02,13/5/02,10/6/02,13/6/02,26/7/02,8/10/02
a,2,S,T++,9,1,sv,2,0,15/4/02,20/5/02,2/7/02,5/7/02, ,
a,2,S,T++,10,7,sv,4,1,15/4/02,24/5/02, , , ,
a,2,S,T++,11,4,sv,1,1,15/4/02,13/5/02,9/7/02,12/7/02,5/8/02,8/10/02
a,2,S,T++,12,1,sv,4,1,15/4/02,17/6/02, , , ,
a,2,S,T++,14,5,sv,1,0,15/4/02,25/4/02,2/7/02,5/7/02,26/7/02,8/10/02
a,2,S,T++,15,1,sv,3,0,15/4/02,8/5/02,2/7/02,5/7/02,26/7/02, 
a,2,S,T++,15,5,sv,2,1,15/4/02,17/6/02, , , , 
a,2,S,T++,15,8,sv,3,1,15/4/02,13/5/02,15/6/02,18/6/02,26/7/02,6/11/02
a,3,S,T,1,4,aa,1,1,15/4/02,13/5/02,4/9/02,20/9/02, ,14/11/02
a,3,S,T,3,5,aa,2,0,15/4/02,3/5/02, , , , 
a,3,S,T,4,1,aa,3,1,15/4/02,13/5/02,4/9/02,20/9/02, ,26/11/02
a,3,S,T,6,3,aa,2,1,15/4/02,3/5/02,4/9/02,18/9/02, ,26/11/02
a,3,S,T,7,6,aa,1,1,15/4/02,13/5/02,4/9/02,19/9/02, ,26/11/02
a,3,S,T,9,3,aa,2,1,15/4/02,13/5/02,4/9/02,25/9/02, ,14/11/02
a,3,S,T,9,8,aa,1,1,15/4/02,13/5/02,4/9/02,24/9/02, ,14/11/02
a,3,S,T,11,7,aa,2,1,15/4/02,13/5/02,13/9/02,28/9/02, ,14/11/02
a,3,S,T,13,2,aa,1,1,15/4/02,13/5/02,10/9/02,28/9/02, ,26/11/02
a,3,S,T,13,4,aa,3,1,15/4/02,13/5/02,10/9/02,28/9/02, ,26/11/02
a,3,S,T,13,6,aa,3,1,15/4/02,16/5/02,15/9/02,30/9/02, ,26/11/02
a,3,S,T,1,6,aa,3,1,15/4/02,24/5/02,17/9/02,30/9/02, ,26/11/02
a,3,S,T,1,5,ad,1,0,15/4/02,13/5/02, , , , 
a,3,S,T,3,6,ad,2,0,15/4/02,21/5/02, , , , 
a,3,S,T,5,3,ad,2,1,15/4/02,21/5/02, , , , 
a,3,S,T,5,8,ad,3,1,15/4/02,24/5/02, , , , 
a,3,S,T,7,1,ad,3,1,15/4/02,24/5/02, , , , 
a,3,S,T,7,4,ad,1,1,15/4/02,27/5/02, , , , 
a,3,S,T,9,2,ad,1,0,15/4/02,21/5/02, , , , 
a,3,S,T,9,6,ad,3,0,15/4/02,21/5/02, , , , 
a,3,S,T,10,4,ad,3,1,15/4/02,21/5/02, , , , 
a,3,S,T,12,6,ad,2,0,15/4/02,21/5/02, , , , 
a,3,S,T,13,3,ad,2,1,15/4/02,24/5/02, , , , 
a,3,S,T,15,7,ad,1,0,,, , , , 
a,3,S,T,1,2,ar,2,0,15/4/02,25/4/02,*2/7, , , 
a,3,S,T,2,5,ar,3,1,15/4/02,24/5/02, , , , 
a,3,S,T,3,7,ar,1,0,15/4/02,25/4/02,15/6/02,19/6/02,26/7/02,24/10/02
a,3,S,T,4,2,ar,3,0,15/4/02,22/4/02,26/7/02,6/8/02, ,8/11/02
a,3,S,T,5,1,ar,1,0,15/4/02,25/4/02,6/7/02,12/7/02,16/8/02,24/10/02
a,3,S,T,5,5,ar,2,0,15/4/02,25/4/02, , , , 
a,3,S,T,8,6,ar,2,0,15/4/02,25/4/02,4/6/02,12/6/02,16/7/02, 
a,3,S,T,10,2,ar,2,0,15/4/02,25/4/02,5/6/02,13/6/02,16/7/02,8/10/02
a,3,S,T,11,1,ar,1,0,15/4/02,19/4/02,23/7/02,26/7/02,10/8/02,23/10/02
a,3,S,T,12,4,ar,3,0,15/4/02,22/5/02,15/6/02,19/6/02,30/7/02,8/11/02
a,3,S,T,13,7,ar,1,0,15/4/02,25/4/02,13/6/02,18/6/02,23/7/02,10/11/02
a,3,S,T,15,3,ar,1,0,15/4/02,21/4/02,28/6/02,2/7/02,26/7/02,8/10/02
a,3,S,T,1,7,av,1,1,15/4/02,6/5/02, , , , 
a,3,S,T,3,1,av,1,1,15/4/02,6/5/02, , , , 
a,3,S,T,3,3,av,4,1,15/4/02,3/5/02,2/8/02,9/8/02, , 
a,3,S,T,3,4,av,3,1,15/4/02,6/5/02, , , , 
a,3,S,T,4,5,av,2,0,15/4/02,25/4/02,20/8/02, , , 
a,3,S,T,4,6,av,4,1,15/4/02,3/5/02, , , , 
a,3,S,T,5,2,av,2,0,15/4/02,8/5/02, , , , 
a,3,S,T,7,5,av,3,1,15/4/02,6/5/02, , , , 
a,3,S,T,8,3,av,3,1,15/4/02,6/5/02, , , , 
a,3,S,T,9,7,av,2,1,15/4/02,17/6/02, , , , 
a,3,S,T,11,6,av,4,1,15/4/02,3/5/02, , , , 
